statement_id	page	record	observed_surface_sequence	surface_sequence_occurrences	image_owner_de	surface_plus_owner_occurrences	recovered_card_sequence	recovered_spoken_sequence_de	recovered_instruction_de	resolution_class	functional_instruction_ambiguity_after_owner	exact_occurrence_identity_required
B2-S019	f82r	B2	rshedy	1	kleine Randstationen des unteren Beckens	1	PROC128[R+SHED+DY]	abkühlen · absetzen · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: auskühlen lassen + absetzen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B2-S020	f82r	B2	qoteedy	2	kleine Randstationen des unteren Beckens	1	PROC129[OT+EE+DY]	danach · länger · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B2-S021	f82r	B2	qokeedy	5	kleine Randstationen des unteren Beckens	2	PROC100[OK+EE+DY]	ansetzen · länger · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: einwirken lassen.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B2-S022	f82r	B2	lochedy	1	kleine Randstationen des unteren Beckens	1	PROC130[L+O+CHD+DY]	führen · Arbeitsgang · umsetzen · Schluss	Bildort: kleine Randstationen des unteren Beckens. Arbeitsfolge: abführen + überführen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S001	f83r	B3	olkeedy	1	obere offene Fächerstation am Rand	1	PROC098[SOLK+EE+DY]	auffangen · länger · Schluss	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: auffangen und stehen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S002	f83r	B3	qotal chkeedy	1	obere offene Fächerstation am Rand	1	PROC131[OT+AL] | PROC132[CHK+EE+DY]	danach · bezeichnete Stelle | wärmen · länger · Schluss	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: anwärmen. Angaben: danach · Ziel.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S003	f83r	B3	chey daiin chey lchedy	1	obere offene Fächerstation am Rand	1	PROC019[Y] | PROC009[AIIN] | PROC019[Y] | PROC120[L+CHD+DY]	dieser Posten | vorgeschriebenes Maß | dieser Posten | führen · umsetzen · Schluss	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: abführen + abmessen und umsetzen. Angaben: dies | Maß | dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S004	f83r	B3	qokaiin qotal dar	1	obere offene Fächerstation am Rand	1	PROC038[OK+AIIN] | PROC131[OT+AL] | PROC003[AR]	ansetzen · vorgeschriebenes Maß | danach · bezeichnete Stelle | von dort	Bildort: obere offene Fächerstation am Rand. Arbeitsfolge: setze nach Maß an. Angaben: danach · Ziel | davon.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S005	f83r	B3	schedy	1	mittlere Randfigur im runden Gefäß	1	PROC076[CHD+DY]	umsetzen · Schluss	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umfüllen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S006	f83r	B3	chedchy qokal olchedy	1	mittlere Randfigur im runden Gefäß	1	PROC133[CHD+Y] | PROC048[OK+AL] | PROC079[OL+CHD+DY]	umsetzen · dieser Posten | ansetzen · bezeichnete Stelle | fortsetzen · umsetzen · Schluss	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: umschöpfen → anlegen → führe zur nächsten Station.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S007	f83r	B3	qokaiin chedy qokeedy	1	mittlere Randfigur im runden Gefäß	1	PROC038[OK+AIIN] | PROC042[CHD+Y] | PROC100[OK+EE+DY]	ansetzen · vorgeschriebenes Maß | umsetzen · dieser Posten | ansetzen · länger · Schluss	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze nach Maß an → umschöpfen → einwirken lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S008	f83r	B3	lchedy	5	mittlere Randfigur im runden Gefäß	1	PROC120[L+CHD+DY]	führen · umsetzen · Schluss	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: abführen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S009	f83r	B3	qoky	1	mittlere Randfigur im runden Gefäß	1	PROC008[OK+Y]	ansetzen · dieser Posten	Bildort: mittlere Randfigur im runden Gefäß. Arbeitsfolge: setze dies ein.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S010	f83r	B3	pchedal otedy	1	untere Randfigur im korbartigen Gefäß	1	PROC134[P+CHD+AL] | PROC135[OT+E+DY]	hineingeben · umsetzen · bezeichnete Stelle | danach · kurz · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einfüllen + umfüllen. Angaben: danach · kurz; Schritt schließen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S011	f83r	B3	shecthedchy qoky chedy chary	1	untere Randfigur im korbartigen Gefäß	1	PROC136[SH+E+CTH+CHD+Y] | PROC008[OK+Y] | PROC042[CHD+Y] | PROC137[AR+Y]	halten · kurz · bereit · umsetzen · dieser Posten | ansetzen · dieser Posten | umsetzen · dieser Posten | von dort · dieser Posten	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: halten + umsetzen → setze dies ein → umschöpfen. Angaben: davon · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S012	f83r	B3	sor shedy	1	untere Randfigur im korbartigen Gefäß	1	PROC016[OR] | PROC078[SHED+DY]	Ansatz | absetzen · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: absetzen lassen. Angaben: Ansatz.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S013	f83r	B3	qokaiin chkain shcthey qokedy	1	untere Randfigur im korbartigen Gefäß	1	PROC038[OK+AIIN] | PROC069[K+AIN] | PROC117[CTH+E+Y] | PROC067[OK+E+DY]	ansetzen · vorgeschriebenes Maß | zuführen · Portion | bereit · kurz · dieser Posten | ansetzen · kurz · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: setze nach Maß an → dosiert zugeben → einwirken lassen. Angaben: bereit · kurz · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S014	f83r	B3	okair sheedy	1	untere Randfigur im korbartigen Gefäß	1	PROC138[OK+AIR] | PROC139[SH+EE+DY]	ansetzen · laufender Bestand | halten · länger · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: einleiten → ruhen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S015	f83r	B3	lchedy	5	untere Randfigur im korbartigen Gefäß	1	PROC120[L+CHD+DY]	führen · umsetzen · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: abführen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S016	f83r	B3	lo qokchedy	1	untere Randfigur im korbartigen Gefäß	1	PROC140[L+O] | PROC091[OK+CHD+DY]	führen · Arbeitsgang | ansetzen · umsetzen · Schluss	Bildort: untere Randfigur im korbartigen Gefäß. Arbeitsfolge: führen → einsetzen + überführen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S017	f83r	B3	qokeedy	5	unverbundener Zwischenbereich	1	PROC100[OK+EE+DY]	ansetzen · länger · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S018	f83r	B3	shedy	2	unverbundener Zwischenbereich	1	PROC078[SHED+DY]	absetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: absetzen lassen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S019	f83r	B3	qokshedy	1	unverbundener Zwischenbereich	1	PROC141[OK+SH+E+DY]	ansetzen · halten · kurz · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einwirken lassen + ruhen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S020	f83r	B3	dal lchedy	1	unverbundener Zwischenbereich	1	PROC055[AL] | PROC120[L+CHD+DY]	bezeichnete Stelle | führen · umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: hinleiten + umfüllen. Angaben: Ziel.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S021	f83r	B3	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	1	unverbundener Zwischenbereich	1	PROC038[OK+AIIN] | PROC014[CTH+Y] | PROC055[AL] | PROC019[Y] | PROC009[AIIN] | PROC142[SHED+AL] | PROC143[SH+E+CTH+Y] | PROC019[Y] | PROC055[AL] | PROC014[CTH+Y] | PROC144[AL+CHD+DY]	ansetzen · vorgeschriebenes Maß | bereit · dieser Posten | bezeichnete Stelle | dieser Posten | vorgeschriebenes Maß | absetzen · bezeichnete Stelle | halten · kurz · bereit · dieser Posten | dieser Posten | bezeichnete Stelle | bereit · dieser Posten | bezeichnete Stelle · umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: setze nach Maß an → ablagern → stehen lassen → umfüllen. Angaben: bereit · dies | Ziel | dies | Maß | dies | Ziel | bereit · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S022	f83r	B3	qotchedy	1	unverbundener Zwischenbereich	1	PROC145[OT+CHD+DY]	danach · umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: führe zur nächsten Station.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S023	f83r	B3	lchedy	5	unverbundener Zwischenbereich	1	PROC120[L+CHD+DY]	führen · umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: abführen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S024	f83r	B3	tchedy	1	unverbundener Zwischenbereich	1	PROC076[CHD+DY]	umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: führe zur nächsten Station.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S025	f83r	B3	qokchdy	3	unverbundener Zwischenbereich	1	PROC082[OK+CHD+DY]	ansetzen · umsetzen · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: einsetzen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S026	f83r	B3	cheedar chldaiin chedy qokain checthy chealror solkeedy	1	unverbundener Zwischenbereich	1	PROC146[EE+AR] | PROC147[L+AIIN] | PROC042[CHD+Y] | PROC080[OK+AIN] | PROC014[CTH+Y] | PROC148[AL+R+OR] | PROC098[SOLK+EE+DY]	länger · von dort | führen · vorgeschriebenes Maß | umsetzen · dieser Posten | ansetzen · Portion | bereit · dieser Posten | bezeichnete Stelle · abkühlen · Ansatz | auffangen · länger · Schluss	Bildort: unverbundener Zwischenbereich. Arbeitsfolge: ableiten → umschöpfen → gib einen Teil hinein → abkühlen lassen → auffangen und stehen lassen. Angaben: länger · davon | bereit · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S027	f83r	B3	qoteedy	2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC129[OT+EE+DY]	danach · länger · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: setze nur die Angaben. Angaben: danach · länger; Schritt schließen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S028	f83r	B3	qokeey qokedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC092[OK+EE+Y] | PROC067[OK+E+DY]	ansetzen · länger · dieser Posten | ansetzen · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: wirken lassen → einwirken lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S029	f83r	B3	sol cheeety qokedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC013[OL] | PROC149[EEE+T+Y] | PROC067[OK+E+DY]	fortsetzen | vollständig · eintragen · dieser Posten | ansetzen · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: eintragen → einwirken lassen. Angaben: fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S030	f83r	B3	qoky saiin schedair otchedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC008[OK+Y] | PROC009[AIIN] | PROC150[CHD+AIR] | PROC145[OT+CHD+DY]	ansetzen · dieser Posten | vorgeschriebenes Maß | umsetzen · laufender Bestand | danach · umsetzen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: setze dies ein → durchleiten → führe zur nächsten Station. Angaben: Maß.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S031	f83r	B3	qokeedy	5	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC100[OK+EE+DY]	ansetzen · länger · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: einwirken lassen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B3-S032	f83r	B3	chedain chedy qotedaiin otaiin otedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC151[CHD+AIN] | PROC042[CHD+Y] | PROC152[OT+E+AIIN] | PROC112[OT+AIIN] | PROC135[OT+E+DY]	umsetzen · Portion | umsetzen · dieser Posten | danach · kurz · vorgeschriebenes Maß | danach · vorgeschriebenes Maß | danach · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: abmessen und umsetzen → abmessen und umsetzen. Angaben: danach · kurz · Maß | danach · Maß | danach · kurz; Schritt schließen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S033	f83r	B3	ldy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC108[L+DY]	führen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: abführen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B3-S034	f83r	B3	soiiin checthy chety otaiin olsaly shedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	1	PROC097[O+IIN] | PROC014[CTH+Y] | PROC004[T+Y] | PROC112[OT+AIIN] | PROC153[OL+AL+Y] | PROC078[SHED+DY]	Arbeitsgang · Sollstufe | bereit · dieser Posten | eintragen · dieser Posten | danach · vorgeschriebenes Maß | fortsetzen · bezeichnete Stelle · dieser Posten | absetzen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B3. Arbeitsfolge: eintragen → ablagern. Angaben: Gang · Sollstufe | bereit · dies | danach · Maß | fort · Ziel · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S001	f83r	B4	qokeedy	5	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC100[OK+EE+DY]	ansetzen · länger · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: einwirken lassen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B4-S002	f83r	B4	qolchey qokeey qokedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC154[OL+Y] | PROC092[OK+EE+Y] | PROC067[OK+E+DY]	fortsetzen · dieser Posten | ansetzen · länger · dieser Posten | ansetzen · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: wirken lassen → einwirken lassen. Angaben: fort · dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S003	f83r	B4	chedy otal otchey qokeey qoky tol shedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC042[CHD+Y] | PROC131[OT+AL] | PROC065[OT+Y] | PROC092[OK+EE+Y] | PROC008[OK+Y] | PROC013[OL] | PROC078[SHED+DY]	umsetzen · dieser Posten | danach · bezeichnete Stelle | danach · dieser Posten | ansetzen · länger · dieser Posten | ansetzen · dieser Posten | fortsetzen | absetzen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: umschöpfen → anlegen → setze dies ein → absetzen lassen. Angaben: danach · Ziel | danach · dies | fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S004	f83r	B4	qokylddy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC155[OK+Y+LD+DY]	ansetzen · dieser Posten · befestigen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: einsetzen + festbinden.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S005	f83r	B4	dain chedy qokeedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC156[AIN] | PROC042[CHD+Y] | PROC100[OK+EE+DY]	Portion | umsetzen · dieser Posten | ansetzen · länger · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: abmessen und umsetzen → einwirken lassen. Angaben: Portion.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S006	f83r	B4	shckhedy	2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	2	PROC099[SH+CKH+E+DY]	halten · Durchlass · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: zurückhalten.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B4-S007	f83r	B4	shckhedy	2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	2	PROC099[SH+CKH+E+DY]	halten · Durchlass · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: zurückhalten.	REPEATED_SAME_OWNER_AND_INSTRUCTION	NO	NO
B4-S008	f83r	B4	saiin cheeky sheey qokedy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC009[AIIN] | PROC046[CHK+EE+Y] | PROC157[SH+EE+Y] | PROC067[OK+E+DY]	vorgeschriebenes Maß | wärmen · länger · dieser Posten | halten · länger · dieser Posten | ansetzen · kurz · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: warm halten → einwirken lassen → einwirken lassen. Angaben: Maß.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S009	f83r	B4	shedy	2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC078[SHED+DY]	absetzen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: absetzen lassen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B4-S010	f83r	B4	oldy	1	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	1	PROC047[OL+DY]	fortsetzen · Schluss	Bildort: sichtbares Figurenpaar mit gemeinsamem Bogen in B4. Arbeitsfolge: setze nur die Angaben. Angaben: fort; Schritt schließen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S011	f83r	B4	saiin cheky okeeol okain chdy sol lkedy	1	linke Hauptstation mit offenem Fransenlauf	1	PROC009[AIIN] | PROC083[CHK+E+Y] | PROC158[OK+EE+OL] | PROC080[OK+AIN] | PROC042[CHD+Y] | PROC013[OL] | PROC159[L+K+E+DY]	vorgeschriebenes Maß | wärmen · kurz · dieser Posten | ansetzen · länger · fortsetzen | ansetzen · Portion | umsetzen · dieser Posten | fortsetzen | führen · zuführen · kurz · Schluss	Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: warm halten → wirken lassen → gib einen Teil hinein → umschöpfen → abführen + zugeben. Angaben: Maß | fort.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S012	f83r	B4	lchedy	5	linke Hauptstation mit offenem Fransenlauf	1	PROC120[L+CHD+DY]	führen · umsetzen · Schluss	Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: abführen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B4-S013	f83r	B4	qokol shedy	1	linke Hauptstation mit offenem Fransenlauf	1	PROC160[OK+OL] | PROC078[SHED+DY]	ansetzen · fortsetzen | absetzen · Schluss	Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: weiter beschicken → absetzen lassen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S014	f83r	B4	or chey qockhey dairydy	1	linke Hauptstation mit offenem Fransenlauf	1	PROC016[OR] | PROC019[Y] | PROC161[O+CKH+E+Y] | PROC162[AIR+Y+DY]	Ansatz | dieser Posten | Arbeitsgang · Durchlass · kurz · dieser Posten | laufender Bestand · dieser Posten · Schluss	Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: setze nur die Angaben. Angaben: Ansatz | dies | Gang · Durchlass · kurz · dies | Lauf · dies; Schritt schließen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S015	f83r	B4	qokain shey kain chckhal solkey lchedy	1	linke Hauptstation mit offenem Fransenlauf	1	PROC080[OK+AIN] | PROC031[SH+EE+Y] | PROC069[K+AIN] | PROC163[CH+CKH+AL] | PROC164[SOLK+E+Y] | PROC120[L+CHD+DY]	ansetzen · Portion | halten · länger · dieser Posten | zuführen · Portion | abziehen · Durchlass · bezeichnete Stelle | auffangen · kurz · dieser Posten | führen · umsetzen · Schluss	Bildort: linke Hauptstation mit offenem Fransenlauf. Arbeitsfolge: gib einen Teil hinein → stehen lassen → dosiert zugeben → ablaufen lassen → auffangen → abführen + überführen.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B4-S016	f83r	B4	qolkain dal skar shedy	1	rechte Hauptstation mit S-Lauf und Mehrarmknoten	1	PROC070[OL+K+AIN] | PROC055[AL] | PROC165[K+AR] | PROC078[SHED+DY]	fortsetzen · zuführen · Portion | bezeichnete Stelle | zuführen · von dort | absetzen · Schluss	Bildort: rechte Hauptstation mit S-Lauf und Mehrarmknoten. Arbeitsfolge: dosiert zugeben → zuführen → absetzen lassen. Angaben: Ziel.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B5-S001	f83r	B5	otchdy	1	linke Fransenstation im B5-Nachtrag	1	PROC166[OT+CHD+DY]	danach · umsetzen · Schluss	Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: führe zur nächsten Station.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B5-S002	f83r	B5	qokchdy	3	linke Fransenstation im B5-Nachtrag	1	PROC082[OK+CHD+DY]	ansetzen · umsetzen · Schluss	Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: einsetzen + überführen.	IMAGE_OWNER_RESOLVES_OCCURRENCE	NO	NO
B5-S003	f83r	B5	shedal dal cheol lol chdal aiin sol daiiin chedy	1	linke Fransenstation im B5-Nachtrag	1	PROC142[SHED+AL] | PROC055[AL] | PROC013[OL] | PROC167[L+OL] | PROC168[CHD+AL] | PROC009[AIIN] | PROC013[OL] | PROC169[DA+IIN] | PROC042[CHD+Y]	absetzen · bezeichnete Stelle | bezeichnete Stelle | fortsetzen | führen · fortsetzen | umsetzen · bezeichnete Stelle | vorgeschriebenes Maß | fortsetzen | zweite · Sollstufe | umsetzen · dieser Posten	Bildort: linke Fransenstation im B5-Nachtrag. Arbeitsfolge: ablagern → hinleiten → umfüllen → abmessen und umsetzen. Angaben: Ziel | fort | Maß | fort | zweite · Sollstufe.	SURFACE_SEQUENCE_UNIQUE	NO	NO
B6-S001	f83r	B6	solkeey qekey raly ol daiin ol dain chey ldalor	1	rechter S-Lauf im B6-Nachtrag	1	PROC170[SOLK+EE+Y] | PROC171[E+K+E+Y] | PROC172[R+AL+Y] | PROC013[OL] | PROC009[AIIN] | PROC013[OL] | PROC156[AIN] | PROC019[Y] | PROC173[L+AL+OR]	auffangen · länger · dieser Posten | kurz · zuführen · kurz · dieser Posten | abkühlen · bezeichnete Stelle · dieser Posten | fortsetzen | vorgeschriebenes Maß | fortsetzen | Portion | dieser Posten | führen · bezeichnete Stelle · Ansatz	Bildort: rechter S-Lauf im B6-Nachtrag. Arbeitsfolge: auffangen → zugeben → abkühlen lassen → hinleiten. Angaben: fort | Maß | fort | Portion | dies.	SURFACE_SEQUENCE_UNIQUE	NO	NO
