teaching_unit_id	sign	pass1010_value_de	pass1012_class	semantic_kind	single_core_value_de	allowed_contextual_realization_de	forbidden_rescue_de	root_mentions	event_occurrences	statement_count	page_count	register_count	pages	registers	surface_examples	forward_rule_de
R-LOCAL_CHAR_I	LOCAL_CHAR_I	UNTERSTUFE	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	UNTERSTUFENMARKE	lokale untere oder zweite Stufe markieren	kein portables unten oder zweiter Arbeitsgang	7	7	6	6	4	f10r|f67r2|f68r1|f72r|f83r|f89r	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA	soiiin|kaiiin|odaiiin|okaiiin|okaipchy|doigom	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-OS	OS	DAZU	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	ZUSATZBEZUG	lokalen Bezug zum laufenden Besitzer herstellen	kein Gefäß und kein portables dazu	6	6	6	4	2	f10r|f55v|f67r2|f72r	CELESTIAL|HERBAL	os|oes	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-D_LABEL	D_LABEL	RAND	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	RANDADRESSE	lokalen Rand- oder Außenplatz markieren	kein portables Randwort	1	1	1	1	1	f55v	HERBAL	dodyd	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-S_LABEL	S_LABEL	RAHMEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	RAHMENZEICHEN	lokalen Bild- oder Diagrammrahmen anzeigen	kein portables Rahmenwort	0	0	0	0	0				Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-LOCAL_CHAR_B	LOCAL_CHAR_B	PAAR	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	PAARMARKE	lokales Paar oder Doppelobjekt anzeigen	kein portables Paar und keine Menge Zwei	2	2	2	2	2	f83r|f88r	BIOLOGICAL|PHARMA	cheeb	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-M_LOCAL	M_LOCAL	MITTE	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	MITTENADRESSE	lokalen Mittelpunkt oder Mittelplatz markieren	kein portables Mittewort	7	7	6	5	3	f10r|f17r|f77r|f88v|f89r	BIOLOGICAL|HERBAL|PHARMA	kom|som|mol|chotom|lom|daimd|doigom	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-Z_ADDR	Z_ADDR	AUSSEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	AUSSENADRESSE	lokalen Außenplatz markieren	kein portables außen	0	0	0	0	0				Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-LD	LD	BEFESTIGEN	SPECIALIST_MEANING_CANDIDATE	SPECIALIST_OPERATION_CANDIDATE	BEFESTIGEN	einen Einsatz oder Posten an Ort halten	keine Binde, Auflage oder Körperanwendung ohne Bildbesitzer	1	1	1	1	1	f83r	BIOLOGICAL	qokylddy	Neues Kompositum wörtlich mit diesem Kern lesen; bei Konflikt die Gesamtkarte aussondern, nicht den Kern ändern.
R-LOCAL_CHAR_J	LOCAL_CHAR_J	VERBINDEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	VERBINDUNGSMARKE	lokal gezeichnete Zusammengehörigkeit anzeigen	kein portables verbinden und keine Richtung	1	1	1	1	1	f88r	PHARMA	cheojam	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-LOCAL_CHAR_Z	LOCAL_CHAR_Z	ZWISCHEN	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	ZWISCHENMARKE	lokalen Zwischenplatz markieren	kein portables zwischen	0	0	0	0	0				Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
R-RESUME_CARD	RESUME_CARD	WIEDER	LOCAL_ADDRESS_OR_MEMORIZED_SIGN	LOCAL_SIGN_OR_ADDRESS	WIEDERAUFNAHMEKARTE	lokalen Besitzer oder Gang erneut aufnehmen	kein universelles wieder und keine Wiederholungszahl	1	1	1	1	1	f56r	HERBAL	schol	Nur als Steuer- oder Lokalzeichen verwenden; daraus kein neues Inhaltswort erzeugen.
