target_surface	target_recipe	side	anchor_recipe	extension_recipe	extension_atom_count	interface_pair	old_interface_event_count	old_interface_recipe_count	old_interface_surfaces	deepest_joint_extension_atoms	deepest_joint_sequence	deepest_joint_old_event_count	full_arm_seen_with_anchor	aligned_visible_affix	visible_channel_class	visible_channel_observation_count	visible_channel_recipe_variants	guard
pchof	P+CH+O+LOCAL_CHAR_F	LEFT	O+LOCAL_CHAR_F	P+CH	2	CH>O	64	43	chcfhdy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|chod|chodaiin|chodain|chodl|chody|choeea|choer|chop|chopchal|chopchedy|chos|chosals|dchody|fchodaiin|kchoar|kchod|lcho|okcho|okchoal|okchom|okchoy|otchos|otchoshor|pchocthy|pchodol|polchoy|shopcho|tcho|tchodar|tchodol|tchody|ycho|ychocphy|ychod|ydchos|ykcho|ytalchos	0	NONE	0	NO	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
pofochey	P+O+LOCAL_CHAR_F+O+CH+E+Y	LEFT	O+CH+E+Y	P+O+LOCAL_CHAR_F	3	LOCAL_CHAR_F>O	2	2	cfhoaiin|foar	0	NONE	0	NO	pof	SINGLETON_VISIBLE_CHANNEL	1	P+O+LOCAL_CHAR_F	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
psheody	P+SH+E+O+D_ADDR+Y	LEFT	SH+E+O+D_ADDR+Y	P	1	P>SH	13	10	chlchpsheey|chpsheedy|opshdy|opshedy|opshey|opshody|pshar|pshedar|pshedy|pshol|qofshy|qopshdy	0	NONE	0	NO	p	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	P	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
pydaiin	P+Y+D_ADDR+AIIN	LEFT	Y+D_ADDR+AIIN	P	1	P>Y	27	19	chcphdy|chcphy|cheocphy|chepy|cphy|dpchy|dypchy|kaipy|kolpy|opchey|opchy|opydg|opydy|opykey|pchey|pcheykeeor|pydeey|qopchy|qopy|shecphy|shepchy|ychocphy	0	NONE	0	NO	p	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	P	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qoekedy	CARRIER_Q+O+E+K+E+DY	LEFT	K+E+DY	CARRIER_Q+O+E	3	E>K	24	20	eky|oekain|oekshy|ofalsheky|qekaiin|qekeey|qekey|qoekeol|qoekeor|qoekol|shedkedy|shek|shekaiin|shekal|shekoiin|shekor|shekshey|sheky|shekydy|yekees	0	NONE	0	NO	qoe	SINGLETON_VISIBLE_CHANNEL	1	CARRIER_Q+O+E	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qokshd	OK+SH+D_ADDR	RIGHT	OK+SH	D_ADDR	1	SH>D_ADDR	14	9	ofshdy|olkshdy|opshdy|otshdy|pdalshdy|qofshy|qopshdy|rshdy|shdy|tshdal	0	NONE	0	NO	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qopaiin	CARRIER_Q+O+P+AIIN	RIGHT	CARRIER_Q+O+P	AIIN	1	P>AIIN	1	1	oepaiin	0	NONE	0	NO	aiin	REPEATED_INVARIANT_VISIBLE_CHANNEL	2	AIIN	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qotchoiin	OT+CH+O+IIN	LEFT	O+IIN	OT+CH	2	CH>O	64	43	chcfhdy|chocfhey|chocfhy|chocthar|choctheeey|chocthey|chocthy|chod|chodaiin|chodain|chodl|chody|choeea|choer|chop|chopchal|chopchedy|chos|chosals|dchody|fchodaiin|kchoar|kchod|lcho|okcho|okchoal|okchom|okchoy|otchos|otchoshor|pchocthy|pchodol|polchoy|shopcho|tcho|tchodar|tchodol|tchody|ycho|ychocphy|ychod|ydchos|ykcho|ytalchos	0	NONE	0	NO	qotch	SINGLETON_VISIBLE_CHANNEL	1	OT+CH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qoteeod	OT+EE+O+D_ADDR	RIGHT	OT+EE+O	D_ADDR	1	O>D_ADDR	114	73	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	1	OT+EE+O+D_ADDR	1	YES	NONE	NO_ALIGNED_VISIBLE_CHANNEL	0	NONE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
qoteoly	OT+E+OL+Y	RIGHT	OT+E+OL	Y	1	OL>Y	46	11	aroly|chkchykoly|choldy|choly|dsholyd|kolches|koly|loly|olchey|oly|qoctholy|qolchey|qolkeeoly|qoly|qopcholy|sheoly|ydoly|ykeeoly|ykoly	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
rotaiin	R+OT+AIIN	LEFT	OT+AIIN	R	1	R>OT	0	0	NONE	0	NONE	0	NO	r	SINGLETON_VISIBLE_CHANNEL	1	R	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
saiis	S+A_ADDR+IIN+S	RIGHT	S+A_ADDR	IIN+S	2	A_ADDR>IIN	3	3	okaikaly|poldarais|saiisol	2	S+A_ADDR+IIN+S	1	YES	iis	SINGLETON_VISIBLE_CHANNEL	1	IIN+S	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shckhar	SH+CH+K+AR	LEFT	CH+K+AR	SH	1	SH>CH	28	9	lshcthy|roshckhy|salshcthdy|shckhedy|shckhey|shckhy|shcthaiin|shcthey|shcthy	0	NONE	0	NO	sh	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	SH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shckheody	SH+CH+K+E+O+DY	LEFT	E+O	SH+CH+K	3	K>E	91	47	chckheed|chckhey|chcthykedy|checkhey|chekeol|cheky|chkedy|chkeor|chykey|ckhey|dcheokedy|dolchsyckheol|eckhear|kedy|keeokechy|keishy|keodal|keol|keor|kesd|key|lcheckhedy|lkedey|lkedy|lkeo|lkeopol|lkey|ockhey|olkedy|olkeol|olkey|olsheol|opykey|qekey|qockhedy|qockhey|qoekeol|qoekeor|sckhey|shckhedy|shckhey|sheckhedy|sheckhey|shedkedy|solkey|ykeday|ykedy|ykeo|ykeodain|ykeody|ykeolol|ykeor|ykeshey	1	K+E+O	6	NO	shckh	SINGLETON_VISIBLE_CHANNEL	1	SH+CH+K	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shckheody	SH+CH+K+E+O+DY	RIGHT	E+O	DY	1	O>DY	46	26	cheeckhody|ckhody|cpheody|dchody|dody|dodyd|dshody|fshody|ody|okalody|olcheody|olcheol|olcheor|olody|opshody|oteeody|otody|qody|qokody|qoteeody|qoteody|qotody|sheealody|shody|tchody|teeody|teody|ykeody|yody|yteody|ytody	1	E+O+DY	8	YES	dy	REPEATED_AMBIGUOUS_VISIBLE_CHANNEL	6	DY|D_ADDR+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shekeefy	SH+E+K+EE+LOCAL_CHAR_F+Y	RIGHT	SH+E+K	EE+LOCAL_CHAR_F+Y	3	K>EE	70	28	cheekaiin|cheeky|chekeedy|chkeeal|chkeedy|chkeey|cholkeedy|keedy|keeo|keeod|keeodaiin|keeokechy|keey|keeyfar|lkeed|lkeedy|lkeey|olkeechy|olkeedy|olkeey|oteeykeey|oteokeey|pcheykeeor|qekeey|qeykeey|qolkeedy|qolkeeoly|solkeedy|solkeey|yekees|ykeedy|ykeeor|ykeesan|ykeey	0	NONE	0	NO	eefy	SINGLETON_VISIBLE_CHANNEL	1	EE+LOCAL_CHAR_F+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
sheod	SH+E+O+D_ADDR	RIGHT	SH+E+O	D_ADDR	1	O>D_ADDR	114	73	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	1	SH+E+O+D_ADDR	7	YES	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shofol	SH+O+LOCAL_CHAR_F+OL	RIGHT	SH+O	LOCAL_CHAR_F+OL	2	O>LOCAL_CHAR_F	11	11	ofal|ofalsheky|ofar|ofchdy|ofshdy|ofydy|qof|qofaiin|qofair|qofchdaiin|qofchedy	0	NONE	0	NO	fol	SINGLETON_VISIBLE_CHANNEL	1	LOCAL_CHAR_F+OL	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shokaiir	SH+OK+IIN+R	LEFT	OK+IIN+R	SH	1	SH>OK	6	6	shok|shokaiin|shokain|shokal|shokcheey|shokchy	0	NONE	0	NO	sh	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	SH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	RIGHT	SH+OL	LOCAL_CHAR_F+OR+D_ADDR+AIIN	4	OL>LOCAL_CHAR_F	1	1	sholfchor	1	SH+OL+LOCAL_CHAR_F	1	NO	fordaiin	SINGLETON_VISIBLE_CHANNEL	1	LOCAL_CHAR_F+OR+D_ADDR+AIIN	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shytchy	SH+Y+T+CH+Y	LEFT	Y+T	SH	1	SH>Y	16	14	alshy|ashyteed|choldshy|keishy|kshy|oekshy|polshy|posalshy|qokshy|shchey|shfydaiin|shoshy|sorshy|ydaraishy	1	SH+Y+T	1	YES	sh	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	SH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
shytchy	SH+Y+T+CH+Y	RIGHT	Y+T	CH+Y	2	T>CH	18	13	atchor|chetchy|chtchor|otytchol|qetchy|tchar|tcheol|tchey|tcho|tchodar|tchodol|tchody|tchor	1	Y+T+CH	1	NO	chy	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	CH+Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
soaiin	S+O+AIIN	LEFT	O+AIIN	S	1	S>O	13	9	socthody|sodar|soeey|soiiin|soiin|soin|som|sosho|soy|tochso	0	NONE	0	NO	s	SINGLETON_VISIBLE_CHANNEL	1	S	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
tcheo	T+CH+E+O	LEFT	CH+E+O	T	1	T>CH	18	13	atchor|chetchy|chtchor|otytchol|qetchy|tchar|tcheol|tchey|tcho|tchodar|tchodol|tchody|tchor	1	T+CH+E+O	2	YES	t	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	T	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
tosheo	T+O+SH+E+O	LEFT	O+SH+E+O	T	1	T>O	18	15	chtos|ctho|cthoary|cthoor|octhody|socthody|toairy|tochol|tochso|todaiin|tos|yto|ytody|ytoeopchey|ytoiin	0	NONE	0	NO	t	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	T	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
tshokeody	T+SH+OK+E+O+D_ADDR+Y	LEFT	OK+E+O+D_ADDR+Y	T+SH	2	SH>OK	6	6	shok|shokaiin|shokain|shokal|shokcheey|shokchy	0	NONE	0	NO	tsh	SINGLETON_VISIBLE_CHANNEL	1	T+SH	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
tydy	T+Y+DY	LEFT	Y+DY	T	1	T>Y	79	28	chcthy|chcthykedy|chdyty|checthy|cheeety|cheety|chety|chetyry|chocthy|chty|cthy|cthyd|ety|etyd|lshcthy|lshety|octhyl|oltchy|pchocthy|qocthy|qodcthy|schety|shcthy|shecthy|sheety|sheycthy|shocthy|shoety|shoyty|ssholshecthy|tchy|tshy|ytchy|ytshy|yty	0	NONE	0	NO	t	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	T	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
yches	Y+CH+E+S	LEFT	CH+E+S	Y	1	Y>CH	14	14	dolchsyckheol|dychear|sheycthy|ychair|ychekch|ychekchy|ycheo|ycheody|ycheol|ycheor|ycho|ychocphy|ychod|ykychy	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ykeedar	Y+K+EE+D_ADDR+AR	LEFT	D_ADDR+AR	Y+K+EE	3	EE>D_ADDR	42	18	ashyteed|cheedy|dcheedy|kcheedchdy|lcheedy|lkeed|lkeedy|lsheedy|lteedy|okeed|olsheed|poleedaran|qoeedy|qokeed|qolkeedy|qosheedy|rsheedy|sheed|solkeedy|ykeedy	1	EE+D_ADDR+AR	1	NO	ykee	SINGLETON_VISIBLE_CHANNEL	1	Y+K+EE	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ykesho	Y+K+E+SH+O	LEFT	SH+O	Y+K+E	3	E>SH	2	2	keishy|ykeshey	0	NONE	0	NO	yke	SINGLETON_VISIBLE_CHANNEL	1	Y+K+E	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
yshedair	Y+SH+E+D_ADDR+AIR	LEFT	SH+E+D_ADDR	Y	1	Y>SH	11	6	ycheey|yshedy|ysheey|ysheod|ysheor|yshey|yshor	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
yshedair	Y+SH+E+D_ADDR+AIR	RIGHT	SH+E+D_ADDR	AIR	1	D_ADDR>AIR	16	6	dair|dairam|dairchey|dairodain|oldair|qolair|ydair	0	NONE	0	NO	air	SINGLETON_VISIBLE_CHANNEL	1	AIR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ysheeod	Y+SH+EE+O+D_ADDR	LEFT	SH+EE+O	Y	1	Y>SH	11	6	ycheey|yshedy|ysheey|ysheod|ysheor|yshey|yshor	0	NONE	0	NO	y	REPEATED_INVARIANT_VISIBLE_CHANNEL	3	Y	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
ysheeod	Y+SH+EE+O+D_ADDR	RIGHT	SH+EE+O	D_ADDR	1	O>D_ADDR	114	73	cheeodam|cheeody|chekody|cheodain|chod|chodaiin|chodain|chodl|chody|cphodaiils|cphodal|ctheod|dairodain|darod|dod|fchodaiin|kchod|keeod|keeodaiin|keodar|kod|kodaiin|kodshey|lod|octhody|odaiim|odaiin|odain|odar|odchees|odl|odor|ods|okeeody|okeodaly|okeody|okodaiin|olsheody|opodchol|otcheodal|oteeodaiin|oteodar|otolodal|pchodol|podar|qodam|qodar|qodched|qodchy|qodcthy|qodeedy|qodom|qodor|qokeeod|qokeeody|qokeody|qokeoefy|qokod|sheody|sheshdy|shod|shodain|shodan|shodary|shorodo|socthody|sotodan|sqokeodaiin|talody|tchodar|tchodol|teodal|tshodeesy|ycheody|ychod|ykeodain|yokeody|ypod|ysheod	0	NONE	0	NO	d	REPEATED_INVARIANT_VISIBLE_CHANNEL	5	D_ADDR	DIRECTIONAL_EXTENSION_FROM_EXACT_OLD_COMPLETE_RECIPE_ANCHOR
