target_ordinal	surface	final_recipe	anchor_recipe	anchor_start_atom	anchor_atom_count	extension_direction	left_extension_recipe	right_extension_recipe	old_anchor_event_count	old_anchor_surface_count	old_anchor_surfaces	interface_count	old_supported_interface_count	all_interfaces_old	aligned_visible_match_count	any_visible_match_count	best_visible_stem_surface	best_visible_stem_event_count	best_visible_stem_char_start	best_visible_stem_direction	selected	guard
128	tcheo	T+CH+E+O	CH+E+O	2	3	LEFT_EXTENSION	T	NONE	6	1	cheo	1	1	YES	1	1	cheo	6	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
133	tosheo	T+O+SH+E+O	O+SH+E+O	2	4	LEFT_EXTENSION	T	NONE	1	1	osheo	1	1	YES	1	1	osheo	1	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
134	tshokeody	T+SH+OK+E+O+D_ADDR+Y	OK+E+O+D_ADDR+Y	3	5	LEFT_EXTENSION	T+SH	NONE	12	3	okeody|qokeody|qokeoefy	1	1	YES	1	1	okeody	3	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
135	tydy	T+Y+DY	T+Y	1	2	RIGHT_EXTENSION	NONE	DY	3	3	chety|tchy|tshy	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
135	tydy	T+Y+DY	Y+DY	2	2	LEFT_EXTENSION	T	NONE	1	1	ydy	1	1	YES	1	1	ydy	1	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
136	yches	Y+CH+E+S	CH+E+S	2	3	LEFT_EXTENSION	Y	NONE	6	1	ches	1	1	YES	1	1	ches	6	2	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
137	ykeedar	Y+K+EE+D_ADDR+AR	Y+K	1	2	RIGHT_EXTENSION	NONE	EE+D_ADDR+AR	1	1	shyk	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
137	ykeedar	Y+K+EE+D_ADDR+AR	D_ADDR+AR	4	2	LEFT_EXTENSION	Y+K+EE	NONE	47	1	dar	1	1	YES	1	1	dar	47	5	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
138	ykesho	Y+K+E+SH+O	Y+K	1	2	RIGHT_EXTENSION	NONE	E+SH+O	1	1	shyk	1	1	YES	0	0	NONE	0	0	NONE	NO	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
138	ykesho	Y+K+E+SH+O	SH+O	4	2	LEFT_EXTENSION	Y+K+E	NONE	10	1	sho	1	1	YES	1	1	sho	10	4	LEFT_EXTENSION	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
142	yshedair	Y+SH+E+D_ADDR+AIR	SH+E+D_ADDR	2	3	BOTH_SIDES	Y	AIR	2	1	shed	2	2	YES	1	1	shed	2	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
143	ysheeod	Y+SH+EE+O+D_ADDR	SH+EE+O	2	3	BOTH_SIDES	Y	D_ADDR	1	1	sheeo	2	2	YES	1	1	sheeo	1	2	BOTH_SIDES	YES	EXACT_LONGEST_OLD_COMPLETE_RECIPE_ANCHOR__NO_FUZZY_MATCH
