selector_cell_ordinal	selector_cell_id	recipe	portable_route	selector_fields	selector_key	effective_action_signatures	effective_argument_signatures	owner_free_microphrase_de	event_count	event_ids	physical_page_count	physical_pages	register_count	registers	cohort_count	cohorts	resolution_modes	statement_positions	source_layers	cross_page_status	guard
52	GDT564-C0052	K+E+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=OR	K	OR	Weiter: gib die Einheit; auf Grad I.	1	G407-E3806	1	f88r	1	PHARMA	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
53	GDT564-C0053	K+E+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	K	Y	Weiter: gib den Posten; auf Grad I.	2	G407-E0661 || G407-E0900	2	f24v || f56r	1	HERBAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
54	GDT564-C0054	K+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIN	K	AIN	Gib den Anteil; auf Grad II; abschließen.	2	G407-E1750 || G407-E1780	1	f75r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
55	GDT564-C0055	K+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	K	Y	Gib den Posten; auf Grad II; abschließen.	5	G407-E1535 || G407-E1787 || G407-E2338 || G407-E2590 || G407-E2926	4	f75r || f76r || f77r || f81v	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
56	GDT564-C0056	K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	K	AIIN	Weiter: gib den Wert.	1	G407-E1162	1	f72r	1	CELESTIAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
57	GDT564-C0057	K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	K	Y	Weiter: gib den Posten.	8	G407-E0113 || G407-E0322 || G407-E0403 || G407-E0840 || G407-E0849 || G407-E1578 || G515-E0087 || G515-E0337	7	f11r || f13r || f1r || f20v || f56r || f66r || f75r	3	BIOLOGICAL || HERBAL || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
58	GDT564-C0058	K+OL+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	K	AIIN	Weiter: gib den Wert; abschließen.	1	G407-E4260	1	f89r	1	PHARMA	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
59	GDT564-C0059	K+OL+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	K	Y	Weiter: gib den Posten; abschließen.	1	G407-E1774	1	f75r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
60	GDT564-C0060	L+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	CHD	AIIN	Bearbeite den Wert; über die Verbindung; abschließen.	1	G407-E3283	1	f82r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
61	GDT564-C0061	L+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIN	CHD	AIN	Bearbeite den Anteil; über die Verbindung; abschließen.	1	G407-E2289	1	f76r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
62	GDT564-C0062	L+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=NONE	CHD	NONE	Bearbeite; über die Verbindung; abschließen.	1	G515-E0566	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	VISIBLE_ACTION_OBJECTLESS_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
63	GDT564-C0063	L+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	CHD	Y	Bearbeite den Posten; über die Verbindung; abschließen.	32	G407-E1512 || G407-E1644 || G407-E1972 || G407-E2013 || G407-E2024 || G407-E2062 || G407-E2069 || G407-E2223 || G407-E2242 || G407-E2455 || G407-E2512 || G407-E2523 || G407-E2547 || G407-E2626 || G407-E2916 || G407-E3127 || G407-E3293 || G407-E3364 || G407-E3382 || G407-E3414 || G407-E3416 || G407-E3434 || G407-E3479 || G407-E3509 || G407-E3557 || G407-E3583 || G407-E3596 || G407-E3630 || G407-E3713 || G407-E3722 || G407-E3738 || G407-E3753	7	f75r || f76r || f77r || f81r || f81v || f82r || f83r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
64	GDT564-C0064	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CHD | ARGUMENT=AIIN	CHD	AIIN	Bearbeite den Wert; über die Verbindung; abschließen.	1	G407-E3658	1	f83r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
65	GDT564-C0065	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CHD | ARGUMENT=Y	CHD	Y	Bearbeite den Posten; über die Verbindung; abschließen.	1	G515-E0203	1	f31r	1	HERBAL	1	CURRENT4_GDT539	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
66	GDT564-C0066	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=K | ARGUMENT=Y	K	Y	Gib den Posten; über die Verbindung; abschließen.	1	G407-E3202	1	f82r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
67	GDT564-C0067	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=AIN	OK	AIN	Setze den Anteil; über die Verbindung; abschließen.	1	G407-E4453	1	f95v	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
68	GDT564-C0068	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=Y	OK	Y	Setze den Posten; über die Verbindung; abschließen.	3	G407-E1768 || G407-E3710 || G515-E0561	3	f66r || f75r || f83r	2	BIOLOGICAL || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
69	GDT564-C0069	L+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=SH | ARGUMENT=AIN	SH	AIN	Halte den Anteil; über die Verbindung; abschließen.	1	G407-E1720	1	f75r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
70	GDT564-C0070	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CH | ARGUMENT=Y	CH	Y	Weiter: nimm den Posten; über die Verbindung.	2	G407-E2257 || G407-E3774	2	f76r || f83r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
71	GDT564-C0071	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CHD | ARGUMENT=Y	CHD	Y	Weiter: bearbeite den Posten; über die Verbindung.	2	G407-E1762 || G407-E2456	2	f75r || f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
72	GDT564-C0072	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=K | ARGUMENT=Y	K	Y	Weiter: gib den Posten; über die Verbindung.	1	G407-E2572	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
73	GDT564-C0073	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=AIIN	OK	AIIN	Weiter: setze den Wert; über die Verbindung.	1	G407-E2464	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
74	GDT564-C0074	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=Y	OK	Y	Weiter: setze den Posten; über die Verbindung.	2	G407-E1483 || G407-E2473	2	f75r || f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL || STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
75	GDT564-C0075	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=SH | ARGUMENT=Y	SH	Y	Weiter: halte den Posten; über die Verbindung.	2	G407-E2151 || G407-E2845	2	f76r || f81r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
76	GDT564-C0076	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=T | ARGUMENT=AIIN	T	AIIN	Weiter: stelle den Wert ein; über die Verbindung.	1	G407-E0555	1	f18r	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
77	GDT564-C0077	L+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=T | ARGUMENT=Y	T	Y	Weiter: stelle den Posten ein; über die Verbindung.	1	G407-E1139	1	f72r	1	CELESTIAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
78	GDT564-C0078	L+OL+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=CHD | ARGUMENT=Y	CHD	Y	Weiter: bearbeite den Posten; über die Verbindung; nochmals weiterführen.	1	G407-E2345	1	f76r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
79	GDT564-C0079	L+OL+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=K | ARGUMENT=Y	K	Y	Weiter: gib den Posten; über die Verbindung; nochmals weiterführen.	1	G407-E3262	1	f82r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
80	GDT564-C0080	L+OL+Y	WRITTEN_ARGUMENT__SELECT_ACTION	effective_action_roots	ACTION=K	K	Y	Weiter: gib den Posten; über die Verbindung.	1	G407-E2401	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INITIAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
81	GDT564-C0081	L+OL+Y	WRITTEN_ARGUMENT__SELECT_ACTION	effective_action_roots	ACTION=OK	OK	Y	Weiter: setze den Posten; über die Verbindung.	1	G407-E2790	1	f81r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
82	GDT564-C0082	L+OL+Y	WRITTEN_ARGUMENT__SELECT_ACTION	effective_action_roots	ACTION=SH	SH	Y	Weiter: halte den Posten; über die Verbindung.	1	G407-E2683	1	f77r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
83	GDT564-C0083	L+SH+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	SH	AIIN	Halte den Wert; über die Verbindung; auf Grad I; abschließen.	1	G515-E0565	1	f66r	1	SOURCE_SECTION_T	1	CURRENT4_GDT539	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
84	GDT564-C0084	L+SH+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	SH	Y	Halte den Posten; über die Verbindung; auf Grad I; abschließen.	8	G407-E1492 || G407-E2007 || G407-E3072 || G407-E3115 || G407-E3116 || G407-E3428 || G407-E3734 || G515-E0508	6	f66r || f75r || f76r || f81v || f82r || f83r	2	BIOLOGICAL || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
85	GDT564-C0085	L+T+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIN	T	AIN	Stelle den Anteil ein; über die Verbindung; auf Grad I; abschließen.	1	G407-E1729	1	f75r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
86	GDT564-C0086	L+T+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	T	Y	Stelle den Posten ein; über die Verbindung; auf Grad I; abschließen.	1	G407-E3111	1	f81v	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
87	GDT564-C0087	O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=K | ARGUMENT=Y	K	Y	Gib den Posten; zur Ausführung; abschließen.	1	G407-E0725	1	f55v	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
88	GDT564-C0088	O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=AIN	OK	AIN	Setze den Anteil; zur Ausführung; abschließen.	1	G407-E0720	1	f55v	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
89	GDT564-C0089	O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=P | ARGUMENT=Y	P	Y	Setze den Posten ein; zur Ausführung; abschließen.	1	G407-E2862	1	f81r	1	BIOLOGICAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
90	GDT564-C0090	O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=R | ARGUMENT=OR	R	OR	Markiere die Einheit; zur Ausführung; abschließen.	1	G407-E0253	1	f10r	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
91	GDT564-C0091	O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=AIIN	S	AIIN	Wähle den Wert; zur Ausführung; abschließen.	1	G407-E4565	1	f95v	1	HERBAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
92	GDT564-C0092	O+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=OK | ARGUMENT=AIIN	OK	AIIN	Weiter: setze den Wert; zur Ausführung.	1	G407-E0196	1	f1r	1	SOURCE_SECTION_T	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
93	GDT564-C0093	O+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION=S | ARGUMENT=AIIN	S	AIIN	Weiter: wähle den Wert; zur Ausführung.	1	G407-E0943	1	f67r2	1	CELESTIAL	1	OLD26_GDT407	INHERITED_ACTION_FULL_OPERATION	STATEMENT_INTERNAL	GDT562_ACTIONLESS_STATE_READER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
94	GDT564-C0094	O+P+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=NONE	P|CHD	NONE	Setze ein und bearbeite; zur Ausführung; abschließen.	2	G407-E2203 || G515-E0302	2	f66r || f76r	2	BIOLOGICAL || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	VISIBLE_ACTION_OBJECTLESS_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
95	GDT564-C0095	O+P+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	P|CHD	Y	Setze den Posten ein und bearbeite den Posten; zur Ausführung; abschließen.	1	G407-E2717	1	f81r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
96	GDT564-C0096	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	OK|CHD	AIIN	Setze den Wert und bearbeite den Wert; abschließen.	1	G407-E4532	1	f95v	1	HERBAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
97	GDT564-C0097	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=OR	OK|CHD	OR	Setze die Einheit und bearbeite die Einheit; abschließen.	1	G407-E1561	1	f75r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT	GDT563_VISIBLE_ACTION_RENDERER	ONE_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
98	GDT564-C0098	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=Y	OK|CHD	Y	Setze den Posten und bearbeite den Posten; abschließen.	7	G407-E1494 || G407-E1880 || G407-E3085 || G407-E3140 || G407-E3531 || G407-E3598 || G407-E3770	4	f75r || f76r || f81v || f83r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
99	GDT564-C0099	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIIN	OK	AIIN	Setze den Wert; auf Grad I; abschließen.	8	G407-E2467 || G407-E2505 || G407-E2907 || G407-E2950 || G407-E3053 || G407-E3055 || G407-E3284 || G407-E4531	5	f77r || f81r || f81v || f82r || f95v	2	BIOLOGICAL || HERBAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
100	GDT564-C0100	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=AIN	OK	AIN	Setze den Anteil; auf Grad I; abschließen.	5	G407-E1804 || G407-E1805 || G407-E2226 || G407-E2286 || G407-E2288	2	f75r || f76r	1	BIOLOGICAL	1	OLD26_GDT407	VISIBLE_ACTION_FULL_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
101	GDT564-C0101	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT=NONE	OK	NONE	Setze; auf Grad I; abschließen.	8	G407-E1870 || G407-E2035 || G407-E4191 || G515-E0205 || G515-E0217 || G515-E0218 || G515-E0219 || G515-E0316	4	f31r || f66r || f76r || f89r	4	BIOLOGICAL || HERBAL || PHARMA || SOURCE_SECTION_T	2	CURRENT4_GDT539 || OLD26_GDT407	VISIBLE_ACTION_OBJECTLESS_OPERATION	SINGLETON_STATEMENT || STATEMENT_FINAL	GDT563_VISIBLE_ACTION_RENDERER	CROSS_PAGE	OBSERVED_CONTEXT_CELL__PHRASE_UNIQUE_WITHIN_EXACT_RECIPE
