recipe_ordinal	recipe	event_count	distinct_microphrase_count	recurrence_status	variability_status	written_action_status	written_argument_status	portable_route	portable_selector_fields	empirical_minimal_equivalence_class	canonical_empirical_selector	selector_cell_count	distinct_effective_action_count	distinct_effective_argument_count	effective_action_signatures	effective_argument_signatures	sample_microphrase_de	guard
83	E+OL	4	4	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	4	3	2	OK || S || SH	AIIN || Y	Weiter: halte den Posten; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
84	E+S+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Wähle den Posten; auf Grad I; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
85	EE+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Wähle den Posten; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
86	EEE+DY	2	2	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	EITHER_ACTION_OR_ARGUMENT	EFFECTIVE_ARGUMENT	2	2	2	P || SH	AIIN || Y	Setze den Posten ein; auf Grad III; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
87	K+AL+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; zum Zielort.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
88	K+AR+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Gib den Posten; vom Ausgang; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
89	K+E+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	K	AIIN || Y	Gib den Wert; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
90	K+E+OL	4	3	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	3	1	3	K	AIIN || OR || Y	Weiter: gib den Posten; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
91	K+EE+DY	7	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	K	AIN || Y	Gib den Posten; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
92	K+EE+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
93	K+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	NONE	Gib; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
94	K+O+SH+OL+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K|SH	NONE	Weiter: gib und halte; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
95	K+OL	9	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	K	AIIN || Y	Weiter: gib den Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
96	K+OL+CHD+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K|CHD	Y	Weiter: gib den Posten und bearbeite den Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
97	K+OL+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	K	AIIN || Y	Weiter: gib den Posten; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
98	K+OL+P+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K|P	Y	Weiter: gib den Posten und setze den Posten ein.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
99	K+OL+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
100	K+SH+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K|SH	AIIN	Gib den Wert und halte den Wert; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
101	L+CH+CH+P+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|CH|P	Y	Nimm den Posten zweimal und setze den Posten ein; über die Verbindung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
102	L+CH+K+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|K	Y	Nimm den Posten und gib den Posten; über die Verbindung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
103	L+CHD+DY	35	4	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	4	1	4	CHD	AIIN || AIN || NONE || Y	Bearbeite den Posten; über die Verbindung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
104	L+DY	8	6	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	6	4	3	CHD || K || OK || SH	AIIN || AIN || Y	Halte den Anteil; über die Verbindung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
105	L+K+E+DY	5	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Gib den Posten; über die Verbindung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
106	L+K+E+O+P+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K|P	Y	Weiter: gib den Posten und setze den Posten ein; über die Verbindung; auf Grad I; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
107	L+K+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; über die Verbindung; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
108	L+O+CHD+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CHD	Y	Bearbeite den Posten; über die Verbindung; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
109	L+OL	12	8	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	8	6	2	CH || CHD || K || OK || SH || T	AIIN || Y	Weiter: stelle den Wert ein; über die Verbindung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
110	L+OL+CHD+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CHD	Y	Weiter: bearbeite den Posten; über die Verbindung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
111	L+OL+OL	2	2	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ONLY	EFFECTIVE_ACTION	2	2	1	CHD || K	Y	Weiter: bearbeite den Posten; über die Verbindung; nochmals weiterführen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
112	L+OL+Y	3	3	RECURRENT	CONTEXT_VARIABLE	ABSENT	PRESENT	WRITTEN_ARGUMENT__SELECT_ACTION	effective_action_roots	ACTION_ONLY	EFFECTIVE_ACTION	3	3	1	K || OK || SH	Y	Weiter: gib den Posten; über die Verbindung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
113	L+SH+E+DY	9	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	SH	AIIN || Y	Halte den Posten; über die Verbindung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
114	L+T+E+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	T	AIN || Y	Stelle den Anteil ein; über die Verbindung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
115	L+T+SH+OL+Y	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	T|SH	Y	Weiter: stelle den Posten ein und halte den Posten; über die Verbindung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
116	LOCAL_CHAR_F+OL+OL	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	NONE	Weiter: halte; hier; nochmals weiterführen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
117	LOCAL_CHAR_F+SH+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	NONE	Halte; hier; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
118	M_LOCAL+OL	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Weiter: wähle den Posten; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
119	O+CH+T+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	AIIN	Weiter: nimm den Wert und stelle den Wert ein; zur Ausführung; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
120	O+CH+T+E+OL+AR+L	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	AIIN	Weiter: nimm den Wert und stelle den Wert ein; zur Ausführung; auf Grad I; vom Ausgang; über die Verbindung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
121	O+CH+T+OL+E	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH|T	OR	Weiter: nimm die Einheit und stelle die Einheit ein; zur Ausführung; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
122	O+DY	5	5	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ONLY	EFFECTIVE_ACTION	5	5	4	K || OK || P || R || S	AIIN || AIN || OR || Y	Markiere die Einheit; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
123	O+D_ADDR+EE+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	T	Y	Stelle den Posten ein; zur Ausführung; hier; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
124	O+E+K+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	K	Y	Weiter: gib den Posten; zur Ausführung; auf Grad I; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
125	O+EEE+DY	1	1	SINGLETON	FIXED	ABSENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	AIN	Halte den Anteil; zur Ausführung; auf Grad III; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
126	O+LOCAL_CHAR_F+Y+DY	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	S	Y	Wähle den Posten; zur Ausführung; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
127	O+OL	2	2	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ONLY	EFFECTIVE_ACTION	2	2	1	OK || S	AIIN	Weiter: setze den Wert; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
128	O+OT+OR	1	1	SINGLETON	FIXED	ABSENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	CH	OR	Danach: nimm die Einheit; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
129	O+P+CH+E+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|CH	OR	Weiter: setze die Einheit ein und nimm die Einheit; zur Ausführung; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
130	O+P+CH+EE+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|CH	Y	Weiter: setze den Posten ein und nimm den Posten; zur Ausführung; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
131	O+P+CH+OL+AL+AIIN	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|CH	AIIN	Weiter: setze den Wert ein und nimm den Wert; zur Ausführung; zum Zielort.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
132	O+P+CH+OR+DY	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|CH	OR	Setze die Einheit ein und nimm die Einheit; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
133	O+P+CHD+DY	3	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_OR_RESOLUTION_MODE	EFFECTIVE_ARGUMENT	2	1	2	P|CHD	NONE || Y	Setze ein und bearbeite; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
134	O+P+E+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P	Y	Setze den Posten ein; zur Ausführung; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
135	O+P+O+D_ADDR+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P	NONE	Weiter: setze ein; zur Ausführung; zur Ausführung; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
136	O+P+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P	OR	Weiter: setze die Einheit ein; zur Ausführung.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
137	O+P+SH+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P|SH	Y	Setze den Posten ein und halte den Posten; zur Ausführung; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
138	O+P+Y+DY	2	1	RECURRENT	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	P	Y	Setze den Posten ein; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
139	O+SH+EE+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	SH	Y	Halte den Posten; zur Ausführung; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
140	OK+AL+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; zum Zielort; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
141	OK+AL+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	AIN	Setze den Anteil; zum Zielort; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
142	OK+AR+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; vom Ausgang; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
143	OK+CHD+DY	9	3	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	3	1	3	OK|CHD	AIIN || OR || Y	Setze den Posten und bearbeite den Posten; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
144	OK+CHD+DY+L	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|CHD	Y	Setze den Posten und bearbeite den Posten; über die Verbindung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
145	OK+CHD+S+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|CHD|S	Y	Setze den Posten und bearbeite den Posten und wähle den Posten; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
146	OK+E+CHD+DY	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|CHD	Y	Setze den Posten und bearbeite den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
147	OK+E+DY	79	5	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	5	1	5	OK	AIIN || AIN || NONE || OR || Y	Setze den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
148	OK+E+D_ADDR+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Weiter: setze den Posten; auf Grad I; hier.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
149	OK+E+OL	16	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	OK	AIIN || Y	Weiter: setze den Posten; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
150	OK+E+OL+AIIN	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	AIIN	Weiter: setze den Wert; auf Grad I.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
151	OK+E+S+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|S	Y	Setze den Posten und wähle den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
152	OK+EE+DY	83	5	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	5	1	5	OK	AIIN || AIN || NONE || OR || Y	Setze den Posten; auf Grad II; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
153	OK+EE+DY+OL	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	AIIN	Setze den Wert; auf Grad II; abschließen; danach weiterführen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
154	OK+EE+OL	5	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	OK	AIIN || Y	Weiter: setze den Wert; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
155	OK+EE+OL+S	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|S	NONE	Weiter: setze und wähle; auf Grad II.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
156	OK+EEE+DY	2	1	RECURRENT	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; auf Grad III; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
157	OK+O+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; zur Ausführung; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
158	OK+OL	28	4	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	4	1	4	OK	AIIN || NONE || OR || Y	Weiter: setze den Wert.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
159	OK+OL+DY	2	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	OK	AIN || Y	Weiter: setze den Anteil; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
160	OK+SH+DY	1	1	SINGLETON	FIXED	PRESENT	ABSENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK|SH	Y	Setze den Posten und halte den Posten; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
161	OK+SH+E+DY	5	2	RECURRENT	CONTEXT_VARIABLE	PRESENT	ABSENT	WRITTEN_ACTION__SELECT_ARGUMENT	effective_argument_roots	ARGUMENT_ONLY	EFFECTIVE_ARGUMENT	2	1	2	OK|SH	AIIN || Y	Setze den Posten und halte den Posten; auf Grad I; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
162	OK+Y+L+D_ADDR+DY	1	1	SINGLETON	FIXED	PRESENT	PRESENT	FIXED_RECIPE	NONE	NOT_NEEDED	NONE	1	1	1	OK	Y	Setze den Posten; über die Verbindung; hier; abschließen.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
163	OL	189	33	RECURRENT	CONTEXT_VARIABLE	ABSENT	ABSENT	OPEN_FRAME__SELECT_ACTION_ARGUMENT	effective_action_roots+effective_argument_roots	ACTION_ARGUMENT_REQUIRED	ACTION_ARGUMENT	33	10	5	CH || CHD || K || NONE || OK || P || R || S || SH || T	AIIN || AIN || NONE || OR || Y	Weiter: halte den Anteil.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
164	OL+AIIN	13	5	RECURRENT	CONTEXT_VARIABLE	ABSENT	PRESENT	WRITTEN_ARGUMENT__SELECT_ACTION	effective_action_roots	ACTION_ONLY	EFFECTIVE_ACTION	5	5	1	CH || CHD || OK || S || SH	AIIN	Weiter: setze den Wert.	VISIBLE_SLOT_ROUTE__NO_OWNER_OR_PAGE_SELECTOR
