injection_ordinal	slot_id	source_kind	source_event_or_card_id	reader_unit_kind	reader_unit_id	reader_unit_join_key	physical_page	register	locus	surface	raw_name_core	content_class	name_slot_in_label	gdt585_primary_default_de	gdt582_exact_legacy_default_de	gdt585_declared_legacy_alias_de	legacy_alias_reconciliation	strongest_rival_de	composition_atom_de	base_reader_source	primary_governor_key	guard
35	LOCAL_NAME:P1008-E0350:NAME_1	GDT581_NAME_SPAN	P1008-E0350	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0350	P1008-E0350	f72r	CELESTIAL	f72r3.2	olkalaiin	k	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert K	Sternringstelle 25	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname K	Ringwert K	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0350	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
36	LOCAL_NAME:P1008-E0352:NAME_1	GDT581_NAME_SPAN	P1008-E0352	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0352	P1008-E0352	f72r	CELESTIAL	f72r3.4	oraiinam	aiin	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert AIIN	Sternringstelle 26	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname AIIN	Ringwert AIIN	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0352	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
37	LOCAL_NAME:P1008-E0353:NAME_1	GDT581_NAME_SPAN	P1008-E0353	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0353	P1008-E0353	f72r	CELESTIAL	f72r3.5	osarsheeeo	os	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OS	Sternringstelle 27	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OS	Ringwert OS	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0353	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
38	LOCAL_NAME:P1008-E0353:NAME_2	GDT581_NAME_SPAN	P1008-E0353	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0353	P1008-E0353	f72r	CELESTIAL	f72r3.5	osarsheeeo	eeeo	STAR_BEARING_RING_POSITION	2	gelernter Ringfiguren- oder Sternwert EEEO	Sternringstelle 28	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname EEEO	Ringwert EEEO	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0353	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
39	LOCAL_NAME:P1008-E0356:NAME_1	GDT581_NAME_SPAN	P1008-E0356	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0356	P1008-E0356	f72r	CELESTIAL	f72r3.7	opoiiinoin	opoiiin	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OPOIIIN	Sternringstelle 29	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OPOIIIN	Ringwert OPOIIIN	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0356	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
40	LOCAL_NAME:P1008-E0359:NAME_1	GDT581_NAME_SPAN	P1008-E0359	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0359	P1008-E0359	f72r	CELESTIAL	f72r3.8	ypaiin	yp	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert YP	Sternringstelle 30	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YP	Ringwert YP	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0359	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
41	LOCAL_NAME:P1008-E0363:NAME_1	GDT581_NAME_SPAN	P1008-E0363	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0363	P1008-E0363	f72r	CELESTIAL	f72r3.10	oeeodaiin	oeeo	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OEEO	Sternringstelle 31	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OEEO	Ringwert OEEO	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0363	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
42	LOCAL_NAME:P1008-E0364:NAME_1	GDT581_NAME_SPAN	P1008-E0364	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0364	P1008-E0364	f72r	CELESTIAL	f72r3.11	ofsholdy	dy	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert DY	Sternringstelle 07	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname DY	Ringwert DY	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0364	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
43	LOCAL_NAME:P1008-E0365:NAME_1	GDT581_NAME_SPAN	P1008-E0365	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0365	P1008-E0365	f72r	CELESTIAL	f72r3.12	opoeey	opo	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OPO	Sternringstelle 32	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OPO	Ringwert OPO	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0365	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
44	LOCAL_NAME:P1008-E0367:NAME_1	GDT581_NAME_SPAN	P1008-E0367	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0367	P1008-E0367	f72r	CELESTIAL	f72r3.13	ykolairol	yk	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert YK	Sternringstelle 33	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YK	Ringwert YK	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0367	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
45	LOCAL_NAME:P1008-E0409:NAME_1	GDT581_NAME_SPAN	P1008-E0409	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0409	P1008-E0409	f72r	CELESTIAL	f72r3.15	oralkam	k	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert K	Sternringstelle 25	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname K	Ringwert K	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0409	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
46	LOCAL_NAME:P1008-E0410:NAME_1	GDT581_NAME_SPAN	P1008-E0410	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0410	P1008-E0410	f72r	CELESTIAL	f72r3.16	ytairal	yt	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert YT	Sternringstelle 11	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YT	Ringwert YT	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0410	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
47	LOCAL_NAME:P1008-E0411:NAME_1	GDT581_NAME_SPAN	P1008-E0411	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0411	P1008-E0411	f72r	CELESTIAL	f72r3.17	oeeesaiin	oeees	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert OEEES	Sternringstelle 34	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OEEES	Ringwert OEEES	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0411	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
48	LOCAL_NAME:P1008-E0414:NAME_1	GDT581_NAME_SPAN	P1008-E0414	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0414	P1008-E0414	f72r	CELESTIAL	f72r3.19	fydy	f	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert F	Sternringstelle 35	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname F	Ringwert F	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0414	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
49	LOCAL_NAME:P1008-E0417:NAME_1	GDT581_NAME_SPAN	P1008-E0417	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0417	P1008-E0417	f72r	CELESTIAL	f72r3.20	eeesaly	eees	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert EEES	Sternringstelle 36	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname EEES	Ringwert EEES	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0417	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
50	LOCAL_NAME:P1008-E0418:NAME_1	GDT581_NAME_SPAN	P1008-E0418	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0418	P1008-E0418	f72r	CELESTIAL	f72r3.21	ykaraiin	yk	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert YK	Sternringstelle 33	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YK	Ringwert YK	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0418	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
51	LOCAL_NAME:P1008-E0421:NAME_1	GDT581_NAME_SPAN	P1008-E0421	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0421	P1008-E0421	f72r	CELESTIAL	f72r3.23	orara	a	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert A	Sternringstelle 37	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname A	Ringwert A	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0421	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
52	LOCAL_NAME:P1008-E0423:NAME_1	GDT581_NAME_SPAN	P1008-E0423	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0423	P1008-E0423	f72r	CELESTIAL	f72r3.24	olay	ay	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert AY	Sternringstelle 38	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname AY	Ringwert AY	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0423	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
53	LOCAL_NAME:P1008-E0424:NAME_1	GDT581_NAME_SPAN	P1008-E0424	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0424	P1008-E0424	f72r	CELESTIAL	f72r3.25	olfsheoral	f	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert F	Sternringstelle 35	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname F	Ringwert F	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0424	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
54	LOCAL_NAME:P1008-E0424:NAME_2	GDT581_NAME_SPAN	P1008-E0424	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0424	P1008-E0424	f72r	CELESTIAL	f72r3.25	olfsheoral	eor	STAR_BEARING_RING_POSITION	2	gelernter Ringfiguren- oder Sternwert EOR	Sternringstelle 39	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname EOR	Ringwert EOR	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0424	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
55	LOCAL_NAME:P1008-E0452:NAME_1	GDT581_NAME_SPAN	P1008-E0452	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0452	P1008-E0452	f72r	CELESTIAL	f72r3.27	opalal	op	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert OP	Sternringstelle 04	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname OP	Ringwert OP	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0452	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
56	LOCAL_NAME:P1008-E0453:NAME_1	GDT581_NAME_SPAN	P1008-E0453	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453	P1008-E0453	f72r	CELESTIAL	f72r3.28	yfary	yf	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert YF	Sternringstelle 40	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YF	Ringwert YF	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
57	LOCAL_NAME:P1008-E0453:NAME_2	GDT581_NAME_SPAN	P1008-E0453	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453	P1008-E0453	f72r	CELESTIAL	f72r3.28	yfary	y	STAR_BEARING_RING_POSITION	2	wiederkehrender Ring- oder Kalenderwert Y	Sternringstelle 18	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname Y	Ringwert Y	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0453	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
58	LOCAL_NAME:P1008-E0454:NAME_1	GDT581_NAME_SPAN	P1008-E0454	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0454	P1008-E0454	f72r	CELESTIAL	f72r3.29	oraiiral	aiir	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert AIIR	Sternringstelle 41	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname AIIR	Ringwert AIIR	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0454	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
59	LOCAL_NAME:P1008-E0455:NAME_1	GDT581_NAME_SPAN	P1008-E0455	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0455	P1008-E0455	f72r	CELESTIAL	f72r3.30	ytoar	yto	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert YTO	Sternringstelle 42	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname YTO	Ringwert YTO	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0455	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
60	LOCAL_NAME:P1008-E0457:NAME_1	GDT581_NAME_SPAN	P1008-E0457	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0457	P1008-E0457	f72r	CELESTIAL	f72r3.31	octho	o	STAR_BEARING_RING_POSITION	1	wiederkehrender Ring- oder Kalenderwert O	Sternringstelle 08	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname O	Ringwert O	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0457	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
61	LOCAL_NAME:P1008-E0457:NAME_2	GDT581_NAME_SPAN	P1008-E0457	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0457	P1008-E0457	f72r	CELESTIAL	f72r3.31	octho	o	STAR_BEARING_RING_POSITION	2	wiederkehrender Ring- oder Kalenderwert O	Sternringstelle 08	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname O	Ringwert O	GDT584_POLISHED_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0457	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
62	LOCAL_NAME:P1008-E0459:NAME_1	GDT581_NAME_SPAN	P1008-E0459	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0459	P1008-E0459	f72r	CELESTIAL	f72r3.33	oletal	et	STAR_BEARING_RING_POSITION	1	gelernter Ringfiguren- oder Sternwert ET	Sternringstelle 43	NONE	RESTORED_EXACT_GDT582_VALUE_WHERE_GDT585_DECLARED_NONE	gelernter Figuren- oder Sternname ET	Ringwert ET	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1008-E0459	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
63	LOCAL_NAME:P1003-E0081:NAME_1	GDT581_NAME_SPAN	P1003-E0081	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081	P1003-E0081	f77r	BIOLOGICAL	f77r.1	darchdar	d	BATH_OR_OUTLET_STATION	1	Endfigur	Ablauf	Ablauf	GDT585_DECLARED_ALIAS_EXACT	Ablauf oder Endstelle	Endfigur d	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
64	LOCAL_NAME:P1003-E0081:NAME_2	GDT581_NAME_SPAN	P1003-E0081	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081	P1003-E0081	f77r	BIOLOGICAL	f77r.1	darchdar	chd	BATH_OR_OUTLET_STATION	2	linker Speiseanschluss	erwärmtes Becken	erwärmtes Becken	GDT585_DECLARED_ALIAS_EXACT	erwärmtes Becken	linker Speiseanschluss	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0081	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
65	LOCAL_NAME:P1003-E0082:NAME_1	GDT581_NAME_SPAN	P1003-E0082	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0082	P1003-E0082	f77r	BIOLOGICAL	f77r.2	olkchs	kchs	BATH_OR_OUTLET_STATION	1	linker Anschlusskopf	Zulaufrohr	Zulaufrohr	GDT585_DECLARED_ALIAS_EXACT	Zulaufrohr	linker Anschlusskopf	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0082	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
66	LOCAL_NAME:P1003-E0084:NAME_1	GDT581_NAME_SPAN	P1003-E0084	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0084	P1003-E0084	f77r	BIOLOGICAL	f77r.4	otork	ork	BATH_OR_OUTLET_STATION	1	mittlerer Tropfkopf	Badebecken	Badebecken	GDT585_DECLARED_ALIAS_EXACT	Badebecken	mittlerer Tropfkopf	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0084	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
67	LOCAL_NAME:P1003-E0087:NAME_1	GDT581_NAME_SPAN	P1003-E0087	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0087	P1003-E0087	f77r	BIOLOGICAL	f77r.7	soral	sor	BATH_OR_OUTLET_STATION	1	rechter Sprühkopf	Sitz- oder Behandlungsstation	Sitz- oder Behandlungsstation	GDT585_DECLARED_ALIAS_EXACT	Sitz- oder Behandlungsstation	rechter Sprühkopf	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0087	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
68	LOCAL_NAME:P1003-E0088:NAME_1	GDT581_NAME_SPAN	P1003-E0088	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0088	P1003-E0088	f77r	BIOLOGICAL	f77r.8	dotedy	d	BATH_OR_OUTLET_STATION	1	Endfigur	Ablauf	Ablauf	GDT585_DECLARED_ALIAS_EXACT	Ablauf oder Endstelle	Endfigur d	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0088	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
69	LOCAL_NAME:P1003-E0088:NAME_2	GDT581_NAME_SPAN	P1003-E0088	LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0088	P1003-E0088	f77r	BIOLOGICAL	f77r.8	dotedy	edy	BATH_OR_OUTLET_STATION	2	rechter Endanschluss	Kühlablauf	Kühlablauf	GDT585_DECLARED_ALIAS_EXACT	Kühlablauf	rechter Endanschluss	GDT582_CONCRETE_LOCAL_CARD	LOCAL_CARD:ORIGINAL22_LOCAL_ADDRESS:P1003-E0088	EXACT_SLOT_ID_JOIN__PRIMARY_AND_EXACT_GDT582_RIVAL_BOTH_RETAINED__NO_SUBSTRING_PROPAGATION
