card_no	surfaces	component_parse	reconstructed_component_values_de	licensed_frame_codes	licensed_frame_verbs_de	gloss_free_mechanical_reading_de	structural_reconstruction	natural_wording_status	old_atomic_gloss_used_as_input	old_atomic_gloss_comparator_only_de	contains_single_card_specialist_component	specialist_card_from_pass575	occurrences
PROC102	lched	L+CHD	führen · umsetzen	CHD:TRANSFER|L:GUIDE	umsetzen, führen	führen · umsetzen [Rahmen: umsetzen, führen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten führen und umsetzen	NO	NO	1
PROC103	lcheckhedy	L+CKH+E+DY	führen · Durchlass · kurz · Schluss	L:PATH_GUIDE	durchleiten	führen · Durchlass · kurz · Schluss [Rahmen: durchleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	NO	NO	1
PROC104	qokaly	OK+AL+Y	ansetzen · bezeichnete Stelle · dieser Posten	OK:TARGET_APPLY	anlegen	ansetzen · bezeichnete Stelle · dieser Posten [Rahmen: anlegen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten an bezeichnete Stelle ansetzen	NO	NO	1
PROC105	solkaiin	SOLK+AIIN	auffangen · vorgeschriebenes Maß	SOLK:MEASURED_COLLECT	bis zum Maß auffangen	auffangen · vorgeschriebenes Maß [Rahmen: bis zum Maß auffangen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten nach vorgeschriebenes Maß auffangen	NO	NO	1
PROC106	octheol	O+CTH+E+OL	Arbeitsgang · bereit · kurz · fortsetzen	NONE	NONE	Arbeitsgang · bereit · kurz · fortsetzen	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsgang · bereit · kurz · fortsetzen	NO	NO	1
PROC107	chkeey	CHK+EE+Y	wärmen · länger · dieser Posten	CHK:HOLD_WARM	warm halten	wärmen · länger · dieser Posten [Rahmen: warm halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten länger wärmen	NO	NO	1
PROC108	ldy	L+DY	führen · Schluss	L:CLOSED_DRAIN	abführen	führen · Schluss [Rahmen: abführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten führen; Schritt schließen	NO	NO	2
PROC109	oteey	OT+EE+Y	danach · länger · dieser Posten	NONE	NONE	danach · länger · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · länger · dieser Posten	NO	NO	2
PROC110	sheckhy	SH+E+CKH+Y	halten · kurz · Durchlass · dieser Posten	SH:PATH_HOLD	zurückhalten	halten · kurz · Durchlass · dieser Posten [Rahmen: zurückhalten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten durch Durchlass kurz halten	NO	NO	1
PROC111	dshedy	SH+E+DY	halten · kurz · Schluss	SH:TIMED_REST	ruhen lassen	halten · kurz · Schluss [Rahmen: ruhen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz halten; Schritt schließen	NO	NO	1
PROC112	otaiin|sotaiin	OT+AIIN	danach · vorgeschriebenes Maß	NONE	NONE	danach · vorgeschriebenes Maß	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · vorgeschriebenes Maß	NO	NO	3
PROC113	qokar	OK+AR	ansetzen · von dort	OK:MEASURED_CHARGE	einsetzen	ansetzen · von dort [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten von dort ansetzen	NO	NO	1
PROC114	solshedy	OL+SH+E+DY	fortsetzen · halten · kurz · Schluss	SH:TIMED_REST	ruhen lassen	fortsetzen · halten · kurz · Schluss [Rahmen: ruhen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten kurz halten; Schritt schließen	NO	NO	1
PROC115	ls	LS	weiter	NONE	NONE	weiter	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	weiter	YES	YES	1
PROC116	lchy	L+CH+Y	führen · abziehen · dieser Posten	CH:TAKE_OFF|L:GUIDE	abnehmen, führen	führen · abziehen · dieser Posten [Rahmen: abnehmen, führen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten führen und abziehen	NO	NO	1
PROC117	qcthey|shcthey	CTH+E+Y	bereit · kurz · dieser Posten	NONE	NONE	bereit · kurz · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bereit · kurz · dieser Posten	NO	NO	2
PROC118	lcheey	L+EE+Y	führen · länger · dieser Posten	L:GUIDE	führen	führen · länger · dieser Posten [Rahmen: führen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten länger führen	NO	NO	1
PROC119	qokeeedy	OK+EEE+DY	ansetzen · vollständig · Schluss	OK:MEASURED_CHARGE	einsetzen	ansetzen · vollständig · Schluss [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten vollständig ansetzen; Schritt schließen	NO	NO	1
PROC120	lchedy	L+CHD+DY	führen · umsetzen · Schluss	CHD:COMMIT_TRANSFER|CHD:MEASURED_TRANSFER|CHD:TARGET_TRANSFER|L:CLOSED_DRAIN|L:TARGET_GUIDE	überführen, abmessen und umsetzen, umfüllen, abführen, hinleiten	führen · umsetzen · Schluss [Rahmen: überführen, abmessen und umsetzen, umfüllen, abführen, hinleiten]	COMPLETE	OWNER_OR_SLOT_CONTEXT_REQUIRED	NO	weiterleiten, überführen und den Schritt schließen	NO	NO	8
PROC121	lar	L+AR	führen · von dort	L:SOURCE_DRAIN	ableiten	führen · von dort [Rahmen: ableiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten von dort führen	NO	NO	1
PROC122	tshey	SH+E+Y	halten · kurz · dieser Posten	SH:TIMED_HOLD	halten	halten · kurz · dieser Posten [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz halten	NO	NO	1
PROC123	lchedar	L+CHD+AR	führen · umsetzen · von dort	CHD:TARGET_TRANSFER|L:SOURCE_DRAIN	umfüllen, ableiten	führen · umsetzen · von dort [Rahmen: umfüllen, ableiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten von dort führen und umsetzen	NO	NO	1
PROC124	ches	CH+E+S	abziehen · kurz · teilen	CH:TAKE_OFF|S:DIVIDE	abnehmen, abteilen	abziehen · kurz · teilen [Rahmen: abnehmen, abteilen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz abziehen und teilen	YES	YES	1
PROC125	pchedy	P+CHD+DY	hineingeben · umsetzen · Schluss	CHD:COMMIT_TRANSFER|P:COMMIT_FILL	überführen, einfüllen	hineingeben · umsetzen · Schluss [Rahmen: überführen, einfüllen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten hineingeben und umsetzen; Schritt schließen	NO	NO	1
PROC126	rsheal	R+SH+E+AL	abkühlen · halten · kurz · bezeichnete Stelle	R:TARGET_COOL|SH:TIMED_REST	abkühlen lassen, ruhen lassen	abkühlen · halten · kurz · bezeichnete Stelle [Rahmen: abkühlen lassen, ruhen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	NO	NO	1
PROC127	daldy	AL+DY	bezeichnete Stelle · Schluss	NONE	NONE	bezeichnete Stelle · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	bezeichnete Stelle; Schritt schließen	NO	NO	1
PROC128	rshedy	R+SHED+DY	abkühlen · absetzen · Schluss	R:COMMIT_COOL|SHED:COMMIT_SETTLE	auskühlen lassen, absetzen lassen	abkühlen · absetzen · Schluss [Rahmen: auskühlen lassen, absetzen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten abkühlen und absetzen; Schritt schließen	NO	NO	1
PROC129	qoteedy	OT+EE+DY	danach · länger · Schluss	NONE	NONE	danach · länger · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · länger; Schritt schließen	NO	NO	2
PROC130	lochedy	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	CHD:COMMIT_TRANSFER|L:CLOSED_DRAIN	überführen, abführen	führen · Arbeitsgang · umsetzen · Schluss [Rahmen: überführen, abführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang führen und umsetzen; Schritt schließen	NO	NO	1
PROC131	otal|qotal	OT+AL	danach · bezeichnete Stelle	NONE	NONE	danach · bezeichnete Stelle	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · bezeichnete Stelle	NO	NO	3
PROC132	chkeedy	CHK+EE+DY	wärmen · länger · Schluss	CHK:TARGET_WARM	anwärmen	wärmen · länger · Schluss [Rahmen: anwärmen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten länger wärmen; Schritt schließen	NO	NO	1
PROC133	chedchy	CHD+Y	umsetzen · dieser Posten	CHD:TRANSFER	umsetzen	umsetzen · dieser Posten [Rahmen: umsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten umsetzen	NO	NO	1
PROC134	pchedal	P+CHD+AL	hineingeben · umsetzen · bezeichnete Stelle	CHD:TARGET_TRANSFER|P:TARGET_FILL	umfüllen, einfüllen	hineingeben · umsetzen · bezeichnete Stelle [Rahmen: umfüllen, einfüllen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	NO	NO	1
PROC135	otedy	OT+E+DY	danach · kurz · Schluss	NONE	NONE	danach · kurz · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · kurz; Schritt schließen	NO	NO	2
PROC136	shecthedchy	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dieser Posten	CHD:TRANSFER|SH:TIMED_HOLD	umsetzen, halten	halten · kurz · bereit · umsetzen · dieser Posten [Rahmen: umsetzen, halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz halten und umsetzen bis bereit	NO	NO	1
PROC137	chary	AR+Y	von dort · dieser Posten	NONE	NONE	von dort · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	von dort · dieser Posten	NO	NO	1
PROC138	okair	OK+AIR	ansetzen · laufender Bestand	OK:FLOW_START	einleiten	ansetzen · laufender Bestand [Rahmen: einleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch laufender Bestand ansetzen	NO	NO	1
PROC139	sheedy	SH+EE+DY	halten · länger · Schluss	SH:TIMED_REST	ruhen lassen	halten · länger · Schluss [Rahmen: ruhen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten länger halten; Schritt schließen	NO	NO	1
PROC140	lo	L+O	führen · Arbeitsgang	L:GUIDE	führen	führen · Arbeitsgang [Rahmen: führen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Arbeitsgang führen	NO	NO	1
PROC141	qokshedy	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	OK:TIMED_APPLICATION|SH:TIMED_REST	einwirken lassen, ruhen lassen	ansetzen · halten · kurz · Schluss [Rahmen: einwirken lassen, ruhen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz ansetzen und halten; Schritt schließen	NO	NO	1
PROC142	shedal	SHED+AL	absetzen · bezeichnete Stelle	SHED:TARGET_DEPOSIT	ablagern	absetzen · bezeichnete Stelle [Rahmen: ablagern]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle absetzen	NO	NO	2
PROC143	shecthy	SH+E+CTH+Y	halten · kurz · bereit · dieser Posten	SH:TIMED_HOLD	halten	halten · kurz · bereit · dieser Posten [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz halten bis bereit	NO	NO	1
PROC144	dalchdy	AL+CHD+DY	bezeichnete Stelle · umsetzen · Schluss	CHD:TARGET_TRANSFER	umfüllen	bezeichnete Stelle · umsetzen · Schluss [Rahmen: umfüllen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	NO	NO	1
PROC145	otchedy|qotchedy	OT+CHD+DY	danach · umsetzen · Schluss	CHD:COMMIT_TRANSFER	überführen	danach · umsetzen · Schluss [Rahmen: überführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach den laufenden Posten umsetzen; Schritt schließen	NO	NO	2
PROC146	cheedar	EE+AR	länger · von dort	NONE	NONE	länger · von dort	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	länger · von dort	NO	NO	1
PROC147	chldaiin	L+AIIN	führen · vorgeschriebenes Maß	L:SOURCE_DRAIN	ableiten	führen · vorgeschriebenes Maß [Rahmen: ableiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten nach vorgeschriebenes Maß führen	NO	NO	1
PROC148	chealror	AL+R+OR	bezeichnete Stelle · abkühlen · Ansatz	R:TARGET_COOL	abkühlen lassen	bezeichnete Stelle · abkühlen · Ansatz [Rahmen: abkühlen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Ansatz an bezeichnete Stelle abkühlen	NO	NO	1
PROC149	cheeety	EEE+T+Y	vollständig · eintragen · dieser Posten	T:CONTINUE_ENTRY	eintragen	vollständig · eintragen · dieser Posten [Rahmen: eintragen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten vollständig eintragen	NO	NO	1
PROC150	schedair	CHD+AIR	umsetzen · laufender Bestand	CHD:PATH_TRANSFER	durchleiten	umsetzen · laufender Bestand [Rahmen: durchleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten durch laufender Bestand umsetzen	NO	NO	1
PROC151	chedain	CHD+AIN	umsetzen · Portion	CHD:MEASURED_TRANSFER	abmessen und umsetzen	umsetzen · Portion [Rahmen: abmessen und umsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten nach Portion umsetzen	NO	NO	1
PROC152	qotedaiin	OT+E+AIIN	danach · kurz · vorgeschriebenes Maß	NONE	NONE	danach · kurz · vorgeschriebenes Maß	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach · kurz · vorgeschriebenes Maß	NO	NO	1
PROC153	olsaly	OL+AL+Y	fortsetzen · bezeichnete Stelle · dieser Posten	NONE	NONE	fortsetzen · bezeichnete Stelle · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen · bezeichnete Stelle · dieser Posten	NO	NO	1
PROC154	qolchey	OL+Y	fortsetzen · dieser Posten	NONE	NONE	fortsetzen · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen · dieser Posten	NO	NO	1
PROC155	qokylddy	OK+Y+LD+DY	ansetzen · dieser Posten · befestigen · Schluss	LD:FASTEN|OK:ACTIVATE	festbinden, einsetzen	ansetzen · dieser Posten · befestigen · Schluss [Rahmen: festbinden, einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten ansetzen und befestigen; Schritt schließen	YES	YES	1
PROC156	dain	AIN	Portion	NONE	NONE	Portion	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Portion	NO	NO	2
PROC157	sheey	SH+EE+Y	halten · länger · dieser Posten	SH:TIMED_HOLD	halten	halten · länger · dieser Posten [Rahmen: halten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten länger halten	NO	NO	1
PROC158	okeeol	OK+EE+OL	ansetzen · länger · fortsetzen	OK:HOLD_ACTIVE	wirken lassen	ansetzen · länger · fortsetzen [Rahmen: wirken lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten länger ansetzen	NO	NO	1
PROC159	lkedy	L+K+E+DY	führen · zuführen · kurz · Schluss	K:COMMIT_ADD|L:CLOSED_DRAIN	zugeben, abführen	führen · zuführen · kurz · Schluss [Rahmen: zugeben, abführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten kurz führen und zuführen; Schritt schließen	NO	NO	1
PROC160	qokol	OK+OL	ansetzen · fortsetzen	OK:ACTIVATE	einsetzen	ansetzen · fortsetzen [Rahmen: einsetzen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten ansetzen	NO	NO	1
PROC161	qockhey	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dieser Posten	NONE	NONE	Arbeitsgang · Durchlass · kurz · dieser Posten	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	Arbeitsgang · Durchlass · kurz · dieser Posten	NO	NO	1
PROC162	dairydy	AIR+Y+DY	laufender Bestand · dieser Posten · Schluss	NONE	NONE	laufender Bestand · dieser Posten · Schluss	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	laufender Bestand · dieser Posten; Schritt schließen	NO	NO	1
PROC163	chckhal	CH+CKH+AL	abziehen · Durchlass · bezeichnete Stelle	CH:PATH_DRAW	ablaufen lassen	abziehen · Durchlass · bezeichnete Stelle [Rahmen: ablaufen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	NO	NO	1
PROC164	solkey	SOLK+E+Y	auffangen · kurz · dieser Posten	SOLK:COLLECT	auffangen	auffangen · kurz · dieser Posten [Rahmen: auffangen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz auffangen	NO	NO	1
PROC165	skar	K+AR	zuführen · von dort	K:TARGET_FEED	zuführen	zuführen · von dort [Rahmen: zuführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten von dort zuführen	NO	NO	1
PROC166	otchdy	OT+CHD+DY	danach · umsetzen · Schluss	CHD:COMMIT_TRANSFER	überführen	danach · umsetzen · Schluss [Rahmen: überführen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	danach den laufenden Posten umsetzen; Schritt schließen	NO	NO	1
PROC167	lol	L+OL	führen · fortsetzen	L:TARGET_GUIDE	hinleiten	führen · fortsetzen [Rahmen: hinleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	fortsetzen den laufenden Posten führen	NO	NO	1
PROC168	chdal	CHD+AL	umsetzen · bezeichnete Stelle	CHD:TARGET_TRANSFER	umfüllen	umsetzen · bezeichnete Stelle [Rahmen: umfüllen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den laufenden Posten an bezeichnete Stelle umsetzen	NO	NO	1
PROC169	daiiin	DA+IIN	zweite · Sollstufe	NONE	NONE	zweite · Sollstufe	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	zweite · Sollstufe	YES	YES	1
PROC170	solkeey	SOLK+EE+Y	auffangen · länger · dieser Posten	SOLK:COLLECT	auffangen	auffangen · länger · dieser Posten [Rahmen: auffangen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten länger auffangen	NO	NO	1
PROC171	qekey	E+K+E+Y	kurz · zuführen · kurz · dieser Posten	K:ADD	zugeben	kurz · zuführen · kurz · dieser Posten [Rahmen: zugeben]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten kurz kurz zuführen	NO	NO	1
PROC172	raly	R+AL+Y	abkühlen · bezeichnete Stelle · dieser Posten	R:TARGET_COOL	abkühlen lassen	abkühlen · bezeichnete Stelle · dieser Posten [Rahmen: abkühlen lassen]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	diesen Posten an bezeichnete Stelle abkühlen	NO	NO	1
PROC173	ldalor	L+AL+OR	führen · bezeichnete Stelle · Ansatz	L:TARGET_GUIDE	hinleiten	führen · bezeichnete Stelle · Ansatz [Rahmen: hinleiten]	COMPLETE	PORTABLE_WORDING_AVAILABLE	NO	den Ansatz an bezeichnete Stelle führen	NO	NO	1
