commission_step	event_id	page	record	statement_id	statement_position	owner_action	owner_noun_de	master_dictation_de	component_recipe	lesson_source	lesson_anchor	recipe_address	lookup_result	allowed_card_nos	selected_card_no	allowed_surfaces	copied_surface	likely_master_correction	readback_de
74	E157	f81v	B1	B1-S017	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	KURZ · FORTSETZEN	E+OL	KNOWN_ROOT_TRAY_EXTENSION	E	A032	DIRECT_CARD	PROC093	PROC093	teol	teol	COPY_EXACT_NO_SEMANTIC_REPAIR	KURZ · FORTSETZEN
75	E158	f81v	B1	B1-S017	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	UMSETZEN · SCHLUSS	CHD+DY	RECURRENT_FAMILY	CHD+DY	A021	CHOOSE_LOCAL_CARD_VARIANT	PROC076|PROC094	PROC094	dchedy|schedy|tchedy; dchdy	dchdy	OPEN_DIES_VS_CLOSE+LOCAL_CARD_VARIANT+COPY_SURFACE_DO_NOT_REGULARIZE	UMSETZEN · SCHLUSS
76	E159	f81v	B1	B1-S018	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	WEITERLEITEN · DIES	L+Y	RECURRENT_SAME_HEAD_ANCHOR	L	A058	DIRECT_CARD	PROC095	PROC095	ly	ly	OPEN_DIES_VS_CLOSE	WEITERLEITEN · DIES
77	E160	f81v	B1	B1-S018	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	HALTEN · KURZ · FORTSETZEN	SH+E+OL	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	A134	DIRECT_CARD	PROC096	PROC096	dsheol	dsheol	COPY_EXACT_NO_SEMANTIC_REPAIR	HALTEN · KURZ · FORTSETZEN
78	E161	f81v	B1	B1-S018	MIDDLE	CARRY_OWNER	das gemeinsame zweireihige Becken	GANG · STUFE	O+IIN	RECURRENT_FAMILY	O+IIN	A072	DIRECT_CARD	PROC097	PROC097	oiiin|soiiin	oiiin	COPY_SURFACE_DO_NOT_REGULARIZE	GANG · STUFE
79	E162	f81v	B1	B1-S018	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	AUFFANGEN · LANG · SCHLUSS	SOLK+EE+DY	RECURRENT_FAMILY	SOLK+EE+DY	A152	DIRECT_CARD	PROC098	PROC098	olkeedy|solkeedy	olkeedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	AUFFANGEN · LANG · SCHLUSS
80	E163	f81v	B1	B1-S019	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ABSETZEN · SCHLUSS	SHED+DY	RECURRENT_FAMILY	SHED+DY	A148	DIRECT_CARD	PROC078	PROC078	cheedy|shedy|tedy	tedy	OPEN_DIES_VS_CLOSE+COPY_SURFACE_DO_NOT_REGULARIZE	ABSETZEN · SCHLUSS
81	E164	f81v	B1	B1-S020	FIRST	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	WAERMEN · KURZ · DIES	CHK+E+Y	RECURRENT_FAMILY	CHK+E+Y	A023	DIRECT_CARD	PROC083	PROC083	cheky	cheky	OPEN_DIES_VS_CLOSE	WAERMEN · KURZ · DIES
82	E165	f81v	B1	B1-S020	LAST	CARRY_OWNER	das gemeinsame zweireihige Becken	HALTEN · DURCHLASS · KURZ · SCHLUSS	SH+CKH+E+DY	RECURRENT_FAMILY	SH+CKH+E+DY	A140	DIRECT_CARD	PROC099	PROC099	shckhedy	shckhedy	OPEN_DIES_VS_CLOSE	HALTEN · DURCHLASS · KURZ · SCHLUSS
83	E166	f81v	B1	B1-S021	ONLY	CARRY_OWNER_TO_NEW_STATEMENT	das gemeinsame zweireihige Becken	ZIEL	AL	RECURRENT_FAMILY	AL	A004	DIRECT_CARD	PROC055	PROC055	al|chal|cheal|dal|sal|tal	chal	SOURCE_VS_TARGET+COPY_SURFACE_DO_NOT_REGULARIZE	ZIEL
