unified_serial	domain	page	unit_id	local_address	visible_identity	owner_or_namespace	construction_or_event	short_form_reading	concrete_unit_reading_de	unit_program_word_ids	unit_program_words_de	anchor_mix	provenance_warning
161	BATH_AND_SERVICE	f81v	B1	B1-S018	oiiin	B1_SHARED_TWO_ROW_POOL	C10	Setze Maß, Portion oder Stufe: Sollstufe.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
162	BATH_AND_SERVICE	f81v	B1	B1-S018	olkeedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
163	BATH_AND_SERVICE	f81v	B1	B1-S019	tedy	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
164	BATH_AND_SERVICE	f81v	B1	B1-S020	cheky	B1_SHARED_TWO_ROW_POOL	C03	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
165	BATH_AND_SERVICE	f81v	B1	B1-S020	shckhedy	B1_SHARED_TWO_ROW_POOL	C08	Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
166	BATH_AND_SERVICE	f81v	B1	B1-S021	chal	B1_SHARED_TWO_ROW_POOL	C11	Setze die bezeichnete Zielstelle: dorthin.	Im gemeinsamen zweireihigen Becken Badwasser mit Kräuterzusatz auf Badwärme bringen. Die Badenden für die Badezeit an der bezeichneten Körperstelle waschen oder im Teilbad halten; danach durch den Seihgang zum Ablauf führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B07;B_B08;B_B11;B_B13	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Körperstelle;Teilbad;Seihgang;Ablauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=6	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
167	BATH_AND_SERVICE	f82r	B2	B2-S001	dchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C08	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
168	BATH_AND_SERVICE	f82r	B2	B2-S002	qolchedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: weiterüberführen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
169	BATH_AND_SERVICE	f82r	B2	B2-S003	qokain	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
170	BATH_AND_SERVICE	f82r	B2	B2-S003	dy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C12	Nimm diesen Posten wieder auf: dieser Posten.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
171	BATH_AND_SERVICE	f82r	B2	B2-S003	qokeedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
172	BATH_AND_SERVICE	f82r	B2	B2-S004	qokal	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
173	BATH_AND_SERVICE	f82r	B2	B2-S004	lcheckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: Ausgangsdurchlass.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
174	BATH_AND_SERVICE	f82r	B2	B2-S004	lched	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abführen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
175	BATH_AND_SERVICE	f82r	B2	B2-S004	qokeey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
176	BATH_AND_SERVICE	f82r	B2	B2-S004	lcheckhedy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abseihen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
177	BATH_AND_SERVICE	f82r	B2	B2-S005	qokaly	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dies dort ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
178	BATH_AND_SERVICE	f82r	B2	B2-S005	solkaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
179	BATH_AND_SERVICE	f82r	B2	B2-S005	chckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C07	Führe es mit diesem laufenden Posten aus: durchleiten.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
180	BATH_AND_SERVICE	f82r	B2	B2-S005	qokaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
181	BATH_AND_SERVICE	f82r	B2	B2-S005	qokaiin	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
182	BATH_AND_SERVICE	f82r	B2	B2-S005	octheol	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: bereitgestellten Gang fortsetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
183	BATH_AND_SERVICE	f82r	B2	B2-S005	chkeey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
184	BATH_AND_SERVICE	f82r	B2	B2-S005	ldy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C01	Setze die gelernte Fachkarte: abziehen; Ende.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
185	BATH_AND_SERVICE	f82r	B2	B2-S006	oteey	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C02	Danach oder in demselben Gang: langer Folgeposten.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
186	BATH_AND_SERVICE	f82r	B2	B2-S006	qokal	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C04	Führe es an der bezeichneten Stelle aus: dort ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
187	BATH_AND_SERVICE	f82r	B2	B2-S006	sheckhy	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C03	Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
188	BATH_AND_SERVICE	f82r	B2	B2-S006	qoky	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
189	BATH_AND_SERVICE	f82r	B2	B2-S007	dshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
190	BATH_AND_SERVICE	f82r	B2	B2-S008	sotaiin	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C02	Danach oder in demselben Gang: Folgemaß.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
191	BATH_AND_SERVICE	f82r	B2	B2-S008	qokar	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C05	Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
192	BATH_AND_SERVICE	f82r	B2	B2-S008	shedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C03	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
193	BATH_AND_SERVICE	f82r	B2	B2-S009	solshedy	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	C02	Danach oder in demselben Gang: weiter absetzen; Schluss.	Die fünf sichtbaren Beckenstationen einzeln neu einrichten. Badwasser am Einlass in den örtlichen Wasserlauf geben, Kräuterzusatz und Badwärme einstellen, die Badenden für die Badezeit im Teilbad halten und jede Station getrennt zum Ablauf oder Seihgang führen.	B_B01;B_B02;B_B03;B_B04;B_B05;B_B06;B_B08;B_B11;B_B12;B_B13;B_B14	Badende;Becken;Badwasser;Kräuterzusatz;Badwärme;Badezeit;Teilbad;Seihgang;Einlass;Ablauf;Wasserlauf	RECURRING_CARD_ANCHORED=4;VISIBLE_OWNER_ANCHORED=7	UNIT_PROGRAM_NOT_ONE_WORD_PER_VISIBLE_GROUP
