repeated_event_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	duplicate_full_phrases_de	duplicate_topologies	duplicate_group_count	extra_mention_count	working_clause_de	guard
75	G407-E4040	G407-S663	f88v	PHARMA	daimd	DA+IIN+M_LOCAL+D_ADDR	GDT575-D079	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Im laufenden Gang setze denselben Mengenwert als Ansatz an; auf der zweiten Stufe und auf der bezeichneten Stufe; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
76	G407-E4152	G407-S672	f89r	PHARMA	daim	A_ADDR+LOCAL_CHAR_I+M_LOCAL	GDT575-D080	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Gang setze denselben Drogenposten als Ansatz an; an der bezeichneten Stelle, mit der lokalen Variante und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
77	G407-E4178	G407-S672	f89r	PHARMA	chead	CH+E+A_ADDR+D_ADDR	GDT575-D081	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Nimm denselben Drogenposten; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
78	G407-E4201	G407-S675	f89r	PHARMA	daim	A_ADDR+LOCAL_CHAR_I+M_LOCAL	GDT575-D082	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Gang nimm denselben Drogenposten; an der bezeichneten Stelle, mit der lokalen Variante und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
79	G407-E4353	G407-S685	f89r	PHARMA	doigom	D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	GDT575-D083|GDT575-D084|GDT575-D085	als Ausführung|an der bezeichneten Stelle|mit der lokalen Variante	SAME_ROOT_INTERRUPTED|DIFFERENT_ROOTS_INTERRUPTED|DIFFERENT_ROOTS_RAW_ADJACENT	3	3	Im laufenden Gang nimm denselben Drogenposten; als Ausführung und als Ausführung; an der bezeichneten Stelle, mit der lokalen Variante, mit der lokalen Variante und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
80	G407-E4380	G407-S685	f89r	PHARMA	ocheol	O+CH+E+O+L	GDT575-D086	als Ausführung	SAME_ROOT_INTERRUPTED	1	1	Nimm denselben Mengenwert; über die Gefäßverbindung; als Ausführung, auf Grad I und als Ausführung.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
81	G407-E4467	G407-S695	f95v	HERBAL	alfshed	AL+LOCAL_CHAR_F+SH+E+D_ADDR	GDT575-D087	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Halte denselben Materialanteil; zur Zielstelle; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
82	G407-E4493	G407-S698	f95v	HERBAL	shekshey	SH+E+K+SH+E+Y	GDT575-D088	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Halte den Pflanzenposten, gib ihn zu und halte ihn; auf Grad I und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
83	G407-E4528	G407-S707	f95v	HERBAL	fchodaiin	LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	GDT575-D089	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Nimm den Arbeitswert; als Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
84	G515-E0104	G515-S008	f20v	HERBAL	fshodchy	LOCAL_CHAR_F+SH+O+D_ADDR+CH+Y	GDT575-D090	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Halte den Pflanzenposten und nimm ihn; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
85	G515-E0239	G515-S023	f31r	HERBAL	qoekedy	CARRIER_Q+O+E+K+E+DY	GDT575-D091	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Gib dieselbe Arbeitseinheit zu; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
86	G515-E0251	G515-S027	f31r	HERBAL	okedam	OK+E+D_ADDR+AM_ADDR	GDT575-D092	an der bezeichneten Stelle	DIFFERENT_ROOTS_RAW_ADJACENT	1	1	Setze denselben Pflanzenposten im Arbeitsgang an; auf Grad I; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
87	G515-E0379	G515-S042	f66r	SOURCE_SECTION_T	dalalshedy	AL+AL+SH+E+DY	GDT575-D093	zur Zielspalte	SAME_ROOT_RAW_ADJACENT	1	1	Halte denselben laufenden Eintrag fest; zur Zielspalte und zur Zielspalte; auf Grad I; schließe den Schritt.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
88	G515-E0415	G515-S047	f66r	SOURCE_SECTION_T	sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	GDT575-D094	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Weiter: halte die Eintragseinheit und den Kennwert fest; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
89	G515-E0422	G515-S047	f66r	SOURCE_SECTION_T	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	GDT575-D095	an der bezeichneten Stelle	DIFFERENT_ROOTS_INTERRUPTED	1	1	Im laufenden Satz bearbeite denselben laufenden Eintrag; von der Ausgangszeile; zur Ausführung; an der bezeichneten Stelle und an der bezeichneten Stelle.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
90	G515-E0525	G515-S067	f66r	SOURCE_SECTION_T	oteochey	OT+E+O+CH+E+Y	GDT575-D096	auf Grad I	SAME_ROOT_INTERRUPTED	1	1	Danach: entnimm den laufenden Eintrag; auf Grad I, als Ausführung und auf Grad I.	EVENT_INVENTORY_ONLY__CLAUSE_BYTE_UNCHANGED
