card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	source_component_parse	expanded_semantic_parts	semantic_part_count	morphological_class	literal_pocket_reading_de	apprentice_rule_de
PROC101	f329f2051370174e9a38	lcheckhy	1	E173	BIOLOGICAL	B2	L+CKH+Y	L+CKH+Y	3	FULL_COMPONENT_COMPOSITION	führen · Durchlass · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC102	ba8142680851f24c9ff2	lched	1	E174	BIOLOGICAL	B2	L+CHD	L+CHD	2	FULL_COMPONENT_COMPOSITION	führen · umsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC103	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	E176	BIOLOGICAL	B2	L+CKHE+DY	L+CKH+E+DY	4	FULL_COMPONENT_COMPOSITION	führen · Durchlass · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC104	4a7a6326ac95a8809302	qokaly	1	E177	BIOLOGICAL	B2	OK+AL+Y	OK+AL+Y	3	FULL_COMPONENT_COMPOSITION	ansetzen · Zielstelle · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC105	2d2e37ccb2dacc53ee5a	solkaiin	1	E178	BIOLOGICAL	B2	SOLK+AIIN	SOLK+AIIN	2	FULL_COMPONENT_COMPOSITION	auffangen · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC106	a8f891de626fc00028e9	octheol	1	E182	BIOLOGICAL	B2	O+CTH+E+OL	O+CTH+E+OL	4	FULL_COMPONENT_COMPOSITION	Arbeitsgang · bereit · kurz · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC107	f0db6d30cd34f4cb2a4d	chkeey	1	E183	BIOLOGICAL	B2	CHK+EE+Y	CHK+EE+Y	3	FULL_COMPONENT_COMPOSITION	wärmen · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC108	04a3877f0fc81b7597c9	ldy	2	E184|E308	BIOLOGICAL	B2|B3	L+DY	L+DY	2	FULL_COMPONENT_COMPOSITION	führen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC109	5d5e0b288cf36864ed9d	oteey	2	E185|E218	BIOLOGICAL	B2	OT+EE+Y	OT+EE+Y	3	FULL_COMPONENT_COMPOSITION	danach · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC110	c1913ec4ff84148da6d3	sheckhy	1	E187	BIOLOGICAL	B2	SH+E+CKH+Y	SH+E+CKH+Y	4	FULL_COMPONENT_COMPOSITION	halten · kurz · Durchlass · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC111	cbb42a4fe68068325d6b	dshedy	1	E189	BIOLOGICAL	B2	SH+E+DY	SH+E+DY	3	FULL_COMPONENT_COMPOSITION	halten · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC112	54d0e228ca346110af05	otaiin|sotaiin	3	E190|E306|E312	BIOLOGICAL	B2|B3	OT+AIIN	OT+AIIN	2	FULL_COMPONENT_COMPOSITION	danach · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC113	3ae9a121ba0045b913e8	qokar	1	E191	BIOLOGICAL	B2	OK+AR	OK+AR	2	FULL_COMPONENT_COMPOSITION	ansetzen · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC114	daa1347f456415fe8737	solshedy	1	E193	BIOLOGICAL	B2	OL+SH+E+DY	OL+SH+E+DY	4	FULL_COMPONENT_COMPOSITION	fortsetzen · halten · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC115	5eff216ba51fbfb21f22	ls	1	E196	BIOLOGICAL	B2	LS	OL	1	ATOMIC_CORE_CARD	fortsetzen	Kernwert direkt lesen.
PROC116	0ab57b7166de99db3a55	lchy	1	E202	BIOLOGICAL	B2	L+CH+Y	L+CH+Y	3	FULL_COMPONENT_COMPOSITION	führen · abziehen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC117	6b89d6dd70635bc60fe0	qcthey|shcthey	2	E204|E258	BIOLOGICAL	B2|B3	CTH+E+Y	CTH+E+Y	3	FULL_COMPONENT_COMPOSITION	bereit · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC118	5fca8fc3dee57e1d8c1f	lcheey	1	E206	BIOLOGICAL	B2	L+EE+Y	L+EE+Y	3	FULL_COMPONENT_COMPOSITION	führen · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC119	d25110e0d8488927278f	qokeeedy	1	E209	BIOLOGICAL	B2	OK+EEE+DY	OK+EEE+DY	3	FULL_COMPONENT_COMPOSITION	ansetzen · vollständig · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC120	de7321bface5628e35d6	lchedy	8	E210|E235|E246|E262|E269|E282|E345|E357	BIOLOGICAL	B2|B3|B4	L+CHD+DY	L+CHD+DY	3	FULL_COMPONENT_COMPOSITION	führen · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC121	29e0eb222ef2fb99523a	lar	1	E211	BIOLOGICAL	B2	L+AR	L+AR	2	FULL_COMPONENT_COMPOSITION	führen · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC122	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	BIOLOGICAL	B2	SH+E+Y	SH+E+Y	3	FULL_COMPONENT_COMPOSITION	halten · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC123	0f15effeca7ab10bb026	lchedar	1	E215	BIOLOGICAL	B2	L+CHD+AR	L+CHD+AR	3	FULL_COMPONENT_COMPOSITION	führen · umsetzen · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC124	db729b598e89e11452e0	ches	1	E216	BIOLOGICAL	B2	WHOLE[ches]	PROC124	1	MEMORIZED_WHOLE_SIGN	teilen	Ganzzeichen als einen kurzen Werkstattwert lernen.
PROC125	65df3cd9e59060042d47	pchedy	1	E221	BIOLOGICAL	B2	P+CHD+DY	P+CHD+DY	3	FULL_COMPONENT_COMPOSITION	hinein · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC126	98bdc4244c84cbef3321	rsheal	1	E222	BIOLOGICAL	B2	R+SH+E+AL	R+SH+E+AL	4	FULL_COMPONENT_COMPOSITION	abkühlen · halten · kurz · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC127	78b3b3140714da19090d	daldy	1	E223	BIOLOGICAL	B2	AL+DY	AL+DY	2	FULL_COMPONENT_COMPOSITION	Zielstelle · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC128	7f68f60279efe6b28cd7	rshedy	1	E225	BIOLOGICAL	B2	R+SHED+DY	R+SHED+DY	3	FULL_COMPONENT_COMPOSITION	abkühlen · absetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC129	ff178343c18e287ce3b7	qoteedy	2	E226|E292	BIOLOGICAL	B2|B3	OT+EE+DY	OT+EE+DY	3	FULL_COMPONENT_COMPOSITION	danach · länger · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC130	f2af6326898fb5b490a4	lochedy	1	E228	BIOLOGICAL	B2	L+O+CHD+DY	L+O+CHD+DY	4	FULL_COMPONENT_COMPOSITION	führen · Arbeitsgang · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC131	90bcf0a9ec0ef56399e6	otal|qotal	3	E230|E237|E320	BIOLOGICAL	B3|B4	OT+AL	OT+AL	2	FULL_COMPONENT_COMPOSITION	danach · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC132	a84fbe3ad380df345b97	chkeedy	1	E231	BIOLOGICAL	B3	CHK+EE+DY	CHK+EE+DY	3	FULL_COMPONENT_COMPOSITION	wärmen · länger · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC133	5e8441397e7c0faf042b	chedchy	1	E240	BIOLOGICAL	B3	CHD+Y	CHD+Y	2	FULL_COMPONENT_COMPOSITION	umsetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC134	ba540da978ea132f6da5	pchedal	1	E248	BIOLOGICAL	B3	P+CHD+AL	P+CHD+AL	3	FULL_COMPONENT_COMPOSITION	hinein · umsetzen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC135	c45ebac60774620561e2	otedy	2	E249|E307	BIOLOGICAL	B3	OT+E+DY	OT+E+DY	3	FULL_COMPONENT_COMPOSITION	danach · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC136	348e81ba084c5acdb32b	shecthedchy	1	E250	BIOLOGICAL	B3	SH+E+CTH+CHD+Y	SH+E+CTH+CHD+Y	5	FULL_COMPONENT_COMPOSITION	halten · kurz · bereit · umsetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC137	0bdc8b6db811b4e67a63	chary	1	E253	BIOLOGICAL	B3	AR+Y	AR+Y	2	FULL_COMPONENT_COMPOSITION	von dort · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC138	7d2404c835b10a2c06af	okair	1	E260	BIOLOGICAL	B3	OK+AIR	OK+AIR	2	FULL_COMPONENT_COMPOSITION	ansetzen · Lauf	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC139	03626ca94cb17800d767	sheedy	1	E261	BIOLOGICAL	B3	SH+EE+DY	SH+EE+DY	3	FULL_COMPONENT_COMPOSITION	halten · länger · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC140	2b7fa918d1b2f5c656e3	lo	1	E263	BIOLOGICAL	B3	L+O	L+O	2	FULL_COMPONENT_COMPOSITION	führen · Arbeitsgang	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC141	db167f8e9b53eefb58f8	qokshedy	1	E267	BIOLOGICAL	B3	OK+SH+E+DY	OK+SH+E+DY	4	FULL_COMPONENT_COMPOSITION	ansetzen · halten · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC142	abb23e5e6936b4147f76	shedal	2	E275|E364	BIOLOGICAL	B3|B5	SHED+AL	SHED+AL	2	FULL_COMPONENT_COMPOSITION	absetzen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC143	cb57b696b815fdef9cb7	shecthy	1	E276	BIOLOGICAL	B3	SH+E+CTH+Y	SH+E+CTH+Y	4	FULL_COMPONENT_COMPOSITION	halten · kurz · bereit · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC144	2bc2ed2630dbdaaa6b59	dalchdy	1	E280	BIOLOGICAL	B3	AL+CHD+DY	AL+CHD+DY	3	FULL_COMPONENT_COMPOSITION	Zielstelle · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC145	4de12cf322dfb76ded1e	otchedy|qotchedy	2	E281|E301	BIOLOGICAL	B3	OT+CHD+DY	OT+CHD+DY	3	FULL_COMPONENT_COMPOSITION	danach · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC146	342c3f0777337648f4b3	cheedar	1	E285	BIOLOGICAL	B3	EE+AR	EE+AR	2	FULL_COMPONENT_COMPOSITION	länger · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC147	d72f71baff01cd0a0406	chldaiin	1	E286	BIOLOGICAL	B3	L+AIIN	L+AIIN	2	FULL_COMPONENT_COMPOSITION	führen · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC148	d788d8d72d41b25a3c71	chealror	1	E290	BIOLOGICAL	B3	AL+R+OR	AL+R+OR	3	FULL_COMPONENT_COMPOSITION	Zielstelle · abkühlen · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC149	9247e38d29c79a0d2fa5	cheeety	1	E296	BIOLOGICAL	B3	EEE+T+Y	EEE+T+Y	3	FULL_COMPONENT_COMPOSITION	vollständig · eintragen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC150	b154ff779abe5f196c80	schedair	1	E300	BIOLOGICAL	B3	CHD+AIR	CHD+AIR	2	FULL_COMPONENT_COMPOSITION	umsetzen · Lauf	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC151	d784b2abcaf1a3703de2	chedain	1	E303	BIOLOGICAL	B3	CHD+AIN	CHD+AIN	2	FULL_COMPONENT_COMPOSITION	umsetzen · Portion	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC152	1779decef17481ec2853	qotedaiin	1	E305	BIOLOGICAL	B3	OT+E+AIIN	OT+E+AIIN	3	FULL_COMPONENT_COMPOSITION	danach · kurz · Maß	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC153	7811a7daff25d476e28d	olsaly	1	E313	BIOLOGICAL	B3	OL+AL+Y	OL+AL+Y	3	FULL_COMPONENT_COMPOSITION	fortsetzen · Zielstelle · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC154	e2eb77ca9d9e1a8ba29a	qolchey	1	E316	BIOLOGICAL	B4	OL+Y	OL+Y	2	FULL_COMPONENT_COMPOSITION	fortsetzen · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC155	eb2e4bc143f623ee03ac	qokylddy	1	E326	BIOLOGICAL	B4	OK+Y+LDDY	OK+Y+LDDY	3	FULL_COMPONENT_COMPOSITION	ansetzen · dies · befestigen; Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC156	53cd0637c6820ba5e91f	dain	2	E327|E379	BIOLOGICAL	B4|B6	AIN	AIN	1	ATOMIC_CORE_CARD	Portion	Kernwert direkt lesen.
PROC157	92e43836d82f98bf02d3	sheey	1	E334	BIOLOGICAL	B4	SH+EE+Y	SH+EE+Y	3	FULL_COMPONENT_COMPOSITION	halten · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC158	daf32e6db9e04413ce7f	okeeol	1	E340	BIOLOGICAL	B4	OK+EE+OL	OK+EE+OL	3	FULL_COMPONENT_COMPOSITION	ansetzen · länger · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC159	b958a512ca6a3559e86e	lkedy	1	E344	BIOLOGICAL	B4	L+K+E+DY	L+K+E+DY	4	FULL_COMPONENT_COMPOSITION	führen · zuführen · kurz · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC160	232195d6ff2f326322f7	qokol	1	E346	BIOLOGICAL	B4	OK+OL	OK+OL	2	FULL_COMPONENT_COMPOSITION	ansetzen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC161	ecce30bc8dcc400bf2c8	qockhey	1	E350	BIOLOGICAL	B4	O+CKH+E+Y	O+CKH+E+Y	4	FULL_COMPONENT_COMPOSITION	Arbeitsgang · Durchlass · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC162	8aedd154964a78e555d6	dairydy	1	E351	BIOLOGICAL	B4	AIR+Y+DY	AIR+Y+DY	3	FULL_COMPONENT_COMPOSITION	Lauf · dies · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC163	21ed2873b71e57269c08	chckhal	1	E355	BIOLOGICAL	B4	CH+CKH+AL	CH+CKH+AL	3	FULL_COMPONENT_COMPOSITION	abziehen · Durchlass · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC164	42cdc187d5b9ffc60063	solkey	1	E356	BIOLOGICAL	B4	SOLK+E+Y	SOLK+E+Y	3	FULL_COMPONENT_COMPOSITION	auffangen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC165	883a6708116c342cb10b	skar	1	E360	BIOLOGICAL	B4	K+AR	K+AR	2	FULL_COMPONENT_COMPOSITION	zuführen · von dort	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC166	601b77449028deed39de	otchdy	1	E362	BIOLOGICAL	B5	OT+CHD+DY	OT+CHD+DY	3	FULL_COMPONENT_COMPOSITION	danach · umsetzen · Schluss	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC167	8c97dfde96fbc78e3355	lol	1	E367	BIOLOGICAL	B5	L+OL	L+OL	2	FULL_COMPONENT_COMPOSITION	führen · fortsetzen	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC168	00d8ebe3c68294eeac39	chdal	1	E368	BIOLOGICAL	B5	CHD+AL	CHD+AL	2	FULL_COMPONENT_COMPOSITION	umsetzen · Zielstelle	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC169	fcc1deda9e24ec268eb0	daiiin	1	E371	BIOLOGICAL	B5	WHOLE[daiiin]	IIN+GRADE_II	2	COMPRESSED_KNOWN_VALUE_SIGN	Sollstufe · zweite	Komprimiertes Zeichen auf bekannte Sollstufe II zurückführen.
PROC170	1bfd786e6b8b63734a59	solkeey	1	E373	BIOLOGICAL	B6	SOLK+EE+Y	SOLK+EE+Y	3	FULL_COMPONENT_COMPOSITION	auffangen · länger · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC171	43eb9aa12959b4d5cdc9	qekey	1	E374	BIOLOGICAL	B6	E+K+E+Y	E+K+E+Y	4	FULL_COMPONENT_COMPOSITION	kurz · zuführen · kurz · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC172	3e9c7f217843b588489d	raly	1	E375	BIOLOGICAL	B6	R+AL+Y	R+AL+Y	3	FULL_COMPONENT_COMPOSITION	abkühlen · Zielstelle · dies	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
PROC173	97ddca78c9ebcc956d04	ldalor	1	E381	BIOLOGICAL	B6	L+AL+OR	L+AL+OR	3	FULL_COMPONENT_COMPOSITION	führen · Zielstelle · Ansatz	Komponenten von links nach rechts lesen; Bildbesitzer ergänzt DIES, DORT und STELLE.
