patched_statement_ordinal	statement_id	physical_page	bath_action_count	object_patch_count	patched_event_ids	patched_host_keys	selected_object_sequence_de	gdt590_primary_reader_de	gdt592_primary_reader_de	guard
34	G407-S331	f77r	1	1	G407-E2450	ACTION:G407-E2450@1:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
35	G407-S332	f77r	1	1	G407-E2452	ACTION:G407-E2452@1:SH	Badegut	Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle vor. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle vor. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
36	G407-S333	f77r	1	1	G407-E2457	ACTION:G407-E2457@2:SH	Badegut	Leite den Strom über den Stationskontakt oder die Leitung um. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Leite den Strom über den Stationskontakt oder die Leitung um. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
37	G407-S334	f77r	1	1	G407-E2461	ACTION:G407-E2461@1:SH	Badegut	"Beginne danach den nächsten Arbeitsgang.

Behandle das Stationsmaß und den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang."	"Beginne danach den nächsten Arbeitsgang.

Behandle das Stationsmaß und den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
38	G407-S340	f77r	2	1	G407-E2471	ACTION:G407-E2471@1:SH	Stationsansatz	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle. Wähle das Stationsmaß aus. Halte im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle. Wähle das Stationsmaß aus. Halte denselben Stationsansatz im Bad auf Grad II. Lass den Körper anschließend abkühlen. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
39	G407-S341	f77r	3	2	G407-E2480|G407-E2481	ACTION:G407-E2480@1:SH|ACTION:G407-E2481@1:SH	Stationsansatz→Stationsansatz	Verwende für den vorangehenden Arbeitsschritt über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Halte im Bad auf Grad II und an der Stations-Endstelle. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe auf Grad I zu. Schließe den Arbeitsgang.	Verwende für den vorangehenden Arbeitsschritt über den Stationskontakt oder die Leitung. Fahre im selben Arbeitsgang fort. Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab. Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform. Halte den Stationsansatz im Bad auf Grad II und an der Stations-Endstelle. Halte denselben Stationsansatz im Bad auf Grad I. Entnimm oder lass ab. Führe auf Grad I zu. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
40	G407-S345	f77r	1	1	G407-E2495	ACTION:G407-E2495@1:SH	Stationsansatz	"Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beschicke oder bereite den Stationsansatz, das Stations- oder Badmaß und die Anwendungsportion auf Grad II und über den Stationskontakt oder die Leitung vor. Beginne danach den nächsten Arbeitsgang.

Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang."	"Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Beschicke oder bereite den Stationsansatz, das Stations- oder Badmaß und die Anwendungsportion auf Grad II und über den Stationskontakt oder die Leitung vor. Beginne danach den nächsten Arbeitsgang.

Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken. Beschicke oder bereite auf Grad II vor. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
41	G407-S348	f77r	1	1	G407-E2503	ACTION:G407-E2503@1:SH	Badegut	Behandle das Stationsmaß. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Behandle das Stationsmaß. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
42	G407-S354	f77r	1	1	G407-E2520	ACTION:G407-E2520@1:SH	Badegut	Beschicke oder bereite den Stationsansatz vor. Halte im Bad auf Grad I. Beschicke oder bereite den Stationsansatz vor. Beschicke oder bereite das Stations- oder Badmaß vor. Behandle den Stationsansatz. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz vor. Halte das zu badende Gut im Bad auf Grad I. Beschicke oder bereite den Stationsansatz vor. Beschicke oder bereite das Stations- oder Badmaß vor. Behandle den Stationsansatz. Behandle den Ansatz über den Stationskontakt oder die Leitung. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
43	G407-S358	f77r	1	1	G407-E2537	ACTION:G407-E2537@1:SH	Badegut	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
44	G407-S359	f77r	1	1	G407-E2539	ACTION:G407-E2539@1:SH	Stationsansatz	"Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken. Behandle den Stationsansatz und die Stationseinheit an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang."	"Beschicke oder bereite zur Zielstation oder ins Zielbecken vor. Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken. Behandle den Stationsansatz und die Stationseinheit an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
45	G407-S362	f77r	1	1	G407-E2552	ACTION:G407-E2552@1:SH	Badegut	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Wähle die Einheit aus. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite die Anwendungsportion vor. Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor. Wähle die Einheit aus. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite die Anwendungsportion vor. Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
46	G407-S372	f77r	1	1	G407-E2597	ACTION:G407-E2597@1:SH	Badegut	"Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform und auf der Anwendungsstufe. Entnimm oder lass auf Grad II ab. Reguliere den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2594@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Verwende für den vorangehenden Arbeitsschritt in Anwendungsform und auf der Anwendungsstufe. Entnimm oder lass auf Grad II ab. Reguliere den Stationsansatz. Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2594@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
47	G407-S374	f77r	1	1	G407-E2608	ACTION:G407-E2608@1:SH	Badegut	Beschicke oder bereite das Stations- oder Badmaß vor. Beschicke oder bereite das Stations- oder Badmaß vor. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Führe den Stationsansatz zu. Kennzeichne oder prüfe das Stations- oder Badmaß. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beschicke oder bereite das Stations- oder Badmaß vor. Behandle den Stationsansatz. Beschicke oder bereite die Anwendungsportion vor. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Beschicke oder bereite das Stations- oder Badmaß vor. Beschicke oder bereite das Stations- oder Badmaß vor. Entnimm oder lass auf Grad I ab. Entnimm oder lass ab. Führe den Stationsansatz zu. Kennzeichne oder prüfe das Stations- oder Badmaß. Fahre im selben Arbeitsgang fort. Führe den Stationsansatz zu. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Beschicke oder bereite das Stations- oder Badmaß vor. Behandle den Stationsansatz. Beschicke oder bereite die Anwendungsportion vor. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
48	G407-S375	f77r	1	1	G407-E2612	ACTION:G407-E2612@1:SH	Badegut	Beschicke oder bereite das Stations- oder Badmaß vor. Behandle das Stationsmaß und den Stationsansatz zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite das Stations- oder Badmaß vor. Behandle das Stationsmaß und den Stationsansatz zur Zielstation oder ins Zielbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
49	G407-S380	f77r	1	1	G407-E2628	ACTION:G407-E2628@1:SH	Badegut	Wende an. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Wende an. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
50	G407-S381	f77r	1	1	G407-E2634	ACTION:G407-E2634@1:SH	Badegut	Beschicke oder bereite den Stationsansatz und das Stations- oder Badmaß in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle vor. Entnimm oder lass ab. Entnimm oder lass ab. Wende den Stationsansatz auf Grad I an. Fahre im selben Arbeitsgang fort. Reguliere das Stationsmaß über den Stationskontakt oder die Leitung. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz und das Stations- oder Badmaß in Anwendungsform, auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle vor. Entnimm oder lass ab. Entnimm oder lass ab. Wende den Stationsansatz auf Grad I an. Fahre im selben Arbeitsgang fort. Reguliere das Stationsmaß über den Stationskontakt oder die Leitung. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
51	G407-S382	f77r	4	2	G407-E2638|G407-E2641	ACTION:G407-E2638@1:SH|ACTION:G407-E2641@1:SH	Körper→Stationsansatz	Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad bei der angegebenen Füllung auf Grad II. Halte im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung. Führe den Stationsansatz und das Stations- oder Badmaß zu. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Halte den Körper im Bad bei der angegebenen Füllung auf Grad II. Halte denselben Körper im Bad auf Grad I. Entnimm oder lass ab. Führe den Stationsansatz auf Grad I zu. Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung. Führe den Stationsansatz und das Stations- oder Badmaß zu. Halte denselben Stationsansatz im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
52	G407-S384	f77r	2	2	G407-E2647|G407-E2649	ACTION:G407-E2647@1:SH|ACTION:G407-E2649@1:SH	Badegut→Stationsansatz	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte die Badfüllung. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Halte im Bad in Anwendungsform. Schließe den Arbeitsgang."	"Beschicke oder bereite das Stations- oder Badmaß vor. Halte das zu badende Gut im Bad bei der angegebenen Füllung. Verwende für den vorangehenden Arbeitsschritt auf Grad II. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Halte den Stationsansatz im Bad in Anwendungsform. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
53	G407-S390	f77r	1	1	G407-E2670	ACTION:G407-E2670@1:SH	Badegut	"Beschicke oder bereite den Stationsansatz auf Grad II vor. Leite die angegebene Menge zur Zielstation oder ins Zielbecken um. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Halte im Bad auf Grad II. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz und das Stations- oder Badmaß auf Grad II und an der Stations-Arbeitsstelle ab. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang."	"Beschicke oder bereite den Stationsansatz auf Grad II vor. Leite die angegebene Menge zur Zielstation oder ins Zielbecken um. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Halte das zu badende Gut im Bad auf Grad II. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz und das Stations- oder Badmaß auf Grad II und an der Stations-Arbeitsstelle ab. Beginne danach den nächsten Arbeitsgang.

Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Schließe den Arbeitsgang."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
54	G407-S396	f81r	3	2	G407-E2731|G407-E2736	ACTION:G407-E2731@1:SH|ACTION:G407-E2736@1:SH	Stationsansatz→Stationsansatz	"Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz auf Grad I ab. Halte den Zustand zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Behandle den Ansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz über den Stationskontakt oder die Leitung vor. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte im Bad auf Grad II und an der Stations-Endstelle. Fahre im selben Arbeitsgang fort. Führe zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2719@3:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Halte den Stationsansatz im Bad in Anwendungsform, in Feinform und an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Entnimm oder lass den Stationsansatz auf Grad I ab. Halte den Zustand zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung. Behandle den Ansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Beginne danach den nächsten Arbeitsgang.

Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz über den Stationskontakt oder die Leitung vor. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Halte den Stationsansatz im Bad auf Grad II und an der Stations-Endstelle. Fahre im selben Arbeitsgang fort. Führe zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor. Halte denselben Stationsansatz im Bad auf Grad I. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2719@3:SH: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
55	G407-S397	f81r	2	1	G407-E2760	ACTION:G407-E2760@2:SH	Stationsansatz	"Behandle den Stationsansatz an der Stations-Arbeitsstelle. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Führe den Stationsansatz auf Grad II, an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Beschicke oder bereite den Stationsansatz, das Stations- oder Badmaß, die Becken- oder Körpereinheit und die Anwendungsportion auf Grad II vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Wähle die Einheit auf Grad I aus. Wähle den Stationsansatz aus. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Halte die Badeinheit im Bad. Beschicke oder bereite den Stationsansatz auf Grad II vor. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II und an der Stations-Arbeitsstelle. Wähle die Einheit aus. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2762@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	"Behandle den Stationsansatz an der Stations-Arbeitsstelle. Beschicke oder bereite die Anwendungsportion vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Führe den Stationsansatz auf Grad II, an der Stations-Arbeitsstelle und zur Zielstation oder ins Zielbecken zu. Fahre im selben Arbeitsgang fort. Entnimm oder lass in Anwendungsform, auf Grad I und über den Stationskontakt oder die Leitung ab. Beschicke oder bereite den Stationsansatz, das Stations- oder Badmaß, die Becken- oder Körpereinheit und die Anwendungsportion auf Grad II vor. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Fahre im selben Arbeitsgang fort. Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um. Fahre im selben Arbeitsgang fort. Wähle die Einheit auf Grad I aus. Wähle den Stationsansatz aus. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad II. Halte die Badeinheit im Bad. Beschicke oder bereite den Stationsansatz auf Grad II vor. Fahre im selben Arbeitsgang fort. Halte den Stationsansatz im Bad auf Grad II und an der Stations-Arbeitsstelle. Wähle die Einheit aus. Beschicke oder bereite die Anwendungsportion vor. Entnimm oder lass ab. Entnimm oder lass ab. Reguliere den Stationsansatz. Beginne danach den nächsten Arbeitsgang.

Verwende für den vorangehenden Arbeitsschritt auf Grad I. Beschicke oder bereite die Anwendungsportion vor. Wende an. Behandle den Ansatz. Schließe den Arbeitsgang.

Geschriebene Trägerspur (×N zählt Schriftträger, nicht Realobjekte): ACTION:G407-E2762@3:T: Y+Y → Stationsansatz|Stationsansatz (Multiset: Stationsansatz ×2)."	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
56	G407-S402	f81r	1	1	G407-E2783	ACTION:G407-E2783@1:SH	Badegut	Halte im Bad auf Grad I. Entnimm oder lass ab. Führe auf Grad I zu. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Entnimm oder lass ab. Führe auf Grad I zu. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
57	G407-S405	f81r	1	1	G407-E2788	ACTION:G407-E2788@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
58	G407-S406	f81r	1	1	G407-E2792	ACTION:G407-E2792@1:SH	Badegut	Beschicke oder bereite den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung vor. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Beschicke oder bereite den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung vor. Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Arbeitsstelle. Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
59	G407-S417	f81r	1	1	G407-E2821	ACTION:G407-E2821@2:SH	Stationsansatz	Fahre im selben Arbeitsgang fort. Behandle den Ansatz in Anwendungsform und von der Ausgangsstation oder aus dem Ausgangsbecken. Halte im Bad in Anwendungsform und auf Grad II. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Behandle den Ansatz in Anwendungsform und von der Ausgangsstation oder aus dem Ausgangsbecken. Halte den Stationsansatz im Bad in Anwendungsform und auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
60	G407-S418	f81r	1	1	G407-E2822	ACTION:G407-E2822@1:SH	Badegut	Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
61	G407-S419	f81r	1	1	G407-E2824	ACTION:G407-E2824@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
62	G407-S422	f81r	1	1	G407-E2828	ACTION:G407-E2828@1:SH	Badegut	Halte im Bad auf Grad II. Schließe den Arbeitsgang.	Halte das zu badende Gut im Bad auf Grad II. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
63	G407-S424	f81r	1	1	G407-E2839	ACTION:G407-E2839@1:SH	Badegut	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Nebenstelle. Wende in Anwendungsform und als neuer Bad- oder Stationsansatz an. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz und das Stations- oder Badmaß in Anwendungsform, auf Grad II und an der Stations-Arbeitsstelle vor. Kennzeichne oder prüfe die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken. Halte im Bad auf Grad I. Schließe den Arbeitsgang.	Fahre im selben Arbeitsgang fort. Verwende für den vorangehenden Arbeitsschritt an der Stations-Nebenstelle. Wende in Anwendungsform und als neuer Bad- oder Stationsansatz an. Behandle den Stationsansatz. Fahre im selben Arbeitsgang fort. Behandle den Stationsansatz. Beschicke oder bereite den Stationsansatz und das Stations- oder Badmaß in Anwendungsform, auf Grad II und an der Stations-Arbeitsstelle vor. Kennzeichne oder prüfe die Anwendungsportion und den Stationsansatz zur Zielstation oder ins Zielbecken. Halte das zu badende Gut im Bad auf Grad I. Schließe den Arbeitsgang.	COMPLETE_STATEMENT_BEFORE_AFTER__UNCHANGED_CLAUSES_RETAINED
