page	locus	target_surfaces	target_positions	zl3b_line	v34_tokenwise_de	v35_tokenwise_de	practical_v35_de	complete_v35
f66v	f66v.5	shedefam	1	shdy shedefam qokedy chokal dal	feucht am Anfang des Grades, abgeschlossen | [shedefam:?] | heiß in der Mitte des Grades, abgeschlossen | Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang | abgemessene Rohstoffmenge I	feucht am Anfang des Grades, abgeschlossen | ein Maß eingeweichter Blütendroge | heiß in der Mitte des Grades, abgeschlossen | Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang | abgemessene Rohstoffmenge I	feucht am Anfang des Grades, abgeschlossen; ein Maß eingeweichter Blütendroge; heiß in der Mitte des Grades, abgeschlossen; Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang; abgemessene Rohstoffmenge I	True
f6v	f6v.11	otam	1	lor char otam ctho m dy	Holzportion | [char:?] | [otam:?] | [ctho:?] | [m:?] | [dy:?]	Holzportion | [char:?] | ein Maß kalten Ansatzes | [ctho:?] | [m:?] | [dy:?]	Holzportion; [char:?]; ein Maß kalten Ansatzes; [ctho:?]; [m:?]; [dy:?]	False
f75r	f75r.44	otam	1	dchedy sain okedy qokedy otedy okoldy otar otam olaiin ch dar dy	[dchedy:?] | [sain:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | [okoldy:?] | kalte Drogenfraktion I im Ansatz | [otam:?] | [olaiin:?] | [ch:?] | abgemessene Fraktion I | [dy:?]	[dchedy:?] | [sain:?] | heißer Ansatz in der Mitte des Grades, abgeschlossen | heiß in der Mitte des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | [okoldy:?] | kalte Drogenfraktion I im Ansatz | ein Maß kalten Ansatzes | [olaiin:?] | [ch:?] | abgemessene Fraktion I | [dy:?]	[dchedy:?]; [sain:?]; heißer Ansatz in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades, abgeschlossen; [okoldy:?]; kalte Drogenfraktion I im Ansatz; ein Maß kalten Ansatzes; [olaiin:?]; [ch:?]; abgemessene Fraktion I; [dy:?]	False
f80v	f80v.21	otam	1	tar kain okal y rchey qokal olor aiin okal otam	kalte Drogenfraktion I | heiß, Grad II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [y:?] | Wurzel/Wurzeldroge, trocken gebunden, Form I | Rohstoffklasse I, heiß am Gradanfang | Zutat | Menge III | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [otam:?]	kalte Drogenfraktion I | heiß, Grad II | Rohstoffklasse I im Ansatz, heiß am Gradanfang | [y:?] | Wurzel/Wurzeldroge, trocken gebunden, Form I | Rohstoffklasse I, heiß am Gradanfang | Zutat | Menge III | Rohstoffklasse I im Ansatz, heiß am Gradanfang | ein Maß kalten Ansatzes	kalte Drogenfraktion I; heiß, Grad II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; [y:?]; Wurzel/Wurzeldroge, trocken gebunden, Form I; Rohstoffklasse I, heiß am Gradanfang; Zutat; Menge III; Rohstoffklasse I im Ansatz, heiß am Gradanfang; ein Maß kalten Ansatzes.	False
f85r1	f85r1.2	otam	1	yoiin cheey qocthdy otedy dol ar aiin okshd okchedy otedy chckhdy otam	[yoiin:?] | trocken am Ende des Grades | [qocthdy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | Materialmaß | Drogenfraktion I | Menge III | [okshd:?] | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang, abgeschlossen | [otam:?]	[yoiin:?] | trocken am Ende des Grades | [qocthdy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | Materialmaß | Drogenfraktion I | Menge III | [okshd:?] | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | kalter Ansatz in der Mitte des Grades, abgeschlossen | Arzneikompositum: trocken, Gradanfang, abgeschlossen | ein Maß kalten Ansatzes	[yoiin:?]; trocken am Ende des Grades; [qocthdy:?]; kalter Ansatz in der Mitte des Grades, abgeschlossen; Materialmaß; Drogenfraktion I; Menge III; [okshd:?]; heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades, abgeschlossen; Arzneikompositum: trocken, Gradanfang, abgeschlossen; ein Maß kalten Ansatzes.	False
f86v3	f86v3.12	otam	1	yteedy ykeey daim choaiin checkhy keeeochy tcheey otodaiin opaiin otchey otam	[yteedy:?] | [ykeey:?] | [daim:?] | [choaiin:?] | trockenes Arzneikompositum am Gradanfang | [keeeochy:?] | kalt und trocken am Ende des Grades | [otodaiin:?] | [opaiin:?] | kalt-trockener Ansatz in der Mitte des Grades | [otam:?]	[yteedy:?] | [ykeey:?] | [daim:?] | [choaiin:?] | trockenes Arzneikompositum am Gradanfang | [keeeochy:?] | kalt und trocken am Ende des Grades | [otodaiin:?] | [opaiin:?] | kalt-trockener Ansatz in der Mitte des Grades | ein Maß kalten Ansatzes	[yteedy:?]; [ykeey:?]; [daim:?]; [choaiin:?]; trockenes Arzneikompositum am Gradanfang; [keeeochy:?]; kalt und trocken am Ende des Grades; [otodaiin:?]; [opaiin:?]; kalt-trockener Ansatz in der Mitte des Grades; ein Maß kalten Ansatzes.	False
f86v5	f86v5.10	otam	1	ykar olkal kar shedy shor qokar chor or ykaiin otam ytam	[ykar:?] | [olkal:?] | heiße Drogenfraktion I | feucht in der Mitte des Grades, abgeschlossen | Blüten-/Fruchtstand; reproduktiver Teil | heiße Drogenfraktion I | Pflanzen-/Reproduktionsteil | Drogenportion | [ykaiin:?] | [otam:?] | [ytam:?]	[ykar:?] | [olkal:?] | heiße Drogenfraktion I | feucht in der Mitte des Grades, abgeschlossen | Blüten-/Fruchtstand; reproduktiver Teil | heiße Drogenfraktion I | Pflanzen-/Reproduktionsteil | Drogenportion | [ykaiin:?] | ein Maß kalten Ansatzes | [ytam:?]	[ykar:?]; [olkal:?]; heiße Drogenfraktion I; feucht in der Mitte des Grades, abgeschlossen; Blüten-/Fruchtstand; reproduktiver Teil; heiße Drogenfraktion I; Pflanzen-/Reproduktionsteil; Drogenportion; [ykaiin:?]; ein Maß kalten Ansatzes; [ytam:?]	False
f86v5	f86v5.13	otam	1	daiin shar otam ytaiin otal teody cthy or aiin otar aiiin	Grad-/Maßwert III | [shar:?] | [otam:?] | [ytaiin:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [teody:?] | CTH-Drogenmaterial | Drogenportion | Menge III | kalte Drogenfraktion I im Ansatz | Menge-/Klassenwert IV	Grad-/Maßwert III | [shar:?] | ein Maß kalten Ansatzes | [ytaiin:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | [teody:?] | CTH-Drogenmaterial | Drogenportion | Menge III | kalte Drogenfraktion I im Ansatz | Menge-/Klassenwert IV	Grad-/Maßwert III; [shar:?]; ein Maß kalten Ansatzes; [ytaiin:?]; Rohstoffklasse I im Ansatz, kalt am Gradanfang; [teody:?]; CTH-Drogenmaterial; Drogenportion; Menge III; kalte Drogenfraktion I im Ansatz; Menge-/Klassenwert IV	False
f86v5	f86v5.2	otam|otam	2	losair yteody qokar shy qokar shor qopchol tal ol ytol otam otam	[losair:?] | [yteody:?] | heiße Drogenfraktion I | feucht am Anfang des Grades | heiße Drogenfraktion I | Blüten-/Fruchtstand; reproduktiver Teil | [qopchol:?] | Rohstoffklasse I, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ytol:?] | [otam:?] | [otam:?]	[losair:?] | [yteody:?] | heiße Drogenfraktion I | feucht am Anfang des Grades | heiße Drogenfraktion I | Blüten-/Fruchtstand; reproduktiver Teil | [qopchol:?] | Rohstoffklasse I, kalt am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [ytol:?] | ein Maß kalten Ansatzes | ein Maß kalten Ansatzes	[losair:?]; [yteody:?]; heiße Drogenfraktion I; feucht am Anfang des Grades; heiße Drogenfraktion I; Blüten-/Fruchtstand; reproduktiver Teil; [qopchol:?]; Rohstoffklasse I, kalt am Gradanfang; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [ytol:?]; ein Maß kalten Ansatzes; ein Maß kalten Ansatzes.	False
f86v5	f86v5.33	otam	1	qokeey ol kaiin ol kain olkeedy qopcheey oty daiin otam	heiß am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | [olkeedy:?] | [qopcheey:?] | kalter Ansatz am Anfang des Grades | Grad-/Maßwert III | [otam:?]	heiß am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | [olkeedy:?] | [qopcheey:?] | kalter Ansatz am Anfang des Grades | Grad-/Maßwert III | ein Maß kalten Ansatzes	heiß am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad III; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad II; [olkeedy:?]; [qopcheey:?]; kalter Ansatz am Anfang des Grades; Grad-/Maßwert III; ein Maß kalten Ansatzes.	False
f86v5	f86v5.34	otam	1	oteey ol tey choaiin ysheedy ychedy ytaiin otam aiin	kalter Ansatz am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt in der Mitte des Grades | [choaiin:?] | [ysheedy:?] | [ychedy:?] | [ytaiin:?] | [otam:?] | Menge III	kalter Ansatz am Ende des Grades | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt in der Mitte des Grades | [choaiin:?] | [ysheedy:?] | [ychedy:?] | [ytaiin:?] | ein Maß kalten Ansatzes | Menge III	kalter Ansatz am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalt in der Mitte des Grades; [choaiin:?]; [ysheedy:?]; [ychedy:?]; [ytaiin:?]; ein Maß kalten Ansatzes; Menge III	False
f88r	f88r.9	otam	1	oain or om otam okeom cheeor qokeody dar or om cheody	[oain:?] | Drogenportion | [om:?] | [otam:?] | [okeom:?] | [cheeor:?] | [qokeody:?] | abgemessene Fraktion I | Drogenportion | [om:?] | getrockneter Ansatz	[oain:?] | Drogenportion | [om:?] | ein Maß kalten Ansatzes | [okeom:?] | [cheeor:?] | [qokeody:?] | abgemessene Fraktion I | Drogenportion | [om:?] | getrockneter Ansatz	[oain:?]; Drogenportion; [om:?]; ein Maß kalten Ansatzes; [okeom:?]; [cheeor:?]; [qokeody:?]; abgemessene Fraktion I; Drogenportion; [om:?]; getrockneter Ansatz	False
f93r	f93r.32	schos	1	dol chokal schos	Materialmaß | Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang | [schos:?]	Materialmaß | Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang | trockene Arzneimischung aus Samen	Materialmaß; Trockenansatz aus heißem Rohstoff Klasse I am Gradanfang; trockene Arzneimischung aus Samen	True
f95r2	f95r2.7	otam	1	dshedy otal qokal dol or eeedy okeedy okedyted otam	[dshedy:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | Materialmaß | Drogenportion | [eeedy:?] | heißer Ansatz am Ende des Grades, abgeschlossen | [okedyted:?] | [otam:?]	[dshedy:?] | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Rohstoffklasse I, heiß am Gradanfang | Materialmaß | Drogenportion | [eeedy:?] | heißer Ansatz am Ende des Grades, abgeschlossen | [okedyted:?] | ein Maß kalten Ansatzes	[dshedy:?]; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Rohstoffklasse I, heiß am Gradanfang; Materialmaß; Drogenportion; [eeedy:?]; heißer Ansatz am Ende des Grades, abgeschlossen; [okedyted:?]; ein Maß kalten Ansatzes.	False
