statement_id	page	record	events	owner_sequence	owner_handoff_before	internal_owner_reset	surface_sequence	component_sequence	atomic_trace_de	fluent_local_station_clause_de	water_named	global_flow_claim	form_status
B3-S026	f83r	B3	7	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED > B3_MAIN_ARCH_LINKED_PAIR	NO	YES	cheedar chldaiin chedy qokain checthy chealror solkeedy	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	LANG · QUELLE | WEITERLEITEN · MASS | UMSETZEN · DIES | ANSETZEN · PORTION | BEREITEN · DIES | ZIEL · KUEHLEN · ANSATZ | AUFFANGEN · LANG · SCHLUSS	[Lokaler Wechsel innerhalb der Aussage: B3_MARGIN_TO_MAIN_GAP_UNRESOLVED > B3_MAIN_ARCH_LINKED_PAIR] Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen.	NO	NONE	UNCHANGED
B3-S027	f83r	B3	1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S028	f83r	B3	2	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	qokeey qokedy	OK+EE+Y | OK+E+DY	ANSETZEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S029	f83r	B3	3	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	sol cheeety qokedy	OL | EEE+T+Y | OK+E+DY	FORTSETZEN | VOLL · ANWENDEN · DIES | ANSETZEN · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S030	f83r	B3	4	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	qoky saiin schedair otchedy	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	ANSETZEN · DIES | MASS | UMSETZEN · WASSER | DANACH · UMSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, Wasser innerhalb dieses Besitzerpaares umsetzen; danach nochmals umsetzen und schliessen.	YES	NONE	UNCHANGED
B3-S031	f83r	B3	1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S032	f83r	B3	5	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	UMSETZEN · PORTION | UMSETZEN · DIES | DANACH · KURZ · MASS | DANACH · MASS | DANACH · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen.	NO	NONE	UNCHANGED
B3-S033	f83r	B3	1	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	ldy	L+DY	WEITERLEITEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen.	NO	NONE	UNCHANGED
B3-S034	f83r	B3	6	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	soiiin checthy chety otaiin olsaly shedy	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	ARBEITSGANG · STUFE | BEREITEN · DIES | ANWENDEN · DIES | DANACH · MASS | FORTSETZEN · ZIEL · DIES | ABSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und anwenden; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.	NO	NONE	UNCHANGED
B4-S001	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	RECORD_START	NO	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	[Station B4_MAIN_ARCH_LINKED_PAIR] Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S002	f83r	B4	3	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+DY	FORTSETZEN · DIES | ANSETZEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S003	f83r	B4	7	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	UMSETZEN · DIES | DANACH · ZIEL | DANACH · DIES | ANSETZEN · LANG · DIES | ANSETZEN · DIES | FORTSETZEN | ABSETZEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen.	NO	NONE	UNCHANGED
B4-S004	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	qokylddy	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S005	f83r	B4	3	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	dain chedy qokeedy	AIN | CHD+Y | OK+EE+DY	PORTION | UMSETZEN · DIES | ANSETZEN · LANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S006	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S007	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S008	f83r	B4	4	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	MASS | WAERMEN · LANG · DIES | HALTEN · LANG · DIES | ANSETZEN · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	NO	NONE	UNCHANGED
B4-S009	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	shedy	SHED+DY	ABSETZEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S010	f83r	B4	1	B4_MAIN_ARCH_LINKED_PAIR	NO	NO	oldy	OL+DY	FORTSETZEN · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S011	f83r	B4	7	B4_MAIN_LEFT_OPEN_FRINGE_STATION	YES	NO	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	MASS | WAERMEN · KURZ · DIES | ANSETZEN · LANG · FORTSETZEN | ANSETZEN · PORTION | UMSETZEN · DIES | FORTSETZEN | WEITERLEITEN · ZUGEBEN · KURZ · SCHLUSS	[Besitzerwechsel zu B4_MAIN_LEFT_OPEN_FRINGE_STATION] An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zugeben, dann schliessen.	NO	NONE	UNCHANGED
B4-S012	f83r	B4	1	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	NO	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S013	f83r	B4	2	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	NO	qokol shedy	OK+OL | SHED+DY	ANSETZEN · FORTSETZEN | ABSETZEN · SCHLUSS	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	NO	NONE	UNCHANGED
B4-S014	f83r	B4	4	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	NO	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	ANSATZ | DIES | ARBEITSGANG · DURCHLASS · KURZ · DIES | WASSER · DIES · SCHLUSS	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren, ihn kurz im Arbeitsgang am Durchlass halten, dieses Wasser lokal weiterfuehren und den Schritt schliessen.	YES	NONE	UNCHANGED
B4-S015	f83r	B4	6	B4_MAIN_LEFT_OPEN_FRINGE_STATION > B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NO	YES	qokain shey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	ANSETZEN · PORTION | HALTEN · LANG · DIES | ZUGEBEN · PORTION | ENTNEHMEN · DURCHLASS · ZIEL | AUFFANGEN · KURZ · DIES | WEITERLEITEN · UMSETZEN · SCHLUSS	[Lokaler Wechsel innerhalb der Aussage: B4_MAIN_LEFT_OPEN_FRINGE_STATION > B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION] An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass am Ziel entnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.	NO	NONE	UNCHANGED
B4-S016	f83r	B4	4	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NO	NO	qolkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	FORTSETZEN · ZUGEBEN · PORTION | ZIEL | ZUGEBEN · QUELLE | ABSETZEN · SCHLUSS	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, am Ziel aus der Quelle nachzugeben, absetzen lassen und schliessen.	NO	NONE	UNCHANGED
B5-S001	f83r	B5	1	B5_LEFT_OPEN_FRINGE_STATION	RECORD_START	NO	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	[Station B5_LEFT_OPEN_FRINGE_STATION] An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	NO	NONE	UNCHANGED
B5-S002	f83r	B5	1	B5_LEFT_OPEN_FRINGE_STATION	NO	NO	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	NO	NONE	UNCHANGED
B5-S003	f83r	B5	9	B5_LEFT_OPEN_FRINGE_STATION	NO	NO	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	ABSETZEN · ZIEL | ZIEL | FORTSETZEN | WEITERLEITEN · FORTSETZEN | UMSETZEN · ZIEL | MASS | FORTSETZEN | ZWEIT · STUFE | UMSETZEN · DIES	An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.	NO	NONE	UNCHANGED
B6-S001	f83r	B6	9	B6_RIGHT_S_RUN_MULTIPORT_STATION	RECORD_START	NO	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	AUFFANGEN · LANG · DIES | KURZ · ZUGEBEN · KURZ · DIES | KUEHLEN · ZIEL · DIES | FORTSETZEN | MASS | FORTSETZEN | PORTION | DIES | WEITERLEITEN · ZIEL · ANSATZ	[Station B6_RIGHT_S_RUN_MULTIPORT_STATION] An der rechten S-Lauf-Nebenstation: Den Posten laenger auffangen, kurz zugeben, am Ziel kuehlen, nach Mass weiterarbeiten, eine Portion nehmen und den Ansatz zum Ziel weiterleiten.	NO	NONE	UNCHANGED
