exact_card_id	registered_surfaces	component_recipe	third_grammar_reading_de	events	card_tier	core22_components	strip9_components	core22_touch	fully_core22	copy_rule
PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	2	PRODUCTIVE_RECIPE	OT+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES	1	PRODUCTIVE_RECIPE	SH+E+CTH+CHD+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC137	chary	AR+Y	QUELLE · DIES	1	PRODUCTIVE_RECIPE	AR+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC138	okair	OK+AIR	ANSETZEN · WASSER	1	PRODUCTIVE_RECIPE	OK	AIR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC139	sheedy	SH+EE+DY	HALTEN · LANG · SCHLUSS	1	PRODUCTIVE_RECIPE	SH+EE+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC140	lo	L+O	LEITEN · VORGANG	1	PRODUCTIVE_RECIPE	L	O	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	PRODUCTIVE_RECIPE	OK+SH+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC142	shedal	SHED+AL	STEHENLASSEN · ZIELSTELLE	2	PRODUCTIVE_RECIPE	SHED+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREITEN · DIES	1	PRODUCTIVE_RECIPE	SH+E+CTH+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	AL+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	2	PRODUCTIVE_RECIPE	OT+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	1	PRODUCTIVE_RECIPE	OT+CHD+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC146	cheedar	EE+AR	LANG · QUELLE	1	PRODUCTIVE_RECIPE	EE+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC147	chldaiin	L+AIIN	LEITEN · SOLLMASS	1	PRODUCTIVE_RECIPE	L+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	1	PRODUCTIVE_RECIPE	AL	R+OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC149	cheeety	EEE+T+Y	VOLL · ANWENDEN · DIES	1	PRODUCTIVE_RECIPE	EEE+Y	T	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC150	schedair	CHD+AIR	UMSETZEN · WASSER	1	PRODUCTIVE_RECIPE	CHD	AIR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	1	PRODUCTIVE_RECIPE	CHD+AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · SOLLMASS	1	PRODUCTIVE_RECIPE	OT+E+AIIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC153	olsaly	OL+AL+Y	WEITER · ZIELSTELLE · DIES	1	PRODUCTIVE_RECIPE	OL+AL+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC154	qolchey	OL+Y	WEITER · DIES	1	PRODUCTIVE_RECIPE	OL+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	LOCAL_SINGLETON_PLUS_RULES	OK+Y+DY	NONE	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC156	dain	AIN	PORTION	2	PRODUCTIVE_RECIPE	AIN	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · WEITER	1	PRODUCTIVE_RECIPE	OK+EE+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC159	lkedy	L+K+E+DY	LEITEN · ZUGEBEN · KURZ · SCHLUSS	1	PRODUCTIVE_RECIPE	L+K+E+DY	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC161	qockhey	O+CKH+E+Y	VORGANG · DURCHLASS · KURZ · DIES	1	PRODUCTIVE_RECIPE	E+Y	O+CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC162	dairydy	AIR+Y+DY	WASSER · DIES · SCHLUSS	1	PRODUCTIVE_RECIPE	Y+DY	AIR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC163	chckhal	CH+CKH+AL	ENTNEHMEN · DURCHLASS · ZIELSTELLE	1	PRODUCTIVE_RECIPE	CH+AL	CKH	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC164	solkey	SOLK+E+Y	SAMMELSTELLE · KURZ · DIES	1	PRODUCTIVE_RECIPE	E+Y	SOLK	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC165	skar	K+AR	ZUGEBEN · QUELLE	1	PRODUCTIVE_RECIPE	K+AR	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC167	lol	L+OL	LEITEN · WEITER	1	PRODUCTIVE_RECIPE	L+OL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	1	PRODUCTIVE_RECIPE	CHD+AL	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC169	daiiin	DA+IIN	ZWEIT · ARBEITSSTUFE	1	LOCAL_SINGLETON_PLUS_RULES	NONE	IIN	NO	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC170	solkeey	SOLK+EE+Y	SAMMELSTELLE · LANG · DIES	1	PRODUCTIVE_RECIPE	EE+Y	SOLK	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC171	qekey	E+K+E+Y	KURZ · ZUGEBEN · KURZ · DIES	1	PRODUCTIVE_RECIPE	E+K+E+Y	NONE	YES	YES	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC172	raly	R+AL+Y	KUEHLEN · ZIELSTELLE · DIES	1	PRODUCTIVE_RECIPE	AL+Y	R	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
PROC173	ldalor	L+AL+OR	LEITEN · ZIELSTELLE · ANSATZ	1	PRODUCTIVE_RECIPE	L+AL	OR	YES	NO	SPEAK_BY_RECIPE__COPY_BY_EXACT_CARD
