statement_id	page	record	events	surface_sequence	component_sequence	portable_templates	portable_occurrences	template_expansions_de	complete_reading_de	form_owner_boundary_status
B4-S008	f83r	B4	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	NONE	0	NONE	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.	UNCHANGED
B4-S009	f83r	B4	1	shedy	SHED+DY	NONE	0	NONE	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.	UNCHANGED
B4-S010	f83r	B4	1	oldy	OL+DY	NONE	0	NONE	Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen.	UNCHANGED
B4-S011	f83r	B4	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	NONE	0	NONE	An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zugeben, dann schliessen.	UNCHANGED
B4-S012	f83r	B4	1	lchedy	L+CHD+DY	NONE	0	NONE	An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen.	UNCHANGED
B4-S013	f83r	B4	2	qokol shedy	OK+OL | SHED+DY	NONE	0	NONE	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.	UNCHANGED
B4-S014	f83r	B4	4	or chey qockhey dairydy	OR | Y | O+CKH+E+Y | AIR+Y+DY	PT3	1	Diesen Ansatz als laufenden Posten führen.	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.	UNCHANGED
B4-S015	f83r	B4	6	qokain shey kain chckhal solkey lchedy	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	NONE	0	NONE	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass am Ziel entnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.	UNCHANGED
B4-S016	f83r	B4	4	qolkain dal skar shedy	OL+K+AIN | AL | K+AR | SHED+DY	NONE	0	NONE	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, am Ziel aus der Quelle nachzugeben, absetzen lassen und schliessen.	UNCHANGED
B5-S001	f83r	B5	1	otchdy	OT+CHD+DY	NONE	0	NONE	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.	UNCHANGED
B5-S002	f83r	B5	1	qokchdy	OK+CHD+DY	NONE	0	NONE	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.	UNCHANGED
B5-S003	f83r	B5	9	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	NONE	0	NONE	An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.	UNCHANGED
B6-S001	f83r	B6	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	PT1	1	Bis zum Maß weiterarbeiten.	An der rechten S-Lauf-Nebenstation: Den Posten laenger auffangen, kurz zugeben, am Ziel kuehlen, nach Mass weiterarbeiten, eine Portion nehmen und den Ansatz zum Ziel weiterleiten.	UNCHANGED
