component_recipe	action_head	action_value_de	grade_atoms	argument_atoms	dy_count	relation_atoms	canonical_slot_skeleton	clean_single_slot_recipe	event_count	register_count	registers	page_count	surfaces	portable_reading_de
K+AIR	K	GEBEN	NONE	NONE	0	AIR	K|NONE|NONE|OPEN	YES	2	2	SOURCE_SECTION_T|BIOLOGICAL	2	kair	GEBEN · BAHN
K+AL	K	GEBEN	NONE	NONE	0	AL	K|NONE|NONE|OPEN	YES	5	3	HERBAL|BIOLOGICAL|CELESTIAL	4	kal	GEBEN · ZIELORT
K+AL+OL	K	GEBEN	NONE	NONE	0	AL|OL	K|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	kalol	GEBEN · ZIELORT · FORTSETZEN
K+AM_ADDR	K	GEBEN	NONE	NONE	0	NONE	K|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	kam	GEBEN · HIER
K+AR	K	GEBEN	NONE	NONE	0	AR	K|NONE|NONE|OPEN	YES	6	2	HERBAL|BIOLOGICAL	5	kar|skar	GEBEN · AUSGANG
K+A_ADDR+LOCAL_CHAR_I+IIN	K	GEBEN	NONE	NONE	0	NONE	K|NONE|NONE|OPEN	YES	1	1	HERBAL	1	kaiiin	GEBEN · HIER · VARIANTE · STUFE
K+D_ADDR+Y	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	SOURCE_SECTION_T	1	kdchy	GEBEN · HIER · POSTEN
K+E+DY	K	GEBEN	E	NONE	1	NONE	K|E|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	kedy	GEBEN · GRAD I · SCHLUSS
K+E+O+AL	K	GEBEN	E	NONE	0	AL	K|E|NONE|OPEN	YES	1	1	CELESTIAL	1	keodal	GEBEN · GRAD I · AUSFÜHRUNG · ZIELORT
K+E+OL	K	GEBEN	E	NONE	0	OL	K|E|NONE|OPEN	YES	4	2	HERBAL|PHARMA	4	keol	GEBEN · GRAD I · FORTSETZEN
K+E+OR	K	GEBEN	E	OR	0	NONE	K|E|OR|OPEN	YES	1	1	CELESTIAL	1	keor	GEBEN · GRAD I · EINHEIT
K+E+S_ADDR+D_ADDR	K	GEBEN	E	NONE	0	NONE	K|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	kesd	GEBEN · GRAD I · HIER · HIER
K+E+Y	K	GEBEN	E	Y	0	NONE	K|E|Y|OPEN	YES	1	1	PHARMA	1	key	GEBEN · GRAD I · POSTEN
K+EE+DY	K	GEBEN	EE	NONE	1	NONE	K|EE|NONE|CLOSE	YES	7	1	BIOLOGICAL	4	keedy	GEBEN · GRAD II · SCHLUSS
K+EE+O	K	GEBEN	EE	NONE	0	NONE	K|EE|NONE|OPEN	YES	1	1	PHARMA	1	keeo	GEBEN · GRAD II · AUSFÜHRUNG
K+EE+O+D_ADDR	K	GEBEN	EE	NONE	0	NONE	K|EE|NONE|OPEN	YES	1	1	PHARMA	1	keeod	GEBEN · GRAD II · AUSFÜHRUNG · HIER
K+EE+O+D_ADDR+AIIN	K	GEBEN	EE	AIIN	0	NONE	K|EE|AIIN|OPEN	YES	1	1	PHARMA	1	keeodaiin	GEBEN · GRAD II · AUSFÜHRUNG · HIER · WERT
K+EE+Y	K	GEBEN	EE	Y	0	NONE	K|EE|Y|OPEN	YES	9	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	6	keey	GEBEN · GRAD II · POSTEN
K+EE+Y+LOCAL_CHAR_F+AR	K	GEBEN	EE	Y	0	AR	K|EE|Y|OPEN	YES	1	1	HERBAL	1	keeyfar	GEBEN · GRAD II · POSTEN · HIER · AUSGANG
K+EEE+D_ADDR+Y	K	GEBEN	EEE	Y	0	NONE	K|EEE|Y|OPEN	YES	2	1	BIOLOGICAL	1	keeedy	GEBEN · GRAD III · HIER · POSTEN
K+O+A_ADDR+Y	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	1	1	PHARMA	1	koay	GEBEN · AUSFÜHRUNG · HIER · POSTEN
K+O+D_ADDR	K	GEBEN	NONE	NONE	0	NONE	K|NONE|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	kod	GEBEN · AUSFÜHRUNG · HIER
K+O+D_ADDR+AIIN	K	GEBEN	NONE	AIIN	0	NONE	K|NONE|AIIN|OPEN	YES	1	1	SOURCE_SECTION_T	1	kodaiin	GEBEN · AUSFÜHRUNG · HIER · WERT
K+O+E+AM_ADDR	K	GEBEN	E	NONE	0	NONE	K|E|NONE|OPEN	YES	1	1	SOURCE_SECTION_T	1	koeam	GEBEN · AUSFÜHRUNG · GRAD I · HIER
K+O+E+Y	K	GEBEN	E	Y	0	NONE	K|E|Y|OPEN	YES	1	1	CELESTIAL	1	koey	GEBEN · AUSFÜHRUNG · GRAD I · POSTEN
K+O+M_LOCAL	K	GEBEN	NONE	NONE	0	NONE	K|NONE|NONE|OPEN	YES	1	1	HERBAL	1	kom	GEBEN · AUSFÜHRUNG · HIER
K+OL	K	GEBEN	NONE	NONE	0	OL	K|NONE|NONE|OPEN	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL	6	kchol|kol	GEBEN · FORTSETZEN
K+OL+DY	K	GEBEN	NONE	NONE	1	OL	K|NONE|NONE|CLOSE	YES	2	2	BIOLOGICAL|PHARMA	2	koldam|koldy	GEBEN · FORTSETZEN · SCHLUSS
K+OL+Y	K	GEBEN	NONE	Y	0	OL	K|NONE|Y|OPEN	YES	1	1	CELESTIAL	1	koly	GEBEN · FORTSETZEN · POSTEN
K+OR	K	GEBEN	NONE	OR	0	NONE	K|NONE|OR|OPEN	YES	4	3	SOURCE_SECTION_T|BIOLOGICAL|PHARMA	3	kor|qkor	GEBEN · EINHEIT
K+OR+AIN	K	GEBEN	NONE	OR|AIN	0	NONE	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	korain	GEBEN · EINHEIT · ANTEIL
K+Y	K	GEBEN	NONE	Y	0	NONE	K|NONE|Y|OPEN	YES	7	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	6	kchy|ky	GEBEN · POSTEN
L+CH	CH	NEHMEN	NONE	NONE	0	L	CH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lch	VERBINDUNG · NEHMEN
L+CH+E+AR	CH	NEHMEN	E	NONE	0	L|AR	CH|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lchear	VERBINDUNG · NEHMEN · GRAD I · AUSGANG
L+CH+EE+D_ADDR+Y	CH	NEHMEN	EE	Y	0	L	CH|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	lcheedy	VERBINDUNG · NEHMEN · GRAD II · HIER · POSTEN
L+CH+EE+OR	CH	NEHMEN	EE	OR	0	L	CH|EE|OR|OPEN	YES	1	1	BIOLOGICAL	1	lcheeor	VERBINDUNG · NEHMEN · GRAD II · EINHEIT
L+CH+L	CH	NEHMEN	NONE	NONE	0	L|L	CH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lchl	VERBINDUNG · NEHMEN · VERBINDUNG
L+CH+O	CH	NEHMEN	NONE	NONE	0	L	CH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lcho	VERBINDUNG · NEHMEN · AUSFÜHRUNG
L+CH+Y	CH	NEHMEN	NONE	Y	0	L	CH|NONE|Y|OPEN	YES	2	1	BIOLOGICAL	2	lchy	VERBINDUNG · NEHMEN · POSTEN
L+CHD	CHD	BEARBEITEN	NONE	NONE	0	L	CHD|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	1	lched	VERBINDUNG · BEARBEITEN
L+CHD+AL	CHD	BEARBEITEN	NONE	NONE	0	L|AL	CHD|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lchedal	VERBINDUNG · BEARBEITEN · ZIELORT
L+CHD+AR	CHD	BEARBEITEN	NONE	NONE	0	L|AR	CHD|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	2	lchedar|olchdar	VERBINDUNG · BEARBEITEN · AUSGANG
L+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	L	CHD|NONE|NONE|CLOSE	YES	34	1	BIOLOGICAL	7	lchedy	VERBINDUNG · BEARBEITEN · SCHLUSS
L+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	L	CHD|NONE|Y|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	lchdy	VERBINDUNG · BEARBEITEN · POSTEN
L+DA+R	R	MARKIEREN	NONE	NONE	0	L	R|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	ldar	VERBINDUNG · ZWEITE STUFE · MARKIEREN
L+K+AIIN	K	GEBEN	NONE	AIIN	0	L	K|NONE|AIIN|OPEN	YES	3	1	BIOLOGICAL	3	lkaiin	VERBINDUNG · GEBEN · WERT
L+K+AIN	K	GEBEN	NONE	AIN	0	L	K|NONE|AIN|OPEN	YES	2	1	BIOLOGICAL	1	lkain	VERBINDUNG · GEBEN · ANTEIL
L+K+AM_ADDR+O	K	GEBEN	NONE	NONE	0	L	K|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lkamo	VERBINDUNG · GEBEN · HIER · AUSFÜHRUNG
L+K+AR	K	GEBEN	NONE	NONE	0	L|AR	K|NONE|NONE|OPEN	YES	2	1	BIOLOGICAL	1	lkar	VERBINDUNG · GEBEN · AUSGANG
L+K+E+DY	K	GEBEN	E	NONE	1	L	K|E|NONE|CLOSE	YES	5	1	BIOLOGICAL	3	lkedy	VERBINDUNG · GEBEN · GRAD I · SCHLUSS
L+K+E+D_ADDR+E+Y	K	GEBEN	E|E	Y	0	L	NONCANONICAL_MULTISLOT	NO	1	1	BIOLOGICAL	1	lkedey	VERBINDUNG · GEBEN · GRAD I · HIER · GRAD I · POSTEN
L+K+E+O	K	GEBEN	E	NONE	0	L	K|E|NONE|OPEN	YES	1	1	PHARMA	1	lkeo	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG
L+K+E+Y	K	GEBEN	E	Y	0	L	K|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	lkey	VERBINDUNG · GEBEN · GRAD I · POSTEN
L+K+EE+D_ADDR	K	GEBEN	EE	NONE	0	L	K|EE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lkeed	VERBINDUNG · GEBEN · GRAD II · HIER
L+K+EE+D_ADDR+Y	K	GEBEN	EE	Y	0	L	K|EE|Y|OPEN	YES	3	1	BIOLOGICAL	2	lkeedy	VERBINDUNG · GEBEN · GRAD II · HIER · POSTEN
L+K+EE+Y	K	GEBEN	EE	Y	0	L	K|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	lkeey	VERBINDUNG · GEBEN · GRAD II · POSTEN
L+K+Y	K	GEBEN	NONE	Y	0	L	K|NONE|Y|OPEN	YES	2	1	BIOLOGICAL	1	lky	VERBINDUNG · GEBEN · POSTEN
L+LOCAL_CHAR_F+CH+E+AL	CH	NEHMEN	E	NONE	0	L|AL	CH|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lfcheal	VERBINDUNG · HIER · NEHMEN · GRAD I · ZIELORT
L+O+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	L	CHD|NONE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	lochedy	VERBINDUNG · AUSFÜHRUNG · BEARBEITEN · SCHLUSS
L+OL+CHD+DY	CHD	BEARBEITEN	NONE	NONE	1	L|OL	CHD|NONE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	lolchedy	VERBINDUNG · FORTSETZEN · BEARBEITEN · SCHLUSS
L+R	R	MARKIEREN	NONE	NONE	0	L	R|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lr	VERBINDUNG · MARKIEREN
L+SH	SH	HALTEN	NONE	NONE	0	L	SH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lsh	VERBINDUNG · HALTEN
L+SH+E	SH	HALTEN	E	NONE	0	L	SH|E|NONE|OPEN	YES	2	1	BIOLOGICAL	2	lshed	VERBINDUNG · HALTEN · GRAD I
L+SH+E+DY	SH	HALTEN	E	NONE	1	L	SH|E|NONE|CLOSE	YES	7	1	BIOLOGICAL	5	lshedy	VERBINDUNG · HALTEN · GRAD I · SCHLUSS
L+SH+E+D_ADDR+AR+Y	SH	HALTEN	E	Y	0	L|AR	SH|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	lshedary	VERBINDUNG · HALTEN · GRAD I · HIER · AUSGANG · POSTEN
L+SH+E+Y	SH	HALTEN	E	Y	0	L	SH|E|Y|OPEN	YES	3	1	BIOLOGICAL	3	lshey	VERBINDUNG · HALTEN · GRAD I · POSTEN
L+SH+EE	SH	HALTEN	EE	NONE	0	L	SH|EE|NONE|OPEN	YES	1	1	HERBAL	1	lshee	VERBINDUNG · HALTEN · GRAD II
L+SH+EE+D_ADDR+Y	SH	HALTEN	EE	Y	0	L	SH|EE|Y|OPEN	YES	4	1	BIOLOGICAL	3	lsheedy	VERBINDUNG · HALTEN · GRAD II · HIER · POSTEN
L+SH+EE+Y	SH	HALTEN	EE	Y	0	L	SH|EE|Y|OPEN	YES	2	1	BIOLOGICAL	1	lsheey	VERBINDUNG · HALTEN · GRAD II · POSTEN
L+SH+L	SH	HALTEN	NONE	NONE	0	L|L	SH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lshl	VERBINDUNG · HALTEN · VERBINDUNG
L+SH+O	SH	HALTEN	NONE	NONE	0	L	SH|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	lsho	VERBINDUNG · HALTEN · AUSFÜHRUNG
L+T+AIIN	T	EINSTELLEN	NONE	AIIN	0	L	T|NONE|AIIN|OPEN	YES	1	1	BIOLOGICAL	1	ltaiin	VERBINDUNG · EINSTELLEN · WERT
L+T+AIN	T	EINSTELLEN	NONE	AIN	0	L	T|NONE|AIN|OPEN	YES	1	1	BIOLOGICAL	1	ltain	VERBINDUNG · EINSTELLEN · ANTEIL
L+T+AR+Y	T	EINSTELLEN	NONE	Y	0	L|AR	T|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	ltary	VERBINDUNG · EINSTELLEN · AUSGANG · POSTEN
L+T+E+DY	T	EINSTELLEN	E	NONE	1	L	T|E|NONE|CLOSE	YES	2	1	BIOLOGICAL	2	ltedy	VERBINDUNG · EINSTELLEN · GRAD I · SCHLUSS
L+T+EE+D_ADDR+Y	T	EINSTELLEN	EE	Y	0	L	T|EE|Y|OPEN	YES	1	1	BIOLOGICAL	1	lteedy	VERBINDUNG · EINSTELLEN · GRAD II · HIER · POSTEN
LOCAL_CHAR_F+CH+EE+Y	CH	NEHMEN	EE	Y	0	NONE	CH|EE|Y|OPEN	YES	1	1	HERBAL	1	fcheey	HIER · NEHMEN · GRAD II · POSTEN
LOCAL_CHAR_F+CH+O+D_ADDR+AIIN	CH	NEHMEN	NONE	AIIN	0	NONE	CH|NONE|AIIN|OPEN	YES	1	1	HERBAL	1	fchodaiin	HIER · NEHMEN · AUSFÜHRUNG · HIER · WERT
LOCAL_CHAR_F+SH+O+DY	SH	HALTEN	NONE	NONE	1	NONE	SH|NONE|NONE|CLOSE	YES	1	1	HERBAL	1	fshody	HIER · HALTEN · AUSFÜHRUNG · SCHLUSS
O+CH+E+O+L	CH	NEHMEN	E	NONE	0	L	CH|E|NONE|OPEN	YES	1	1	PHARMA	1	ocheol	AUSFÜHRUNG · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG
O+CH+E+Y	CH	NEHMEN	E	Y	0	NONE	CH|E|Y|OPEN	YES	1	1	CELESTIAL	1	ochey	AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN
O+CHD+AR	CHD	BEARBEITEN	NONE	NONE	0	AR	CHD|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	ochedar	AUSFÜHRUNG · BEARBEITEN · AUSGANG
O+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	NONE	CHD|NONE|Y|OPEN	YES	2	1	HERBAL	2	ochdy|ochedy	AUSFÜHRUNG · BEARBEITEN · POSTEN
O+DA+S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	odas	AUSFÜHRUNG · ZWEITE STUFE · WÄHLEN
O+D_ADDR+S	S	WÄHLEN	NONE	NONE	0	NONE	S|NONE|NONE|OPEN	YES	1	1	HERBAL	1	ods	AUSFÜHRUNG · HIER · WÄHLEN
O+E+K+AIN	K	GEBEN	E	AIN	0	NONE	K|E|AIN|OPEN	YES	1	1	CELESTIAL	1	oekain	AUSFÜHRUNG · GRAD I · GEBEN · ANTEIL
O+E+K+E+OL	K	GEBEN	E|E	NONE	0	OL	NONCANONICAL_MULTISLOT	NO	1	1	PHARMA	1	qoekeol	AUSFÜHRUNG · GRAD I · GEBEN · GRAD I · FORTSETZEN
O+E+P+AIIN	P	EINSETZEN	E	AIIN	0	NONE	P|E|AIIN|OPEN	YES	1	1	HERBAL	1	oepaiin	AUSFÜHRUNG · GRAD I · EINSETZEN · WERT
O+EE+O+S	S	WÄHLEN	EE	NONE	0	NONE	S|EE|NONE|OPEN	YES	1	1	CELESTIAL	1	oeeos	AUSFÜHRUNG · GRAD II · AUSFÜHRUNG · WÄHLEN
O+EEE+S	S	WÄHLEN	EEE	NONE	0	NONE	S|EEE|NONE|OPEN	YES	1	1	HERBAL	1	oeees	AUSFÜHRUNG · GRAD III · WÄHLEN
O+L+SH+E+O+D_ADDR+Y	SH	HALTEN	E	Y	0	L	SH|E|Y|OPEN	YES	1	1	PHARMA	1	olsheody	AUSFÜHRUNG · VERBINDUNG · HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
O+LOCAL_CHAR_F+CHD+Y	CHD	BEARBEITEN	NONE	Y	0	NONE	CHD|NONE|Y|OPEN	YES	1	1	HERBAL	1	ofchdy	AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN
O+LOCAL_CHAR_F+SH+D_ADDR+Y	SH	HALTEN	NONE	Y	0	NONE	SH|NONE|Y|OPEN	YES	1	1	BIOLOGICAL	1	ofshdy	AUSFÜHRUNG · HIER · HALTEN · HIER · POSTEN
O+OK+AIN	OK	SETZEN	NONE	AIN	0	NONE	OK|NONE|AIN|OPEN	YES	1	1	BIOLOGICAL	1	oqokain	AUSFÜHRUNG · SETZEN · ANTEIL
O+P+AR	P	EINSETZEN	NONE	NONE	0	AR	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	opar	AUSFÜHRUNG · EINSETZEN · AUSGANG
O+P+E+DY	P	EINSETZEN	E	NONE	1	NONE	P|E|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	opedy	AUSFÜHRUNG · EINSETZEN · GRAD I · SCHLUSS
O+P+E+Y	P	EINSETZEN	E	Y	0	NONE	P|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	qopchey	AUSFÜHRUNG · EINSETZEN · GRAD I · POSTEN
O+P+O+AM_ADDR	P	EINSETZEN	NONE	NONE	0	NONE	P|NONE|NONE|OPEN	YES	1	1	HERBAL	1	opom	AUSFÜHRUNG · EINSETZEN · AUSFÜHRUNG · HIER
O+P+O+D_ADDR+OL	P	EINSETZEN	NONE	NONE	0	OL	P|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	opodchol	AUSFÜHRUNG · EINSETZEN · AUSFÜHRUNG · HIER · FORTSETZEN
O+P+OL	P	EINSETZEN	NONE	NONE	0	OL	P|NONE|NONE|OPEN	YES	1	1	BIOLOGICAL	1	opol	AUSFÜHRUNG · EINSETZEN · FORTSETZEN
O+P+Y	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	5	3	HERBAL|BIOLOGICAL|CELESTIAL	3	opchey|opchy|qopchy	AUSFÜHRUNG · EINSETZEN · POSTEN
O+P+Y+DY	P	EINSETZEN	NONE	Y	1	NONE	P|NONE|Y|CLOSE	YES	1	1	HERBAL	1	opydy	AUSFÜHRUNG · EINSETZEN · POSTEN · SCHLUSS
O+P+Y+D_ADDR+LOCAL_CHAR_G	P	EINSETZEN	NONE	Y	0	NONE	P|NONE|Y|OPEN	YES	1	1	HERBAL	1	opydg	AUSFÜHRUNG · EINSETZEN · POSTEN · HIER · VARIANTE
O+S+AIN	S	WÄHLEN	NONE	AIN	0	NONE	S|NONE|AIN|OPEN	YES	1	1	HERBAL	1	osain	AUSFÜHRUNG · WÄHLEN · ANTEIL
O+SH+E+O	SH	HALTEN	E	NONE	0	NONE	SH|E|NONE|OPEN	YES	1	1	CELESTIAL	1	osheo	AUSFÜHRUNG · HALTEN · GRAD I · AUSFÜHRUNG
O+SH+E+Y	SH	HALTEN	E	Y	0	NONE	SH|E|Y|OPEN	YES	1	1	BIOLOGICAL	1	oshedy	AUSFÜHRUNG · HALTEN · GRAD I · POSTEN
O+SH+EE+DY	SH	HALTEN	EE	NONE	1	NONE	SH|EE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	osheedy	AUSFÜHRUNG · HALTEN · GRAD II · SCHLUSS
O+SH+OR	SH	HALTEN	NONE	OR	0	NONE	SH|NONE|OR|OPEN	YES	1	1	HERBAL	1	oshor	AUSFÜHRUNG · HALTEN · EINHEIT
OK	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	5	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	4	chok|ok	SETZEN
OK+AIIN	OK	SETZEN	NONE	AIIN	0	NONE	OK|NONE|AIIN|OPEN	YES	64	5	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	15	chokaiin|okaiin|okalaiin|qokaiin	SETZEN · WERT
OK+AIN	OK	SETZEN	NONE	AIN	0	NONE	OK|NONE|AIN|OPEN	YES	63	4	SOURCE_SECTION_T|HERBAL|BIOLOGICAL|PHARMA	12	okain|qokain	SETZEN · ANTEIL
OK+AIR	OK	SETZEN	NONE	NONE	0	AIR	OK|NONE|NONE|OPEN	YES	4	2	BIOLOGICAL|PHARMA	4	okair|qokair	SETZEN · BAHN
OK+AL	OK	SETZEN	NONE	NONE	0	AL	OK|NONE|NONE|OPEN	YES	47	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	14	chokal|chykald|okal|okedal|qokal	SETZEN · ZIELORT
OK+AL+AL	OK	SETZEN	NONE	NONE	0	AL|AL	OK|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	okalal	SETZEN · ZIELORT · ZIELORT
OK+AL+AR	OK	SETZEN	NONE	NONE	0	AL|AR	OK|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	okalar	SETZEN · ZIELORT · AUSGANG
OK+AL+DY	OK	SETZEN	NONE	NONE	1	AL	OK|NONE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	okaldy	SETZEN · ZIELORT · SCHLUSS
OK+AL+O+DY	OK	SETZEN	NONE	NONE	1	AL	OK|NONE|NONE|CLOSE	YES	1	1	HERBAL	1	okalody	SETZEN · ZIELORT · AUSFÜHRUNG · SCHLUSS
OK+AL+OR+O	OK	SETZEN	NONE	OR	0	AL	OK|NONE|OR|OPEN	YES	1	1	BIOLOGICAL	1	qokaloro	SETZEN · ZIELORT · EINHEIT · AUSFÜHRUNG
OK+AL+Y	OK	SETZEN	NONE	Y	0	AL	OK|NONE|Y|OPEN	YES	5	2	BIOLOGICAL|CELESTIAL	4	chokaly|okaly|qokaldy|qokaly	SETZEN · ZIELORT · POSTEN
OK+AM_ADDR	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	3	3	HERBAL|BIOLOGICAL|CELESTIAL	3	okam|qokam	SETZEN · HIER
OK+AN	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	4	3	SOURCE_SECTION_T|HERBAL|BIOLOGICAL	3	okan|qokan	SETZEN · KLASSE
OK+AR	OK	SETZEN	NONE	NONE	0	AR	OK|NONE|NONE|OPEN	YES	39	4	HERBAL|BIOLOGICAL|CELESTIAL|PHARMA	12	chokar|okar|qokar	SETZEN · AUSGANG
OK+AR+AR	OK	SETZEN	NONE	NONE	0	AR|AR	OK|NONE|NONE|OPEN	YES	2	2	HERBAL|CELESTIAL	2	okarar	SETZEN · AUSGANG · AUSGANG
OK+AR+DY	OK	SETZEN	NONE	NONE	1	AR	OK|NONE|NONE|CLOSE	YES	1	1	BIOLOGICAL	1	qokardy	SETZEN · AUSGANG · SCHLUSS
OK+A_ADDR+LOCAL_CHAR_I+IIN	OK	SETZEN	NONE	NONE	0	NONE	OK|NONE|NONE|OPEN	YES	1	1	CELESTIAL	1	okaiiin	SETZEN · HIER · VARIANTE · STUFE
OK+A_ADDR+Y	OK	SETZEN	NONE	Y	0	NONE	OK|NONE|Y|OPEN	YES	1	1	HERBAL	1	okady	SETZEN · HIER · POSTEN
OK+E+AL	OK	SETZEN	E	NONE	0	AL	OK|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qokeal	SETZEN · GRAD I · ZIELORT
OK+E+AR	OK	SETZEN	E	NONE	0	AR	OK|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qokear	SETZEN · GRAD I · AUSGANG
OK+E+DY	OK	SETZEN	E	NONE	1	NONE	OK|E|NONE|CLOSE	YES	67	3	HERBAL|BIOLOGICAL|PHARMA	9	okedy|qokedy	SETZEN · GRAD I · SCHLUSS
OK+E+D_ADDR	OK	SETZEN	E	NONE	0	NONE	OK|E|NONE|OPEN	YES	3	1	BIOLOGICAL	2	qoked	SETZEN · GRAD I · HIER
OK+E+D_ADDR+AL+OR	OK	SETZEN	E	OR	0	AL	OK|E|OR|OPEN	YES	1	1	BIOLOGICAL	1	okedalor	SETZEN · GRAD I · HIER · ZIELORT · EINHEIT
OK+E+D_ADDR+AR	OK	SETZEN	E	NONE	0	AR	OK|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qokedar	SETZEN · GRAD I · HIER · AUSGANG
OK+E+D_ADDR+OL	OK	SETZEN	E	NONE	0	OL	OK|E|NONE|OPEN	YES	1	1	BIOLOGICAL	1	qokedol	SETZEN · GRAD I · HIER · FORTSETZEN
OK+E+D_ADDR+OR	OK	SETZEN	E	OR	0	NONE	OK|E|OR|OPEN	YES	1	1	BIOLOGICAL	1	okedor	SETZEN · GRAD I · HIER · EINHEIT
OK+E+O	OK	SETZEN	E	NONE	0	NONE	OK|E|NONE|OPEN	YES	8	2	CELESTIAL|PHARMA	5	okeo|qokeo	SETZEN · GRAD I · AUSFÜHRUNG
OK+E+O+AL	OK	SETZEN	E	NONE	0	AL	OK|E|NONE|OPEN	YES	1	1	CELESTIAL	1	qokeodal	SETZEN · GRAD I · AUSFÜHRUNG · ZIELORT
OK+E+O+AM_ADDR	OK	SETZEN	E	NONE	0	NONE	OK|E|NONE|OPEN	YES	2	1	PHARMA	2	okeom|qokeom	SETZEN · GRAD I · AUSFÜHRUNG · HIER
OK+E+O+D_ADDR+AL+Y	OK	SETZEN	E	Y	0	AL	OK|E|Y|OPEN	YES	2	1	CELESTIAL	2	okeodaly	SETZEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT · POSTEN
OK+E+O+D_ADDR+Y	OK	SETZEN	E	Y	0	NONE	OK|E|Y|OPEN	YES	12	3	HERBAL|CELESTIAL|PHARMA	5	okeody|qokeody|qokeoefy	SETZEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN
OK+E+O+Y	OK	SETZEN	E	Y	0	NONE	OK|E|Y|OPEN	YES	2	2	BIOLOGICAL|PHARMA	2	okeoy|qokeoy	SETZEN · GRAD I · AUSFÜHRUNG · POSTEN
