gap_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	register	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	written_carrier_count	written_carrier_roots	written_carrier_lemmas_de	gdt584_upstream_clause_de	gap_route	next_object_task
185	2875	G407-S324	3	f77r	BIOLOGICAL	ACTION:G407-E2436@1:OK	G407-E2436	RUNNING:G407-E2436@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad I vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
186	2881	G407-S325	5	f77r	BIOLOGICAL	ACTION:G407-E2439@2:OK	G407-E2439	RUNNING:G407-E2439@2	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
187	2882	G407-S325	6	f77r	BIOLOGICAL	ACTION:G407-E2439@3:CH	G407-E2439	RUNNING:G407-E2439@3	CH	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Entnimm oder lass den Stationsansatz auf Grad II ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
188	2884	G407-S325	8	f77r	BIOLOGICAL	ACTION:G407-E2441@1:SH	G407-E2441	RUNNING:G407-E2441@1	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
189	2890	G407-S326	1	f77r	BIOLOGICAL	ACTION:G407-E2443@1:OK	G407-E2443	RUNNING:G407-E2443@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
190	2899	G407-S332	1	f77r	BIOLOGICAL	ACTION:G407-E2451@1:OK	G407-E2451	RUNNING:G407-E2451@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
191	2902	G407-S332	4	f77r	BIOLOGICAL	ACTION:G407-E2453@1:OK	G407-E2453	RUNNING:G407-E2453@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
192	2911	G407-S334	3	f77r	BIOLOGICAL	ACTION:G407-E2460@1:OK	G407-E2460	RUNNING:G407-E2460@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
193	2915	G407-S335	2	f77r	BIOLOGICAL	ACTION:G407-E2462@2:SH	G407-E2462	RUNNING:G407-E2462@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
194	2922	G407-S340	5	f77r	BIOLOGICAL	ACTION:G407-E2472@1:OK	G407-E2472	RUNNING:G407-E2472@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
195	2926	G407-S341	3	f77r	BIOLOGICAL	ACTION:G407-E2475@1:CH	G407-E2475	RUNNING:G407-E2475@1	CH	GDT582_RETAINED_NON_TARGET	2	AIIN+Y	Stations- oder Badmaß|Stationsansatz	Entnimm oder lass das Stations- oder Badmaß und den Stationsansatz auf Grad II und an der Stations-Arbeitsstelle ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
196	2931	G407-S341	8	f77r	BIOLOGICAL	ACTION:G407-E2481@3:CH	G407-E2481	RUNNING:G407-E2481@3	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
197	2932	G407-S341	9	f77r	BIOLOGICAL	ACTION:G407-E2481@4:K	G407-E2481	RUNNING:G407-E2481@4	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe auf Grad I zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
198	2935	G407-S343	2	f77r	BIOLOGICAL	ACTION:G407-E2488@1:OK	G407-E2488	RUNNING:G407-E2488@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
199	2937	G407-S345	1	f77r	BIOLOGICAL	ACTION:G407-E2490@1:OK	G407-E2490	RUNNING:G407-E2490@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
200	2938	G407-S345	2	f77r	BIOLOGICAL	ACTION:G407-E2491@1:OK	G407-E2491	RUNNING:G407-E2491@1	OK	GDT582_RETAINED_NON_TARGET	4	Y+AIIN+Y+AIN	Stationsansatz|Stations- oder Badmaß|Stationsansatz|Anwendungsportion	Beschicke oder bereite den Stationsansatz, das Stations- oder Badmaß und die Anwendungsportion auf Grad II und über den Stationskontakt oder die Leitung vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
201	2941	G407-S345	5	f77r	BIOLOGICAL	ACTION:G407-E2496@1:OK	G407-E2496	RUNNING:G407-E2496@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
202	2945	G407-S346	3	f77r	BIOLOGICAL	ACTION:G407-E2498@1:OK	G407-E2498	RUNNING:G407-E2498@1	OK	GDT582_RETAINED_NON_TARGET	2	Y+AIN	Stationsansatz|Anwendungsportion	Beschicke oder bereite den Stationsansatz und die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
203	2955	G407-S351	1	f77r	BIOLOGICAL	ACTION:G407-E2506@1:OK	G407-E2506	RUNNING:G407-E2506@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
204	2965	G407-S353	1	f77r	BIOLOGICAL	ACTION:G407-E2513@1:R	G407-E2513	RUNNING:G407-E2513@1	R	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Kennzeichne oder prüfe den Stationsansatz	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
205	2969	G407-S353	5	f77r	BIOLOGICAL	ACTION:G407-E2518@1:OK	G407-E2518	RUNNING:G407-E2518@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad I vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
206	2971	G407-S354	1	f77r	BIOLOGICAL	ACTION:G407-E2519@1:OK	G407-E2519	RUNNING:G407-E2519@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
207	2973	G407-S354	3	f77r	BIOLOGICAL	ACTION:G407-E2520@3:OK	G407-E2520	RUNNING:G407-E2520@3	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
208	2974	G407-S354	4	f77r	BIOLOGICAL	ACTION:G407-E2521@1:OK	G407-E2521	RUNNING:G407-E2521@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
209	2979	G407-S355	2	f77r	BIOLOGICAL	ACTION:G407-E2524@2:SH	G407-E2524	RUNNING:G407-E2524@2	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
210	2983	G407-S357	2	f77r	BIOLOGICAL	ACTION:G407-E2527@1:OK	G407-E2527	RUNNING:G407-E2527@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß zur Zielstation oder ins Zielbecken vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
211	2987	G407-S357	6	f77r	BIOLOGICAL	ACTION:G407-E2531@1:CH	G407-E2531	RUNNING:G407-E2531@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
212	2988	G407-S357	7	f77r	BIOLOGICAL	ACTION:G407-E2531@2:P	G407-E2531	RUNNING:G407-E2531@2	P	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Wende den Stationsansatz auf Grad I an	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
213	2989	G407-S357	8	f77r	BIOLOGICAL	ACTION:G407-E2532@3:CH	G407-E2532	RUNNING:G407-E2532@3	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass auf Grad I, in Feinform, zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
214	2990	G407-S357	9	f77r	BIOLOGICAL	ACTION:G407-E2533@1:SH	G407-E2533	RUNNING:G407-E2533@1	SH	SH_CH_BRIDGE_HOLD	0	NONE	NONE	Halte den Zustand auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
215	2992	G407-S357	11	f77r	BIOLOGICAL	ACTION:G407-E2534@2:CH	G407-E2534	RUNNING:G407-E2534@2	CH	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Entnimm oder lass den Stationsansatz ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
216	2996	G407-S358	1	f77r	BIOLOGICAL	ACTION:G407-E2536@1:OK	G407-E2536	RUNNING:G407-E2536@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite von der Ausgangsstation oder aus dem Ausgangsbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
217	2999	G407-S359	1	f77r	BIOLOGICAL	ACTION:G407-E2538@1:OK	G407-E2538	RUNNING:G407-E2538@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite zur Zielstation oder ins Zielbecken vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
218	3005	G407-S361	1	f77r	BIOLOGICAL	ACTION:G407-E2545@1:OK	G407-E2545	RUNNING:G407-E2545@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
219	3006	G407-S361	2	f77r	BIOLOGICAL	ACTION:G407-E2546@1:CH	G407-E2546	RUNNING:G407-E2546@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
220	3007	G407-S361	3	f77r	BIOLOGICAL	ACTION:G407-E2546@2:CH	G407-E2546	RUNNING:G407-E2546@2	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
221	3011	G407-S362	1	f77r	BIOLOGICAL	ACTION:G407-E2548@1:OK	G407-E2548	RUNNING:G407-E2548@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz zur Zielstation oder ins Zielbecken vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
222	3015	G407-S362	5	f77r	BIOLOGICAL	ACTION:G407-E2550@1:OK	G407-E2550	RUNNING:G407-E2550@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
223	3016	G407-S362	6	f77r	BIOLOGICAL	ACTION:G407-E2551@1:OK	G407-E2551	RUNNING:G407-E2551@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
224	3021	G407-S366	3	f77r	BIOLOGICAL	ACTION:G407-E2562@1:SH	G407-E2562	RUNNING:G407-E2562@1	SH	SH_REST_HOLD	0	NONE	NONE	Halte den Zustand	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
225	3024	G407-S366	6	f77r	BIOLOGICAL	ACTION:G407-E2563@1:OK	G407-E2563	RUNNING:G407-E2563@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
226	3027	G407-S368	2	f77r	BIOLOGICAL	ACTION:G407-E2566@1:OK	G407-E2566	RUNNING:G407-E2566@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß zur Zielstation oder ins Zielbecken vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
227	3028	G407-S368	3	f77r	BIOLOGICAL	ACTION:G407-E2567@1:CH	G407-E2567	RUNNING:G407-E2567@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
228	3029	G407-S368	4	f77r	BIOLOGICAL	ACTION:G407-E2567@2:CH	G407-E2567	RUNNING:G407-E2567@2	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
229	3030	G407-S368	5	f77r	BIOLOGICAL	ACTION:G407-E2567@3:K	G407-E2567	RUNNING:G407-E2567@3	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz auf Grad I zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
230	3034	G407-S368	9	f77r	BIOLOGICAL	ACTION:G407-E2570@2:K	G407-E2570	RUNNING:G407-E2570@2	K	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Führe die Anwendungsportion zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
231	3035	G407-S368	10	f77r	BIOLOGICAL	ACTION:G407-E2571@1:CH	G407-E2571	RUNNING:G407-E2571@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
232	3036	G407-S368	11	f77r	BIOLOGICAL	ACTION:G407-E2571@2:K	G407-E2571	RUNNING:G407-E2571@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz auf Grad II und über den Stationskontakt oder die Leitung zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
233	3038	G407-S368	13	f77r	BIOLOGICAL	ACTION:G407-E2573@1:OK	G407-E2573	RUNNING:G407-E2573@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
234	3039	G407-S368	14	f77r	BIOLOGICAL	ACTION:G407-E2574@1:CH	G407-E2574	RUNNING:G407-E2574@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
235	3040	G407-S368	15	f77r	BIOLOGICAL	ACTION:G407-E2574@2:K	G407-E2574	RUNNING:G407-E2574@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
236	3041	G407-S368	16	f77r	BIOLOGICAL	ACTION:G407-E2575@1:OK	G407-E2575	RUNNING:G407-E2575@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz auf Grad II vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
237	3047	G407-S370	3	f77r	BIOLOGICAL	ACTION:G407-E2581@1:CH	G407-E2581	RUNNING:G407-E2581@1	CH	GDT582_RETAINED_NON_TARGET	2	AIN+OR	Anwendungsportion|Becken- oder Körpereinheit	Entnimm oder lass die Anwendungsportion und die Becken- oder Körpereinheit in Anwendungsform, auf Grad I, zur Zielstation oder ins Zielbecken und über den Stationskontakt oder die Leitung ab	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
238	3051	G407-S370	7	f77r	BIOLOGICAL	ACTION:G407-E2586@2:R	G407-E2586	RUNNING:G407-E2586@2	R	GDT582_RETAINED_NON_TARGET	2	Y+AIIN	Stationsansatz|Stations- oder Badmaß	Kennzeichne oder prüfe den Stationsansatz und das Stations- oder Badmaß im zweiten Durchgang	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
239	3054	G407-S370	10	f77r	BIOLOGICAL	ACTION:G407-E2590@1:K	G407-E2590	RUNNING:G407-E2590@1	K	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Führe auf Grad II zu	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
240	3058	G407-S372	3	f77r	BIOLOGICAL	ACTION:G407-E2594@1:CH	G407-E2594	RUNNING:G407-E2594@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass auf Grad II ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
241	3060	G407-S372	5	f77r	BIOLOGICAL	ACTION:G407-E2596@1:OK	G407-E2596	RUNNING:G407-E2596@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
242	3067	G407-S374	1	f77r	BIOLOGICAL	ACTION:G407-E2600@1:OK	G407-E2600	RUNNING:G407-E2600@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
243	3068	G407-S374	2	f77r	BIOLOGICAL	ACTION:G407-E2601@1:OK	G407-E2601	RUNNING:G407-E2601@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
244	3069	G407-S374	3	f77r	BIOLOGICAL	ACTION:G407-E2602@1:CH	G407-E2602	RUNNING:G407-E2602@1	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass auf Grad I ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
245	3070	G407-S374	4	f77r	BIOLOGICAL	ACTION:G407-E2602@3:CH	G407-E2602	RUNNING:G407-E2602@3	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
246	3071	G407-S374	5	f77r	BIOLOGICAL	ACTION:G407-E2602@4:K	G407-E2602	RUNNING:G407-E2602@4	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
247	3072	G407-S374	6	f77r	BIOLOGICAL	ACTION:G407-E2603@1:R	G407-E2603	RUNNING:G407-E2603@1	R	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Kennzeichne oder prüfe das Stations- oder Badmaß	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
248	3074	G407-S374	8	f77r	BIOLOGICAL	ACTION:G407-E2604@2:K	G407-E2604	RUNNING:G407-E2604@2	K	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Führe den Stationsansatz zu	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
249	3076	G407-S374	10	f77r	BIOLOGICAL	ACTION:G407-E2605@1:OK	G407-E2605	RUNNING:G407-E2605@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
250	3078	G407-S374	12	f77r	BIOLOGICAL	ACTION:G407-E2607@1:OK	G407-E2607	RUNNING:G407-E2607@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
251	3081	G407-S375	1	f77r	BIOLOGICAL	ACTION:G407-E2609@1:OK	G407-E2609	RUNNING:G407-E2609@1	OK	GDT582_RETAINED_NON_TARGET	1	AIIN	Stations- oder Badmaß	Beschicke oder bereite das Stations- oder Badmaß vor	AIIN_ONLY_PARAMETER__OBJECT_STILL_NEEDED	KEEP_PARAMETER__SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
252	3085	G407-S376	1	f77r	BIOLOGICAL	ACTION:G407-E2613@1:P	G407-E2613	RUNNING:G407-E2613@1	P	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Wende an	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
253	3090	G407-S377	3	f77r	BIOLOGICAL	ACTION:G407-E2616@3:CH	G407-E2616	RUNNING:G407-E2616@3	CH	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Entnimm oder lass an der Stations-Arbeitsstelle und über den Stationskontakt oder die Leitung ab	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
254	3092	G407-S377	5	f77r	BIOLOGICAL	ACTION:G407-E2617@1:OK	G407-E2617	RUNNING:G407-E2617@1	OK	GDT582_RETAINED_NON_TARGET	0	NONE	NONE	Beschicke oder bereite auf Grad II vor	CARRIERLESS_DEFAULT_OR_REFERENCE_NEEDED	SEARCH_TYPED_REFERENCE_THEN_ACTION_DEFAULT
255	3094	G407-S378	1	f77r	BIOLOGICAL	ACTION:G407-E2618@1:OK	G407-E2618	RUNNING:G407-E2618@1	OK	GDT582_RETAINED_NON_TARGET	1	Y	Stationsansatz	Beschicke oder bereite den Stationsansatz vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
256	3103	G407-S379	1	f77r	BIOLOGICAL	ACTION:G407-E2623@1:OK	G407-E2623	RUNNING:G407-E2623@1	OK	GDT582_RETAINED_NON_TARGET	1	AIN	Anwendungsportion	Beschicke oder bereite die Anwendungsportion vor	WRITTEN_PARTICIPANT_PACKET_AVAILABLE	TYPE_WRITTEN_PARTICIPANT_PACKET
