completed_action_ordinal	host_ordinal_global	statement_id	host_ordinal_in_statement	physical_page	primary_governor_key	anchor_event_id	action_slot_id	action_root	gdt584_rule_id	completion_layer	object_class	object_lemma_de	rendered_object_np_de	typing_card_id	reference_scope_card_id	reference_mode	source_pointer	gdt584_upstream_clause_de	gdt598_integrated_clause_de	clause_changed
152	2903	G407-S332	5	f77r	ACTION:G407-E2455@2:CHD	G407-E2455	RUNNING:G407-E2455@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2453@1:OK	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle denselben Stationsansatz über den Stationskontakt oder die Leitung	YES
153	2905	G407-S333	1	f77r	ACTION:G407-E2457@1:S	G407-E2457	RUNNING:G407-E2457@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom über den Stationskontakt oder die Leitung um	Leite den Strom über den Stationskontakt oder die Leitung um	NO
154	2907	G407-S333	3	f77r	ACTION:G407-E2457@2:SH	G407-E2457	RUNNING:G407-E2457@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
155	2910	G407-S334	2	f77r	ACTION:G407-E2459@1:CHD	G407-E2459	RUNNING:G407-E2459@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2459@1:CHD	Behandle das Stations- oder Badmaß und den Stationsansatz	Behandle das Stationsmaß und den Stationsansatz	YES
156	2912	G407-S334	4	f77r	ACTION:G407-E2461@1:SH	G407-E2461	RUNNING:G407-E2461@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E2461:RUNNING:G407-E2459@2	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
157	2918	G407-S340	1	f77r	ACTION:G407-E2468@1:SH	G407-E2468	RUNNING:G407-E2468@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2468:RUNNING:G407-E2469@3	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	Halte den Stationsansatz im Bad auf Grad II, als neuer Bad- oder Stationsansatz und an der Stations-Arbeitsstelle	NO
158	2919	G407-S340	2	f77r	ACTION:G407-E2470@1:S	G407-E2470	RUNNING:G407-E2470@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2470@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
159	2920	G407-S340	3	f77r	ACTION:G407-E2471@1:SH	G407-E2471	RUNNING:G407-E2471@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	CARRY:G407-E2468	Halte im Bad auf Grad II	Halte denselben Stationsansatz im Bad auf Grad II	YES
160	2921	G407-S340	4	f77r	ACTION:G407-E2471@3:T	G407-E2471	RUNNING:G407-E2471@3	T	T_AFTER_SH_COOL	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2471@3:T	Lass den Stationsansatz anschließend abkühlen	Lass den Körper anschließend abkühlen	YES
161	2927	G407-S341	4	f77r	ACTION:G407-E2476@2:SH	G407-E2476	RUNNING:G407-E2476@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2476:RUNNING:G407-E2476@4|RUNNING:G407-E2479@1	Halte den Stationsansatz und die Becken- oder Körpereinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung	Halte den Stationsansatz und die Badeinheit im Bad auf Grad I und über den Stationskontakt oder die Leitung	YES
162	2929	G407-S341	6	f77r	ACTION:G407-E2480@1:SH	G407-E2480	RUNNING:G407-E2480@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:S_ADDR	Halte im Bad auf Grad II und an der Stations-Endstelle	Halte den Stationsansatz im Bad auf Grad II und an der Stations-Endstelle	YES
163	2930	G407-S341	7	f77r	ACTION:G407-E2481@1:SH	G407-E2481	RUNNING:G407-E2481@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	CARRY:G407-E2480	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
164	2934	G407-S343	1	f77r	ACTION:G407-E2487@2:SH	G407-E2487	RUNNING:G407-E2487@2	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2487:RUNNING:G407-E2486@2|RUNNING:G407-E2487@4	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	Halte den Stationsansatz im Bad auf Grad II und über den Stationskontakt oder die Leitung	NO
165	2940	G407-S345	4	f77r	ACTION:G407-E2495@1:SH	G407-E2495	RUNNING:G407-E2495@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:AL	Halte im Bad auf Grad I und zur Zielstation oder ins Zielbecken	Halte den Stationsansatz im Bad auf Grad I und zur Zielstation oder ins Zielbecken	YES
166	2946	G407-S346	4	f77r	ACTION:G407-E2499@1:SH	G407-E2499	RUNNING:G407-E2499@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2499:RUNNING:G407-E2499@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
167	2950	G407-S347	1	f77r	ACTION:G407-E2501@2:CHD	G407-E2501	RUNNING:G407-E2501@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz zur Zielstation oder ins Zielbecken	Behandle den Stationsansatz zur Zielstation oder ins Zielbecken	YES
168	2952	G407-S348	1	f77r	ACTION:G407-E2502@1:CHD	G407-E2502	RUNNING:G407-E2502@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2502@1:CHD	Behandle das Stations- oder Badmaß	Behandle das Stationsmaß	YES
169	2953	G407-S348	2	f77r	ACTION:G407-E2503@1:SH	G407-E2503	RUNNING:G407-E2503@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
170	2956	G407-S351	2	f77r	ACTION:G407-E2507@1:CHD	G407-E2507	RUNNING:G407-E2507@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2507@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
171	2957	G407-S351	3	f77r	ACTION:G407-E2508@1:SH	G407-E2508	RUNNING:G407-E2508@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2508:RUNNING:G407-E2509@2|RUNNING:G407-E2509@3	Halte das Stations- oder Badmaß und den Stationsansatz im Bad auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I und von der Ausgangsstation oder aus dem Ausgangsbecken	YES
172	2963	G407-S352	2	f77r	ACTION:G407-E2512@2:CHD	G407-E2512	RUNNING:G407-E2512@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle den Stationsansatz über den Stationskontakt oder die Leitung	YES
173	2967	G407-S353	3	f77r	ACTION:G407-E2516@1:CHD	G407-E2516	RUNNING:G407-E2516@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2516@1:CHD	Behandle das Stations- oder Badmaß	Behandle das Stationsmaß	YES
174	2968	G407-S353	4	f77r	ACTION:G407-E2517@1:SH	G407-E2517	RUNNING:G407-E2517@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2517:RUNNING:G407-E2517@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
175	2972	G407-S354	2	f77r	ACTION:G407-E2520@1:SH	G407-E2520	RUNNING:G407-E2520@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E2520:RUNNING:G407-E2519@2	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
176	2975	G407-S354	5	f77r	ACTION:G407-E2522@1:CHD	G407-E2522	RUNNING:G407-E2522@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2522@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
177	2976	G407-S354	6	f77r	ACTION:G407-E2523@2:CHD	G407-E2523	RUNNING:G407-E2523@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2522@1:CHD	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle denselben Stationsansatz über den Stationskontakt oder die Leitung	YES
178	2982	G407-S357	1	f77r	ACTION:G407-E2526@1:CHD	G407-E2526	RUNNING:G407-E2526@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2526@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
179	2986	G407-S357	5	f77r	ACTION:G407-E2530@1:SH	G407-E2530	RUNNING:G407-E2530@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	UNIT	Badeinheit	die Badeinheit	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2530:RUNNING:G407-E2530@2	Halte die Becken- oder Körpereinheit im Bad	Halte die Badeinheit im Bad	YES
180	2997	G407-S358	2	f77r	ACTION:G407-E2537@1:SH	G407-E2537	RUNNING:G407-E2537@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T05_BODY_FIRST_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	DEFAULT:BODY	Halte im Bad auf Grad I	Halte den Körper im Bad auf Grad I	YES
181	3000	G407-S359	2	f77r	ACTION:G407-E2539@1:SH	G407-E2539	RUNNING:G407-E2539@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T02_BLOCKER_STATION	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	BLOCKER:AL|AR|D_ADDR	Halte im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken	Halte den Stationsansatz im Bad auf Grad I, an der Stations-Arbeitsstelle, zur Zielstation oder ins Zielbecken und von der Ausgangsstation oder aus dem Ausgangsbecken	YES
182	3001	G407-S359	3	f77r	ACTION:G407-E2541@1:CHD	G407-E2541	RUNNING:G407-E2541@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2541@1:CHD	Behandle den Stationsansatz und die Becken- oder Körpereinheit an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	Behandle den Stationsansatz und die Stationseinheit an der Stations-Arbeitsstelle und von der Ausgangsstation oder aus dem Ausgangsbecken	YES
183	3008	G407-S361	4	f77r	ACTION:G407-E2546@3:T	G407-E2546	RUNNING:G407-E2546@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2546@3:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
184	3009	G407-S361	5	f77r	ACTION:G407-E2547@2:CHD	G407-E2547	RUNNING:G407-E2547@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2546@3:T	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle denselben Stationsansatz über den Stationskontakt oder die Leitung	YES
185	3012	G407-S362	2	f77r	ACTION:G407-E2549@1:S	G407-E2549	RUNNING:G407-E2549@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2548@1:OK	Wähle die Einheit aus	Wähle denselben Stationsansatz aus	YES
186	3014	G407-S362	4	f77r	ACTION:G407-E2549@3:CHD	G407-E2549	RUNNING:G407-E2549@3	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2549@3:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
187	3017	G407-S362	7	f77r	ACTION:G407-E2552@1:SH	G407-E2552	RUNNING:G407-E2552@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	dieselbe Anwendungsportion	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E2552:RUNNING:G407-E2550@2	Halte im Bad auf Grad I	Halte dieselbe Anwendungsportion im Bad auf Grad I	YES
188	3019	G407-S366	1	f77r	ACTION:G407-E2559@1:S	G407-E2559	RUNNING:G407-E2559@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom in Anwendungsform, an der Mittelstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung um	Leite den Strom in Anwendungsform, an der Mittelstelle, von der Ausgangsstation oder aus dem Ausgangsbecken und über den Stationskontakt oder die Leitung um	NO
189	3020	G407-S366	2	f77r	ACTION:G407-E2561@1:S	G407-E2561	RUNNING:G407-E2561@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	MEASURE	Stationsmaß	das Stationsmaß	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2561@1:S	Wähle das Stations- oder Badmaß aus	Wähle das Stationsmaß aus	YES
190	3031	G407-S368	6	f77r	ACTION:G407-E2568@1:S	G407-E2568	RUNNING:G407-E2568@1	S	S_REST_SELECT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2567@3:K	Wähle die Einheit an der Stations-Hauptstelle aus	Wähle denselben Stationsansatz an der Stations-Hauptstelle aus	YES
191	3049	G407-S370	5	f77r	ACTION:G407-E2584@1:SH	G407-E2584	RUNNING:G407-E2584@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2584:RUNNING:G407-E2584@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
192	3050	G407-S370	6	f77r	ACTION:G407-E2585@3:T	G407-E2585	RUNNING:G407-E2585@3	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Temperiere auf der Anwendungsstufe, auf Grad I und als neuer Bad- oder Stationsansatz	Temperiere den Stationsansatz auf der Anwendungsstufe, auf Grad I und als neuer Bad- oder Stationsansatz	YES
193	3052	G407-S370	8	f77r	ACTION:G407-E2588@1:CHD	G407-E2588	RUNNING:G407-E2588@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2588@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
194	3056	G407-S372	1	f77r	ACTION:G407-E2592@1:S	G407-E2592	RUNNING:G407-E2592@1	S	S_BIO_DIVERT	GDT597_NONSH_OBJECT_PHRASEBOOK	FLOW	Strom	den Strom	T02_ACTION_INTERNAL_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	Leite den Strom von der Ausgangsstation oder aus dem Ausgangsbecken um	NO
195	3059	G407-S372	4	f77r	ACTION:G407-E2594@3:T	G407-E2594	RUNNING:G407-E2594@3	T	T_BIO_STATION_REGULATE	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2594@3:T	Reguliere den Stationsansatz	Reguliere den Stationsansatz	NO
196	3061	G407-S372	6	f77r	ACTION:G407-E2597@1:SH	G407-E2597	RUNNING:G407-E2597@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT595:G407-E2597:RUNNING:G407-E2594@4|RUNNING:G407-E2595@1	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
197	3063	G407-S373	1	f77r	ACTION:G407-E2598@1:CHD	G407-E2598	RUNNING:G407-E2598@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2598@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
198	3065	G407-S373	3	f77r	ACTION:G407-E2599@2:CHD	G407-E2599	RUNNING:G407-E2599@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2598@1:CHD	Behandle den Ansatz	Behandle denselben Stationsansatz	YES
199	3077	G407-S374	11	f77r	ACTION:G407-E2606@1:CHD	G407-E2606	RUNNING:G407-E2606@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2606@1:CHD	Behandle den Stationsansatz	Behandle den Stationsansatz	NO
200	3079	G407-S374	13	f77r	ACTION:G407-E2608@1:SH	G407-E2608	RUNNING:G407-E2608@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	PORTION	Anwendungsportion	dieselbe Anwendungsportion	T04_STABLE_AIN_OR_TYPE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT593:G407-E2607:AIN	Halte im Bad auf Grad II	Halte dieselbe Anwendungsportion im Bad auf Grad II	YES
201	3082	G407-S375	2	f77r	ACTION:G407-E2610@1:CHD	G407-E2610	RUNNING:G407-E2610@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2610@1:CHD	Behandle das Stations- oder Badmaß und den Stationsansatz zur Zielstation oder ins Zielbecken	Behandle das Stationsmaß und den Stationsansatz zur Zielstation oder ins Zielbecken	YES
202	3083	G407-S375	3	f77r	ACTION:G407-E2612@1:SH	G407-E2612	RUNNING:G407-E2612@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	denselben Stationsansatz	T03_BOUND_TYPED_REFERENCE	Q01_LEFT_ANAPHORIC	ANAPHORIC	GDT594:G407-E2611	Halte im Bad auf Grad I	Halte denselben Stationsansatz im Bad auf Grad I	YES
203	3086	G407-S376	2	f77r	ACTION:G407-E2613@2:CHD	G407-E2613	RUNNING:G407-E2613@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T05_WORKPIECE_DEFAULT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	NONE	Behandle den Ansatz	Behandle den Stationsansatz	YES
204	3089	G407-S377	2	f77r	ACTION:G407-E2615@1:CHD	G407-E2615	RUNNING:G407-E2615@1	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY_PART	Körperteil	das Körperteil	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2615@1:CHD	Behandle die Anwendungsportion und den Stationsansatz	Behandle den Körperteil	YES
205	3097	G407-S378	4	f77r	ACTION:G407-E2620@1:T	G407-E2620	RUNNING:G407-E2620@1	T	T_PHYSICAL_GRADE_TEMPER	GDT597_NONSH_OBJECT_PHRASEBOOK	STATION	Stationsansatz	den Stationsansatz	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	ACTION:G407-E2620@1:T	Temperiere die Anwendungsportion und den Stationsansatz	Temperiere die Anwendungsportion und den Stationsansatz	NO
206	3105	G407-S379	3	f77r	ACTION:G407-E2625@1:SH	G407-E2625	RUNNING:G407-E2625@1	SH	SH_BIO_BATHE	GDT596_SH_OBJECT_PHRASEBOOK	BODY	Körper	den Körper	T01_WRITTEN_TYPED_OBJECT	Q03_LOCAL_OR_DEFAULT_DEFINITE	DEFINITE	HOST:G407-E2625:RUNNING:G407-E2625@3	Halte den Stationsansatz im Bad auf Grad II	Halte den Körper im Bad auf Grad II	YES
207	3106	G407-S379	4	f77r	ACTION:G407-E2626@2:CHD	G407-E2626	RUNNING:G407-E2626@2	CHD	CHD_BIO_TREAT	GDT597_NONSH_OBJECT_PHRASEBOOK	BODY	Körper	denselben Körper	T03_BOUND_COMPATIBLE_REFERENCE	Q01_LEFT_COMPATIBLE_ANAPHORIC	ANAPHORIC	ACTION:G407-E2625@1:SH	Behandle den Ansatz über den Stationskontakt oder die Leitung	Behandle denselben Körper über den Stationskontakt oder die Leitung	YES
