statement_ordinal	statement_id	physical_page	register	owner_de	event_count	surface_sequence	corrected_recipe_sequence	action_chain_de	arguments_de	relations_de	grades_de	end_mode	focus_attachment_count	bounded_forward_count	owner_only_count	rule_families	scope_skeleton_de	pass1026_recipe_changed	scope_result
53	P1009-S053	f72r	CELESTIAL	Tierkreis-Ringgruppe A	27	sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin	SH+E+OL+T+E+Y | CH+E+O+R | AIIN | Y+AL | OK+O+Y | SH+O | S+A_ADDR+L+SH+E+Y | SH+OL | AL+AIIN | CH+K+E+OL | K+OL | OT+O+S | AR | AIIN | OT+AM_ADDR | OT+AM_ADDR | CH+OT+AM_ADDR | S+AL | OK+E+O | D_ADDR+AR | AR | A_ADDR+AL | D_ADDR+AR | OK+EE+Y | AIIN | OT+EE+Y | OK+AIIN	HALTEN > EINSTELLEN > NEHMEN > MARKIEREN > SETZEN > HALTEN > WÄHLEN > HALTEN > HALTEN > NEHMEN > GEBEN > GEBEN > WÄHLEN > NEHMEN > WÄHLEN > SETZEN > SETZEN > SETZEN	WERT×5+AKTIVER POSTEN×6	ZIELORT×4+AUSGANG×4+VERBINDUNG×1	GRAD I×6+GRAD II×2	VISIBLE_RING_OR_OWNER_BOUNDARY	28	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	BESITZER[Tierkreis-Ringgruppe A] > HANDLUNG[SETZEN×4+NEHMEN×3+HALTEN×4+GEBEN×2+WÄHLEN×3+EINSTELLEN×1+MARKIEREN×1] > ARG[WERT×5+AKTIVER POSTEN×6] > REL[ZIELORT×4+AUSGANG×4+VERBINDUNG×1] > GRAD[GRAD I×6+GRAD II×2] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
54	P1009-S054	f72r	CELESTIAL	Tierkreis-Ringgruppe B	13	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody	OT+E+O+D_ADDR+AR | T+E+Y | OT+E+Y | SH+E+T+E+Y | OK+OR | OK+AL+AL | OT+AIIN | SH+E+OL+AIIN | OT+AIIN | CH+E+T+E+Y | OL+E+OR | OT+E+O | T+EE+O+DY	EINSTELLEN > HALTEN > EINSTELLEN > SETZEN > SETZEN > HALTEN > NEHMEN > EINSTELLEN > EINSTELLEN	WERT×3+EINHEIT×2+AKTIVER POSTEN×4	ZIELORT×2+AUSGANG×1	GRAD I×10+GRAD II×1	LICENSED_DY_CLOSE	23	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	BESITZER[Tierkreis-Ringgruppe B] > HANDLUNG[SETZEN×2+NEHMEN×1+HALTEN×2+EINSTELLEN×4] > ARG[WERT×3+EINHEIT×2+AKTIVER POSTEN×4] > REL[ZIELORT×2+AUSGANG×1] > GRAD[GRAD I×10+GRAD II×1] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
55	P1009-S055	f72r	CELESTIAL	Tierkreis-Ringgruppe B	14	otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar	OT+AR | OK+AIIN | OK+AIIN | AL | AL+O | CH+EE+D_ADDR+Y | OT+E+AR | AR | CH+K+E+Y | OK+AL | OT+AR | AL | O | OK+AR	SETZEN > SETZEN > NEHMEN > NEHMEN > GEBEN > SETZEN > SETZEN	WERT×2+AKTIVER POSTEN×2	ZIELORT×4+AUSGANG×5	GRAD I×2+GRAD II×1	VISIBLE_RING_OR_OWNER_BOUNDARY	16	1	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe B] > HANDLUNG[SETZEN×4+NEHMEN×2+GEBEN×1] > ARG[WERT×2+AKTIVER POSTEN×2] > REL[ZIELORT×4+AUSGANG×5] > GRAD[GRAD I×2+GRAD II×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
56	P1009-S056	f72r	CELESTIAL	Tierkreis-Ringgruppe C	13	okeeols aroly okees alaiin okeor chol o oteos aiin chal otaiin atchor chckhy	OK+EE+OL+S | AR+OL+Y | OK+EE+S | AL+AIIN | OK+E+OR | OL | O | OT+E+O+S_ADDR | AIIN | CH+AL | OT+AIIN | A_ADDR+T+CH+OR | CH+K+Y	SETZEN > WÄHLEN > SETZEN > WÄHLEN > SETZEN > NEHMEN > EINSTELLEN > NEHMEN > NEHMEN > GEBEN	WERT×3+EINHEIT×2+AKTIVER POSTEN×2	ZIELORT×2+AUSGANG×1	GRAD I×2+GRAD II×2	VISIBLE_RING_OR_OWNER_BOUNDARY	14	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe C] > HANDLUNG[SETZEN×3+NEHMEN×3+GEBEN×1+WÄHLEN×2+EINSTELLEN×1] > ARG[WERT×3+EINHEIT×2+AKTIVER POSTEN×2] > REL[ZIELORT×2+AUSGANG×1] > GRAD[GRAD I×2+GRAD II×2] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
57	P1009-S057	f72r	CELESTIAL	Tierkreis-Ringgruppe D	41	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees	OT+E+O+S_ADDR | AIIN | OK+E+O | AIIN | OK+EE+Y | CH+E+O | K+E+O+AL | OL | OK+E+OL | OL+Y | OT+E+O+K+EE+Y | T+E+Y | OK+AIIN | OK+CH+AL | Y | AL | O | K+EE+Y | AIIN | OT+AR | AL | OT+AIIN | OT+Y | O+EE+Y | S | CH+K+AL | CH+K+AIIN | OT+AIIN | Y | D_ADDR | R | AIIN | AL | Y | O | CH+K+AIIN | OK+AL | OK+E+O+AL | S+AIIN | OT+O | OT+EE+S	SETZEN > SETZEN > NEHMEN > GEBEN > SETZEN > GEBEN > EINSTELLEN > SETZEN > SETZEN > NEHMEN > GEBEN > WÄHLEN > NEHMEN > GEBEN > NEHMEN > GEBEN > MARKIEREN > NEHMEN > GEBEN > SETZEN > SETZEN > WÄHLEN > WÄHLEN	WERT×10+AKTIVER POSTEN×10	ZIELORT×8+AUSGANG×1	GRAD I×8+GRAD II×5	VISIBLE_RING_OR_OWNER_BOUNDARY	42	1	1	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|OWNER_CONTEXT|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	BESITZER[Tierkreis-Ringgruppe D] > HANDLUNG[SETZEN×7+NEHMEN×5+GEBEN×6+WÄHLEN×3+EINSTELLEN×1+MARKIEREN×1] > ARG[WERT×10+AKTIVER POSTEN×10] > REL[ZIELORT×8+AUSGANG×1] > GRAD[GRAD I×8+GRAD II×5] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
58	P1009-S058	f72r	CELESTIAL	Tierkreis-Ringgruppe E	17	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy	OT+EE+Y | T+E+Y | T+E+O+D_ADDR+AL | OK+AL+Y | OL | CH+E+O+L | OL | AIIN | OT+E+O | AIIN | SH+OK+AL | OT+E+Y | OT+AIIN | OT+AL+Y | AL | OK+AL+Y | AL+CHD+DY	EINSTELLEN > EINSTELLEN > SETZEN > NEHMEN > HALTEN > SETZEN > SETZEN > UMSETZEN	WERT×3+AKTIVER POSTEN×6	ZIELORT×7+VERBINDUNG×1	GRAD I×5+GRAD II×1	LICENSED_DY_CLOSE	23	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	BESITZER[Tierkreis-Ringgruppe E] > HANDLUNG[SETZEN×3+NEHMEN×1+HALTEN×1+EINSTELLEN×2+UMSETZEN×1] > ARG[WERT×3+AKTIVER POSTEN×6] > REL[ZIELORT×7+VERBINDUNG×1] > GRAD[GRAD I×5+GRAD II×1] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
59	P1009-S059	f72r	CELESTIAL	Tierkreis-Ringgruppe E	4	eteeey okal shey qoteeody	E+T+EEE+Y | OK+AL | SH+E+Y | OT+EE+O+DY	EINSTELLEN > SETZEN > HALTEN	AKTIVER POSTEN×2	ZIELORT×1	GRAD I×2+GRAD II×1+GRAD III×1	LICENSED_DY_CLOSE	7	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe E] > HANDLUNG[SETZEN×1+HALTEN×1+EINSTELLEN×1] > ARG[AKTIVER POSTEN×2] > REL[ZIELORT×1] > GRAD[GRAD I×2+GRAD II×1+GRAD III×1] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
60	P1009-S060	f72r	CELESTIAL	Tierkreis-Ringgruppe E	5	sheycthy chotal chas otoees aiin	SH+E+Y+CH+T+Y | OT+AL | CH+A_ADDR+S | OT+EE+Y | AIIN	HALTEN > NEHMEN > EINSTELLEN > NEHMEN > WÄHLEN	WERT×1+AKTIVER POSTEN×3	ZIELORT×1	GRAD I×1+GRAD II×1	VISIBLE_RING_OR_OWNER_BOUNDARY	7	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe E] > HANDLUNG[NEHMEN×2+HALTEN×1+WÄHLEN×1+EINSTELLEN×1] > ARG[WERT×1+AKTIVER POSTEN×3] > REL[ZIELORT×1] > GRAD[GRAD I×1+GRAD II×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
61	P1009-S061	f72r	CELESTIAL	Tierkreis-Ringgruppe F	15	otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	OT+O+AR | AIR | AL+O+Y | OK+AIIN | OT+EE+S | CH+S | CH+CH+S | AR | AL+Y | T+AL+Y | D_ADDR+AR | OT+Y | OK+AIIN | OL+AIIN | Y	SETZEN > WÄHLEN > NEHMEN > WÄHLEN > NEHMEN > NEHMEN > WÄHLEN > EINSTELLEN > SETZEN	WERT×3+AKTIVER POSTEN×5	ZIELORT×3+AUSGANG×3+LAUF×1	GRAD II×1	VISIBLE_RING_OR_OWNER_BOUNDARY	16	1	3	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe F] > HANDLUNG[SETZEN×2+NEHMEN×3+WÄHLEN×3+EINSTELLEN×1] > ARG[WERT×3+AKTIVER POSTEN×5] > REL[ZIELORT×3+AUSGANG×3+LAUF×1] > GRAD[GRAD II×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
62	P1009-S062	f72r	CELESTIAL	Tierkreis-Ringgruppe G	11	okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy	OK+EE+Y | CH+K+O+Y | OT+E+O | Y+K+EE+Y | CHD+AIIN | OK+EE+OL | CH+EE+OR | CH+O+CH+T+AR | AR | OT+E+O+Y | OT+EE+DY	SETZEN > NEHMEN > GEBEN > GEBEN > UMSETZEN > SETZEN > NEHMEN > NEHMEN > NEHMEN > EINSTELLEN	WERT×1+EINHEIT×1+AKTIVER POSTEN×5	AUSGANG×2	GRAD I×2+GRAD II×5	LICENSED_DY_CLOSE	16	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe G] > HANDLUNG[SETZEN×2+NEHMEN×4+GEBEN×2+EINSTELLEN×1+UMSETZEN×1] > ARG[WERT×1+EINHEIT×1+AKTIVER POSTEN×5] > REL[AUSGANG×2] > GRAD[GRAD I×2+GRAD II×5] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
63	P1009-S063	f72r	CELESTIAL	Tierkreis-Ringgruppe G	19	okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy	OK+E+OL+AIIN | OT+EE+Y | OK+AR+AR | T+E+O | SH+E+OL | AL | AL+AIIN+LOCAL_CHAR_I | OK+E+O+S | AL+AIIN | OK+OR | O | O+D_ADDR+AR | OK+EE | S | AR | AIIN | CH+E+CH+K+Y | OK+EE+S | OT+EE+DY	SETZEN > SETZEN > EINSTELLEN > HALTEN > SETZEN > WÄHLEN > SETZEN > SETZEN > WÄHLEN > NEHMEN > NEHMEN > GEBEN > SETZEN > WÄHLEN	WERT×4+EINHEIT×1+AKTIVER POSTEN×2	ZIELORT×3+AUSGANG×4	GRAD I×5+GRAD II×4	LICENSED_DY_CLOSE	23	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe G] > HANDLUNG[SETZEN×6+NEHMEN×2+HALTEN×1+GEBEN×1+WÄHLEN×3+EINSTELLEN×1] > ARG[WERT×4+EINHEIT×1+AKTIVER POSTEN×2] > REL[ZIELORT×3+AUSGANG×4] > GRAD[GRAD I×5+GRAD II×4] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
64	P1009-S064	f72r	CELESTIAL	Tierkreis-Ringgruppe G	17	chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly eol sheey chorain	CH+K+AR | OK+AR | OL+Y | CH+E+S | OS | O+IIN | OK+EEE+Y | SH+EE+Y | CH+E+S | OK+E+O+D_ADDR+Y | AL+Y | SH+O+CH+T+Y | CH+OT+EE+Y | SH+E+OL+Y | E+OL | SH+EE+Y | OR+AIN	NEHMEN > GEBEN > SETZEN > NEHMEN > WÄHLEN > SETZEN > HALTEN > NEHMEN > WÄHLEN > SETZEN > HALTEN > NEHMEN > EINSTELLEN > NEHMEN > HALTEN > HALTEN	ANTEIL×1+EINHEIT×1+AKTIVER POSTEN×9	ZIELORT×1+AUSGANG×2	GRAD I×5+GRAD II×3+GRAD III×1	VISIBLE_RING_OR_OWNER_BOUNDARY	23	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe G] > HANDLUNG[SETZEN×3+NEHMEN×5+HALTEN×4+GEBEN×1+WÄHLEN×2+EINSTELLEN×1] > ARG[ANTEIL×1+EINHEIT×1+AKTIVER POSTEN×9] > REL[ZIELORT×1+AUSGANG×2] > GRAD[GRAD I×5+GRAD II×3+GRAD III×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
65	P1009-S065	f72r	CELESTIAL	Tierkreis-Ringgruppe H	1	otochedy	OT+O+CHD+DY	UMSETZEN	NONE	NONE	NONE	LICENSED_DY_CLOSE	0	0	0	NONE	BESITZER[Tierkreis-Ringgruppe H] > HANDLUNG[UMSETZEN×1] > ARG[NONE] > REL[NONE] > GRAD[NONE] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
66	P1009-S066	f72r	CELESTIAL	Tierkreis-Ringgruppe H	4	otey o koey sheedy	OT+E+Y | O | K+O+E+Y | SH+EE+DY	GEBEN > HALTEN	AKTIVER POSTEN×2	NONE	GRAD I×2+GRAD II×1	LICENSED_DY_CLOSE	5	0	2	NEAREST_HEAD_LEFT_TIE|OWNER_CONTEXT	BESITZER[Tierkreis-Ringgruppe H] > HANDLUNG[HALTEN×1+GEBEN×1] > ARG[AKTIVER POSTEN×2] > REL[NONE] > GRAD[GRAD I×2+GRAD II×1] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
67	P1009-S067	f72r	CELESTIAL	Tierkreis-Ringgruppe H	36	oteodar ykeolol y air oteos cheo l aiin ykeeoly otaiin shear oiiin oral o tealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeody eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly	OT+E+O+D_ADDR+AR | Y+K+E+OL+OL | Y | AIR | OT+E+O+S_ADDR | CH+E+O | L | AIIN | Y+K+OL+Y | OT+AIIN | SH+E+AR | O+IIN | OR+AL | O | AL+Y | OK+OR | OT+E+O+Y | OS | OT+EE+S | CH+T+E+O+S | D_ADDR+OT+EE+Y | S+OR | OT+E+OL | SH+OL | SH+EE+LOCAL_CHAR_G | OK+E+O+D_ADDR+Y | E+OL | SH+E+Y | SH+E+Y | SH+OT+EE+Y | CH+E+O+R | Y+T+EE+Y | OK+EE+OL | Y | OK+EE+O | Y+K+OL+Y	GEBEN > NEHMEN > GEBEN > HALTEN > SETZEN > WÄHLEN > NEHMEN > EINSTELLEN > WÄHLEN > WÄHLEN > HALTEN > HALTEN > SETZEN > HALTEN > HALTEN > HALTEN > NEHMEN > MARKIEREN > EINSTELLEN > SETZEN > SETZEN > GEBEN	WERT×2+EINHEIT×3+AKTIVER POSTEN×16	ZIELORT×2+AUSGANG×2+VERBINDUNG×1+LAUF×1	GRAD I×13+GRAD II×7	VISIBLE_RING_OR_OWNER_BOUNDARY	47	2	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	BESITZER[Tierkreis-Ringgruppe H] > HANDLUNG[SETZEN×4+NEHMEN×3+HALTEN×6+GEBEN×3+WÄHLEN×3+EINSTELLEN×2+MARKIEREN×1] > ARG[WERT×2+EINHEIT×3+AKTIVER POSTEN×16] > REL[ZIELORT×2+AUSGANG×2+VERBINDUNG×1+LAUF×1] > GRAD[GRAD I×13+GRAD II×7] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
68	P1009-S068	f72r	CELESTIAL	Tierkreis-Ringgruppe I	3	oteey arary eeer	OT+EE+Y | P+AR+AR | EEE+DY	EINSETZEN	AKTIVER POSTEN×1	AUSGANG×2	GRAD II×1+GRAD III×1	LICENSED_DY_CLOSE	5	2	0	AL_AR_ORDERED_FALLBACK|PREVIOUS_CARD_STACK|Q_OT_PACKAGE_FORWARD	BESITZER[Tierkreis-Ringgruppe I] > HANDLUNG[EINSETZEN×1] > ARG[AKTIVER POSTEN×1] > REL[AUSGANG×2] > GRAD[GRAD II×1+GRAD III×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
69	P1009-S069	f72r	CELESTIAL	Tierkreis-Ringgruppe I	21	che shees opcholalaiin oteeor am sheal okaipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy	CH+E | SH+EE+S | O+P+CH+OL+AL+AIIN | OT+EE+OR | AM_ADDR | SH+E+AL | OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y | OT+EEE+S_ADDR | AR | AM_ADDR | OL+AIIN | OT+E+D_ADDR+AR | OL+OL | CH+OT+Y | OT+E+OL | SH+E+O+D_ADDR+Y | CHD+Y | CHD+Y | Y | SH+E+S | EE+DY	NEHMEN > HALTEN > WÄHLEN > EINSETZEN > NEHMEN > HALTEN > SETZEN > EINSETZEN > NEHMEN > NEHMEN > HALTEN > UMSETZEN > UMSETZEN > HALTEN > WÄHLEN	WERT×2+EINHEIT×1+AKTIVER POSTEN×6	ZIELORT×2+AUSGANG×2	GRAD I×6+GRAD II×3+GRAD III×1	LICENSED_DY_CLOSE	23	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe I] > HANDLUNG[SETZEN×1+NEHMEN×4+HALTEN×4+WÄHLEN×2+UMSETZEN×2+EINSETZEN×2] > ARG[WERT×2+EINHEIT×1+AKTIVER POSTEN×6] > REL[ZIELORT×2+AUSGANG×2] > GRAD[GRAD I×6+GRAD II×3+GRAD III×1] > LICENSED_DY_CLOSE	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
70	P1009-S070	f72r	CELESTIAL	Tierkreis-Ringgruppe I	3	sheol shy ckhol	SH+E+OL | Y | CH+K+OL	HALTEN > NEHMEN > GEBEN	AKTIVER POSTEN×1	NONE	GRAD I×1	VISIBLE_RING_OR_OWNER_BOUNDARY	2	0	0	NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe I] > HANDLUNG[NEHMEN×1+HALTEN×1+GEBEN×1] > ARG[AKTIVER POSTEN×1] > REL[NONE] > GRAD[GRAD I×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
71	P1009-S071	f72r	CELESTIAL	Tierkreis-Ringgruppe J	9	okeos aiin olaiin oraiin octheolarl okeeody oteos aiin koly	OK+E+O+S | AIIN | OL+AIIN | OR+AIIN | O+CH+T+E+OL+AR+L | OK+EE+O+D_ADDR+Y | OT+E+O+S_ADDR | AIIN | K+OL+Y	SETZEN > WÄHLEN > NEHMEN > EINSTELLEN > SETZEN > GEBEN	WERT×4+EINHEIT×1+AKTIVER POSTEN×2	AUSGANG×1+VERBINDUNG×1	GRAD I×3+GRAD II×1	VISIBLE_RING_OR_OWNER_BOUNDARY	13	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK	BESITZER[Tierkreis-Ringgruppe J] > HANDLUNG[SETZEN×2+NEHMEN×1+GEBEN×1+WÄHLEN×1+EINSTELLEN×1] > ARG[WERT×4+EINHEIT×1+AKTIVER POSTEN×2] > REL[AUSGANG×1+VERBINDUNG×1] > GRAD[GRAD I×3+GRAD II×1] > VISIBLE_RING_OR_OWNER_BOUNDARY	YES	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
72	P1009-S072	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	7	kchedykary okeey qokar shyk chedy qotar shedy	K+CHD+Y+K+AR+Y | OK+EE+Y | OK+AR | Y+K | CHD+Y | OT+AR | SH+E+DY	GEBEN > UMSETZEN > GEBEN > SETZEN > SETZEN > GEBEN > UMSETZEN > HALTEN	AKTIVER POSTEN×5	AUSGANG×3	GRAD I×1+GRAD II×1	LICENSED_DY_CLOSE	10	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN×2+HALTEN×1+GEBEN×3+UMSETZEN×2] > ARG[AKTIVER POSTEN×5] > REL[AUSGANG×3] > GRAD[GRAD I×1+GRAD II×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
73	P1009-S073	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	5	dain shey ly ssheol qoldy	AIN | SH+E+Y | L+Y | S+SH+E+OL | OL+DY	HALTEN > WÄHLEN > HALTEN	ANTEIL×1+AKTIVER POSTEN×2	VERBINDUNG×1	GRAD I×2	LICENSED_DY_CLOSE	6	1	0	L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|ONE_CARD_FORWARD|PREVIOUS_CARD_STACK	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[HALTEN×2+WÄHLEN×1] > ARG[ANTEIL×1+AKTIVER POSTEN×2] > REL[VERBINDUNG×1] > GRAD[GRAD I×2] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
74	P1009-S074	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	2	chedykar chekeedy	CHD+Y+K+AR | CH+K+EE+DY	UMSETZEN > GEBEN > NEHMEN > GEBEN	AKTIVER POSTEN×1	AUSGANG×1	GRAD II×1	LICENSED_DY_CLOSE	3	0	0	AL_AR_ORDERED_FALLBACK|NEAREST_HEAD_LEFT_TIE	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[NEHMEN×1+GEBEN×2+UMSETZEN×1] > ARG[AKTIVER POSTEN×1] > REL[AUSGANG×1] > GRAD[GRAD II×1] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
75	P1009-S075	f75r	BIOLOGICAL	großes Bad-/Stationsblatt mit dreieckiger Insel	20	ror qokain chal orchey qey kain sheeky ltain olkar or dackhy lkamo ykeey lshey kal dy shey ok shey qokeedy	R+OR | OK+AIN | CH+AL | OR+Y | E+Y | K+AIN | SH+EE+K+Y | L+T+AIN | OL+K+AR | OR | DA+CH+K+Y | L+K+AM_ADDR+O | Y+K+EE+Y | L+SH+E+Y | K+AL | Y | SH+E+Y | OK | SH+E+Y | OK+EE+DY	MARKIEREN > SETZEN > NEHMEN > GEBEN > HALTEN > GEBEN > EINSTELLEN > GEBEN > NEHMEN > GEBEN > GEBEN > GEBEN > HALTEN > GEBEN > HALTEN > SETZEN > HALTEN > SETZEN	ANTEIL×3+EINHEIT×3+AKTIVER POSTEN×10	ZIELORT×2+AUSGANG×1+VERBINDUNG×3	GRAD I×4+GRAD II×3	LICENSED_DY_CLOSE	29	0	0	AL_AR_ORDERED_FALLBACK|INHERITED_ACTION_STACK|L_AIR_RIGHT_FALLBACK|NEAREST_HEAD_LEFT_TIE|PREVIOUS_CARD_STACK|R_POSITIONAL_MARKING	BESITZER[großes Bad-/Stationsblatt mit dreieckiger Insel] > HANDLUNG[SETZEN×3+NEHMEN×2+HALTEN×4+GEBEN×7+EINSTELLEN×1+MARKIEREN×1] > ARG[ANTEIL×3+EINHEIT×3+AKTIVER POSTEN×10] > REL[ZIELORT×2+AUSGANG×1+VERBINDUNG×3] > GRAD[GRAD I×4+GRAD II×3] > LICENSED_DY_CLOSE	NO	COMPLETE_SELECTED_SCOPE__NO_OPEN_ATTACHMENTS
