transition_serial	statement_id	unit_id	entry_boundary_class	observed_triggers	inferred_missing_slots	pre_state	owner_operation	active_operation	target_operation	previous_operation	operation_trace	post_state	compiler_state_path	backward_from_full_log	backward_from_post_state_only	irreducible_ambiguity_codes	record_local_contract
22	B1-S003	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F024:OPEN > F025:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB02:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB02:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> PREVIOUS_ITEM:RESUME(B1:I001;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
23	B1-S004	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F026:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> PREVIOUS_ITEM:RESUME(B1:I001;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
24	B1-S005	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F027:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T005;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T005) -> PREVIOUS_ITEM:CARRY(B1:I001) -> TARGET/STATION:INTRODUCE(B1:T006;LOCAL_COVERED_CATCH_VESSEL)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
25	B1-S006	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F028:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T006;PREVIOUS_ITEM=B1:I001	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I002) -> TARGET/STATION:CARRY(B1:T006) -> PREVIOUS_ITEM:CARRY(B1:I001) -> TARGET/STATION:INTRODUCE(B1:T007;LOCAL_CONNECTED_RUNS)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
26	B1-S007	B1	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F029:TERMINAL | SOURCE_TO:B1-LB03:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I002;TARGET/STATION=B1:T007;PREVIOUS_ITEM=B1:I001	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
27	B1-S008	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F030:TERMINAL | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I002) -> PREVIOUS_ITEM:RESUME(B1:I002;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
28	B1-S009	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F031:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T008;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
29	B1-S010	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:SPÜLEN? | CLOSURE:F032:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T008;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(B1:T008) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T009;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T009;PREVIOUS_ITEM=B1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
30	B1-S011	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ANWENDEN? | CLOSURE:F033:OPEN | LOCAL_TARGET_FILLER:CONNECTED_RUNS | SOURCE_FROM:B1-LB04:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION | TARGET/STATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T009;PREVIOUS_ITEM=B1:I002	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I003) -> TARGET/STATION:CARRY(B1:T009) -> PREVIOUS_ITEM:CARRY(B1:I002) -> TARGET/STATION:INTRODUCE(B1:T010;LOCAL_CONNECTED_RUNS)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T010;PREVIOUS_ITEM=B1:I002	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
31	B1-S012	B1	START_NEW_CLAUSE	BOUNDARY:START_NEW_CLAUSE | CLOSURE:F034:TERMINAL | SOURCE_TO:B1-LB04:START_NEW_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I003;TARGET/STATION=B1:T010;PREVIOUS_ITEM=B1:I002	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I003) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I004) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
32	B1-S013	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F035:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I004) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I003)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
33	B1-S014	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F036:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:LOWER_BASIN | LOCAL_TARGET_FILLER:LOWER_OUTLET | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_FROM:B1-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I003	CARRY	CARRY	INTRODUCE	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I004) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I003) -> PREVIOUS_ITEM:RESUME(B1:I003;LOCAL_FILLER) -> TARGET/STATION:INTRODUCE(B1:T011;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T012;LOCAL_LOWER_BASIN) -> TARGET/STATION:INTRODUCE(B1:T013;LOCAL_LOWER_OUTLET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=B1:T013;PREVIOUS_ITEM=B1:I003	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
34	B1-S015	B1	NEXT_PARALLEL_CELL	BOUNDARY:NEXT_PARALLEL_CELL | CLOSURE:F037:TERMINAL | SOURCE_TO:B1-LB05:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I004;TARGET/STATION=B1:T013;PREVIOUS_ITEM=B1:I003	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(B1:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(B1:I004) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B1:I005) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
35	B1-S016	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:TEMPERIEREN? | CLOSURE:F038:TERMINAL | LOCAL_PREVIOUS_CUE:TWO_SHARES | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	CARRY	RESUME	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I004) -> PREVIOUS_ITEM:RESUME(B1:I004;LOCAL_FILLER)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | TWO_INPUTS_ORDER_AMBIGUOUS	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
36	B1-S017	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F039:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | LOCAL_TARGET_FILLER:FIRST_OPENING	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=UNSET;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T014;LOCAL_MARKED_TARGET) -> TARGET/STATION:INTRODUCE(B1:T015;LOCAL_FIRST_OPENING)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T015;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
37	B1-S018	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F040:OPEN > F041:TERMINAL | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_FROM:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_TO:B1-LB06:CONTINUE_SAME_CLAUSE | SOURCE_INTERNAL:B1-LB06:CONTINUE_SAME_CLAUSE	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T015;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T015) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T016;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
38	B1-S019	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F042:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T016) -> PREVIOUS_ITEM:CARRY(B1:I004)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
39	B1-S020	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F043:TERMINAL | LOCAL_TARGET_FILLER:CLOTH	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T016;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T016) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T017;LOCAL_CLOTH)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T017;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
40	B1-S021	B1	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | EXACT_SELECTED:ZIEL? | CLOSURE:F044:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T017;PREVIOUS_ITEM=B1:I004	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B1:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B1:I005) -> TARGET/STATION:CARRY(B1:T017) -> PREVIOUS_ITEM:CARRY(B1:I004) -> TARGET/STATION:INTRODUCE(B1:T018;LOCAL_MARKED_TARGET)	OWNER=B1:O01;ACTIVE_ITEM/PREPARATION=B1:I005;TARGET/STATION=B1:T018;PREVIOUS_ITEM=B1:I004	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET | OPEN_RECORD_END	B1:Oxx/B1:Ixxx/B1:Txxx;RECORD_LOCAL_ONLY
41	B2-S001	B2	RECORD_START	BOUNDARY:RECORD_START | CLOSURE:F045:TERMINAL | LOCAL_TARGET_FILLER:VESSEL_OR_RUN	ACTIVE_ITEM/PREPARATION	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(B2:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(B2:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(B2:T001;LOCAL_VESSEL_OR_RUN)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T001;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY
42	B2-S002	B2	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F046:TERMINAL | LOCAL_TARGET_FILLER:COVERED_CATCH_VESSEL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T001;PREVIOUS_ITEM=UNSET	CARRY	CARRY	INTRODUCE	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T001) -> PREVIOUS_ITEM:CARRY(UNSET) -> TARGET/STATION:INTRODUCE(B2:T002;LOCAL_COVERED_CATCH_VESSEL)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	NO	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY
43	B2-S003	B2	WITHIN_LOCUS_FIELD_BOUNDARY	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F047:TERMINAL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	CARRY	CARRY	CARRY	CARRY	OWNER:CARRY(B2:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(B2:I001) -> TARGET/STATION:CARRY(B2:T002) -> PREVIOUS_ITEM:CARRY(UNSET)	OWNER=B2:O01;ACTIVE_ITEM/PREPARATION=B2:I001;TARGET/STATION=B2:T002;PREVIOUS_ITEM=UNSET	CLAUSE_TYPED>REGISTERS_BOUND>EVENT_SELECT>FIELD_BUFFER>FIELD_COMMITTED	PASS	YES	NONE	B2:Oxx/B2:Ixxx/B2:Txxx;RECORD_LOCAL_ONLY
