card_no	surfaces	component_recipe	semantic_recipe_de	surface_forms	direct_forms	renderer_forms	max_renderer_residue_length	card_prediction_class	events	pages	copybook_rule_de
PROC109	oteey	OT+EE+Y	DANACH · LANG · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · MASS	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	3	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC113	qokar	OK+AR	ANSETZEN · QUELLE	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC115	ls	OL	FORTSETZEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · DIES	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	2	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	8	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC121	lar	L+AR	WEITERLEITEN · QUELLE	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC122	tshey	SH+E+Y	HALTEN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC127	daldy	AL+DY	ZIEL · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC128	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC129	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f82r|f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f82r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC131	otal|qotal	OT+AL	DANACH · ZIEL	2	1	1	1	COMPOSED_WITH_BOUND_RENDERER	3	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC133	chedchy	CHD+Y	UMSETZEN · DIES	1	0	1	4	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC135	otedy	OT+E+DY	DANACH · KURZ · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC137	chary	AR+Y	QUELLE · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC138	okair	OK+AIR	ANSETZEN · LAUF	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC139	sheedy	SH+EE+DY	HALTEN · LANG · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC140	lo	L+O	WEITERLEITEN · GANG	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC142	shedal	SHED+AL	ABSETZEN · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	2	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC144	dalchdy	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	2	0	2	2	COMPOSED_WITH_BOUND_RENDERER	2	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC146	cheedar	EE+AR	LANG · QUELLE	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC147	chldaiin	L+AIIN	WEITERLEITEN · MASS	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC148	chealror	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · DIES	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC150	schedair	CHD+AIR	UMSETZEN · LAUF	1	0	1	3	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · MASS	1	0	1	2	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIEL · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC154	qolchey	OL+Y	FORTSETZEN · DIES	1	0	1	4	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC156	dain	AIN	PORTION	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	2	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC157	sheey	SH+EE+Y	HALTEN · LANG · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC161	qockhey	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC162	dairydy	AIR+Y+DY	LAUF · DIES · SCHLUSS	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC165	skar	K+AR	ZUDOSIEREN · QUELLE	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC168	chdal	CHD+AL	UMSETZEN · ZIEL	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC169	daiiin	DA+IIN	ZWEIT · STUFE	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC172	raly	R+AL+Y	KUEHLEN · ZIEL · DIES	1	1	0	0	COMPOSED_DIRECT_ALL_FORMS	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	1	0	1	1	COMPOSED_WITH_BOUND_RENDERER	1	f83r	Bedeutungsfragmente in Reihenfolge anfordern; Restzeichen aus lokalem Ganzkartenexemplar kopieren.
