card_no	component_parse	role_signature	clause_type	head_actions	argument_components	modifier_components	has_close	role_based_reading_de	old_component_reading_de	occurrences	sections	records	composition_status
PROC123	L+CHD+AR	ACTION+ACTION+SOURCE	ACTION_CLAUSE	L|CHD	AR	NONE	NO	den laufenden Posten von dort führen und umsetzen	führen · umsetzen · von dort	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC124	CH+E+S	ACTION+GRADE+ACTION	ACTION_CLAUSE	CH|S	NONE	E	NO	den laufenden Posten kurz abziehen und teilen	abziehen · kurz · teilen	1	BIOLOGICAL	B2	PARTIAL_WITH_LEARNED_ATOM
PROC125	P+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	P|CHD	NONE	NONE	YES	den laufenden Posten hineingeben und umsetzen; Schritt schließen	hinein · umsetzen · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC126	R+SH+E+AL	ACTION+ACTION+GRADE+TARGET	ACTION_CLAUSE	R|SH	AL	E	NO	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	abkühlen · halten · kurz · Zielstelle	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC127	AL+DY	TARGET+CLOSE	CLOSE_WITHOUT_ACTION	NONE	AL	NONE	YES	bezeichnete Stelle; Schritt schließen	Zielstelle · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC128	R+SHED+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	R|SHED	NONE	NONE	YES	den laufenden Posten abkühlen und absetzen; Schritt schließen	abkühlen · absetzen · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC129	OT+EE+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	NONE	NONE	OT|EE	YES	danach · länger; Schritt schließen	danach · länger · Schluss	2	BIOLOGICAL	B2|B3	COMPOSITIONAL
PROC130	L+O+CHD+DY	ACTION+PROCESS+ACTION+CLOSE	ACTION_CLAUSE	L|CHD	O	NONE	YES	den Arbeitsgang führen und umsetzen; Schritt schließen	führen · Arbeitsgang · umsetzen · Schluss	1	BIOLOGICAL	B2	COMPOSITIONAL
PROC131	OT+AL	SEQUENCE+TARGET	SEQUENCE_OR_CONTINUATION	NONE	AL	OT	NO	danach · bezeichnete Stelle	danach · Zielstelle	3	BIOLOGICAL	B3|B4	COMPOSITIONAL
PROC132	CHK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	CHK	NONE	EE	YES	den laufenden Posten länger wärmen; Schritt schließen	wärmen · länger · Schluss	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC133	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	CHD	Y	NONE	NO	diesen Posten umsetzen	umsetzen · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC134	P+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	P|CHD	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	hinein · umsetzen · Zielstelle	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC135	OT+E+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	NONE	NONE	OT|E	YES	danach · kurz; Schritt schließen	danach · kurz · Schluss	2	BIOLOGICAL	B3	COMPOSITIONAL
PROC136	SH+E+CTH+CHD+Y	ACTION+GRADE+STATE+ACTION+ITEM	ACTION_CLAUSE	SH|CHD	Y	E|CTH	NO	diesen Posten kurz halten und umsetzen bis bereit	halten · kurz · bereit · umsetzen · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC137	AR+Y	SOURCE+ITEM	ARGUMENT_OR_ADDRESS	NONE	AR|Y	NONE	NO	von dort · dieser Posten	von dort · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC138	OK+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	OK	AIR	NONE	NO	den laufenden Posten durch laufender Bestand ansetzen	ansetzen · Lauf	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC139	SH+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	SH	NONE	EE	YES	den laufenden Posten länger halten; Schritt schließen	halten · länger · Schluss	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC140	L+O	ACTION+PROCESS	ACTION_CLAUSE	L	O	NONE	NO	den Arbeitsgang führen	führen · Arbeitsgang	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC141	OK+SH+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	OK|SH	NONE	E	YES	den laufenden Posten kurz ansetzen und halten; Schritt schließen	ansetzen · halten · kurz · Schluss	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC142	SHED+AL	ACTION+TARGET	ACTION_CLAUSE	SHED	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle absetzen	absetzen · Zielstelle	2	BIOLOGICAL	B3|B5	COMPOSITIONAL
PROC143	SH+E+CTH+Y	ACTION+GRADE+STATE+ITEM	ACTION_CLAUSE	SH	Y	E|CTH	NO	diesen Posten kurz halten bis bereit	halten · kurz · bereit · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC144	AL+CHD+DY	TARGET+ACTION+CLOSE	ACTION_CLAUSE	CHD	AL	NONE	YES	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	Zielstelle · umsetzen · Schluss	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC145	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	CHD	NONE	OT	YES	danach den laufenden Posten umsetzen; Schritt schließen	danach · umsetzen · Schluss	2	BIOLOGICAL	B3	COMPOSITIONAL
PROC146	EE+AR	GRADE+SOURCE	STATE_OR_GRADE_PHRASE	NONE	AR	EE	NO	länger · von dort	länger · von dort	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC147	L+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	L	AIIN	NONE	NO	den laufenden Posten nach vorgeschriebenes Maß führen	führen · Maß	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC148	AL+R+OR	TARGET+ACTION+PREPARATION	ACTION_CLAUSE	R	AL|OR	NONE	NO	den Ansatz an bezeichnete Stelle abkühlen	Zielstelle · abkühlen · Ansatz	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC149	EEE+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	T	Y	EEE	NO	diesen Posten vollständig eintragen	vollständig · eintragen · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC150	CHD+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	CHD	AIR	NONE	NO	den laufenden Posten durch laufender Bestand umsetzen	umsetzen · Lauf	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC151	CHD+AIN	ACTION+QUANTITY	ACTION_CLAUSE	CHD	AIN	NONE	NO	den laufenden Posten nach Portion umsetzen	umsetzen · Portion	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC152	OT+E+AIIN	SEQUENCE+GRADE+QUANTITY	STATE_OR_GRADE_PHRASE	NONE	AIIN	OT|E	NO	danach · kurz · vorgeschriebenes Maß	danach · kurz · Maß	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC153	OL+AL+Y	SEQUENCE+TARGET+ITEM	SEQUENCE_OR_CONTINUATION	NONE	AL|Y	OL	NO	fortsetzen · bezeichnete Stelle · dieser Posten	fortsetzen · Zielstelle · dies	1	BIOLOGICAL	B3	COMPOSITIONAL
PROC154	OL+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	NONE	Y	OL	NO	fortsetzen · dieser Posten	fortsetzen · dies	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC155	OK+Y+LD+DY	ACTION+ITEM+ACTION+CLOSE	ACTION_CLAUSE	OK|LD	Y	NONE	YES	diesen Posten ansetzen und befestigen; Schritt schließen	ansetzen · dies · befestigen · Schluss	1	BIOLOGICAL	B4	PARTIAL_WITH_LEARNED_ATOM
PROC156	AIN	QUANTITY	ARGUMENT_OR_ADDRESS	NONE	AIN	NONE	NO	Portion	Portion	2	BIOLOGICAL	B4|B6	COMPOSITIONAL
PROC157	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	SH	Y	EE	NO	diesen Posten länger halten	halten · länger · dies	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC158	OK+EE+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	OK	NONE	EE|OL	NO	fortsetzen den laufenden Posten länger ansetzen	ansetzen · länger · fortsetzen	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC159	L+K+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	L|K	NONE	E	YES	den laufenden Posten kurz führen und zuführen; Schritt schließen	führen · zuführen · kurz · Schluss	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC160	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	OK	NONE	OL	NO	fortsetzen den laufenden Posten ansetzen	ansetzen · fortsetzen	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC161	O+CKH+E+Y	PROCESS+PATH_MEDIUM+GRADE+ITEM	STATE_OR_GRADE_PHRASE	NONE	O|CKH|Y	E	NO	Arbeitsgang · Durchlass · kurz · dieser Posten	Arbeitsgang · Durchlass · kurz · dies	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC162	AIR+Y+DY	PATH_MEDIUM+ITEM+CLOSE	CLOSE_WITHOUT_ACTION	NONE	AIR|Y	NONE	YES	laufender Bestand · dieser Posten; Schritt schließen	Lauf · dies · Schluss	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC163	CH+CKH+AL	ACTION+PATH_MEDIUM+TARGET	ACTION_CLAUSE	CH	CKH|AL	NONE	NO	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	abziehen · Durchlass · Zielstelle	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC164	SOLK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	SOLK	Y	E	NO	diesen Posten kurz auffangen	auffangen · kurz · dies	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC165	K+AR	ACTION+SOURCE	ACTION_CLAUSE	K	AR	NONE	NO	den laufenden Posten von dort zuführen	zuführen · von dort	1	BIOLOGICAL	B4	COMPOSITIONAL
PROC166	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	CHD	NONE	OT	YES	danach den laufenden Posten umsetzen; Schritt schließen	danach · umsetzen · Schluss	1	BIOLOGICAL	B5	COMPOSITIONAL
PROC167	L+OL	ACTION+SEQUENCE	ACTION_CLAUSE	L	NONE	OL	NO	fortsetzen den laufenden Posten führen	führen · fortsetzen	1	BIOLOGICAL	B5	COMPOSITIONAL
PROC168	CHD+AL	ACTION+TARGET	ACTION_CLAUSE	CHD	AL	NONE	NO	den laufenden Posten an bezeichnete Stelle umsetzen	umsetzen · Zielstelle	1	BIOLOGICAL	B5	COMPOSITIONAL
PROC169	DA+IIN	MODIFIER+STATE	STATE_OR_GRADE_PHRASE	NONE	NONE	DA|IIN	NO	zweite · Sollstufe	zweite · Sollstufe	1	BIOLOGICAL	B5	PARTIAL_WITH_LEARNED_ATOM
PROC170	SOLK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	SOLK	Y	EE	NO	diesen Posten länger auffangen	auffangen · länger · dies	1	BIOLOGICAL	B6	COMPOSITIONAL
PROC171	E+K+E+Y	GRADE+ACTION+GRADE+ITEM	ACTION_CLAUSE	K	Y	E|E	NO	diesen Posten kurz kurz zuführen	kurz · zuführen · kurz · dies	1	BIOLOGICAL	B6	COMPOSITIONAL
PROC172	R+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	R	AL|Y	NONE	NO	diesen Posten an bezeichnete Stelle abkühlen	abkühlen · Zielstelle · dies	1	BIOLOGICAL	B6	COMPOSITIONAL
PROC173	L+AL+OR	ACTION+TARGET+PREPARATION	ACTION_CLAUSE	L	AL|OR	NONE	NO	den Ansatz an bezeichnete Stelle führen	führen · Zielstelle · Ansatz	1	BIOLOGICAL	B6	COMPOSITIONAL
