page	record	locus	field_ordinal	visible_source_field	closure	boundary_reading	complete_field_translation	editorial_sentence_rendering
f83r	2	f83r.37	3	qokol shedy	DY	COMMIT_LOCAL_STEP	let the mixture enter; let it stand until ready; end this instruction	let the mixture enter; let it stand until ready; end this instruction. [step committed]
f83r	2	f83r.38	1	or chey qockhey dairydy	DY	COMMIT_LOCAL_STEP	the prepared decoction or working liquid; this present portion; over the local place; use immediately; close the rubric	the prepared decoction or working liquid; this present portion; over the local place; use immediately; close the rubric. [step committed]
f83r	2	f83r.39	1	qokain shey kain chckhal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	add one measured portion to the vessel; until the liquid runs clear; one measured portion; for the stated duration	add one measured portion to the vessel; until the liquid runs clear; one measured portion; for the stated duration; [continue]
f83r	2	f83r.41	1	solkey lchedy	DY	COMMIT_LOCAL_STEP	next open the upper channel; let the spent liquid drain into the lower receiving vessel; end this instruction	next open the upper channel; let the spent liquid drain into the lower receiving vessel; end this instruction. [step committed]
f83r	2	f83r.41	2	qolkain dal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	the lower basin; apply it at the place indicated by the drawing	the lower basin; apply it at the place indicated by the drawing; [continue]
f83r	2	f83r.44	1	skar shedy	DY	COMMIT_LOCAL_STEP	pour in the warmed water; let it stand until ready; end this instruction	pour in the warmed water; let it stand until ready; end this instruction. [step committed]
f83r	3	f83r.47	1	otchdy	DY	COMMIT_LOCAL_STEP	draw it off; close the rubric	draw it off; close the rubric. [step committed]
f83r	3	f83r.47	2	qokchdy	DY	COMMIT_LOCAL_STEP	heat it once; end this instruction	heat it once; end this instruction. [step committed]
f83r	3	f83r.47	3	shedal	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	for one interval	for one interval; [continue]
f83r	3	f83r.48	1	dal cheol lol chdal aiin	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	apply it at the place indicated by the drawing; with the foregoing preparation; until warm; with the foregoing mixture; in the stated or usual measure	apply it at the place indicated by the drawing; with the foregoing preparation; until warm; with the foregoing mixture; in the stated or usual measure; [continue]
f83r	3	f83r.49	1	sol daiiin chedy	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	with the foregoing preparation; the second opening; stir until evenly mixed	with the foregoing preparation; the second opening; stir until evenly mixed; [continue]
f83r	4	f83r.52	1	solkeey qekey raly ol	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	place the person at the basin; without boiling; the first opening; with the foregoing preparation	place the person at the basin; without boiling; the first opening; with the foregoing preparation; [continue]
f83r	4	f83r.54	1	daiin ol dain chey ldalor	OPEN	CONTINUE_WITHOUT_FORCED_SENTENCE_END	in the stated or usual measure; with the foregoing preparation; through a cloth; this present portion; at the indicated place	in the stated or usual measure; with the foregoing preparation; through a cloth; this present portion; at the indicated place; [continue]
