packet_host_ordinal	primary_governor_key	reader_unit_id	source_event_or_card_id	physical_page	layer_profile	register	gdt584_rule_id	gdt587_packet_rule_id	written_carrier_slot_count	distinct_root_count	written_root_sequence	written_root_multiset	presence_signature	lemma_count_trace	carrier_count_trace_de	repeated_root	packet_multiset_foreign_pages	ordered_sequence_foreign_pages	multiset_transfer_status	gdt587_reader_clause_de	count_safe_action	guard
44	ACTION:G407-E3862@1:S	G407-S650	G407-E3863	f88r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88v|f89r|f95v	f18r|f20v|f31r|f55v|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
45	ACTION:G407-E3903@1:S	G407-S652	G407-E3904	f88r	RUNNING_ATOM	PHARMA	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	1	OR	OR*1	OR	OR*1=Arzneiansatz	Arzneiansatz ×1	NO	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Seihe den Auszug aus dem Arzneiansatz ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
46	ACTION:G407-E3937@1:S	G407-S653	G407-E3937	f88v	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f89r|f95v	f18r|f20v|f31r|f55v|f88r|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug an der Drogen-Arbeitsstelle und ins Aufnahme- oder Zielgefäß ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
47	ACTION:G407-E3959@1:S	G407-S654	G407-E3960	f88v	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f89r|f95v	f18r|f20v|f31r|f55v|f88r|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
48	ACTION:G407-E4057@1:S	G407-S665	G407-E4057	f88v	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f89r|f95v	f18r|f20v|f31r|f55v|f88r|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
49	ACTION:G407-E4069@4:S	G407-S667	G407-E4070	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	1	AIN	AIN*1	AIN	AIN*1=Zutatenportion	Zutatenportion ×1	NO	f95v	f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Auszug aus der Zutatenportion in Arzneiform ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
50	ACTION:G407-E4090@1:S	G407-S668	G407-E4092	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
51	ACTION:G407-E4112@1:S	G407-S669	G407-E4112	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
52	ACTION:G407-E4124@4:S	G407-S670	G407-E4125	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	4	2	AIIN+Y+AIIN+Y	Y*2+AIIN*2	Y+AIIN	Y*2=Drogenmaterial|AIIN*2=Arzneiauszug	Drogenmaterial ×2; Arzneiauszug ×2	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Seihe den Arzneiauszug des Drogenmaterials in Arzneiform, auf Grad I, als neuer Arzneiansatz und über den Gefäßkontakt ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
53	ACTION:G407-E4202@3:S	G407-S675	G407-E4203	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
54	ACTION:G407-E4285@1:S	G407-S680	G407-E4285	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
55	ACTION:G407-E4291@1:S	G407-S680	G407-E4291	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
56	ACTION:G407-E4335@1:S	G407-S685	G407-E4335	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	1	AIIN+AIIN	AIIN*2	AIIN	AIIN*2=Arzneiauszug	Arzneiauszug ×2	YES	f55v	f55v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ins Aufnahme- oder Zielgefäß ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
57	ACTION:G407-E4340@1:S	G407-S685	G407-E4341	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
58	ACTION:G407-E4378@1:S	G407-S685	G407-E4379	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Arzneiauszug	Arzneiauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f95v	f18r|f20v|f31r|f55v|f88r|f88v|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
59	ACTION:G407-E4381@1:S	G407-S685	G407-E4383	f89r	RUNNING_ATOM	PHARMA	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	2	Y+AIIN	Y*1+AIIN*1	Y+AIIN	Y*1=Drogenmaterial|AIIN*1=Arzneiauszug	Drogenmaterial ×1; Arzneiauszug ×1	NO	f11r|f31r	NONE	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Arzneiauszug des Drogenmaterials in Arzneiform, auf der Zubereitungsstufe, in der Innenform, an der Drogen-Arbeitsstelle und durch den Transferkanal ab	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
60	ACTION:G407-E4407@2:S	G407-S689	G407-E4407	f95v	RUNNING_ATOM	HERBAL	S_HP_STRAIN_AFTER_WET_STEP	HP_EXTRACT_OF_MATERIAL	1	1	AIN	AIN*1	AIN	AIN*1=Pflanzenportion	Pflanzenportion ×1	NO	f89r	f89r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Auszug aus der Pflanzenportion ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
61	ACTION:G407-E4439@3:S	G407-S692	G407-E4440	f95v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f89r	f18r|f20v|f31r|f55v|f88r|f88v|f89r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
62	ACTION:G407-E4526@4:S	G407-S707	G407-E4527	f95v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f89r	f18r|f20v|f31r|f55v|f88r|f88v|f89r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug in Zubereitungsform und als neuer Pflanzenansatz ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
63	ACTION:G407-E4555@4:S	G407-S713	G407-E4556	f95v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	2	OR+AIIN	AIIN*1+OR*1	AIIN+OR	AIIN*1=Pflanzenauszug|OR*1=Pflanzenansatz	Pflanzenauszug ×1; Pflanzenansatz ×1	NO	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Seihe den Pflanzenauszug aus dem Pflanzenansatz ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
64	ACTION:G407-E4563@1:S	G407-S713	G407-E4564	f95v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f31r|f55v|f88r|f88v|f89r	f18r|f20v|f31r|f55v|f88r|f88v|f89r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
65	ACTION:G515-E0113@4:S	G515-S008	G515-E0115	f20v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f31r|f55v|f88r|f88v|f89r|f95v	f18r|f31r|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug in Zubereitungsform und vom Ausgangsmaterial oder -gefäß ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
66	ACTION:G515-E0123@1:S	G515-S008	G515-E0123	f20v	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f31r|f55v|f88r|f88v|f89r|f95v	f18r|f31r|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug in Zubereitungsform ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
67	ACTION:G515-E0154@1:S	G515-S009	G515-E0155	f31r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f55v|f88r|f88v|f89r|f95v	f18r|f20v|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
68	ACTION:G515-E0162@1:S	G515-S010	G515-E0163	f31r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f55v|f88r|f88v|f89r|f95v	f18r|f20v|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
69	ACTION:G515-E0172@1:S	G515-S010	G515-E0173	f31r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	2	2	AIIN+Y	Y*1+AIIN*1	Y+AIIN	Y*1=Pflanzenmaterial|AIIN*1=Pflanzenauszug	Pflanzenmaterial ×1; Pflanzenauszug ×1	NO	f11r|f89r	f11r	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug des Pflanzenmaterials in Zubereitungsform, an der Pflanzen-Arbeitsstelle, vom Ausgangsmaterial oder -gefäß und über den Materialkontakt ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
70	ACTION:G515-E0193@1:S	G515-S013	G515-E0194	f31r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f55v|f88r|f88v|f89r|f95v	f18r|f20v|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug zur Zielstelle oder ins Auffanggefäß ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
71	ACTION:G515-E0197@1:S	G515-S013	G515-E0197	f31r	RUNNING_ATOM	HERBAL	S_HP_STRAIN	HP_EXTRACT_OF_MATERIAL	1	1	AIIN	AIIN*1	AIIN	AIIN*1=Pflanzenauszug	Pflanzenauszug ×1	NO	f18r|f20v|f55v|f88r|f88v|f89r|f95v	f18r|f20v|f55v|f88r|f88v|f89r|f95v	SAME_PACKET_MULTISET_OTHER_PAGE	Seihe den Pflanzenauszug ab	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
72	LOCAL_ACTION:P912-E1840@2:T	P912-E1840	P912-E1840	f67r2	LOCAL_COMPONENT	CELESTIAL	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	2	2	Y+AIIN	Y*1+AIIN*1	Y+AIIN	Y*1=Ringposition|AIIN*1=Positionswert	Ringposition ×1; Positionswert ×1	NO	f71v	f71v	SAME_PACKET_MULTISET_OTHER_PAGE	Stelle die Ringposition auf den Positionswert in Eintragsform ein.	RETAIN_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
73	LOCAL_ACTION:P912-E2117@2:T	P912-E2117	P912-E2117	f69v	LOCAL_COMPONENT	CELESTIAL	T_CELESTIAL_SET	CELESTIAL_POSITION_SEGMENT_VALUE	3	2	Y+OR+Y	Y*2+OR*1	Y+OR	Y*2=Ringposition|OR*1=Ringsegment	Ringposition ×2; Ringsegment ×1	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Stelle die Ringposition des Ringsegments ein.	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
74	LOCAL_ACTION:P912-E1398@1:S	P912-E1398	P912-E1398	f82r	LOCAL_COMPONENT	BIOLOGICAL	S_BIO_DIVERT	BIOLOGICAL_FLOW_PACKET	2	1	OR+OR	OR*2	OR	OR*2=Beckeninhalt	Beckeninhalt ×2	YES	NONE	NONE	PACKET_MULTISET_PAGE_PRIVATE	Leite den Beckeninhalt über den Stationskontakt oder die Leitung um.	REPAIR_FLUENT_CHANNEL	ORDERED_WRITTEN_ROOTS_RECONSTRUCTED_FROM_ASSIGNMENT_ROWS__NOT_SET_SIGNATURE
