unit_serial	register	page	unit_id	visible_owner	group_count	surface_sequence	atom_sequence	literal_card_reading_de	owner_expansion_de	translation_mode
88	PROSE	f83r	B3-S026	B3	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss	Übertrage vom Ausgang, stelle den Absetzwert ein, übertrage den aktuellen Posten, gib einen Anteil zu, halte den Posten bereit, führe den Ansatz zum Ziel, sammle länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
89	PROSE	f83r	B3-S027	B3	1	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	Führe den längeren Folgegang aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
90	PROSE	f83r	B3-S028	B3	2	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	länger ansetzen; kurz ansetzen; Schluss	Setze länger, dann kurz an und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
91	PROSE	f83r	B3-S029	B3	3	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss	Führe weiter, nimm den ganzen Teilposten, bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
92	PROSE	f83r	B3-S030	B3	4	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss	Nimm den Posten in Arbeit, arbeite nach Sollmaß, nutze den Wasserlauf, übertrage den Folgeposten und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
93	PROSE	f83r	B3-S031	B3	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
94	PROSE	f83r	B3-S032	B3	5	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss	Übertrage einen Anteil und den aktuellen Posten, setze den kurzen Folgewert und den Folgewert, führe die kurze Folge aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
95	PROSE	f83r	B3-S033	B3	1	ldy	L+CLOSE	abziehen; Ende	Ziehe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
96	PROSE	f83r	B3-S034	B3	6	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	Setze die Stufe, halte bereit, trenne einen Teil, setze den Folgewert, führe zur unteren Zielstelle, setze kurz ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
97	PROSE	f83r	B4-S001	B4	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
98	PROSE	f83r	B4-S002	B4	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss	Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
99	PROSE	f83r	B4-S003	B4	7	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss	Übertrage, führe danach dorthin, wähle den Folgeposten, bearbeite länger, führe weiter, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
100	PROSE	f83r	B4-S004	B4	1	qokylddy	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	Befestige den aktuellen Posten und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
101	PROSE	f83r	B4-S005	B4	3	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss	Lege das Tuch ein, übertrage, bearbeite länger und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
102	PROSE	f83r	B4-S006	B4	1	shckhedy	CKHE+CLOSE	seihen; Schluss	Seih und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
103	PROSE	f83r	B4-S007	B4	1	shckhedy	CKHE+CLOSE	seihen; Schluss	Seih und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
104	PROSE	f83r	B4-S008	B4	4	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss	Arbeite nach Sollmaß, wärme länger, lass länger ruhen, bearbeite kurz und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
105	PROSE	f83r	B4-S009	B4	1	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
106	PROSE	f83r	B4-S010	B4	1	oldy	OL+CLOSE	Fortsetzung abschließen	Führe weiter und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
107	PROSE	f83r	B4-S011	B4	7	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss	Arbeite nach Sollmaß, wärme kurz, führe länger fort, gib einen Anteil zu, übertrage, führe weiter, führe kurz ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
108	PROSE	f83r	B4-S012	B4	1	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
109	PROSE	f83r	B4-S013	B4	2	qokol shedy	OK+OL | SHED+E+CLOSE	Fortsetzung ansetzen; kurz absetzen lassen; Schluss	Setze die Fortsetzung ein, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
110	PROSE	f83r	B4-S014	B4	4	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Ansatz; dieser Posten; kurzen Durchlauf ansetzen; Wasserlauf schliessen; Schluss	Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
111	PROSE	f83r	B4-S015	B4	6	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	eine Portion zugeben; klarer Auszug; eine Portion; zur Zielstelle durchleiten; kurz sammeln; abführen; Schluss	Gib einen Anteil zu, nimm den Klarauszug, leite den Anteil zur Zielstelle, sammle kurz, führe ab und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
112	PROSE	f83r	B4-S016	B4	4	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	weitere Portion; dorthin; vom Ausgang ausgießen; kurz absetzen lassen; Schluss	Gib einen weiteren Anteil zum Ziel, gieße ihn vom Ausgang aus, lass absetzen und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
113	PROSE	f83r	B5-S001	B5	1	otchdy	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	Führe die Folgeumsetzung aus und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
114	PROSE	f83r	B5-S002	B5	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Übertrage und schließe.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
115	PROSE	f83r	B5-S003	B5	9	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	dort absetzen; dorthin; fortsetzen; von dort weiterfuehren; dort umsetzen; Sollmaß; fortsetzen; Öffnungsstufe; laufenden Posten umsetzen	Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, arbeite nach Sollmaß und setze weiter um.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
116	PROSE	f83r	B6-S001	B6	9	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	länger sammeln; aktuellen Posten kurz bearbeiten; diesen Posten dorthin; fortsetzen; Sollmaß; fortsetzen; Tuch; dieser Posten; Endziel	Sammle den aktuellen Posten länger, bearbeite ihn kurz, führe ihn zum Ziel, arbeite nach Sollmaß, führe weiter, lege den Abdeckträger ein und führe den Posten zum Endziel.	CURRENT_STEMS_PLUS_WORKING_OWNER_EXPANSION
