card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution
PROC127	daldy	AL+DY	CMD006	ZIEL; SCHLUSS	CLOSE_FORMULA	1	B2	NO	CMD006	ZIEL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC128	rshedy	R+SHED+DY	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC129	qoteedy	OT+EE+DY	CMD117	DANACH · LANG; SCHLUSS	CLOSE_FORMULA	2	B2|B3	NO	CMD117	DANACH · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC130	lochedy	L+O+CHD+DY	CMD066	FUEHREN · GANG · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD066	FUEHREN · GANG · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC131	otal|qotal	OT+AL	CMD110	DANACH · ZIEL	SEQUENCE_FORMULA	3	B3|B4	NO	CMD110	DANACH · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC132	chkeedy	CHK+EE+DY	CMD024	WAERMEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD024	WAERMEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC133	chedchy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	1	B3	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC134	pchedal	P+CHD+AL	CMD123	HINEIN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B3	NO	CMD123	HINEIN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC135	otedy	OT+E+DY	CMD116	DANACH · KURZ; SCHLUSS	CLOSE_FORMULA	2	B3	NO	CMD116	DANACH · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	ACTION_COMMAND	1	B3	NO	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC137	chary	AR+Y	CMD009	QUELLE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	B3	NO	CMD009	QUELLE · DIES	UNCHANGED_UNIQUE_COMMAND
PROC138	okair	OK+AIR	CMD079	ANSETZEN · LAUF	ACTION_COMMAND	1	B3	NO	CMD079	ANSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND
PROC139	sheedy	SH+EE+DY	CMD140	HALTEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD140	HALTEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC140	lo	L+O	CMD065	FUEHREN · GANG	ACTION_COMMAND	1	B3	NO	CMD065	FUEHREN · GANG	UNCHANGED_UNIQUE_COMMAND
PROC141	qokshedy	OK+SH+E+DY	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC142	shedal	SHED+AL	CMD146	ABSETZEN · ZIEL	ACTION_COMMAND	2	B3|B5	NO	CMD146	ABSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC143	shecthy	SH+E+CTH+Y	CMD136	HALTEN · KURZ · BEREIT · DIES	ACTION_COMMAND	1	B3	NO	CMD136	HALTEN · KURZ · BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND
PROC144	dalchdy	AL+CHD+DY	CMD005	ZIEL · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD005	ZIEL · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC145	otchedy|qotchedy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B3	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC146	cheedar	EE+AR	CMD035	LANG · QUELLE	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD035	LANG · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC147	chldaiin	L+AIIN	CMD052	FUEHREN · MASS	ACTION_COMMAND	1	B3	NO	CMD052	FUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND
PROC148	chealror	AL+R+OR	CMD007	ZIEL · KUEHLEN · ANSATZ	ACTION_COMMAND	1	B3	NO	CMD007	ZIEL · KUEHLEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND
PROC149	cheeety	EEE+T+Y	CMD036	VOLL · EINTRAGEN · DIES	ACTION_COMMAND	1	B3	NO	CMD036	VOLL · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC150	schedair	CHD+AIR	CMD019	UMSETZEN · LAUF	ACTION_COMMAND	1	B3	NO	CMD019	UMSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND
PROC151	chedain	CHD+AIN	CMD018	UMSETZEN · PORTION	ACTION_COMMAND	1	B3	NO	CMD018	UMSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND
PROC152	qotedaiin	OT+E+AIIN	CMD115	DANACH · KURZ · MASS	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD115	DANACH · KURZ · MASS	UNCHANGED_UNIQUE_COMMAND
PROC153	olsaly	OL+AL+Y	CMD098	FORTSETZEN · ZIEL · DIES	SEQUENCE_FORMULA	1	B3	NO	CMD098	FORTSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND
PROC154	qolchey	OL+Y	CMD105	FORTSETZEN · DIES	SEQUENCE_FORMULA	1	B4	NO	CMD105	FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND
PROC155	qokylddy	OK+Y+LD+DY	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC156	dain	AIN	CMD002	PORTION	ARGUMENT_OR_OBJECT_FORMULA	2	B4|B6	NO	CMD002	PORTION	UNCHANGED_UNIQUE_COMMAND
PROC157	sheey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	1	B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC158	okeeol	OK+EE+OL	CMD089	ANSETZEN · LANG · FORTSETZEN	ACTION_COMMAND	1	B4	NO	CMD089	ANSETZEN · LANG · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC159	lkedy	L+K+E+DY	CMD064	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD064	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC160	qokol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	B4	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC161	qockhey	O+CKH+E+Y	CMD071	GANG · DURCHLASS · KURZ · DIES	STATE_OR_GRADE_FORMULA	1	B4	NO	CMD071	GANG · DURCHLASS · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC162	dairydy	AIR+Y+DY	CMD003	LAUF · DIES; SCHLUSS	CLOSE_FORMULA	1	B4	NO	CMD003	LAUF · DIES; SCHLUSS	UNCHANGED_UNIQUE_COMMAND
PROC163	chckhal	CH+CKH+AL	CMD012	ABZIEHEN · DURCHLASS · ZIEL	ACTION_COMMAND	1	B4	NO	CMD012	ABZIEHEN · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC164	solkey	SOLK+E+Y	CMD149	AUFFANGEN · KURZ · DIES	ACTION_COMMAND	1	B4	NO	CMD149	AUFFANGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC165	skar	K+AR	CMD044	ZUFUEHREN · QUELLE	ACTION_COMMAND	1	B4	NO	CMD044	ZUFUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND
PROC166	otchdy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B5	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT
PROC167	lol	L+OL	CMD067	FUEHREN · FORTSETZEN	ACTION_COMMAND	1	B5	NO	CMD067	FUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND
PROC168	chdal	CHD+AL	CMD020	UMSETZEN · ZIEL	ACTION_COMMAND	1	B5	NO	CMD020	UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND
PROC169	daiiin	DA+IIN	CMD031	ZWEIT · STUFE	ARGUMENT_OR_OBJECT_FORMULA	1	B5	NO	CMD031	ZWEIT · STUFE	UNCHANGED_UNIQUE_COMMAND
PROC170	solkeey	SOLK+EE+Y	CMD151	AUFFANGEN · LANG · DIES	ACTION_COMMAND	1	B6	NO	CMD151	AUFFANGEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND
PROC171	qekey	E+K+E+Y	CMD032	KURZ · ZUFUEHREN · KURZ · DIES	ACTION_COMMAND	1	B6	NO	CMD032	KURZ · ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND
PROC172	raly	R+AL+Y	CMD127	KUEHLEN · ZIEL · DIES	ACTION_COMMAND	1	B6	NO	CMD127	KUEHLEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND
PROC173	ldalor	L+AL+OR	CMD053	FUEHREN · ZIEL · ANSATZ	ACTION_COMMAND	1	B6	NO	CMD053	FUEHREN · ZIEL · ANSATZ	UNCHANGED_UNIQUE_COMMAND
