component_recipe	current_event_count	current_page_count	current_register_count	one_event_jackknife_outcome	whole_recipe_deletion_fixed_reader_outcome	regenerated_neighbor_count	regenerated_fallback_rank	regenerated_source_recipes	literal_reading_de
D_ADDR	11	8	4	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER
D_ADDR+AIIN+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+OR+Y	HIER · WERT · POSTEN
D_ADDR+AIN+AL+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · ANTEIL · ZIELORT · SCHLUSS
D_ADDR+AIR	9	6	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+AR	HIER · BAHN
D_ADDR+AIR+A_ADDR+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · BAHN · HIER · HIER
D_ADDR+AIR+CH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · BAHN · NEHMEN · GRAD I · POSTEN
D_ADDR+AIR+O+D_ADDR+AIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · BAHN · AUSFÜHRUNG · HIER · ANTEIL
D_ADDR+AL+O	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · ZIELORT · AUSFÜHRUNG
D_ADDR+AN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · KLASSE
D_ADDR+AR	47	18	5	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+AIR	HIER · AUSGANG
D_ADDR+AR+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+AR+OR	HIER · AUSGANG · WERT
D_ADDR+AR+AL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSGANG · ZIELORT · POSTEN
D_ADDR+AR+D_ADDR+AR+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSGANG · HIER · AUSGANG · SCHLUSS
D_ADDR+AR+O+AM_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSGANG · AUSFÜHRUNG · HIER
D_ADDR+AR+O+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSGANG · AUSFÜHRUNG · HIER
D_ADDR+AR+OR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+AR+AIIN	HIER · AUSGANG · EINHEIT
D_ADDR+A_ADDR+LOCAL_CHAR_I+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HIER · VARIANTE · POSTEN
D_ADDR+CH+AIIN	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	D_ADDR+CH+OR | D_ADDR+CH+Y	HIER · NEHMEN · WERT
D_ADDR+CH+AL	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+CH+AR	HIER · NEHMEN · ZIELORT
D_ADDR+CH+AR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+CH+AL	HIER · NEHMEN · AUSGANG
D_ADDR+CH+E+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · GRAD I · AUSFÜHRUNG
D_ADDR+CH+E+O+K+E+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · GRAD I · AUSFÜHRUNG · GEBEN · GRAD I · HIER · POSTEN
D_ADDR+CH+E+O+R	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN
D_ADDR+CH+EE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · GRAD II · HIER · POSTEN
D_ADDR+CH+LOCAL_CHAR_G	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · VARIANTE
D_ADDR+CH+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · AUSFÜHRUNG · SCHLUSS
D_ADDR+CH+OR	3	3	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	D_ADDR+CH+AIIN | D_ADDR+CH+Y	HIER · NEHMEN · EINHEIT
D_ADDR+CH+S+E+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · NEHMEN · WÄHLEN · GRAD I · HIER
D_ADDR+CH+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	D_ADDR+CH+AIIN | D_ADDR+CH+OR	HIER · NEHMEN · POSTEN
D_ADDR+CHD+Y	4	4	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · BEARBEITEN · POSTEN
D_ADDR+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · GRAD I · SCHLUSS
D_ADDR+EE+Y	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · GRAD II · POSTEN
D_ADDR+EEE+D_ADDR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · GRAD III · HIER · POSTEN
D_ADDR+K+AIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+K+Y	HIER · GEBEN · ANTEIL
D_ADDR+K+SH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · GEBEN · HALTEN · GRAD I · POSTEN
D_ADDR+K+Y	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	D_ADDR+K+AIN | D_ADDR+P+Y	HIER · GEBEN · POSTEN
D_ADDR+L+O+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · VERBINDUNG · AUSFÜHRUNG · AUSFÜHRUNG
D_ADDR+L+O+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · VERBINDUNG · AUSFÜHRUNG · WÄHLEN
D_ADDR+O	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG
D_ADDR+O+AIIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+O+Y	HIER · AUSFÜHRUNG · WERT
D_ADDR+O+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · SCHLUSS
D_ADDR+O+DY+D_LABEL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · SCHLUSS · HIER
D_ADDR+O+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · HIER
D_ADDR+O+IIN	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · STUFE
D_ADDR+O+IIN+R	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · STUFE · MARKIEREN
D_ADDR+O+LOCAL_CHAR_I+G_LABEL+O+M_LOCAL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · VARIANTE · VARIANTE · AUSFÜHRUNG · HIER
D_ADDR+O+S+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · AUSFÜHRUNG · WÄHLEN · AUSGANG
D_ADDR+O+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+O+AIIN	HIER · AUSFÜHRUNG · POSTEN
D_ADDR+OK+AN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · SETZEN · KLASSE
D_ADDR+OL	13	9	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · FORTSETZEN
D_ADDR+OL+CH+L	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · FORTSETZEN · NEHMEN · VERBINDUNG
D_ADDR+OL+CH+S+Y+CH+K+E+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · FORTSETZEN · NEHMEN · WÄHLEN · POSTEN · NEHMEN · GEBEN · GRAD I · FORTSETZEN
D_ADDR+OL+EEE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · FORTSETZEN · GRAD III · POSTEN
D_ADDR+OL+K+AIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+OL+K+Y	HIER · FORTSETZEN · GEBEN · ANTEIL
D_ADDR+OL+K+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+OL+K+AIN	HIER · FORTSETZEN · GEBEN · POSTEN
D_ADDR+OL+SH+E	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · FORTSETZEN · HALTEN · GRAD I
D_ADDR+OR	6	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+Y	HIER · EINHEIT
D_ADDR+OR+SH+E+O+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · EINHEIT · HALTEN · GRAD I · AUSFÜHRUNG · POSTEN
D_ADDR+OR+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+AIIN+Y	HIER · EINHEIT · POSTEN
D_ADDR+OT+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · DANACH · GRAD II · POSTEN
D_ADDR+P+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+K+Y	HIER · EINSETZEN · POSTEN
D_ADDR+SH+E+CH+K+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · GRAD I · NEHMEN · GEBEN · POSTEN
D_ADDR+SH+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · GRAD I · POSTEN
D_ADDR+SH+EE+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · GRAD II · WÄHLEN
D_ADDR+SH+OL+Y+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · FORTSETZEN · POSTEN · HIER
D_ADDR+SH+OR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · HALTEN · EINHEIT
D_ADDR+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	D_ADDR+OR	HIER · POSTEN
D_ADDR+Y+CH+E+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN · NEHMEN · GRAD I · AUSGANG
D_ADDR+Y+K+AIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN · GEBEN · ANTEIL
D_ADDR+Y+L+CH+E+S	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN · VERBINDUNG · NEHMEN · GRAD I · WÄHLEN
D_ADDR+Y+P+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	HIER · POSTEN · EINSETZEN · POSTEN
E+CH+K+E+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · NEHMEN · GEBEN · GRAD I · AUSGANG
E+K+E+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · GEBEN · GRAD I · POSTEN
E+K+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · GEBEN · POSTEN
E+O	2	1	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · AUSFÜHRUNG
E+OL	4	3	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · FORTSETZEN
E+S	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · WÄHLEN
E+S+E+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · WÄHLEN · GRAD I · SCHLUSS
E+S+E+S	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · WÄHLEN · GRAD I · WÄHLEN
E+T+EEE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · EINSTELLEN · GRAD III · POSTEN
E+T+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · EINSTELLEN · POSTEN
E+Y	5	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD I · POSTEN
EE+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD II · AUSGANG
EE+DY	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD II · SCHLUSS
EEE+DY	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD III · SCHLUSS
EEE+T+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GRAD III · EINSTELLEN · POSTEN
HO	8	7	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE
HO+AL+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · ZIELORT · POSTEN
HO+CH+K+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · NEHMEN · GEBEN · POSTEN
HO+CH+OR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · NEHMEN · EINHEIT
HO+EE+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · GRAD II · POSTEN
HO+LOCAL_CHAR_G	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · VARIANTE
HO+M_LOCAL	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · HIER
HO+Y	3	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	KLASSE · POSTEN
IIN	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	STUFE
K	4	3	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK	GEBEN
K+AIIN	6	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIN | K+OR | K+Y | OK+AIIN	GEBEN · WERT
K+AIN	6	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIIN | K+OR | K+Y | OK+AIN	GEBEN · ANTEIL
K+AIR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+AL | K+AR | OK+AIR	GEBEN · BAHN
K+AL	5	4	3	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+AIR | K+AR | OK+AL	GEBEN · ZIELORT
K+AL+OL	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · ZIELORT · FORTSETZEN
K+AM_ADDR	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+AM_ADDR	GEBEN · HIER
K+AR	6	5	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	4	REGENERATED_HIGH	K+AIR | K+AL | OK+AR | P+AR	GEBEN · AUSGANG
K+A_ADDR+LOCAL_CHAR_I+IIN	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+A_ADDR+LOCAL_CHAR_I+IIN	GEBEN · HIER · VARIANTE · STUFE
K+A_ADDR+LOCAL_CHAR_I+P+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · HIER · VARIANTE · EINSETZEN · POSTEN
K+CH+AIIN	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	K+CH+OR	GEBEN · NEHMEN · WERT
K+CH+AL	1	1	1	REGENERATED_NARROW	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	2	REGENERATED_NARROW	OK+CH+AL | P+CH+AL	GEBEN · NEHMEN · ZIELORT
K+CH+AR+LOCAL_CHAR_G	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · NEHMEN · AUSGANG · VARIANTE
K+CH+E+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+CH+E+Y	GEBEN · NEHMEN · GRAD I · POSTEN
K+CH+EE+D_ADDR+CHD+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · NEHMEN · GRAD II · HIER · BEARBEITEN · POSTEN
K+CH+EE+Y	1	1	1	ONE_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	1	ONE_NEIGHBOR__STOP	OK+CH+EE+Y	GEBEN · NEHMEN · GRAD II · POSTEN
K+CH+O+AR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · NEHMEN · AUSFÜHRUNG · AUSGANG
K+CH+O+D_ADDR	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · NEHMEN · AUSFÜHRUNG · HIER
K+CH+OR	2	2	2	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+CH+AIIN | OK+CH+OR | P+CH+OR	GEBEN · NEHMEN · EINHEIT
K+CHD+Y	2	2	1	T0_EXACT_SURVIVES	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	3	REGENERATED_STRONG	K+SH+Y | OK+CHD+Y | P+CHD+Y	GEBEN · BEARBEITEN · POSTEN
K+CHD+Y+K+AR+Y	1	1	1	NO_NEIGHBOR__STOP	T5_STOP__FIXED_PREDICTIVE_TIERS_ARE_DISJOINT	0	NO_NEIGHBOR__STOP	NONE	GEBEN · BEARBEITEN · POSTEN · GEBEN · AUSGANG · POSTEN
