model	edition	at	word	gloss
R	IT2a	IT2a|f53v.2|G007	dcham	⟦dcham⟧
R	IT2a	IT2a|f53v.2|G008	do	⟦do⟧
R	IT2a	IT2a|f53v.3|G001	ydaiin	⟦ydaiin⟧
R	IT2a	IT2a|f53v.3|G002	cphom	⟦cphom⟧
R	IT2a	IT2a|f53v.3|G003	chol	getrocknet
R	IT2a	IT2a|f53v.3|G004	dockhy	⟦dockhy⟧
R	IT2a	IT2a|f53v.3|G005	cthol	⟦cthol⟧
R	IT2a	IT2a|f53v.3|G006	dam	⟦dam⟧
R	IT2a	IT2a|f53v.3|G007	oty	⟦oty⟧
R	IT2a	IT2a|f53v.4|G001	qokol	⟦qokol⟧
R	IT2a	IT2a|f53v.4|G002	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.4|G003	qockhor	⟦qockhor⟧
R	IT2a	IT2a|f53v.4|G004	okchor	⟦okchor⟧
R	IT2a	IT2a|f53v.4|G005	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.4|G006	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.4|G007	d	⟦d⟧
R	IT2a	IT2a|f53v.5|G001	ysheey	⟦ysheey⟧
R	IT2a	IT2a|f53v.5|G002	ckhol	⟦ckhol⟧
R	IT2a	IT2a|f53v.5|G003	chckhey	⟦chckhey⟧
R	IT2a	IT2a|f53v.5|G004	daiin	Masse C·Uₚ
R	IT2a	IT2a|f53v.5|G005	ctheody	⟦ctheody⟧
R	IT2a	IT2a|f53v.5|G006	ydy	⟦ydy⟧
R	IT2a	IT2a|f53v.6|G001	ochoiky	⟦ochoiky⟧
R	IT2a	IT2a|f53v.6|G002	dshey	⟦dshey⟧
R	IT2a	IT2a|f53v.6|G003	chol	getrocknet
R	IT2a	IT2a|f53v.6|G004	ykcheody	⟦ykcheody⟧
R	IT2a	IT2a|f53v.6|G005	chol	getrocknet
R	IT2a	IT2a|f53v.6|G006	dam	⟦dam⟧
R	IT2a	IT2a|f53v.7|G001	todaiin	⟦todaiin⟧
R	IT2a	IT2a|f53v.7|G002	shodaiin	Dosis Q des feuchten Materials
R	IT2a	IT2a|f53v.7|G003	qotea	⟦qotea⟧
R	IT2a	IT2a|f53v.7|G004	dchy	⟦dchy⟧
R	IT2a	IT2a|f53v.7|G005	qotod	⟦qotod⟧
R	IT2a	IT2a|f53v.7|G006	odaiin	zusätzliche Dosis Q
R	IT2a	IT2a|f53v.8|G001	sheey	benetze
R	IT2a	IT2a|f53v.8|G002	kshody	⟦kshody⟧
R	IT2a	IT2a|f53v.8|G003	tsheody	⟦tsheody⟧
R	IT2a	IT2a|f53v.8|G004	sheody	⟦sheody⟧
R	IT2a	IT2a|f53v.8|G005	sheetchy	⟦sheetchy⟧
R	IT2a	IT2a|f53v.8|G006	opod	⟦opod⟧
R	IT2a	IT2a|f53v.9|G001	oc	⟦oc⟧
R	IT2a	IT2a|f53v.9|G002	theody	⟦theody⟧
R	IT2a	IT2a|f53v.9|G003	shody	benetztes Material
R	IT2a	IT2a|f53v.9|G004	qodal	miss das unmittelbar folgende Material ab
R	IT2a	IT2a|f53v.9|G005	cthody	⟦cthody⟧
R	IT2a	IT2a|f53v.9|G006	sheor	⟦sheor⟧
R	IT2a	IT2a|f53v.9|G007	shodaiin	Dosis Q des feuchten Materials
R	IT2a	IT2a|f53v.10|G001	ychocthy	⟦ychocthy⟧
R	IT2a	IT2a|f53v.10|G002	qodal	miss das unmittelbar folgende Material ab
R	IT2a	IT2a|f53v.10|G003	shodaiin	Dosis Q des feuchten Materials
R	IT2a	IT2a|f53v.11|G001	otsho	⟦otsho⟧
R	IT2a	IT2a|f53v.11|G002	or	Anteil
R	IT2a	IT2a|f53v.11|G003	chear	⟦chear⟧
R	IT2a	IT2a|f53v.11|G004	sheos	⟦sheos⟧
R	IT2a	IT2a|f53v.11|G005	chkodal	⟦chkodal⟧
R	IT2a	IT2a|f53v.12|G001	ycheey	⟦ycheey⟧
R	IT2a	IT2a|f53v.12|G002	kchy	⟦kchy⟧
R	IT2a	IT2a|f53v.12|G003	oky	warm
R	IT2a	IT2a|f53v.12|G004	kody	⟦kody⟧
R	IT2a	IT2a|f53v.12|G005	odam	⟦odam⟧
R	IT2a	IT2a|f53v.13|G001	ycthodaiin	⟦ycthodaiin⟧
R	IT2a	IT2a|f53v.13|G002	otoldy	⟦otoldy⟧
