component_recipe	intake_tier	tier_priority	literal_reading_de	generic_workshop_phrase_de	support_count	support_kind	registers	sample_surface	sample_existing_clause_de	intake_action	surface_rule
L+CH	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN	Nimm über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lch	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+CH+P+E+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · NEHMEN · EINSETZEN · GRAD I · SCHLUSS	Nimm; nimm; setze über die Verbindung ein auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchcphedy	Entnimm den Stationsposten [wie zuvor], entnimm den Stationsposten [wie zuvor] und setze den Stationsposten [wie zuvor] ein; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+E+AR	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · GRAD I · AUSGANG	Nimm über die Verbindung und vom Ausgang auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchear	Entnimm den Stationswert [wie zuvor]; über die sichtbare Verbindung und von der Ausgangsstation; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · GRAD II · HIER · POSTEN	Nimm den Posten über die Verbindung auf Grad II hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcheedy	Entnimm den Stationsposten; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+EE+OR	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · GRAD II · EINHEIT	Nimm die Einheit über die Verbindung auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcheeor	Entnimm die Stationseinheit; über die sichtbare Verbindung; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+K+E+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · GEBEN · GRAD I · SCHLUSS	Nimm; gib über die Verbindung auf Grad I; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcheckhedy	Entnimm den Stationsposten [wie zuvor] und führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+K+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · GEBEN · POSTEN	Nimm den Posten; gib den Posten über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcheckhy	Entnimm den Stationsposten und führe den Stationsposten zu; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+L	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · VERBINDUNG	Nimm über die Verbindung und über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchl	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+O	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · AUSFÜHRUNG	Nimm über die Verbindung als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcho	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+P+CHD+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · EINSETZEN · BEARBEITEN · POSTEN	Nimm den Posten; setze den Posten ein; bearbeite den Posten über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchpchdy	Entnimm den Stationsposten, setze den Stationsposten ein und bearbeite den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+S	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · WÄHLEN	Nimm; wähle über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchs	Entnimm den Stationswert [wie zuvor] und wähle den Stationswert [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CH+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · NEHMEN · POSTEN	Nimm den Posten über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchy	Entnimm den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CHD	T0_EXACT_OBSERVED	0	VERBINDUNG · BEARBEITEN	Bearbeite über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lched	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CHD+AL	T0_EXACT_OBSERVED	0	VERBINDUNG · BEARBEITEN · ZIELORT	Bearbeite über die Verbindung und am Zielort.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchedal	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung und zur Zielstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CHD+AR	T0_EXACT_OBSERVED	0	VERBINDUNG · BEARBEITEN · AUSGANG	Bearbeite über die Verbindung und vom Ausgang.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	olchdar	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung und von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CHD+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · BEARBEITEN · SCHLUSS	Bearbeite über die Verbindung; schließe den Schritt.	34	OBSERVED_EVENT_COUNT	BIOLOGICAL	lchedy	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+CHD+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · BEARBEITEN · POSTEN	Bearbeite den Posten über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	lchdy	Bearbeite den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+DA+R	T0_EXACT_OBSERVED	0	VERBINDUNG · ZWEITE STUFE · MARKIEREN	Markiere über die Verbindung auf der zweiten Stufe.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ldar	Markiere den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf der zweiten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · SCHLUSS	Über die Verbindung; schließe den Schritt.	6	OBSERVED_EVENT_COUNT	BIOLOGICAL|HERBAL	ldy	Im laufenden Gang halte den Stationsanteil [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+EE+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GRAD II · POSTEN	Über die Verbindung: Posten auf Grad II.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lcheey	Im laufenden Gang setze den Stationsposten im Stationsgang an; über die sichtbare Verbindung; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+AIIN	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · WERT	Gib den Wert über die Verbindung.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkaiin	Führe den Stationswert zu; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+AIN	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · ANTEIL	Gib den Anteil über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkain	Führe den Stationsanteil zu; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+AM_ADDR+O	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · HIER · AUSFÜHRUNG	Gib über die Verbindung als Ausführung hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkamo	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+AR	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · AUSGANG	Gib über die Verbindung und vom Ausgang.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkar	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung und von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+CHD+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · BEARBEITEN · POSTEN	Gib den Posten; bearbeite den Posten über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkchedy	Führe den Stationsposten zu und bearbeite den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+E+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	Gib über die Verbindung auf Grad I; schließe den Schritt.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkedy	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+E+D_ADDR+E+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD I · HIER · GRAD I · POSTEN	Gib den Posten über die Verbindung auf Grad I und auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkedey	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad I und auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+E+O	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG	Gib über die Verbindung auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	lkeo	Gib zu; über die Gefäßverbindung; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+E+O+P+OL	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD I · AUSFÜHRUNG · EINSETZEN · FORTSETZEN	Weiter: Gib; setze über die Verbindung ein auf Grad I als Ausführung.	1	OBSERVED_EVENT_COUNT	PHARMA	lkeopol	Weiter gib den Drogenposten [wie zuvor] zu und setze den Drogenposten [wie zuvor] ein; über die Gefäßverbindung; auf Grad I und als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+E+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD I · POSTEN	Gib den Posten über die Verbindung auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkey	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+EE+D_ADDR	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD II · HIER	Gib über die Verbindung auf Grad II hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkeed	Führe den Stationsposten [wie zuvor] zu; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD II · HIER · POSTEN	Gib den Posten über die Verbindung auf Grad II hier.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkeedy	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+EE+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · GRAD II · POSTEN	Gib den Posten über die Verbindung auf Grad II.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lkeey	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+K+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · GEBEN · POSTEN	Gib den Posten über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lky	Führe den Stationsposten zu; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+LOCAL_CHAR_F+CH+E+AL	T0_EXACT_OBSERVED	0	VERBINDUNG · HIER · NEHMEN · GRAD I · ZIELORT	Nimm über die Verbindung und am Zielort auf Grad I mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lfcheal	Entnimm den Stationsposten [wie zuvor]; über die sichtbare Verbindung und zur Zielstation; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+O	T0_EXACT_OBSERVED	0	VERBINDUNG · AUSFÜHRUNG	Über die Verbindung.	5	OBSERVED_EVENT_COUNT	BIOLOGICAL	lo	Im laufenden Gang stelle den Stationsposten [wie zuvor] ein; über die sichtbare Verbindung; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+O+CHD+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · AUSFÜHRUNG · BEARBEITEN · SCHLUSS	Bearbeite über die Verbindung als Ausführung; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lochedy	Bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; als Ausführung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+O+D_ADDR	T0_EXACT_OBSERVED	0	VERBINDUNG · AUSFÜHRUNG · HIER	Über die Verbindung hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lod	Im laufenden Gang markiere den Stationswert [wie zuvor]; über die sichtbare Verbindung; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+O+IIN	T0_EXACT_OBSERVED	0	VERBINDUNG · AUSFÜHRUNG · STUFE	Über die Verbindung auf der bezeichneten Stufe.	1	OBSERVED_EVENT_COUNT	PHARMA	loiiin	Im laufenden Gang nimm den Drogenposten [wie zuvor]; über die Gefäßverbindung; als Ausführung und auf der bezeichneten Stufe.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+O+M_LOCAL	T0_EXACT_OBSERVED	0	VERBINDUNG · AUSFÜHRUNG · HIER	Über die Verbindung hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lom	Im laufenden Gang wähle den Stationsanteil [wie zuvor]; über die sichtbare Verbindung; als Ausführung; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+OL	T0_EXACT_OBSERVED	0	VERBINDUNG · FORTSETZEN	Weiter: Über die Verbindung.	12	OBSERVED_EVENT_COUNT	BIOLOGICAL|CELESTIAL|HERBAL	chlol	Weiter im laufenden Gang stelle den Arbeitswert [wie zuvor] ein; über die Verbindung im Pflanzenartikel.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+OL+CHD+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · FORTSETZEN · BEARBEITEN · SCHLUSS	Weiter: Bearbeite über die Verbindung; schließe den Schritt.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lolchedy	Weiter bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+OL+OL	T0_EXACT_OBSERVED	0	VERBINDUNG · FORTSETZEN · FORTSETZEN	Weiter und Weiter: Über die Verbindung.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	rorol	Weiter und weiter im laufenden Gang bearbeite den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+OL+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · FORTSETZEN · POSTEN	Weiter: Über die Verbindung: Posten.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	loly	Weiter im laufenden Gang führe den Stationsposten zu; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+OR	T0_EXACT_OBSERVED	0	VERBINDUNG · EINHEIT	Über die Verbindung: Einheit.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	lor	Im laufenden Gang halte die Stationseinheit; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+P+CHD+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSETZEN · BEARBEITEN · POSTEN	Setze den Posten ein; bearbeite den Posten über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lpchedy	Setze den Stationsposten ein und bearbeite den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+R	T0_EXACT_OBSERVED	0	VERBINDUNG · MARKIEREN	Markiere über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lr	Markiere den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN	Halte über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lsh	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+CH+T+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · NEHMEN · EINSTELLEN · POSTEN	Halte den Posten; nimm den Posten; stelle den Posten über die Verbindung ein.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshcthy	Halte den Stationsposten, entnimm den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+E	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD I	Halte über die Verbindung auf Grad I.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshed	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+E+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	Halte über die Verbindung auf Grad I; schließe den Schritt.	7	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshedy	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+E+D_ADDR+AR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD I · HIER · AUSGANG · POSTEN	Halte den Posten über die Verbindung und vom Ausgang auf Grad I hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshedary	Halte den Stationsposten; über die sichtbare Verbindung und von der Ausgangsstation; auf Grad I; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+E+T+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD I · EINSTELLEN · POSTEN	Halte den Posten; stelle den Posten über die Verbindung ein auf Grad I.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshety	Halte den Stationsposten und stelle den Stationsposten ein; über die sichtbare Verbindung; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+E+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD I · POSTEN	Halte den Posten über die Verbindung auf Grad I.	3	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshey	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad I.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+EE	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD II	Halte über die Verbindung auf Grad II.	1	OBSERVED_EVENT_COUNT	HERBAL	lshee	Halte den Arbeitswert [wie zuvor]; über die Verbindung im Pflanzenartikel; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD II · HIER · POSTEN	Halte den Posten über die Verbindung auf Grad II hier.	4	OBSERVED_EVENT_COUNT	BIOLOGICAL	lsheedy	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+EE+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · GRAD II · POSTEN	Halte den Posten über die Verbindung auf Grad II.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	lsheey	Halte den Stationsposten; über die sichtbare Verbindung; auf Grad II.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+L	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · VERBINDUNG	Halte über die Verbindung und über die Verbindung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lshl	Halte den Stationsposten [wie zuvor]; über die sichtbare Verbindung [außen] und über die sichtbare Verbindung [innen].	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+SH+O	T0_EXACT_OBSERVED	0	VERBINDUNG · HALTEN · AUSFÜHRUNG	Halte über die Verbindung als Ausführung.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lsho	Halte den Stationsanteil [wie zuvor]; über die sichtbare Verbindung; als Ausführung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+T+AIIN	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSTELLEN · WERT	Stelle den Wert über die Verbindung ein.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ltaiin	Stelle den Stationswert ein; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+T+AIN	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSTELLEN · ANTEIL	Stelle den Anteil über die Verbindung ein.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ltain	Stelle den Stationsanteil ein; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+T+AR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSTELLEN · AUSGANG · POSTEN	Stelle den Posten über die Verbindung und vom Ausgang ein.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	ltary	Stelle den Stationsposten ein; über die sichtbare Verbindung und von der Ausgangsstation.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+T+E+DY	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSTELLEN · GRAD I · SCHLUSS	Stelle über die Verbindung ein auf Grad I; schließe den Schritt.	2	OBSERVED_EVENT_COUNT	BIOLOGICAL	ltedy	Stelle den Stationsanteil [wie zuvor] ein; über die sichtbare Verbindung; auf Grad I; schließe den Schritt.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+T+EE+D_ADDR+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · EINSTELLEN · GRAD II · HIER · POSTEN	Stelle den Posten über die Verbindung ein auf Grad II hier.	1	OBSERVED_EVENT_COUNT	BIOLOGICAL	lteedy	Stelle den Stationsposten ein; über die sichtbare Verbindung; auf Grad II; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
L+Y	T0_EXACT_OBSERVED	0	VERBINDUNG · POSTEN	Über die Verbindung: Posten.	12	OBSERVED_EVENT_COUNT	BIOLOGICAL|PHARMA	ly	Im laufenden Gang halte den Stationsposten; über die sichtbare Verbindung.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_F+AR	T0_EXACT_OBSERVED	0	HIER · AUSGANG	Vom Ausgang mit der lokalen Variante.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	far	Im laufenden Gang trage den Kennwert [wie zuvor] ein; von der Ausgangszeile; an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
LOCAL_CHAR_F+A_ADDR+CH+Y+S	T0_EXACT_OBSERVED	0	HIER · HIER · NEHMEN · POSTEN · WÄHLEN	Nimm den Posten; wähle den Posten mit der lokalen Variante und hier.	1	OBSERVED_EVENT_COUNT	SOURCE_SECTION_T	fachys	Entnimm den laufenden Eintrag und wähle den laufenden Eintrag; an der bezeichneten Stelle und an der bezeichneten Stelle.	READ_WITH_EXISTING_RECIPE	EXACT_VISIBLE_COMPONENT_RECIPE_REQUIRED
