card_no	surfaces	semantic_component_parse	command_id	standard_command_de	command_class	occurrences	records	duplicate_semantic_command	old_command_id	old_standard_command_de	resolution	old_standard_command_de	revised_components	backread_revision
PROC104	qokaly	OK+AL+Y	CMD081	ANSETZEN · ZIEL · DIES	ACTION_COMMAND	1	B2	NO	CMD081	ANSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · ZIEL · DIES	NONE	NO
PROC105	solkaiin	SOLK+AIIN	CMD148	AUFFANGEN · MASS	ACTION_COMMAND	1	B2	NO	CMD148	AUFFANGEN · MASS	UNCHANGED_UNIQUE_COMMAND	AUFFANGEN · MASS	NONE	NO
PROC106	octheol	O+CTH+E+OL	CMD072	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	STATE_OR_GRADE_FORMULA	1	B2	NO	CMD072	GANG · BEREIT · KURZ · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	GANG · BEREIT · KURZ · FORTSETZEN	O	YES
PROC107	chkeey	CHK+EE+Y	CMD025	WAERMEN · LANG · DIES	ACTION_COMMAND	1	B2	YES	CMD025	WAERMEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	WAERMEN · LANG · DIES	NONE	NO
PROC108	ldy	L+DY	CMD062	WEITERLEITEN; SCHLUSS	ACTION_COMMAND	2	B2|B3	NO	CMD062	FUEHREN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FUEHREN; SCHLUSS	L	YES
PROC109	oteey	OT+EE+Y	CMD118	DANACH · LANG · DIES	STATE_OR_GRADE_FORMULA	2	B2	NO	CMD118	DANACH · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	DANACH · LANG · DIES	NONE	NO
PROC110	sheckhy	SH+E+CKH+Y	CMD134	HALTEN · KURZ · DURCHLASS · DIES	ACTION_COMMAND	1	B2	NO	CMD134	HALTEN · KURZ · DURCHLASS · DIES	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · DURCHLASS · DIES	NONE	NO
PROC111	dshedy	SH+E+DY	CMD137	HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD137	HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ; SCHLUSS	NONE	NO
PROC112	otaiin|sotaiin	OT+AIIN	CMD109	DANACH · MASS	SEQUENCE_FORMULA	3	B2|B3	NO	CMD109	DANACH · MASS	UNCHANGED_UNIQUE_COMMAND	DANACH · MASS	NONE	NO
PROC113	qokar	OK+AR	CMD082	ANSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD082	ANSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · QUELLE	NONE	NO
PROC114	solshedy	OL+SH+E+DY	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD103	FORTSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · HALTEN · KURZ; SCHLUSS	NONE	NO
PROC115	ls	OL	CMD097	FORTSETZEN	SEQUENCE_FORMULA	1	B2	YES	CMD097	FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	FORTSETZEN	NONE	NO
PROC116	lchy	L+CH+Y	CMD055	WEITERLEITEN · ABNEHMEN · DIES	ACTION_COMMAND	1	B2	NO	CMD055	FUEHREN · ABZIEHEN · DIES	UNCHANGED_UNIQUE_COMMAND	FUEHREN · ABZIEHEN · DIES	CH|L	YES
PROC117	qcthey|shcthey	CTH+E+Y	CMD028	BEREIT · KURZ · DIES	STATE_OR_GRADE_FORMULA	2	B2|B3	NO	CMD028	BEREIT · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	BEREIT · KURZ · DIES	NONE	NO
PROC118	lcheey	L+EE+Y	CMD063	WEITERLEITEN · LANG · DIES	ACTION_COMMAND	1	B2	NO	CMD063	FUEHREN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	FUEHREN · LANG · DIES	L	YES
PROC119	qokeeedy	OK+EEE+DY	CMD091	ANSETZEN · VOLL; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD091	ANSETZEN · VOLL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · VOLL; SCHLUSS	NONE	NO
PROC120	lchedy	L+CHD+DY	CMD059	WEITERLEITEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	8	B2|B3|B4	NO	CMD059	FUEHREN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FUEHREN · UMSETZEN; SCHLUSS	L	YES
PROC121	lar	L+AR	CMD054	WEITERLEITEN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD054	FUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND	FUEHREN · QUELLE	L	YES
PROC122	tshey	SH+E+Y	CMD139	HALTEN · KURZ · DIES	ACTION_COMMAND	1	B2	NO	CMD139	HALTEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · DIES	NONE	NO
PROC123	lchedar	L+CHD+AR	CMD058	WEITERLEITEN · UMSETZEN · QUELLE	ACTION_COMMAND	1	B2	NO	CMD058	FUEHREN · UMSETZEN · QUELLE	UNCHANGED_UNIQUE_COMMAND	FUEHREN · UMSETZEN · QUELLE	L	YES
PROC124	ches	CH+E+S	CMD014	ABNEHMEN · KURZ · TEILEN	ACTION_COMMAND	1	B2	NO	CMD014	ABZIEHEN · KURZ · TEILEN	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · KURZ · TEILEN	CH	YES
PROC125	pchedy	P+CHD+DY	CMD124	EINFUELLEN · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD124	HINEIN · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	HINEIN · UMSETZEN; SCHLUSS	P	YES
PROC126	rsheal	R+SH+E+AL	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	ACTION_COMMAND	1	B2	NO	CMD129	KUEHLEN · HALTEN · KURZ · ZIEL	UNCHANGED_UNIQUE_COMMAND	KUEHLEN · HALTEN · KURZ · ZIEL	NONE	NO
PROC127	daldy	AL+DY	CMD006	ZIEL; SCHLUSS	CLOSE_FORMULA	1	B2	NO	CMD006	ZIEL; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ZIEL; SCHLUSS	NONE	NO
PROC128	rshedy	R+SHED+DY	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD130	KUEHLEN · ABSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	KUEHLEN · ABSETZEN; SCHLUSS	NONE	NO
PROC129	qoteedy	OT+EE+DY	CMD117	DANACH · LANG; SCHLUSS	CLOSE_FORMULA	2	B2|B3	NO	CMD117	DANACH · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	DANACH · LANG; SCHLUSS	NONE	NO
PROC130	lochedy	L+O+CHD+DY	CMD066	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B2	NO	CMD066	FUEHREN · GANG · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FUEHREN · GANG · UMSETZEN; SCHLUSS	L|O	YES
PROC131	otal|qotal	OT+AL	CMD110	DANACH · ZIEL	SEQUENCE_FORMULA	3	B3|B4	NO	CMD110	DANACH · ZIEL	UNCHANGED_UNIQUE_COMMAND	DANACH · ZIEL	NONE	NO
PROC132	chkeedy	CHK+EE+DY	CMD024	WAERMEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD024	WAERMEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	WAERMEN · LANG; SCHLUSS	NONE	NO
PROC133	chedchy	CHD+Y	CMD022	UMSETZEN · DIES	ACTION_COMMAND	1	B3	YES	CMD022	UMSETZEN · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	UMSETZEN · DIES	NONE	NO
PROC134	pchedal	P+CHD+AL	CMD123	EINFUELLEN · UMSETZEN · ZIEL	ACTION_COMMAND	1	B3	NO	CMD123	HINEIN · UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	HINEIN · UMSETZEN · ZIEL	P	YES
PROC135	otedy	OT+E+DY	CMD116	DANACH · KURZ; SCHLUSS	CLOSE_FORMULA	2	B3	NO	CMD116	DANACH · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	DANACH · KURZ; SCHLUSS	NONE	NO
PROC136	shecthedchy	SH+E+CTH+CHD+Y	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	ACTION_COMMAND	1	B3	NO	CMD135	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · BIS BEREIT; UMSETZEN · DIES	NONE	NO
PROC137	chary	AR+Y	CMD009	QUELLE · DIES	ARGUMENT_OR_OBJECT_FORMULA	1	B3	NO	CMD009	QUELLE · DIES	UNCHANGED_UNIQUE_COMMAND	QUELLE · DIES	NONE	NO
PROC138	okair	OK+AIR	CMD079	ANSETZEN · LAUF	ACTION_COMMAND	1	B3	NO	CMD079	ANSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · LAUF	NONE	NO
PROC139	sheedy	SH+EE+DY	CMD140	HALTEN · LANG; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD140	HALTEN · LANG; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	HALTEN · LANG; SCHLUSS	NONE	NO
PROC140	lo	L+O	CMD065	WEITERLEITEN · ARBEITSGANG	ACTION_COMMAND	1	B3	NO	CMD065	FUEHREN · GANG	UNCHANGED_UNIQUE_COMMAND	FUEHREN · GANG	L|O	YES
PROC141	qokshedy	OK+SH+E+DY	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD094	ANSETZEN · HALTEN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · HALTEN · KURZ; SCHLUSS	NONE	NO
PROC142	shedal	SHED+AL	CMD146	ABSETZEN · ZIEL	ACTION_COMMAND	2	B3|B5	NO	CMD146	ABSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	ABSETZEN · ZIEL	NONE	NO
PROC143	shecthy	SH+E+CTH+Y	CMD136	HALTEN · KURZ · BEREIT · DIES	ACTION_COMMAND	1	B3	NO	CMD136	HALTEN · KURZ · BEREIT · DIES	UNCHANGED_UNIQUE_COMMAND	HALTEN · KURZ · BEREIT · DIES	NONE	NO
PROC144	dalchdy	AL+CHD+DY	CMD005	ZIEL · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B3	NO	CMD005	ZIEL · UMSETZEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ZIEL · UMSETZEN; SCHLUSS	NONE	NO
PROC145	otchedy|qotchedy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	2	B3	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	DANACH · UMSETZEN; SCHLUSS	NONE	NO
PROC146	cheedar	EE+AR	CMD035	LANG · QUELLE	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD035	LANG · QUELLE	UNCHANGED_UNIQUE_COMMAND	LANG · QUELLE	NONE	NO
PROC147	chldaiin	L+AIIN	CMD052	WEITERLEITEN · MASS	ACTION_COMMAND	1	B3	NO	CMD052	FUEHREN · MASS	UNCHANGED_UNIQUE_COMMAND	FUEHREN · MASS	L	YES
PROC148	chealror	AL+R+OR	CMD007	ZIEL · KUEHLEN · ANSATZ	ACTION_COMMAND	1	B3	NO	CMD007	ZIEL · KUEHLEN · ANSATZ	UNCHANGED_UNIQUE_COMMAND	ZIEL · KUEHLEN · ANSATZ	NONE	NO
PROC149	cheeety	EEE+T+Y	CMD036	VOLL · EINTRAGEN · DIES	ACTION_COMMAND	1	B3	NO	CMD036	VOLL · EINTRAGEN · DIES	UNCHANGED_UNIQUE_COMMAND	VOLL · EINTRAGEN · DIES	NONE	NO
PROC150	schedair	CHD+AIR	CMD019	UMSETZEN · LAUF	ACTION_COMMAND	1	B3	NO	CMD019	UMSETZEN · LAUF	UNCHANGED_UNIQUE_COMMAND	UMSETZEN · LAUF	NONE	NO
PROC151	chedain	CHD+AIN	CMD018	UMSETZEN · PORTION	ACTION_COMMAND	1	B3	NO	CMD018	UMSETZEN · PORTION	UNCHANGED_UNIQUE_COMMAND	UMSETZEN · PORTION	NONE	NO
PROC152	qotedaiin	OT+E+AIIN	CMD115	DANACH · KURZ · MASS	STATE_OR_GRADE_FORMULA	1	B3	NO	CMD115	DANACH · KURZ · MASS	UNCHANGED_UNIQUE_COMMAND	DANACH · KURZ · MASS	NONE	NO
PROC153	olsaly	OL+AL+Y	CMD098	FORTSETZEN · ZIEL · DIES	SEQUENCE_FORMULA	1	B3	NO	CMD098	FORTSETZEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · ZIEL · DIES	NONE	NO
PROC154	qolchey	OL+Y	CMD105	FORTSETZEN · DIES	SEQUENCE_FORMULA	1	B4	NO	CMD105	FORTSETZEN · DIES	UNCHANGED_UNIQUE_COMMAND	FORTSETZEN · DIES	NONE	NO
PROC155	qokylddy	OK+Y+LD+DY	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD096	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · DIES · BEFESTIGEN; SCHLUSS	NONE	NO
PROC156	dain	AIN	CMD002	PORTION	ARGUMENT_OR_OBJECT_FORMULA	2	B4|B6	NO	CMD002	PORTION	UNCHANGED_UNIQUE_COMMAND	PORTION	NONE	NO
PROC157	sheey	SH+EE+Y	CMD141	HALTEN · LANG · DIES	ACTION_COMMAND	1	B4	YES	CMD141	HALTEN · LANG · DIES	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	HALTEN · LANG · DIES	NONE	NO
PROC158	okeeol	OK+EE+OL	CMD089	ANSETZEN · LANG · FORTSETZEN	ACTION_COMMAND	1	B4	NO	CMD089	ANSETZEN · LANG · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	ANSETZEN · LANG · FORTSETZEN	NONE	NO
PROC159	lkedy	L+K+E+DY	CMD064	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	ACTION_COMMAND	1	B4	NO	CMD064	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	FUEHREN · ZUFUEHREN · KURZ; SCHLUSS	K|L	YES
PROC160	qokol	OK+OL	CMD093	ANSETZEN · FORTSETZEN	ACTION_COMMAND	1	B4	YES	CMD093	ANSETZEN · FORTSETZEN	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	ANSETZEN · FORTSETZEN	NONE	NO
PROC161	qockhey	O+CKH+E+Y	CMD071	ARBEITSGANG · DURCHLASS · KURZ · DIES	STATE_OR_GRADE_FORMULA	1	B4	NO	CMD071	GANG · DURCHLASS · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	GANG · DURCHLASS · KURZ · DIES	O	YES
PROC162	dairydy	AIR+Y+DY	CMD003	LAUF · DIES; SCHLUSS	CLOSE_FORMULA	1	B4	NO	CMD003	LAUF · DIES; SCHLUSS	UNCHANGED_UNIQUE_COMMAND	LAUF · DIES; SCHLUSS	NONE	NO
PROC163	chckhal	CH+CKH+AL	CMD012	ABNEHMEN · DURCHLASS · ZIEL	ACTION_COMMAND	1	B4	NO	CMD012	ABZIEHEN · DURCHLASS · ZIEL	UNCHANGED_UNIQUE_COMMAND	ABZIEHEN · DURCHLASS · ZIEL	CH	YES
PROC164	solkey	SOLK+E+Y	CMD149	AUFFANGEN · KURZ · DIES	ACTION_COMMAND	1	B4	NO	CMD149	AUFFANGEN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	AUFFANGEN · KURZ · DIES	NONE	NO
PROC165	skar	K+AR	CMD044	ZUDOSIEREN · QUELLE	ACTION_COMMAND	1	B4	NO	CMD044	ZUFUEHREN · QUELLE	UNCHANGED_UNIQUE_COMMAND	ZUFUEHREN · QUELLE	K	YES
PROC166	otchdy	OT+CHD+DY	CMD114	DANACH · UMSETZEN; SCHLUSS	ACTION_COMMAND	1	B5	YES	CMD114	DANACH · UMSETZEN; SCHLUSS	KEEP_SAME_COMMAND_AS_ALLOGRAPH_OR_REGISTER_VARIANT	DANACH · UMSETZEN; SCHLUSS	NONE	NO
PROC167	lol	L+OL	CMD067	WEITERLEITEN · FORTSETZEN	ACTION_COMMAND	1	B5	NO	CMD067	FUEHREN · FORTSETZEN	UNCHANGED_UNIQUE_COMMAND	FUEHREN · FORTSETZEN	L	YES
PROC168	chdal	CHD+AL	CMD020	UMSETZEN · ZIEL	ACTION_COMMAND	1	B5	NO	CMD020	UMSETZEN · ZIEL	UNCHANGED_UNIQUE_COMMAND	UMSETZEN · ZIEL	NONE	NO
PROC169	daiiin	DA+IIN	CMD031	ZWEIT · STUFE	ARGUMENT_OR_OBJECT_FORMULA	1	B5	NO	CMD031	ZWEIT · STUFE	UNCHANGED_UNIQUE_COMMAND	ZWEIT · STUFE	NONE	NO
PROC170	solkeey	SOLK+EE+Y	CMD151	AUFFANGEN · LANG · DIES	ACTION_COMMAND	1	B6	NO	CMD151	AUFFANGEN · LANG · DIES	UNCHANGED_UNIQUE_COMMAND	AUFFANGEN · LANG · DIES	NONE	NO
PROC171	qekey	E+K+E+Y	CMD032	KURZ · ZUDOSIEREN · KURZ · DIES	ACTION_COMMAND	1	B6	NO	CMD032	KURZ · ZUFUEHREN · KURZ · DIES	UNCHANGED_UNIQUE_COMMAND	KURZ · ZUFUEHREN · KURZ · DIES	K	YES
PROC172	raly	R+AL+Y	CMD127	KUEHLEN · ZIEL · DIES	ACTION_COMMAND	1	B6	NO	CMD127	KUEHLEN · ZIEL · DIES	UNCHANGED_UNIQUE_COMMAND	KUEHLEN · ZIEL · DIES	NONE	NO
PROC173	ldalor	L+AL+OR	CMD053	WEITERLEITEN · ZIEL · ANSATZ	ACTION_COMMAND	1	B6	NO	CMD053	FUEHREN · ZIEL · ANSATZ	UNCHANGED_UNIQUE_COMMAND	FUEHREN · ZIEL · ANSATZ	L	YES
