pair_carrier_id	ordered_action_pair	portable_action_trace_de	carrier_neutral_handgrip_de	global_running_event_id	physical_page	register	owner_class	surface	component_recipe	action_component_positions	clause_action_marker_positions	clause_action_order_exact	before_action_atoms	between_action_atoms	after_action_atoms	direct_component_adjacency	frame_atom_trace	frame_value_trace_de	argument_mode	explicit_argument_roots	inherited_argument_root	imperative_clause_de	portable_back_projection_de	roundtrip_exact	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G505-C42	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E3331	f82r	BIOLOGICAL	BAD_ODER_BECKENFELD	cphal	CH+P+AL	1,2	4,44	YES	NONE	NONE	AL	YES	AL	ZIELORT	INHERITED_ARGUMENT	NONE	Y	Entnimm den Stationsposten [wie zuvor] und setze den Stationsposten [wie zuvor] ein; zur Zielstation.	NEHMEN · EINSETZEN · ZIELORT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C43	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E3458	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	chepol	CH+E+P+OL	1,3	11,51	YES	NONE	E	OL	NO	E+OL	GRAD I · FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter entnimm den Stationsposten [wie zuvor] und setze den Stationsposten [wie zuvor] ein; auf Grad I.	NEHMEN · GRAD I · EINSETZEN · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C44	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E3527	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	pchor	P+CH+OR	1,2	1,38	YES	NONE	NONE	OR	YES	OR	EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Setze die Stationseinheit ein und entnimm die Stationseinheit.	EINSETZEN · NEHMEN · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C45	S+CHD	WÄHLEN → BEARBEITEN	Wähle das zuvor Genannte und bearbeite es.	G407-E3697	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	salchedy	S+AL+CHD+Y	1,3	1,30	YES	NONE	AL	Y	NO	AL+Y	ZIELORT · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Wähle den Stationsposten und bearbeite den Stationsposten; zur Zielstation.	WÄHLEN · ZIELORT · BEARBEITEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C46	S+CHD	WÄHLEN → BEARBEITEN	Wähle das zuvor Genannte und bearbeite es.	G407-E3749	f83r	BIOLOGICAL	LOKALE_STATIONSGRUPPE	solchedy	S+OL+CHD+Y	1,3	8,37	YES	NONE	OL	Y	NO	OL+Y	FORTSETZEN · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	WÄHLEN · FORTSETZEN · BEARBEITEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C47	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E3844	f88r	PHARMA	DROGEN_UND_GEFÄSSPOSTEN	cphol	CH+P+OL	1,2	8,46	YES	NONE	NONE	OL	YES	OL	FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein.	NEHMEN · EINSETZEN · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C48	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E3846	f88r	PHARMA	DROGEN_UND_GEFÄSSPOSTEN	pcheoly	P+CH+E+O+L+Y	1,2	1,32	YES	NONE	NONE	E+O+L+Y	YES	E+O+L+Y	GRAD I · AUSFÜHRUNG · VERBINDUNG · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Setze den Drogenposten ein und nimm den Drogenposten; über die Gefäßverbindung; auf Grad I und als Ausführung.	EINSETZEN · NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C49	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E4017	f88v	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	cpheody	CH+P+E+O+DY	1,2	1,39	YES	NONE	NONE	E+O+DY	YES	E+O+DY	GRAD I · AUSFÜHRUNG · SCHLUSS	INHERITED_ARGUMENT	NONE	Y	Nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein; auf Grad I und als Ausführung; schließe den Schritt.	NEHMEN · EINSETZEN · GRAD I · AUSFÜHRUNG · SCHLUSS	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C50	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E4065	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	chepy	CH+E+P+Y	1,3	1,27	YES	NONE	E	Y	NO	E+Y	GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.	NEHMEN · GRAD I · EINSETZEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C51	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E4111	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	qocphey	CH+P+E+Y	1,2	1,27	YES	NONE	NONE	E+Y	YES	E+Y	GRAD I · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Nimm den Drogenposten und setze den Drogenposten ein; auf Grad I.	NEHMEN · EINSETZEN · GRAD I · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C52	CH+P	NEHMEN → EINSETZEN	Nimm das zuvor Genannte und setze es ein.	G407-E4197	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	cpheeedol	CH+P+EEE+D_ADDR+OL	1,2	8,46	YES	NONE	NONE	EEE+D_ADDR+OL	YES	EEE+D_ADDR+OL	GRAD III · HIER · FORTSETZEN	INHERITED_ARGUMENT	NONE	Y	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein; auf Grad III; an der bezeichneten Stelle.	NEHMEN · EINSETZEN · GRAD III · HIER · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C53	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E4241	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	otolpchy	OT+OL+P+CH+Y	3,4	19,50	YES	OT+OL	NONE	Y	YES	OT+OL+Y	DANACH · FORTSETZEN · POSTEN	EXPLICIT_ARGUMENTS	Y	NONE	Danach und weiter setze den Drogenposten ein und nimm den Drogenposten.	DANACH · FORTSETZEN · EINSETZEN · NEHMEN · POSTEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C54	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E4297	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	opcheor	O+P+CH+E+OR	2,3	1,33	YES	O	NONE	E+OR	YES	O+E+OR	AUSFÜHRUNG · GRAD I · EINHEIT	EXPLICIT_ARGUMENTS	OR	NONE	Setze die Ansatzeinheit ein und nimm die Ansatzeinheit; als Ausführung und auf Grad I.	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · EINHEIT	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
G505-C55	P+CH	EINSETZEN → NEHMEN	Setze das zuvor Genannte ein und nimm es.	G407-E4298	f89r	PHARMA	GEFÄSS_UND_ZUTATGRUPPE	opcheol	O+P+CH+E+OL	2,3	8,52	YES	O	NONE	E+OL	YES	O+E+OL	AUSFÜHRUNG · GRAD I · FORTSETZEN	INHERITED_ARGUMENT	NONE	OR	Weiter setze die Ansatzeinheit [wie zuvor] ein und nimm die Ansatzeinheit [wie zuvor]; als Ausführung und auf Grad I.	AUSFÜHRUNG · EINSETZEN · NEHMEN · GRAD I · FORTSETZEN	YES	NO	NO	NO	CARRIER_NEUTRAL_ACTION_ORDER_ONLY__FOREIGN_FRAME_VALUES_NOT_TRANSFERRED
