root_a	value_a_de	root_b	value_b_de	same_structural_category	shared_exact_substitution_frame_count	weighted_frame_overlap_event_count	weighted_frame_jaccard	shared_frame_examples	shared_frame_page_union
SH	HALTEN	L	VERBINDUNG	NO	14	43	0.050117	{SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+K+E+DY | {SLOT}+CH+K+Y | {SLOT}+DY | {SLOT}+EE+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	T	EINSTELLEN	YES	20	43	0.048643	L+{SLOT}+E+DY | L+{SLOT}+EE+D_ADDR+Y | OL+{SLOT}+E+DY | OL+{SLOT}+EE+DY | Y+{SLOT}+E+DY | Y+{SLOT}+EE+Y | Y+{SLOT}+OR | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	R	MARKIEREN	NO	12	42	0.099057	CH+E+O+{SLOT} | CH+{SLOT} | L+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIIN+LOCAL_CHAR_I | {SLOT}+AL | {SLOT}+O	f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	AIN	ANTEIL	NO	4	42	0.083333	O+D_ADDR+{SLOT} | OL+{SLOT} | SH+E+{SLOT} | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	AL	ZIELORT	NO	16	41	0.037788	OL+{SLOT}+Y | SH+{SLOT} | T+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+CHD | {SLOT}+CHD+DY	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	CHD	UMSETZEN	NO	18	39	0.063518	AL+{SLOT} | L+{SLOT} | OK+{SLOT} | OK+{SLOT}+DY | OK+{SLOT}+Y | OT+{SLOT}+DY | OT+{SLOT}+Y | R+{SLOT}+Y	f13r|f18r|f1r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OR	EINHEIT	R	MARKIEREN	NO	11	36	0.104651	CH+{SLOT} | L+{SLOT} | OT+CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	K	GEBEN	NO	15	35	0.043263	CH+E+O+{SLOT} | CH+{SLOT} | CH+{SLOT}+Y | OL+{SLOT}+Y | SH+E+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	K	GEBEN	YES	20	35	0.026923	D_ADDR+{SLOT}+Y | L+{SLOT}+EE+D_ADDR+Y | L+{SLOT}+Y | OL+{SLOT}+EE+DY | OL+{SLOT}+Y | SH+E+{SLOT}+Y | Y+{SLOT}+AIR | Y+{SLOT}+E+O	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	CHD	UMSETZEN	YES	14	35	0.046174	D_ADDR+{SLOT}+Y | L+{SLOT}+AR | L+{SLOT}+Y | Y+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR	f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	R	MARKIEREN	YES	14	35	0.041032	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+CH+E+Y | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+CH+E+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	S	WÄHLEN	YES	12	33	0.029570	OK+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIR | {SLOT}+AL | {SLOT}+AM_ADDR | {SLOT}+A_ADDR | {SLOT}+CH+K+E+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OR	EINHEIT	L	VERBINDUNG	NO	11	33	0.065606	CH+{SLOT} | O+D_ADDR+{SLOT} | OT+CH+{SLOT} | S+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CHD	UMSETZEN	L	VERBINDUNG	NO	9	32	0.059369	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+DY | {SLOT}+OL | {SLOT}+OR	f18r|f1r|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
OT	DANACH	AL	ZIELORT	NO	9	32	0.046852	CH+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+CHD+DY | {SLOT}+O | {SLOT}+OL | {SLOT}+OR	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	P	EINSETZEN	YES	23	31	0.049919	CH+CH+{SLOT}+E+Y | CH+E+O+CH+{SLOT}+Y | CH+{SLOT}+AL | CH+{SLOT}+AR | CH+{SLOT}+E+Y | CH+{SLOT}+O | CH+{SLOT}+O+Y | CH+{SLOT}+OL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	R	MARKIEREN	YES	14	31	0.053913	CH+E+O+{SLOT} | CH+{SLOT} | SH+E+Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AM_ADDR	f11r|f13r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	L	VERBINDUNG	YES	9	30	0.053286	CH+E+O+{SLOT} | O+D_ADDR+{SLOT} | S+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+OL | {SLOT}+OL+Y	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	S	WÄHLEN	YES	14	30	0.033076	AL+{SLOT}+Y | OK+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+K+E+Y | {SLOT}+EE+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	R	MARKIEREN	NO	6	29	0.071078	CH+E+O+{SLOT} | L+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+OL | {SLOT}+Y	f10r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
L	VERBINDUNG	T	EINSTELLEN	NO	14	29	0.054004	CH+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+O	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
OL	FORTSETZEN	SH	HALTEN	NO	15	29	0.022481	K+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | OK+{SLOT}+DY | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	R	MARKIEREN	NO	13	29	0.064732	{SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+CH+E+S | {SLOT}+CHD+Y	f10r|f11r|f13r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	AIR	LAUF	YES	10	27	0.079646	CH+K+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | OK+{SLOT} | S+{SLOT} | S+{SLOT}+AL | Y+D_ADDR+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	L	VERBINDUNG	NO	14	27	0.024862	{SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+CH+S | {SLOT}+K+AIIN | {SLOT}+K+AIN | {SLOT}+K+AR | {SLOT}+K+E+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
T	EINSTELLEN	P	EINSETZEN	YES	19	27	0.062937	CH+CH+{SLOT}+E+DY | CH+CH+{SLOT}+E+Y | CH+CH+{SLOT}+Y | CH+{SLOT}+AL | CH+{SLOT}+AR | CH+{SLOT}+E+Y | CH+{SLOT}+O | CH+{SLOT}+OL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	CHD	UMSETZEN	YES	11	26	0.044750	AL+{SLOT} | OK+E+{SLOT}+DY | OK+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AIR | {SLOT}+AL	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	CH	NEHMEN	NO	14	25	0.021368	CH+{SLOT}+S | L+{SLOT} | OK+{SLOT} | OK+{SLOT}+AL | OK+{SLOT}+Y | OL+{SLOT}+Y | OT+{SLOT}+Y | Y+K+{SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	OK	SETZEN	NO	15	25	0.010593	SH+{SLOT} | SH+{SLOT}+AIIN | {SLOT} | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+E+O | {SLOT}+CH+E+O+R	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	L	VERBINDUNG	NO	6	24	0.035398	CH+O+D_ADDR+{SLOT} | CH+{SLOT} | O+D_ADDR+{SLOT} | S+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	R	MARKIEREN	NO	4	24	0.045977	CH+{SLOT} | L+{SLOT} | {SLOT} | {SLOT}+Y	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	SH	HALTEN	NO	15	24	0.025026	L+{SLOT} | OK+{SLOT} | OK+{SLOT}+AL | OK+{SLOT}+DY | OK+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	CHD	UMSETZEN	YES	14	23	0.020517	D_ADDR+{SLOT}+Y | L+{SLOT} | L+{SLOT}+Y | OK+{SLOT} | OK+{SLOT}+Y | OT+{SLOT}+Y | P+{SLOT}+AL | Y+K+{SLOT}+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
L	VERBINDUNG	AIN	ANTEIL	NO	5	23	0.047228	CH+O+D_ADDR+{SLOT} | O+D_ADDR+{SLOT} | S+{SLOT} | Y+{SLOT} | {SLOT}	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
OL	FORTSETZEN	AIR	LAUF	NO	7	23	0.032486	CH+K+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | OK+{SLOT} | Y+K+{SLOT} | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OR	EINHEIT	AIR	LAUF	NO	9	23	0.080420	CH+K+{SLOT} | CH+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | OK+{SLOT} | S+{SLOT} | Y+K+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIIN	WERT	AIR	LAUF	NO	11	22	0.048565	CARRIER_Q+O+LOCAL_CHAR_F+{SLOT} | CH+K+{SLOT} | CH+{SLOT} | CHD+{SLOT} | K+{SLOT} | OK+{SLOT} | OL+D_ADDR+{SLOT} | S+{SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIN	ANTEIL	R	MARKIEREN	NO	2	22	0.066265	L+{SLOT} | {SLOT}	f10r|f11r|f18r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
CHD	UMSETZEN	R	MARKIEREN	YES	9	22	0.055980	L+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AM_ADDR | {SLOT}+OL | {SLOT}+OR	f1r|f24v|f55v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OK	SETZEN	OR	EINHEIT	NO	11	22	0.021611	SH+{SLOT} | T+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+CH+OR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	CHD	UMSETZEN	YES	14	22	0.024176	K+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | OK+{SLOT}+DY | OK+{SLOT}+Y | P+{SLOT}+AR | {SLOT} | {SLOT}+AIIN	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
T	EINSTELLEN	R	MARKIEREN	YES	11	22	0.056701	CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+CH+E+Y | {SLOT}+CHD+Y	f10r|f11r|f13r|f1r|f24v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	K	GEBEN	NO	13	22	0.010572	CH+E+O+{SLOT} | SH+E+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+O+D_ADDR	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	T	EINSTELLEN	YES	11	21	0.018784	L+{SLOT}+EE+D_ADDR+Y | OL+{SLOT}+EE+DY | OL+{SLOT}+Y | Y+{SLOT}+O | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AL+Y	f10r|f11r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CHD	UMSETZEN	OR	EINHEIT	NO	13	21	0.038462	AL+{SLOT} | CARRIER_Q+O+D_ADDR+{SLOT} | D_ADDR+{SLOT}+Y | L+{SLOT} | OK+{SLOT} | R+{SLOT}+Y | T+{SLOT}+Y | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
K	GEBEN	OR	EINHEIT	NO	11	21	0.028494	CH+{SLOT} | D_ADDR+{SLOT}+Y | SH+E+{SLOT} | SH+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
L	VERBINDUNG	P	EINSETZEN	NO	9	20	0.048780	{SLOT}+AR | {SLOT}+CHD+AL | {SLOT}+CHD+AR | {SLOT}+CHD+DY | {SLOT}+CHD+Y | {SLOT}+OL | {SLOT}+OL+CHD+DY | {SLOT}+SH+E+DY	f18r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v
OK	SETZEN	P	EINSETZEN	YES	10	20	0.021882	SH+E+{SLOT}+Y | {SLOT}+AR | {SLOT}+AR+AR | {SLOT}+CH+AL | {SLOT}+CH+OR | {SLOT}+CHD+DY | {SLOT}+CHD+Y | {SLOT}+OL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	T	EINSTELLEN	NO	10	20	0.020747	Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AR | {SLOT}+OK+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
S	WÄHLEN	T	EINSTELLEN	YES	10	20	0.034364	CH+CH+{SLOT} | CH+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+E+Y	f10r|f11r|f13r|f17r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	T	EINSTELLEN	NO	10	19	0.030207	CH+{SLOT} | CH+{SLOT}+Y | OL+{SLOT}+Y | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+CHD	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CHD	UMSETZEN	T	EINSTELLEN	YES	8	19	0.032872	Y+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+OL | {SLOT}+Y	f10r|f11r|f13r|f1r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
SH	HALTEN	R	MARKIEREN	YES	9	19	0.026171	L+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+O | {SLOT}+OL | {SLOT}+OR | {SLOT}+OR+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f56r|f67r2|f68r1|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	OR	EINHEIT	NO	10	18	0.029460	S+{SLOT}+Y | {SLOT} | {SLOT}+AIIN | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+CH+OR | {SLOT}+O	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	CHD	UMSETZEN	NO	12	18	0.009504	AL+{SLOT} | L+{SLOT} | O+P+{SLOT}+DY | OK+{SLOT} | T+{SLOT} | {SLOT} | {SLOT}+AIN | {SLOT}+AL	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AL	ZIELORT	AIR	LAUF	YES	8	17	0.044974	CH+K+{SLOT} | CH+{SLOT} | CHD+{SLOT} | K+{SLOT} | OK+{SLOT} | S+{SLOT} | Y+K+{SLOT} | {SLOT}	f10r|f18r|f1r|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AR	AUSGANG	K	GEBEN	NO	10	17	0.021303	CH+E+O+{SLOT} | S+{SLOT}+AL | SH+E+{SLOT} | Y+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+CH+EE+Y | {SLOT}+OL	f10r|f11r|f13r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OL	FORTSETZEN	P	EINSETZEN	NO	8	17	0.020457	CARRIER_Q+O+{SLOT} | OL+{SLOT} | SH+E+{SLOT}+Y | {SLOT}+AR | {SLOT}+CHD+DY | {SLOT}+OL | {SLOT}+SH+E+DY | {SLOT}+Y	f55v|f56r|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r
Y	POSTEN	SH	HALTEN	NO	12	17	0.007640	L+{SLOT} | OK+{SLOT} | {SLOT} | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+K+Y | {SLOT}+DY | {SLOT}+K+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
AIN	ANTEIL	AIR	LAUF	NO	7	16	0.059925	CH+K+{SLOT} | CHD+{SLOT} | K+{SLOT} | OK+{SLOT} | S+{SLOT} | Y+K+{SLOT} | {SLOT}	f10r|f11r|f17r|f18r|f1r|f24v|f55v|f67r2|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88v|f89r|f95v
AR	AUSGANG	CHD	UMSETZEN	NO	12	16	0.026316	L+{SLOT} | OK+{SLOT} | OK+{SLOT}+DY | OL+K+{SLOT}+Y | OT+{SLOT}+DY | OT+{SLOT}+Y | P+{SLOT}+AR | T+{SLOT}	f10r|f1r|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
CH	NEHMEN	R	MARKIEREN	YES	9	16	0.017003	L+{SLOT} | {SLOT} | {SLOT}+AIIN | {SLOT}+AL | {SLOT}+AL+Y | {SLOT}+AM_ADDR | {SLOT}+A_ADDR | {SLOT}+CH+S	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
OT	DANACH	P	EINSETZEN	NO	10	16	0.031558	CH+{SLOT}+E+Y | CH+{SLOT}+OL | CH+{SLOT}+Y | {SLOT}+AR | {SLOT}+CH+OR | {SLOT}+CHD+DY | {SLOT}+CHD+Y | {SLOT}+OL	f10r|f11r|f13r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	AIR	LAUF	NO	7	16	0.009768	CH+K+{SLOT} | CHD+{SLOT} | D_ADDR+{SLOT} | K+{SLOT} | OK+{SLOT} | Y+K+{SLOT} | {SLOT}	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f68r1|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
Y	POSTEN	T	EINSTELLEN	NO	11	16	0.008461	Y+{SLOT} | {SLOT} | {SLOT}+AIN | {SLOT}+AL | {SLOT}+AR | {SLOT}+CH+E+O+L | {SLOT}+CH+O | {SLOT}+CHD+Y	f10r|f11r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
SH	HALTEN	AR	AUSGANG	NO	9	15	0.015974	D_ADDR+{SLOT}+OR | L+{SLOT} | OK+{SLOT} | OK+{SLOT}+DY | P+{SLOT}+AR | {SLOT} | {SLOT}+AIIN | {SLOT}+OL	f10r|f13r|f17r|f18r|f1r|f24v|f55v|f56r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v
