head	surface_I	surface_II	surface_III	surface_IV	count_I	count_II	count_III	count_IV	stable_I	stable_II	stable_III	stable_IV	distinct_values	present_values	complete_I_II_III	complete_I_II_III_IV	occurrences	pages	herbal_occurrences
cheyqyta	cheyqytan	cheyqytain	cheyqytaiin	cheyqytaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
cheyta	cheytan	cheytain	cheytaiin	cheytaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
chfa	chfan	chfain	chfaiin	chfaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chfora	chforan	chforain	chforaiin	chforaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
chkchea	chkchean	chkcheain	chkcheaiin	chkcheaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
chkea	chkean	chkeain	chkeaiin	chkeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
chla	chlan	chlain	chlaiin	chlaiiin	0	0	0	1	0	0	0	0	1	IV	0	0	1	1	0
chlda	chldan	chldain	chldaiin	chldaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chokchoda	chokchodan	chokchodain	chokchodaiin	chokchodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
chokoa	chokoan	chokoain	chokoaiin	chokoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
cholala	cholalan	cholalain	cholalaiin	cholalaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
cholta	choltan	choltain	choltaiin	choltaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
chopda	chopdan	chopdain	chopdaiin	chopdaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
chosa	chosan	chosain	chosaiin	chosaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chpa	chpan	chpain	chpaiin	chpaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
chyka	chykan	chykain	chykaiin	chykaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
cpheea	cpheean	cpheeain	cpheeaiin	cpheeaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
cphoa	cphoan	cphoain	cphoaiin	cphoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
cpholka	cpholkan	cpholkain	cpholkaiin	cpholkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
cthoa	cthoan	cthoain	cthoaiin	cthoaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
cthoda	cthodan	cthodain	cthodaiin	cthodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
cthorora	cthororan	cthororain	cthororaiin	cthororaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
dailda	daildan	daildain	daildaiin	daildaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
dairoda	dairodan	dairodain	dairodaiin	dairodaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
dalka	dalkan	dalkain	dalkaiin	dalkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
dalora	daloran	dalorain	daloraiin	daloraiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
dchea	dchean	dcheain	dcheaiin	dcheaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
dcheoa	dcheoan	dcheoain	dcheoaiin	dcheoaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
dcheyta	dcheytan	dcheytain	dcheytaiin	dcheytaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
dea	dean	deain	deaiin	deaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
dla	dlan	dlain	dlaiin	dlaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
doa	doan	doain	doaiin	doaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
doda	dodan	dodain	dodaiin	dodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
dolda	doldan	doldain	doldaiin	doldaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
doleoda	doleodan	doleodain	doleodaiin	doleodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
dolka	dolkan	dolkain	dolkaiin	dolkaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
dolsa	dolsan	dolsain	dolsaiin	dolsaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
dtcha	dtchan	dtchain	dtchaiin	dtchaiiin	1	0	0	0	0	0	0	0	1	I	0	0	1	1	1
dya	dyan	dyain	dyaiin	dyaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
dykeeda	dykeedan	dykeedain	dykeedaiin	dykeedaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
dyta	dytan	dytain	dytaiin	dytaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ea	ean	eain	eaiin	eaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
eeeoda	eeeodan	eeeodain	eeeodaiin	eeeodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
eeka	eekan	eekain	eekaiin	eekaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
eeoda	eeodan	eeodain	eeodaiin	eeodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
eosa	eosan	eosain	eosaiin	eosaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
epa	epan	epain	epaiin	epaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
fcha	fchan	fchain	fchaiin	fchaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
fchedypa	fchedypan	fchedypain	fchedypaiin	fchedypaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
fdyka	fdykan	fdykain	fdykaiin	fdykaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
foda	fodan	fodain	fodaiin	fodaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
foida	foidan	foidain	foidaiin	foidaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
fola	folan	folain	folaiin	folaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
folda	foldan	foldain	foldaiin	foldaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
iira	iiran	iirain	iiraiin	iiraiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
kchda	kchdan	kchdain	kchdaiin	kchdaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
kcheeyta	kcheeytan	kcheeytain	kcheeytaiin	kcheeytaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
kcheka	kchekan	kchekain	kchekaiin	kchekaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
kchoa	kchoan	kchoain	kchoaiin	kchoaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
kchocha	kchochan	kchochain	kchochaiin	kchochaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
kchoda	kchodan	kchodain	kchodaiin	kchodaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
kea	kean	keain	keaiin	keaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
keda	kedan	kedain	kedaiin	kedaiiin	0	0	0	1	0	0	0	0	1	IV	0	0	1	1	1
keea	keean	keeain	keeaiin	keeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
keeda	keedan	keedain	keedaiin	keedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
keeyra	keeyran	keeyrain	keeyraiin	keeyraiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
koa	koan	koain	koaiin	koaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
koeeora	koeeoran	koeeorain	koeeoraiin	koeeoraiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
kokyda	kokydan	kokydain	kokydaiin	kokydaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
ksha	kshan	kshain	kshaiin	kshaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
kshda	kshdan	kshdain	kshdaiin	kshdaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
kshora	kshoran	kshorain	kshoraiin	kshoraiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
kyda	kydan	kydain	kydaiin	kydaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
lalda	laldan	laldain	laldaiin	laldaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	1
lcha	lchan	lchain	lchaiin	lchaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
lcholka	lcholkan	lcholkain	lcholkaiin	lcholkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
leeda	leedan	leedain	leedaiin	leedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
leeesa	leeesan	leeesain	leeesaiin	leeesaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
lkea	lkean	lkeain	lkeaiin	lkeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
lkeeda	lkeedan	lkeedain	lkeedaiin	lkeedaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
lklda	lkldan	lkldain	lkldaiin	lkldaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
llsa	llsan	llsain	llsaiin	llsaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	0
loa	loan	loain	loaiin	loaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
lola	lolan	lolain	lolaiin	lolaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
lolda	loldan	loldain	loldaiin	loldaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
lolka	lolkan	lolkain	lolkaiin	lolkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
losa	losan	losain	losaiin	losaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
loteda	lotedan	lotedain	lotedaiin	lotedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
lpa	lpan	lpain	lpaiin	lpaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
lpchda	lpchdan	lpchdain	lpchdaiin	lpchdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
lsa	lsan	lsain	lsaiin	lsaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	0
lshda	lshdan	lshdain	lshdaiin	lshdaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
lsheeda	lsheedan	lsheedain	lsheedaiin	lsheedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
lsheka	lshekan	lshekain	lshekaiin	lshekaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ocha	ochan	ochain	ochaiin	ochaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ochea	ochean	ocheain	ocheaiin	ocheaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ocheda	ochedan	ochedain	ochedaiin	ochedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
ocheoda	ocheodan	ocheodain	ocheodaiin	ocheodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ochoa	ochoan	ochoain	ochoaiin	ochoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
ocphora	ocphoran	ocphorain	ocphoraiin	ocphoraiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
octha	octhan	octhain	octhaiin	octhaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
odcha	odchan	odchain	odchaiin	odchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
odeeda	odeedan	odeedain	odeedaiin	odeedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
oea	oean	oeain	oeaiin	oeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
oeda	oedan	oedain	oedaiin	oedaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	1
oeea	oeean	oeeain	oeeaiin	oeeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
oeeeda	oeeedan	oeeedain	oeeedaiin	oeeedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
oeeoda	oeeodan	oeeodain	oeeodaiin	oeeodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
oepa	oepan	oepain	oepaiin	oepaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
ofada	ofadan	ofadain	ofadaiin	ofadaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
ofcheda	ofchedan	ofchedain	ofchedaiin	ofchedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
okada	okadan	okadain	okadaiin	okadaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
okalda	okaldan	okaldain	okaldaiin	okaldaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
okchara	okcharan	okcharain	okcharaiin	okcharaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
okcheda	okchedan	okchedain	okchedaiin	okchedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
okeea	okeean	okeeain	okeeaiin	okeeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
okeeeosa	okeeeosan	okeeeosain	okeeeosaiin	okeeeosaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
okeeora	okeeoran	okeeorain	okeeoraiin	okeeoraiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
okeeylka	okeeylkan	okeeylkain	okeeylkaiin	okeeylkaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
okeoa	okeoan	okeoain	okeoaiin	okeoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
okeoda	okeodan	okeodain	okeodaiin	okeodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
okeoka	okeokan	okeokain	okeokaiin	okeokaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
okeola	okeolan	okeolain	okeolaiin	okeolaiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	0
okoa	okoan	okoain	okoaiin	okoaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
okora	okoran	okorain	okoraiin	okoraiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
okyta	okytan	okytain	okytaiin	okytaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
olcha	olchan	olchain	olchaiin	olchaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
olcheda	olchedan	olchedain	olchedaiin	olchedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
olfa	olfan	olfain	olfaiin	olfaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
olkedyka	olkedykan	olkedykain	olkedykaiin	olkedykaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
olkeeda	olkeedan	olkeedain	olkeedaiin	olkeedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
olla	ollan	ollain	ollaiin	ollaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
oloa	oloan	oloain	oloaiin	oloaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
oloqora	oloqoran	oloqorain	oloqoraiin	oloqoraiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
olora	oloran	olorain	oloraiin	oloraiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
ooa	ooan	ooain	ooaiin	ooaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
opara	oparan	oparain	oparaiin	oparaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
opchda	opchdan	opchdain	opchdaiin	opchdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
opchea	opchean	opcheain	opcheaiin	opcheaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
opola	opolan	opolain	opolaiin	opolaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
opolka	opolkan	opolkain	opolkaiin	opolkaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
opora	oporan	oporain	oporaiin	oporaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
opsheola	opsheolan	opsheolain	opsheolaiin	opsheolaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
opya	opyan	opyain	opyaiin	opyaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
oqa	oqan	oqain	oqaiin	oqaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
orcha	orchan	orchain	orchaiin	orchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
orda	ordan	ordain	ordaiin	ordaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
orolka	orolkan	orolkain	orolkaiin	orolkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
osha	oshan	oshain	oshaiin	oshaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
osheoka	osheokan	osheokain	osheokaiin	osheokaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
otalka	otalkan	otalkain	otalkaiin	otalkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
otchda	otchdan	otchdain	otchdaiin	otchdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
otcheda	otchedan	otchedain	otchedaiin	otchedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
otcheeda	otcheedan	otcheedain	otcheedaiin	otcheedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
otcheoda	otcheodan	otcheodain	otcheodaiin	otcheodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
oteea	oteean	oteeain	oteeaiin	oteeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
otla	otlan	otlain	otlaiin	otlaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
otlchda	otlchdan	otlchdain	otlchdaiin	otlchdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
otola	otolan	otolain	otolaiin	otolaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
otolda	otoldan	otoldain	otoldaiin	otoldaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
otoloa	otoloan	otoloain	otoloaiin	otoloaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
otsha	otshan	otshain	otshaiin	otshaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
otshsa	otshsan	otshsain	otshsaiin	otshsaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
otyteeoda	otyteeodan	otyteeodain	otyteeodaiin	otyteeodaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
paira	pairan	pairain	pairaiin	pairaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
pcha	pchan	pchain	pchaiin	pchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
pchora	pchoran	pchorain	pchoraiin	pchoraiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
poa	poan	poain	poaiin	poaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
pocha	pochan	pochain	pochaiin	pochaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
poeea	poeean	poeeain	poeeaiin	poeeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
poka	pokan	pokain	pokaiin	pokaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
polcheolka	polcheolkan	polcheolkain	polcheolkaiin	polcheolkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
polda	poldan	poldain	poldaiin	poldaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
poleedara	poleedaran	poleedarain	poleedaraiin	poleedaraiiin	1	0	0	0	1	0	0	0	1	I	0	0	1	1	0
polka	polkan	polkain	polkaiin	polkaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
polla	pollan	pollain	pollaiin	pollaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
polsheda	polshedan	polshedain	polshedaiin	polshedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
posa	posan	posain	posaiin	posaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
pshda	pshdan	pshdain	pshdaiin	pshdaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
psheda	pshedan	pshedain	pshedaiin	pshedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
pshoa	pshoan	pshoain	pshoaiin	pshoaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
qea	qean	qeain	qeaiin	qeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qeta	qetan	qetain	qetaiin	qetaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qocha	qochan	qochain	qochaiin	qochaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qocheda	qochedan	qochedain	qochedaiin	qochedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qoeeka	qoeekan	qoeekain	qoeekaiin	qoeekaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qoeeosa	qoeeosan	qoeeosain	qoeeosaiin	qoeeosaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qoeka	qoekan	qoekain	qoekaiin	qoekaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
qofchda	qofchdan	qofchdain	qofchdaiin	qofchdaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
qoira	qoiran	qoirain	qoiraiin	qoiraiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qokchda	qokchdan	qokchdain	qokchdaiin	qokchdaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qokcheoda	qokcheodan	qokcheodain	qokcheodaiin	qokcheodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qokcheolola	qokcheololan	qokcheololain	qokcheololaiin	qokcheololaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qokeeoka	qokeeokan	qokeeokain	qokeeokaiin	qokeeokaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qokeeylka	qokeeylkan	qokeeylkain	qokeeylkaiin	qokeeylkaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qokla	qoklan	qoklain	qoklaiin	qoklaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qokoda	qokodan	qokodain	qokodaiin	qokodaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qokolka	qokolkan	qokolkain	qokolkaiin	qokolkaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qopara	qoparan	qoparain	qoparaiin	qoparaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qopcha	qopchan	qopchain	qopchaiin	qopchaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
qopcheda	qopchedan	qopchedain	qopchedaiin	qopchedaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qopyda	qopydan	qopydain	qopydaiin	qopydaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
qorcha	qorchan	qorchain	qorchaiin	qorchaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qotchda	qotchdan	qotchdain	qotchdaiin	qotchdaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
qotcheea	qotcheean	qotcheeain	qotcheeaiin	qotcheeaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
qotchora	qotchoran	qotchorain	qotchoraiin	qotchoraiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qotda	qotdan	qotdain	qotdaiin	qotdaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
qoteeda	qoteedan	qoteedain	qoteedaiin	qoteedaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
qotola	qotolan	qotolain	qotolaiin	qotolaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
qsa	qsan	qsain	qsaiin	qsaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
qyka	qykan	qykain	qykaiin	qykaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
rla	rlan	rlain	rlaiin	rlaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
roa	roan	roain	roaiin	roaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
rolta	roltan	roltain	roltaiin	roltaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
rora	roran	rorain	roraiin	roraiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
roraryda	rorarydan	rorarydain	rorarydaiin	rorarydaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
rota	rotan	rotain	rotaiin	rotaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
rta	rtan	rtain	rtaiin	rtaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
saka	sakan	sakain	sakaiin	sakaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
salda	saldan	saldain	saldaiin	saldaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
scha	schan	schain	schaiin	schaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	1
schoda	schodan	schodain	schodaiin	schodaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	1
shalka	shalkan	shalkain	shalkaiin	shalkaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
shckha	shckhan	shckhain	shckhaiin	shckhaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
shedaita	shedaitan	shedaitain	shedaitaiin	shedaitaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
sheea	sheean	sheeain	sheeaiin	sheeaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
sheeda	sheedan	sheedain	sheedaiin	sheedaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
sheeka	sheekan	sheekain	sheekaiin	sheekaiiin	0	1	0	0	0	0	0	0	1	II	0	0	1	1	0
sheeoa	sheeoan	sheeoain	sheeoaiin	sheeoaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
sheolka	sheolkan	sheolkain	sheolkaiin	sheolkaiiin	0	1	0	0	0	1	0	0	1	II	0	0	1	1	0
shfyda	shfydan	shfydain	shfydaiin	shfydaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
shkeyqokea	shkeyqokean	shkeyqokeain	shkeyqokeaiin	shkeyqokeaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
shola	sholan	sholain	sholaiin	sholaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
sholfa	sholfan	sholfain	sholfaiin	sholfaiiin	0	0	1	0	0	0	1	0	1	III	0	0	1	1	0
sholforda	sholfordan	sholfordain	sholfordaiin	sholfordaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	0
shorcha	shorchan	shorchain	shorchaiin	shorchaiiin	0	0	1	0	0	0	0	0	1	III	0	0	1	1	1
