statement_id	page	record	clean_instruction_de	refined_cue_words	refined_component_sequence	refined_component_set	observed_component_set_after_reveal	exact_component_set	missing_components	extra_components	packed_recipe_sequence	observed_recipe_sequence_after_reveal	predicted_cards	observed_cards	card_count_delta	exact_recipe_sequence	generation_contract
B2-S005	f82r	B2	An den oberen Paarbecken mit Zylinder: Den Posten an der Zielstelle ansetzen und bis zum Sollmass an der Sammelstelle halten. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft weiterarbeiten, laenger erwaermen, leiten und schliessen.	Posten | Zielstelle | ansetzen | Sollmass | Sammelstelle | Durchlass | Sollmass | ansetzen | Arbeitsgang | kurz | Bereitschaft | weiterarbeiten | laenger | erwaermen | leiten | schliessen	Y+AL+OK+AIIN+SOLK+CKH+AIIN+OK+O+E+CTH+OL+EE+CHK+L+DY	AIIN+AL+CHK+CKH+CTH+DY+E+EE+L+O+OK+OL+SOLK+Y	AIIN+AL+CHK+CKH+CTH+DY+E+EE+L+O+OK+OL+SOLK+Y	YES	NONE	NONE	OK+AL+Y | SOLK+AIIN | UNPACKED(CKH) | OK+AIIN | O+CTH+E+OL | UNPACKED(EE) | UNPACKED(CHK) | L+DY	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	8	8	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S006	f82r	B2	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	Danach | laenger | Posten | Zielstelle | ansetzen | kurz | Durchlass | halten | ansetzen	OT+EE+Y+AL+OK+E+CKH+SH+OK	AL+CKH+E+EE+OK+OT+SH+Y	AL+CKH+E+EE+OK+OT+SH+Y	YES	NONE	NONE	OT+EE+Y | OK+AL | UNPACKED(E) | UNPACKED(CKH) | SH | UNPACKED(OK)	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	6	4	2	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S007	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.	Kurz | halten | schliessen	E+SH+DY	DY+E+SH	DY+E+SH	YES	NONE	NONE	SH+E+DY	SH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S008	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Danach nach Sollmass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.	Danach | Sollmass | Quelle | ansetzen | absetzen | schliessen	OT+AIIN+AR+OK+SHED+DY	AIIN+AR+DY+OK+OT+SHED	AIIN+AR+DY+OK+OT+SHED	YES	NONE	NONE	OT+AIIN | OK+AR | SHED+DY	OT+AIIN | OK+AR | SHED+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S009	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.	Kurz | weiter | halten | schliessen	E+OL+SH+DY	DY+E+OL+SH	DY+E+OL+SH	YES	NONE	NONE	OL+SH+E+DY	OL+SH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S010	f82r	B2	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann weiterarbeiten; dann ihn laenger halten.	Laenger | Posten | ansetzen | ansetzen | weiterarbeiten | laenger | halten	EE+Y+OK+OK+OL+EE+SH	EE+OK+OL+SH+Y	EE+OK+OL+SH+Y	YES	NONE	NONE	OK+EE+Y | OK+EE+OL | SH	OK+EE+Y | OK+Y | OL | SH+EE+Y	3	4	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S011	f82r	B2	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.	Portion | ansetzen | Quelle | Portion | ansetzen | laenger | ansetzen | schliessen	AIN+OK+AR+AIN+OK+EE+OK+DY	AIN+AR+DY+EE+OK	AIN+AR+DY+EE+OK	YES	NONE	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY	OK+AIN | AR | OK+AIN | OK+EE+DY	4	4	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S012	f82r	B2	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten leiten und entnehmen; laenger halten, kurz bereitet halten, laenger ansetzen und laenger leiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	Posten | leiten | entnehmen | laenger | halten | kurz | bereitet | laenger | ansetzen | laenger | leiten | Sollmass | vollstaendig | ansetzen | schliessen	Y+L+CH+EE+SH+E+CTH+EE+OK+EE+L+AIIN+EEE+OK+DY	AIIN+CH+CTH+DY+E+EE+EEE+L+OK+SH+Y	AIIN+CH+CTH+DY+E+EE+EEE+L+OK+SH+Y	YES	NONE	NONE	L+CH+Y | UNPACKED(EE) | SH | UNPACKED(E) | UNPACKED(CTH) | UNPACKED(EE) | UNPACKED(OK) | UNPACKED(EE) | L+AIIN | OK+EEE+DY	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	10	8	2	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S013	f82r	B2	Am unteren gruenen Figurenbecken: Leiten und umsetzen; den Schritt schliessen.	Leiten | umsetzen | schliessen	L+CHD+DY	CHD+DY+L	CHD+DY+L	YES	NONE	NONE	L+CHD+DY	L+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S014	f82r	B2	Am unteren gruenen Figurenbecken: Aus der Quelle leiten.	Quelle | leiten	AR+L	AR+L	AR+L	YES	NONE	NONE	L+AR	L+AR	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S015	f82r	B2	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	Kurz | Posten | halten | laenger | ansetzen | schliessen	E+Y+SH+EE+OK+DY	DY+E+EE+OK+SH+Y	DY+E+EE+OK+SH+Y	YES	NONE	NONE	SH+E+Y | OK+EE+DY	SH+E+Y | OK+EE+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S016	f82r	B2	An den Randstationen des unteren Beckens: An der Zielstelle aus der Quelle leiten und umsetzen. Kurz entnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, fuellen, umsetzen und schliessen.	Zielstelle | Quelle | leiten | umsetzen | Kurz | entnehmen | teilen | Sollmass | naechsten | Posten | laenger | Sollmass | kurz | ansetzen | fuellen | umsetzen | schliessen	AL+AR+L+CHD+E+CH+S+AIIN+OT+Y+EE+AIIN+E+OK+P+CHD+DY	AIIN+AL+AR+CH+CHD+DY+E+EE+L+OK+OT+P+S+Y	AIIN+AL+AR+CH+CHD+DY+E+EE+L+OK+OT+P+S+Y	YES	NONE	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | UNPACKED(E) | UNPACKED(OK) | P+CHD+DY	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	9	8	1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S017	f82r	B2	An den Randstationen des unteren Beckens: An der Zielstelle kurz kuehlen und halten, dann den Schritt an der Zielstelle schliessen.	Zielstelle | kurz | kuehlen | halten | Zielstelle | schliessen	AL+E+R+SH+AL+DY	AL+DY+E+R+SH	AL+DY+E+R+SH	YES	NONE	NONE	R+SH+E+AL | AL+DY	R+SH+E+AL | AL+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S018	f82r	B2	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	Laenger | ansetzen | schliessen	EE+OK+DY	DY+EE+OK	DY+EE+OK	YES	NONE	NONE	OK+EE+DY	OK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S019	f82r	B2	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.	Kuehlen | absetzen | schliessen	R+SHED+DY	DY+R+SHED	DY+R+SHED	YES	NONE	NONE	R+SHED+DY	R+SHED+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S020	f82r	B2	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.	Danach | laenger | schliessen	OT+EE+DY	DY+EE+OT	DY+EE+OT	YES	NONE	NONE	OT+EE+DY	OT+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S021	f82r	B2	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.	Laenger | ansetzen | schliessen	EE+OK+DY	DY+EE+OK	DY+EE+OK	YES	NONE	NONE	OK+EE+DY	OK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B2-S022	f82r	B2	An den Randstationen des unteren Beckens: Im Arbeitsgang leiten und umsetzen; den Schritt schliessen.	Arbeitsgang | leiten | umsetzen | schliessen	O+L+CHD+DY	CHD+DY+L+O	CHD+DY+L+O	YES	NONE	NONE	L+O+CHD+DY	L+O+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S001	f83r	B3	An der oberen offenen Faecherstation: Laenger an der Sammelstelle halten und den Schritt schliessen.	Laenger | Sammelstelle | schliessen	EE+SOLK+DY	DY+EE+SOLK	DY+EE+SOLK	YES	NONE	NONE	SOLK+EE+DY	SOLK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S002	f83r	B3	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	Danach | Zielstelle | laenger | erwaermen | schliessen	OT+AL+EE+CHK+DY	AL+CHK+DY+EE+OT	AL+CHK+DY+EE+OT	YES	NONE	NONE	OT+AL | CHK+EE+DY	OT+AL | CHK+EE+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S003	f83r	B3	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	Posten | Sollmass | leiten | umsetzen | schliessen	Y+AIIN+L+CHD+DY	AIIN+CHD+DY+L+Y	AIIN+CHD+DY+L+Y	YES	NONE	NONE	Y | AIIN | L+CHD+DY	Y | AIIN | Y | L+CHD+DY	3	4	-1	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S004	f83r	B3	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	Sollmass | ansetzen | danach | Zielstelle | Quelle	AIIN+OK+OT+AL+AR	AIIN+AL+AR+OK+OT	AIIN+AL+AR+OK+OT	YES	NONE	NONE	OK+AIIN | OT+AL | AR	OK+AIIN | OT+AL | AR	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S005	f83r	B3	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	Umsetzen | schliessen	CHD+DY	CHD+DY	CHD+DY	YES	NONE	NONE	CHD+DY	CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S006	f83r	B3	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	Posten | umsetzen | Zielstelle | ansetzen | weiter | umsetzen | schliessen	Y+CHD+AL+OK+OL+CHD+DY	AL+CHD+DY+OK+OL+Y	AL+CHD+DY+OK+OL+Y	YES	NONE	NONE	CHD+Y | OK+AL | OL+CHD+DY	CHD+Y | OK+AL | OL+CHD+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S007	f83r	B3	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	Sollmass | ansetzen | Posten | umsetzen | laenger | ansetzen | schliessen	AIIN+OK+Y+CHD+EE+OK+DY	AIIN+CHD+DY+EE+OK+Y	AIIN+CHD+DY+EE+OK+Y	YES	NONE	NONE	OK+AIIN | CHD+Y | OK+EE+DY	OK+AIIN | CHD+Y | OK+EE+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S008	f83r	B3	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	Leiten | umsetzen | schliessen	L+CHD+DY	CHD+DY+L	CHD+DY+L	YES	NONE	NONE	L+CHD+DY	L+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S009	f83r	B3	Am runden Mittelgefaess: Den laufenden Posten ansetzen.	Posten | ansetzen	Y+OK	OK+Y	OK+Y	YES	NONE	NONE	OK+Y	OK+Y	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S010	f83r	B3	Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	Zielstelle | fuellen | umsetzen | danach | kurzen | schliessen	AL+P+CHD+OT+E+DY	AL+CHD+DY+E+OT+P	AL+CHD+DY+E+OT+P	YES	NONE	NONE	P+CHD+AL | OT+E+DY	P+CHD+AL | OT+E+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S011	f83r	B3	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.	Kurz | bereit | Posten | halten | umsetzen | ansetzen | umsetzen | Quelle	E+CTH+Y+SH+CHD+OK+CHD+AR	AR+CHD+CTH+E+OK+SH+Y	AR+CHD+CTH+E+OK+SH+Y	YES	NONE	NONE	SH+E+CTH+CHD+Y | UNPACKED(OK) | UNPACKED(CHD) | AR	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S012	f83r	B3	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.	Ansatz | absetzen | schliessen	OR+SHED+DY	DY+OR+SHED	DY+OR+SHED	YES	NONE	NONE	OR | SHED+DY	OR | SHED+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S013	f83r	B3	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.	Sollmass | ansetzen | Portion | zugeben | kurz | Posten | bereitet | kurz | ansetzen | schliessen	AIIN+OK+AIN+K+E+Y+CTH+E+OK+DY	AIIN+AIN+CTH+DY+E+K+OK+Y	AIIN+AIN+CTH+DY+E+K+OK+Y	YES	NONE	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	4	4	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S014	f83r	B3	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.	Fluessigkeit | ansetzen | laenger | halten | schliessen	AIR+OK+EE+SH+DY	AIR+DY+EE+OK+SH	AIR+DY+EE+OK+SH	YES	NONE	NONE	OK+AIR | SH+EE+DY	OK+AIR | SH+EE+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S015	f83r	B3	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.	Leiten | umsetzen | schliessen	L+CHD+DY	CHD+DY+L	CHD+DY+L	YES	NONE	NONE	L+CHD+DY	L+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S016	f83r	B3	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.	Arbeitsgang | leiten | ansetzen | umsetzen | schliessen	O+L+OK+CHD+DY	CHD+DY+L+O+OK	CHD+DY+L+O+OK	YES	NONE	NONE	L+O | OK+CHD+DY	L+O | OK+CHD+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S017	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.	Laenger | ansetzen | schliessen	EE+OK+DY	DY+EE+OK	DY+EE+OK	YES	NONE	NONE	OK+EE+DY	OK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S018	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.	Absetzen | schliessen	SHED+DY	DY+SHED	DY+SHED	YES	NONE	NONE	SHED+DY	SHED+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S019	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	Kurz | ansetzen | halten | schliessen	E+OK+SH+DY	DY+E+OK+SH	DY+E+OK+SH	YES	NONE	NONE	OK+SH+E+DY	OK+SH+E+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S020	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	Zielstelle | leiten | umsetzen | schliessen	AL+L+CHD+DY	AL+CHD+DY+L	AL+CHD+DY+L	YES	NONE	NONE	AL | L+CHD+DY	AL | L+CHD+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S021	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	Sollmass | ansetzen | Posten | bereitet | Zielstelle | Sollmass | absetzen | kurz | Bereitschaft | halten | Posten | Zielstelle | bereitet | umsetzen | schliessen	AIIN+OK+Y+CTH+AL+AIIN+SHED+E+CTH+SH+Y+AL+CTH+CHD+DY	AIIN+AL+CHD+CTH+DY+E+OK+SH+SHED+Y	AIIN+AL+CHD+CTH+DY+E+OK+SH+SHED+Y	YES	NONE	NONE	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | UNPACKED(CTH) | CHD+DY	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	9	11	-2	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S022	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	Danach | umsetzen | schliessen	OT+CHD+DY	CHD+DY+OT	CHD+DY+OT	YES	NONE	NONE	OT+CHD+DY	OT+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S023	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	Leiten | umsetzen | schliessen	L+CHD+DY	CHD+DY+L	CHD+DY+L	YES	NONE	NONE	L+CHD+DY	L+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S024	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	Umsetzen | schliessen	CHD+DY	CHD+DY	CHD+DY	YES	NONE	NONE	CHD+DY	CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S025	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	Ansetzen | umsetzen | schliessen	OK+CHD+DY	CHD+DY+OK	CHD+DY+OK	YES	NONE	NONE	OK+CHD+DY	OK+CHD+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S026	f83r	B3	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.	Laenger | Quelle | Sollmass | leiten | Posten | umsetzen | Portion | ansetzen | bereitet | Ansatz | Zielstelle | kuehlen | laenger | Sammelstelle | schliessen	EE+AR+AIIN+L+Y+CHD+AIN+OK+CTH+OR+AL+R+EE+SOLK+DY	AIIN+AIN+AL+AR+CHD+CTH+DY+EE+L+OK+OR+R+SOLK+Y	AIIN+AIN+AL+AR+CHD+CTH+DY+EE+L+OK+OR+R+SOLK+Y	YES	NONE	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | UNPACKED(CTH) | AL+R+OR | SOLK+EE+DY	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	7	7	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S027	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	Danach | laenger | schliessen	OT+EE+DY	DY+EE+OT	DY+EE+OT	YES	NONE	NONE	OT+EE+DY	OT+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S028	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	Laenger | Posten | ansetzen | kurz | ansetzen | schliessen	EE+Y+OK+E+OK+DY	DY+E+EE+OK+Y	DY+E+EE+OK+Y	YES	NONE	NONE	OK+EE+Y | OK+E+DY	OK+EE+Y | OK+E+DY	2	2	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S029	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen.	Weiterarbeiten | vollstaendig | Posten | anwenden | kurz | ansetzen | schliessen	OL+EEE+Y+T+E+OK+DY	DY+E+EEE+OK+OL+T+Y	DY+E+EEE+OK+OL+T+Y	YES	NONE	NONE	OL | EEE+T+Y | OK+E+DY	OL | EEE+T+Y | OK+E+DY	3	3	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S030	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.	Posten | Sollmass | ansetzen | Fluessigkeit | umsetzen | danach | umsetzen | schliessen	Y+AIIN+OK+AIR+CHD+OT+CHD+DY	AIIN+AIR+CHD+DY+OK+OT+Y	AIIN+AIR+CHD+DY+OK+OT+Y	YES	NONE	NONE	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	4	4	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S031	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	Laenger | ansetzen | schliessen	EE+OK+DY	DY+EE+OK	DY+EE+OK	YES	NONE	NONE	OK+EE+DY	OK+EE+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S032	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	Portion | Posten | umsetzen | danach | kurz | Sollmass | anschliessend | Sollmass | Kurzschritt | schliessen	AIN+Y+CHD+OT+E+AIIN+OT+AIIN+E+DY	AIIN+AIN+CHD+DY+E+OT+Y	AIIN+AIN+CHD+DY+E+OT+Y	YES	NONE	NONE	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	5	5	0	NO	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
B3-S033	f83r	B3	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	Leiten | schliessen	L+DY	DY+L	DY+L	YES	NONE	NONE	L+DY	L+DY	1	1	0	YES	CLEAN_INSTRUCTION_PLUS_HELPER_RULES_PLUS_UNCHANGED_173_CARD_DECK
