card_no	surfaces	component_parse	composition_status	surface_form_must_be_recognized	independent_semantic_whole_to_memorize	semantic_learning_rule	specialist_value_de	generated_or_recalled_value_de	occurrences
PROC160	qokol	OK+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten ansetzen	1
PROC161	qockhey	O+CKH+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	Arbeitsgang · Durchlass · kurz · dieser Posten	1
PROC162	dairydy	AIR+Y+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	laufender Bestand · dieser Posten; Schritt schließen	1
PROC163	chckhal	CH+CKH+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	1
PROC164	solkey	SOLK+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz auffangen	1
PROC165	skar	K+AR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten von dort zuführen	1
PROC166	otchdy	OT+CHD+DY	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	danach den laufenden Posten umsetzen; Schritt schließen	1
PROC167	lol	L+OL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	fortsetzen den laufenden Posten führen	1
PROC168	chdal	CHD+AL	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den laufenden Posten an bezeichnete Stelle umsetzen	1
PROC169	daiiin	DA+IIN	PARTIAL_WITH_LEARNED_ATOM	YES	YES	LEARN_SPECIALIST_VALUE_OR_INNER_ATOM	zweite · Sollstufe	zweite · Sollstufe	1
PROC170	solkeey	SOLK+EE+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten länger auffangen	1
PROC171	qekey	E+K+E+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten kurz kurz zuführen	1
PROC172	raly	R+AL+Y	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	diesen Posten an bezeichnete Stelle abkühlen	1
PROC173	ldalor	L+AL+OR	COMPOSITIONAL	YES	NO	GENERATE_FROM_COMPONENTS_AND_FRAME	NONE	den Ansatz an bezeichnete Stelle führen	1
