card_no	surfaces	component_parse	role_signature	clause_type	atomic_card_value_de	local_context_expansions_de	atomic_context_stable	has_multiple_local_expansions	composition_status	occurrences	sections	records
PROC128	rshedy	R+SHED+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten abkühlen und absetzen; Schritt schließen	auskühlen lassen + absetzen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC129	qoteedy	OT+EE+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	danach · länger; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3
PROC130	lochedy	L+O+CHD+DY	ACTION+PROCESS+ACTION+CLOSE	ACTION_CLAUSE	den Arbeitsgang führen und umsetzen; Schritt schließen	abführen + überführen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC131	otal|qotal	OT+AL	SEQUENCE+TARGET	SEQUENCE_OR_CONTINUATION	danach · bezeichnete Stelle	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	3	BIOLOGICAL	B3|B4
PROC132	chkeedy	CHK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten länger wärmen; Schritt schließen	anwärmen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC133	chedchy	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	diesen Posten umsetzen	umsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC134	pchedal	P+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	einfüllen + umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC135	otedy	OT+E+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	danach · kurz; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B3
PROC136	shecthedchy	SH+E+CTH+CHD+Y	ACTION+GRADE+STATE+ACTION+ITEM	ACTION_CLAUSE	diesen Posten kurz halten und umsetzen bis bereit	halten + umsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC137	chary	AR+Y	SOURCE+ITEM	ARGUMENT_OR_ADDRESS	von dort · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC138	okair	OK+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand ansetzen	einleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC139	sheedy	SH+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten länger halten; Schritt schließen	ruhen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC140	lo	L+O	ACTION+PROCESS	ACTION_CLAUSE	den Arbeitsgang führen	führen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC141	qokshedy	OK+SH+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten kurz ansetzen und halten; Schritt schließen	einwirken lassen + ruhen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC142	shedal	SHED+AL	ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle absetzen	ablagern	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B3|B5
PROC143	shecthy	SH+E+CTH+Y	ACTION+GRADE+STATE+ITEM	ACTION_CLAUSE	diesen Posten kurz halten bis bereit	halten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC144	dalchdy	AL+CHD+DY	TARGET+ACTION+CLOSE	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC145	otchedy|qotchedy	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	danach den laufenden Posten umsetzen; Schritt schließen	überführen	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B3
PROC146	cheedar	EE+AR	GRADE+SOURCE	STATE_OR_GRADE_PHRASE	länger · von dort	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC147	chldaiin	L+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	den laufenden Posten nach vorgeschriebenes Maß führen	ableiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC148	chealror	AL+R+OR	TARGET+ACTION+PREPARATION	ACTION_CLAUSE	den Ansatz an bezeichnete Stelle abkühlen	abkühlen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC149	cheeety	EEE+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	diesen Posten vollständig eintragen	eintragen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC150	schedair	CHD+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	den laufenden Posten durch laufender Bestand umsetzen	durchleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC151	chedain	CHD+AIN	ACTION+QUANTITY	ACTION_CLAUSE	den laufenden Posten nach Portion umsetzen	abmessen und umsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC152	qotedaiin	OT+E+AIIN	SEQUENCE+GRADE+QUANTITY	STATE_OR_GRADE_PHRASE	danach · kurz · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC153	olsaly	OL+AL+Y	SEQUENCE+TARGET+ITEM	SEQUENCE_OR_CONTINUATION	fortsetzen · bezeichnete Stelle · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B3
PROC154	qolchey	OL+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	fortsetzen · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC155	qokylddy	OK+Y+LD+DY	ACTION+ITEM+ACTION+CLOSE	ACTION_CLAUSE	diesen Posten ansetzen und befestigen; Schritt schließen	einsetzen + festbinden	YES	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B4
PROC156	dain	AIN	QUANTITY	ARGUMENT_OR_ADDRESS	Portion	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	2	BIOLOGICAL	B4|B6
PROC157	sheey	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten länger halten	halten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC158	okeeol	OK+EE+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten länger ansetzen	wirken lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC159	lkedy	L+K+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	den laufenden Posten kurz führen und zuführen; Schritt schließen	abführen + zugeben	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC160	qokol	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten ansetzen	einsetzen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC161	qockhey	O+CKH+E+Y	PROCESS+PATH_MEDIUM+GRADE+ITEM	STATE_OR_GRADE_PHRASE	Arbeitsgang · Durchlass · kurz · dieser Posten	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC162	dairydy	AIR+Y+DY	PATH_MEDIUM+ITEM+CLOSE	CLOSE_WITHOUT_ACTION	laufender Bestand · dieser Posten; Schritt schließen	NOT_AN_ACTION_CARD	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC163	chckhal	CH+CKH+AL	ACTION+PATH_MEDIUM+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	ablaufen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC164	solkey	SOLK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz auffangen	auffangen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC165	skar	K+AR	ACTION+SOURCE	ACTION_CLAUSE	den laufenden Posten von dort zuführen	zuführen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B4
PROC166	otchdy	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	danach den laufenden Posten umsetzen; Schritt schließen	überführen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B5
PROC167	lol	L+OL	ACTION+SEQUENCE	ACTION_CLAUSE	fortsetzen den laufenden Posten führen	hinleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B5
PROC168	chdal	CHD+AL	ACTION+TARGET	ACTION_CLAUSE	den laufenden Posten an bezeichnete Stelle umsetzen	umfüllen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B5
PROC169	daiiin	DA+IIN	MODIFIER+STATE	STATE_OR_GRADE_PHRASE	zweite · Sollstufe	NOT_AN_ACTION_CARD	YES	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B5
PROC170	solkeey	SOLK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten länger auffangen	auffangen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B6
PROC171	qekey	E+K+E+Y	GRADE+ACTION+GRADE+ITEM	ACTION_CLAUSE	diesen Posten kurz kurz zuführen	zugeben	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B6
PROC172	raly	R+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	diesen Posten an bezeichnete Stelle abkühlen	abkühlen lassen	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B6
PROC173	ldalor	L+AL+OR	ACTION+TARGET+PREPARATION	ACTION_CLAUSE	den Ansatz an bezeichnete Stelle führen	hinleiten	YES	NO	COMPOSITIONAL	1	BIOLOGICAL	B6
