card_no	surfaces	semantic_component_parse	standard_command_de	occurrences	records	burden_class	classification_basis	rare_one_use_components	unknown_components	independent_card_meanings_to_memorize	teaching_rule
PROC095	ly	L+Y	WEITERLEITEN · ARBEITSPOSTEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC096	dsheol	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	B1	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	2	B1|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG; SCHLUSS	3	B1|B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	3	B1|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	10	B2|B3|B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC101	lcheckhy	L+CKH+Y	WEITERLEITEN · DURCHLASSKANAL · ARBEITSPOSTEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC102	lched	L+CHD	WEITERLEITEN · UMSETZEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASSKANAL · KURZ; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC104	qokaly	OK+AL+Y	ANSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC105	solkaiin	SOLK+AIIN	AUFFANGEN · SOLLMASS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC106	octheol	O+CTH+E+OL	ARBEITSGANG · BEREIT · KURZ · FORTSETZEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC107	chkeey	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	1	B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC108	ldy	L+DY	WEITERLEITEN; SCHLUSS	2	B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC109	oteey	OT+EE+Y	DANACH · LANG · ARBEITSPOSTEN	2	B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC110	sheckhy	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASSKANAL · ARBEITSPOSTEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC111	dshedy	SH+E+DY	HALTEN · KURZ; SCHLUSS	1	B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	3	B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC113	qokar	OK+AR	ANSETZEN · VORRAT	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC114	solshedy	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC115	ls	OL	FORTSETZEN	1	B2	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC116	lchy	L+CH+Y	WEITERLEITEN · ABNEHMEN · ARBEITSPOSTEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · ARBEITSPOSTEN	2	B2|B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC118	lcheey	L+EE+Y	WEITERLEITEN · LANG · ARBEITSPOSTEN	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC119	qokeeedy	OK+EEE+DY	ANSETZEN · VOLL; SCHLUSS	1	B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	8	B2|B3|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC121	lar	L+AR	WEITERLEITEN · VORRAT	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC122	tshey	SH+E+Y	HALTEN · KURZ · ARBEITSPOSTEN	1	B2	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC123	lchedar	L+CHD+AR	WEITERLEITEN · UMSETZEN · VORRAT	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC124	ches	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	B2	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	ONE_USE_CORE_PLUS_PRODUCTIVE_COMPONENTS	S	NONE	1	memorize the one-use core; compose the remaining components
PROC125	pchedy	P+CHD+DY	EINFUELLEN · UMSETZEN; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC126	rsheal	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC127	daldy	AL+DY	ZIELSTELLE; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC128	rshedy	R+SHED+DY	KUEHLEN · ABSETZEN; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC129	qoteedy	OT+EE+DY	DANACH · LANG; SCHLUSS	2	B2|B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC130	lochedy	L+O+CHD+DY	WEITERLEITEN · ARBEITSGANG · UMSETZEN; SCHLUSS	1	B2	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	3	B3|B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG; SCHLUSS	1	B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC133	chedchy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC135	otedy	OT+E+DY	DANACH · KURZ; SCHLUSS	2	B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC137	chary	AR+Y	VORRAT · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC138	okair	OK+AIR	ANSETZEN · FLUESSIGKEITSLAUF	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC139	sheedy	SH+EE+DY	HALTEN · LANG; SCHLUSS	1	B3	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC140	lo	L+O	WEITERLEITEN · ARBEITSGANG	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ; SCHLUSS	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC142	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	2	B3|B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN; SCHLUSS	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	2	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC146	cheedar	EE+AR	LANG · VORRAT	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC147	chldaiin	L+AIIN	WEITERLEITEN · SOLLMASS	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC150	schedair	CHD+AIR	UMSETZEN · FLUESSIGKEITSLAUF	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · SOLLMASS	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	B3	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC154	qolchey	OL+Y	FORTSETZEN · ARBEITSPOSTEN	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	1	B4	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	ONE_USE_CORE_PLUS_PRODUCTIVE_COMPONENTS	LD	NONE	1	memorize the one-use core; compose the remaining components
PROC156	dain	AIN	PORTION	2	B4|B6	FULLY_COMPOSITIONAL_CARD	RECURRENT_STANDALONE_WORD_OR_ALLOGRAPH	NONE	NONE	0	read the recurrent standalone component; renderer selects the visible allograph
PROC157	sheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	1	B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC162	dairydy	AIR+Y+DY	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · ARBEITSPOSTEN	1	B4	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC165	skar	K+AR	ZUDOSIEREN · VORRAT	1	B4	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC166	otchdy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	1	B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC167	lol	L+OL	WEITERLEITEN · FORTSETZEN	1	B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC168	chdal	CHD+AL	UMSETZEN · ZIELSTELLE	1	B5	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC169	daiiin	DA+IIN	ZWEITMARKER · ARBEITSSTUFE	1	B5	PARTIAL_COMPOSITION_ONE_LEARNED_CORE	ONE_USE_CORE_PLUS_PRODUCTIVE_COMPONENTS	DA	NONE	1	memorize the one-use core; compose the remaining components
PROC170	solkeey	SOLK+EE+Y	AUFFANGEN · LANG · ARBEITSPOSTEN	1	B6	FULLY_COMPOSITIONAL_CARD	SIX_TABLE_PARADIGM	NONE	NONE	0	read core, grade or quantity, and endpoint from the productive table
PROC171	qekey	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · ARBEITSPOSTEN	1	B6	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC172	raly	R+AL+Y	KUEHLEN · ZIELSTELLE · ARBEITSPOSTEN	1	B6	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
PROC173	ldalor	L+AL+OR	WEITERLEITEN · ZIELSTELLE · ANSATZ	1	B6	COMPOSITIONAL_MEANING_LEARNED_EXACT_SURFACE	KNOWN_RECURRENT_COMPONENTS_OUTSIDE_SIX_TABLES	NONE	NONE	0	compose the meaning from known components; learn the exact card body or wrapper
