token_ordinal_global	line_ordinal	page	locus	token_index	eva	statement_ordinal	statement_id	gdt589_surface_match	route	transfer_class	working_meaning_de	contextual_render_de	composition	semantic_features	contextual_semantic_features	confidence	v48_source	v48_scope_state	v48_priority	occurrence_override	join_direction	join_surface	value_attachment
76	11	f1r	f1r.11	5	ytain	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	hiervon auf Kältestufe II abkühlen	hiervon auf Kältestufe II abkühlen	Y_REFERENCE+T_COLD+AIN_II	ACTION+REFERENCE	ACTION+REFERENCE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
77	11	f1r	f1r.11	6	shoshy	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Feuchtansatz erneut leicht einweichen und abschließen	Feuchtansatz erneut leicht einweichen und abschließen	SH_MOIST+O_PREP+SH_MOIST+Y_START_OR_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
78	11	f1r	f1r.11	7	cphodal	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Rohstoffmenge I des Kompositumansatzes abmessen	Rohstoffmenge I des Kompositumansatzes abmessen	CPH_COMPOSITE+O_PREP+D_MEASURE+AL_RAW_I	ACTION+MATERIAL	ACTION+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
79	11	f1r	f1r.11	8	es	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Mittelstufen-Species	Mittelstufen-Species	LEARNED_ES_WHOLE	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
80	12	f1r	f1r.12	1	oksho	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Ansatz erhitzen, einweichen und erneut ansetzen	Ansatz erhitzen, einweichen und erneut ansetzen	O_PREP+K_HOT+SH_MOIST+O_PREP	ACTION+MATERIAL	ACTION+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
81	12	f1r	f1r.12	2	kshoy	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	erhitzen, einweichen, ansetzen und abschließen	erhitzen, einweichen, ansetzen und abschließen	K_HOT+SH_MOIST+O_PREP+Y_START_OR_CLOSE	ACTION	ACTION	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
82	12	f1r	f1r.12	3	otairin	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Kaltansatz, zweite Fraktion, Form II	Kaltansatz, zweite Fraktion, Form II	O_PREP+T_COLD+AIR_FRACTION_II+IN_FORM_II	QUANTITY+FORM+MATERIAL+STATE	QUANTITY+FORM+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
83	12	f1r	f1r.12	4	oteol	5	G407-S005	1	EXACT_V48	E	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	EXACT_V48_CARD	ACTION+STAGE+MATERIAL	ACTION+STAGE+MATERIAL	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT667:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
84	12	f1r	f1r.12	5	okan	5	G407-S005	1	EXACT_V48	E	heiß im Zubereitungsrahmen, Grad I	heiß im Zubereitungsrahmen, Grad I	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	PRODUCTIVE_EXACT_SERIES	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	0
85	12	f1r	f1r.12	6	shodain	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	zwei Dosen Feuchtansatz	zwei Dosen Feuchtansatz	SH_MOIST+O_PREP+D_MEASURE+AIN_II	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
86	12	f1r	f1r.12	7	sckhey	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Saatgut-Kompositum auf Mittelstufe, abgeschlossen	Saatgut-Kompositum auf Mittelstufe, abgeschlossen	LEARNED_SEED_COMPOSITE_WHOLE	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
87	12	f1r	f1r.12	8	daiin	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße des vorstehenden Saatgut-Kompositums	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
88	13	f1r	f1r.13	1	shoy	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Feuchtansatz leicht abschließen	Feuchtansatz leicht abschließen	SH_MOIST+O_PREP+Y_START_OR_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
89	13	f1r	f1r.13	2	ckhey	5	G407-S005	1	EXACT_V48	E	Arzneikompositum in der Gradmitte	Arzneikompositum in der Gradmitte	EXACT_V48_CARD	STAGE+MATERIAL	STAGE+MATERIAL	EXACT_WHOLE_FAMILY_EXTENSION	GDT652:STRONG_NEUTRAL_CKH_FAMILY	KNOWN_EXACT_WHOLE	148	0	NONE	NONE	0
90	13	f1r	f1r.13	3	kodaiin	5	G407-S005	1	EXACT_V48	E	erhitzte Zubereitung, Dosis III	erhitzte Zubereitung, Dosis III	EXACT_V48_CARD	QUANTITY	QUANTITY	STRONG_FAMILY_COMPOSITION	GDT661:EXACT_WHOLE	KNOWN_EXACT_WHOLE	220	0	NONE	NONE	0
91	13	f1r	f1r.13	4	cphy	5	G407-S005	1	EXACT_V48	E	Arzneikompositum in Grundform	Arzneikompositum in Grundform	EXACT_V48_CARD	MATERIAL	MATERIAL	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT670:EXACT_WHOLE	KNOWN_EXACT_WHOLE	91	0	NONE	NONE	0
92	13	f1r	f1r.13	5	cphodaiils	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage	Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage	LEARNED_CPHODAIILS_WHOLE	QUANTITY+MATERIAL	QUANTITY+MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
93	13	f1r	f1r.13	6	cthey	5	G407-S005	1	EXACT_V48	E	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	EXACT_V48_CARD	FORM+MATERIAL	FORM+MATERIAL	EXACT_WHOLE_SURFACE_PROMOTION	GDT638:ROUND_03	KNOWN_EXACT_WHOLE	110	0	NONE	NONE	0
94	13	f1r	f1r.13	7	sho	5	G407-S005	1	EXACT_V48	E	feuchter Ansatz	feuchter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
95	13	f1r	f1r.13	8	oldain	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	zwei Dosen Holzdroge im Ansatz abmessen	zwei Dosen Holzdroge im Ansatz abmessen	O_PREP+L_WOOD+D_MEASURE+AIN_II	ACTION+QUANTITY+MATERIAL	ACTION+QUANTITY+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
96	13	f1r	f1r.13	9	d	5	G407-S005	1	OCCURRENCE_SCOPED_TRANSFER	O	abschließen?	abschließen?	FREE_D_OCCURRENCE	ACTION	ACTION	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	NONE	NONE	0
97	14	f1r	f1r.14	1	dain	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße der folgenden Zubereitungsform III	EXACT_V48_CARD	STAGE	QUANTITY	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
98	14	f1r	f1r.14	2	oiin	5	G407-S005	1	EXACT_V48	E	Zubereitungsform III	Zubereitungsform III	EXACT_V48_CARD	DESCRIPTOR	DESCRIPTOR	EXACT_ZL3B_WHOLE_EXPOSED_HOLE	GDT643:ROUND_02	KNOWN_EXACT_WHOLE	124	0	NONE	NONE	0
99	14	f1r	f1r.14	3	chol	5	G407-S005	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
100	14	f1r	f1r.14	4	odaiin	5	G407-S005	1	EXACT_V48	E	Zubereitungsdosis III	Zubereitungsdosis III	EXACT_V48_CARD	DESCRIPTOR	DESCRIPTOR	EXACT_WHOLE_COMPOSITIONAL_COMPLETION	GDT648:STRICT_WHOLE_COMPLETION	KNOWN_EXACT_WHOLE	140	0	NONE	NONE	0
101	14	f1r	f1r.14	5	chodain	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	zwei Dosen Trockenansatz	zwei Dosen Trockenansatz	CH_DRY+O_PREP+D_MEASURE+AIN_II	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
102	14	f1r	f1r.14	6	chdy	5	G407-S005	1	EXACT_V48	E	trocken am Anfang des Grades, abgeschlossen	trocken am Anfang des Grades, abgeschlossen	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
103	14	f1r	f1r.14	7	okain	5	G407-S005	1	EXACT_V48	E	heiß im Zubereitungsrahmen, Grad II	heiß im Zubereitungsrahmen, Grad II	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	PRODUCTIVE_EXACT_SERIES	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	0
104	14	f1r	f1r.14	8	dn	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Grad- oder Maßwert I	eine Dosis beziehungsweise ein Teil der folgenden Krautdroge	LEARNED_READER_ALIAS_DAN_AN	STAGE	QUANTITY+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	1
105	14	f1r	f1r.14	9	cthy	5	G407-S005	1	EXACT_V48	E	CTH-Drogenmaterial	CTH-Drogenmaterial	EXACT_V48_CARD	MATERIAL	MATERIAL	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
106	14	f1r	f1r.14	10	kod	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Heißansatz abschließen	Heißansatz abschließen	K_HOT+O_PREP+D_TERM_CLOSE	ACTION+MATERIAL+STATE	ACTION+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
107	15	f1r	f1r.15	1	daiin	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert III	drei Maße des folgenden feuchten Kompositums	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL+STATE	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
108	15	f1r	f1r.15	2	shckhey	5	G407-S005	1	EXACT_V48	E	Arzneikompositum: feucht, Gradmitte	Arzneikompositum: feucht, Gradmitte	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_WHOLE_FAMILY_EXTENSION	GDT651:STRONG_LEARNED_CKH_FAMILY	KNOWN_EXACT_WHOLE	147	0	NONE	NONE	0
109	15	f1r	f1r.15	3	eo	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Mittelstufenansatz	Mittelstufenansatz	LEARNED_EO_SHORT_WHOLE	MATERIAL	MATERIAL	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
110	15	f1r	f1r.15	4	r	5	G407-S005	1	OCCURRENCE_SCOPED_TRANSFER	O	Wurzel:	Wurzel:	FREE_R_OCCURRENCE	MATERIAL	MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	RIGHT	rchar	0
111	15	f1r	f1r.15	5	char	5	G407-S005	1	EXACT_V48	E	Trockenfraktion I	Trockenfraktion I	EXACT_V48_CARD	STATE	STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT663:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
112	15	f1r	f1r.15	6	shey	5	G407-S005	1	EXACT_V48	E	feucht in der Mitte des Grades	feucht in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
113	15	f1r	f1r.15	7	kol	5	G407-S005	1	EXACT_V48	E	heiß; nominal heißes Gut/Material	heiß; nominal heißes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:HOT_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
114	15	f1r	f1r.15	8	chol	5	G407-S005	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
115	15	f1r	f1r.15	9	chol	5	G407-S005	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
116	15	f1r	f1r.15	10	kor	5	G407-S005	1	EXACT_V48	E	heiße Drogenportion	heiße Drogenportion	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
117	15	f1r	f1r.15	11	chal	5	G407-S005	1	EXACT_V48	E	Rohstoffklasse I, trocken am Gradanfang	Rohstoffklasse I, trocken am Gradanfang	EXACT_V48_CARD	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	EXACT_WHOLE_AL_QUALITY_POSITION_SHELL	GDT656:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	154	0	NONE	NONE	0
118	16	f1r	f1r.16	1	sho	5	G407-S005	1	EXACT_V48	E	feuchter Ansatz	feuchter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
119	16	f1r	f1r.16	2	chol	5	G407-S005	1	EXACT_V48	E	trocken; nominal trockenes Gut/Material	trocken; nominal trockenes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:DRY_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
120	16	f1r	f1r.16	3	shodan	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	eine Dosis Feuchtansatz	eine Dosis Feuchtansatz	SH_MOIST+O_PREP+D_MEASURE+AN_I	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
121	16	f1r	f1r.16	4	kshy	5	G407-S005	1	EXACT_V48	E	heiß und feucht am Anfang des Grades	heiß und feucht am Anfang des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
122	16	f1r	f1r.16	5	kchy	5	G407-S005	1	EXACT_V48	E	heiß und trocken am Anfang des Grades	heiß und trocken am Anfang des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
123	16	f1r	f1r.16	6	d	5	G407-S005	1	OCCURRENCE_SCOPED_TRANSFER	O	eine Portion abmessen	eine Portion abmessen	FREE_D_OCCURRENCE	ACTION+QUANTITY	ACTION+QUANTITY	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	1	RIGHT	dor	0
124	16	f1r	f1r.16	7	or	5	G407-S005	1	EXACT_V48	E	Drogenportion	Drogenportion	EXACT_V48_CARD	MATERIAL	MATERIAL	EXACT_WHOLE_AR_OR_CONSOLIDATION	GDT654:REVISE_AMBIGUOUS_TO_EXACT	KNOWN_EXACT_WHOLE	150	0	NONE	NONE	0
125	16	f1r	f1r.16	8	chodaiin	5	G407-S005	1	EXACT_V48	E	Trockenansatz, Dosis III	Trockenansatz, Dosis III	EXACT_V48_CARD	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT664:EXACT_WHOLE	KNOWN_EXACT_WHOLE	230	0	NONE	NONE	0
126	16	f1r	f1r.16	9	sho	5	G407-S005	1	EXACT_V48	E	feuchter Ansatz	feuchter Ansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
127	16	f1r	f1r.16	10	koeam	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	ein Maß Ansatz bis zur Mittelstufe erhitzen	ein Maß Ansatz bis zur Mittelstufe erhitzen	K_HOT+O_PREP+E_MIDDLE+AM_UNIT_I	ACTION+QUANTITY+STAGE+MATERIAL	ACTION+QUANTITY+STAGE+MATERIAL	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
128	17	f1r	f1r.17	1	ycho	5	G407-S005	1	EXACT_V48	E	Eintrag: Trockenansatz	Eintrag: Trockenansatz	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	MEDIUM_EXACT_WHOLE	GDT662:EXACT_WHOLE	KNOWN_EXACT_WHOLE	225	0	NONE	NONE	0
129	17	f1r	f1r.17	2	tchey	5	G407-S005	1	EXACT_V48	E	kalt und trocken in der Mitte des Grades	kalt und trocken in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
130	17	f1r	f1r.17	3	chekain	5	G407-S005	1	EXACT_V48	E	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen	EXACT_V48_CARD	ACTION+STAGE	ACTION+STAGE	STRONG_PRACTICAL_OR_COMPOSITIONAL	GDT670:EXACT_WHOLE	KNOWN_EXACT_WHOLE	91	0	NONE	NONE	0
131	17	f1r	f1r.17	4	sheo	5	G407-S005	1	EXACT_V48	E	Feuchtzubereitung	Feuchtzubereitung	EXACT_V48_CARD	STATE	STATE	EXACT_WHOLE_FAMILY_EXTENSION	GDT650:STRONG_COMPOSITIONAL_SHELL	KNOWN_EXACT_WHOLE	145	0	NONE	NONE	0
132	17	f1r	f1r.17	5	pshol	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	eingeweichter Pulverstoff	eingeweichter Pulverstoff	P_POWDER+SH_MOIST+OL_MATERIAL	MATERIAL+STATE	MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
133	17	f1r	f1r.17	6	dydyd	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	zweifacher Fertigstellungs- und Abschlusscode	zweifacher Fertigstellungs- und Abschlusscode	LEARNED_DOUBLE_FINISH_WHOLE	STATE	STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
134	17	f1r	f1r.17	7	cthy	5	G407-S005	1	EXACT_V48	E	CTH-Drogenmaterial	CTH-Drogenmaterial	EXACT_V48_CARD	MATERIAL	MATERIAL	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
135	17	f1r	f1r.17	8	daiy	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	abgemessene Drogenportion, abgeschlossen	abgemessene Drogenportion, abgeschlossen	LEARNED_DAIY_WHOLE	MATERIAL+STATE	MATERIAL+STATE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
136	18	f1r	f1r.18	1	yto	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	hiervon einen Ansatz abkühlen	hiervon einen Ansatz abkühlen	Y_REFERENCE+T_COLD+O_PREP	ACTION+QUANTITY+REFERENCE+MATERIAL	ACTION+QUANTITY+REFERENCE+MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
137	18	f1r	f1r.18	2	shol	5	G407-S005	1	EXACT_V48	E	feucht; nominal feuchtes Gut/Material	feucht; nominal feuchtes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:MOIST_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
138	18	f1r	f1r.18	3	she	5	G407-S005	1	EXACT_V48	E	feucht, attributiv gebunden	feucht, attributiv gebunden	EXACT_V48_CARD	STATE	STATE	NEW_V11_TARGET_DEFAULT	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	80	0	NONE	NONE	0
139	18	f1r	f1r.18	4	kodshey	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	Heißansatz abschließen und anschließend bis Mittelstufe einweichen	Heißansatz abschließen und anschließend bis Mittelstufe einweichen	LEARNED_KODSHEY_SEQUENCE	ACTION+STAGE+MATERIAL+STATE	ACTION+STAGE+MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
140	18	f1r	f1r.18	5	cphealy	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen	Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen	CPH_COMPOSITE+E_MIDDLE+AL_RAW_I+Y_START_OR_CLOSE	STAGE+MATERIAL+STATE	STAGE+MATERIAL+STATE	MEDIUM	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
141	18	f1r	f1r.18	6	dar	5	G407-S005	1	EXACT_V48	E	abgemessene Fraktion I	abgemessene Fraktion I	EXACT_V48_CARD	QUANTITY	QUANTITY	EXACT_WHOLE_FAMILY_EXTENSION	GDT649:STRONG_FAMILY_DEFAULT	KNOWN_EXACT_WHOLE	145	0	NONE	NONE	0
142	18	f1r	f1r.18	7	ain	5	G407-S005	1	EXACT_V48	E	Menge-/Klassenwert II	zwei Teile der vorstehenden ersten Fraktion	EXACT_V48_CARD	QUANTITY	QUANTITY	CONTEXTUAL_EXACT_SERIES	V13:VALUE_MINIM_SERIES	KNOWN_CONTEXT_LICENSED	55	0	NONE	NONE	1
143	18	f1r	f1r.18	8	dain	5	G407-S005	1	EXACT_V48	E	Grad-/Maßwert II	zwei Maße der folgenden Kompositum-Species	EXACT_V48_CARD	STAGE	QUANTITY+MATERIAL	CONTEXTUAL_EXACT_SERIES	V13:CONTEXTUAL_VALUE_SERIES	KNOWN_CONTEXT_LICENSED	70	0	NONE	NONE	1
144	18	f1r	f1r.18	9	ckhyds	5	G407-S005	1	LOCAL_WHOLE_HYPOTHESIS	W	abgeschlossene Kompositum-Species	abgeschlossene Kompositum-Species	LEARNED_CKHYDS_WHOLE	MATERIAL+STATE	MATERIAL+STATE	LOW	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
145	19	f1r	f1r.19	1	dchar	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	erste Trockenfraktion abmessen	erste Trockenfraktion abmessen	D_MEASURE+CH_DRY+AR_FRACTION_I	ACTION+STATE	ACTION+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
146	19	f1r	f1r.19	2	shcthaiin	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	drei Teile eingeweichte Krautdroge	drei Teile eingeweichte Krautdroge	SH_MOIST+CTH_HERB+AIIN_III	QUANTITY+MATERIAL+STATE	QUANTITY+MATERIAL+STATE	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
147	19	f1r	f1r.19	3	okaiir	5	G407-S005	1	ROLE_COMPOSED_TRANSFER	P	dritte erhitzte Ansatzfraktion	dritte erhitzte Ansatzfraktion	O_PREP+K_HOT+AIIR_FRACTION_III	MATERIAL	MATERIAL	HIGH	NONE	TRANSFER_NOT_PROMOTED_TO_V48	NONE	0	NONE	NONE	0
148	19	f1r	f1r.19	4	chey	5	G407-S005	1	EXACT_V48	E	trocken in der Mitte des Grades	trocken in der Mitte des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
149	19	f1r	f1r.19	5	chy	5	G407-S005	1	EXACT_V48	E	trocken am Anfang des Grades	trocken am Anfang des Grades	EXACT_V48_CARD	STAGE+STATE	STAGE+STATE	EXACT_QUALITY_SUBDEGREE_FAMILY	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	130	0	NONE	NONE	0
150	19	f1r	f1r.19	6	tol	5	G407-S005	1	EXACT_V48	E	kalt; nominal kaltes Gut/Material	kalt; nominal kaltes Gut/Material	EXACT_V48_CARD	MATERIAL+STATE	MATERIAL+STATE	NEW_PRIMARY_DEFAULT	V13:COLD_OL_FORM	KNOWN_CONTEXT_LICENSED	60	0	NONE	NONE	0
