statement_id	record_unit_id	page	loci	event_count	fusion_unit_count	surface_sequence	corrected_atom_chain	attachment_skeleton_de	continuous_workshop_reading_de	equal_distance_attachments	elliptic_owner_supplied_head	crosses_physical_line	dch_correction_present
B4-S001	B4	f83r	f83r.25	1	1	qokeedy	OK+EE+CLOSE	Setze länger und schließe	Setze länger an und schließe.	0	NO	NO	NO
B4-S002	B4	f83r	f83r.25	3	3	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	Führe den aktuellen Posten fort / Setze die lange Stufe / Setze kurz und schließe	Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	0	NO	NO	NO
B4-S003	B4	f83r	f83r.25|f83r.26	7	5	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	Übertrage den aktuellen Posten / Vorgabe danach dorthin; nächster Teilposten: Setze die lange Stufe / Setze den aktuellen Posten / Führe fort / Lass kurz absetzen und schließe	Übertrage, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe.	0	NO	YES	NO
B4-S004	B4	f83r	f83r.26	1	1	qokylddy	OK+Y+LDDY	Befestige den aktuellen Posten und schließe	Befestige den aktuellen Posten und schließe.	0	NO	NO	NO
B4-S005	B4	f83r	f83r.27	3	2	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Vorgabe Tuch: Übertrage den aktuellen Posten / Setze länger und schließe	Lege das Tuch ein, übertrage, setze länger an und schließe.	0	NO	NO	NO
B4-S006	B4	f83r	f83r.27	1	1	shckhedy	CKHE+CLOSE	Seihe und schließe	Seih und schließe.	0	NO	NO	NO
B4-S007	B4	f83r	f83r.27	1	1	shckhedy	CKHE+CLOSE	Seihe und schließe	Seih und schließe.	0	NO	NO	NO
B4-S008	B4	f83r	f83r.28	4	3	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Vorgabe Sollmaß: Wärme länger / Halte länger / Setze kurz und schließe	Stelle den Vorgabewert ein, wärme länger, lass länger ruhen, setze kurz an und schließe.	0	NO	NO	NO
B4-S009	B4	f83r	f83r.28	1	1	shedy	SHED+E+CLOSE	Lass kurz absetzen und schließe	Lass absetzen und schließe.	0	NO	NO	NO
B4-S010	B4	f83r	f83r.28	1	1	oldy	OL+CLOSE	Führe fort und schließe	Führe weiter und schließe.	0	NO	NO	NO
B4-S011	B4	f83r	f83r.35|f83r.37	7	6	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Vorgabe Sollmaß: Wärme kurz / Führe länger fort / Gib einen gezählten Anteil zu / Übertrage den aktuellen Posten / Führe fort / Führe kurz ab und schließe	Stelle den Vorgabewert ein, wärme kurz, führe länger fort, gib einen Anteil zu, übertrage, führe weiter, führe kurz ab und schließe.	0	NO	YES	NO
B4-S012	B4	f83r	f83r.37	1	1	lchedy	L+CHD+CLOSE	Führe ab und schließe	Führe ab und schließe.	0	NO	NO	NO
B4-S013	B4	f83r	f83r.37	2	2	qokol shedy	OK+OL | SHED+E+CLOSE	Setze die Fortsetzung / Lass kurz absetzen und schließe	Setze die Fortsetzung ein, lass absetzen und schließe.	0	NO	NO	NO
B4-S014	B4	f83r	f83r.38	4	1	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Vorgabe Ansatz; dieser Posten: Setze den kurzen Durchlauf; dazu Wasserlauf schliessen; Schluss	Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.	0	NO	NO	NO
B4-S015	B4	f83r	f83r.39|f83r.41	6	4	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	Gib einen gezählten Anteil zu; dazu klarer Auszug / Vorgabe eine Portion: Leite zum Ziel durch / Sammle kurz / Führe ab und schließe	Gib einen Anteil zu, nimm den freigegebenen Auszug, leite den Anteil zur Zielstelle, sammle kurz, führe ab und schließe.	0	NO	YES	NO
B4-S016	B4	f83r	f83r.41|f83r.44	4	3	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	Nimm einen weiteren Anteil; dazu dorthin / Gieße vom Ausgang aus / Lass kurz absetzen und schließe	Gib einen weiteren Anteil zum Ziel, gieße ihn vom Ausgang aus, lass absetzen und schließe.	1	NO	YES	NO
B5-S001	B5	f83r	f83r.47	1	1	otchdy	OT+CHD+CLOSE	Übertrage den Folgeposten und schließe	Führe die Folgeumsetzung aus und schließe.	0	NO	NO	NO
B5-S002	B5	f83r	f83r.47	1	1	qokchdy	OK+CHD+CLOSE	Setze an, übertrage und schließe	Übertrage und schließe.	0	NO	NO	NO
B5-S003	B5	f83r	f83r.47|f83r.48|f83r.49	9	6	shedal dal cheol lol chdal aiin sol daiiin chedy	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | IIN | CHD+Y	Lass am Ziel absetzen; dazu dorthin / Führe fort / Führe die Abführung fort / Übertrage zum Ziel; dazu Sollmaß / Führe fort; dazu Öffnungsstufe / Übertrage den aktuellen Posten	Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle den Vorgabewert ein und setze weiter um.	3	NO	YES	NO
B6-S001	B6	f83r	f83r.52|f83r.54	9	4	solkeey qekey raly ol daiin ol dain chey ldalor	SOLK+EE+Y | KCH+E+Y | AL+Y | OL | AIIN | OL | DAIN | Y | AL	Sammle länger / Bearbeite den aktuellen Posten kurz; dazu diesen Posten dorthin / Führe fort; dazu Sollmaß / Führe fort; dazu Tuch; dieser Posten; Endziel	Sammle den aktuellen Posten länger, bearbeite ihn kurz, führe ihn zum Ziel, stelle den Vorgabewert ein, führe weiter, lege den Abdeckträger ein und führe den Posten zum Endziel.	2	NO	YES	NO
