component_recipe	component_count	events	surface_types	surfaces	page_count	physical_pages	residual_drawer	current_short_reading_de	teaching_instruction_de
CH+AIR	2	1	1	chair	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CH+S	3	1	1	chchs	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; bezeichneten Anteil entnehmen; Arbeitsvariante auswählen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CKH+AL	3	1	1	chckhal	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; durch einen Durchlass führen; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CKH+E+Y	4	1	1	chckhey	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CTH+D_ADDR+Y	4	1	1	chcthdy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; bis bereit führen; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CTH+E+DY	4	1	1	chcthedy	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; bis bereit führen; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CTH+E+Y	4	1	1	chcthey	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; bis bereit führen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+CTH+OL	3	1	1	chcthol	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; bis bereit führen; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+CKH+O	4	1	1	checkho	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; durch einen Durchlass führen; Arbeitsgang ausführen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+CPH+E+DY	5	1	1	checphedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; umleiten; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+LOCAL_CHAR_G	3	1	1	cheg	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; einmal ausführen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+O+AR	4	1	1	cheoar	1	f55v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang ausführen; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+OL+T+AR	5	1	1	checholtar	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; im selben Arbeitsgang fortfahren; Arbeitsgang einstellen; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+P+OL	4	1	1	chepol	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Material einsetzen; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+S	3	1	1	ches	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsvariante auswählen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+T+CH+Y	5	1	1	chetchy	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+E+T+E+D_ADDR+Y	6	1	1	chetedy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Arbeitsgang einstellen; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+EE+CKH+O+DY	5	1	1	cheeckhody	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; länger oder gehalten; durch einen Durchlass führen; Arbeitsgang ausführen; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+EE+OR	3	1	1	cheeor	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; länger oder gehalten; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+EE+T+EE+Y	5	1	1	cheeteey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; länger oder gehalten; Arbeitsgang einstellen; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+CFH+Y	4	1	1	chocfhy	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; trennen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+CTH+EEE+Y	5	1	1	choctheeey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; vollständig; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+CTH+Y	4	1	1	chocthy	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+D_ADDR	3	1	1	chod	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+D_ADDR+AIIN	4	1	1	chodaiin	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+D_ADDR+L	4	1	1	chodl	1	f11r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; entlang des Arbeitswegs führen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+E+R	4	1	1	choer	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; kurz oder direkt; Zustand kennzeichnen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+EE+A_ADDR	4	1	1	choeea	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; länger oder gehalten; lokale Arbeitsstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+P+CH+AL	5	1	1	chopchal	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+P+CHD+Y	5	1	1	chopchedy	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+O+S+AL+S	5	1	1	chosals	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsvariante auswählen; Ziel- oder Anschlussstelle; Arbeitsvariante auswählen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+OR+OL+S+AL	5	1	1	chorcholsal	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; im selben Arbeitsgang fortfahren; Arbeitsvariante auswählen; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+OT+CH+E+Y	5	1	1	chotchey	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+OT+EE+Y	4	1	1	choteey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+OT+OL	3	1	1	chotol	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; danach oder nächster Posten; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+P+OR	3	1	1	chpor	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Material einsetzen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+S+DY	3	1	1	chsdy	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+T+CH+OR	4	1	1	chtchor	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+T+EE+Y	4	1	1	chteey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+T+Y	3	1	1	chty	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CH+Y+K+E+Y	5	1	1	chykey	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand; Material zugeben; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+AIN	2	1	1	chedain	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; Portion	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+AIR	2	1	1	schedair	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; Flüssigkeits- oder Stationslauf	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+AL	2	1	1	chdal	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+OL	2	1	1	chedol	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+Y+K+AR	4	1	1	chedykar	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; dieser Arbeitsgegenstand; Material zugeben; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHD+Y+OK+AM_ADDR	4	1	1	chedyqokam	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgut umsetzen; dieser Arbeitsgegenstand; Arbeitsgang ansetzen; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHEO+K+OR+CH+E+Y	6	1	1	cheokorchey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	Auszug; Material zugeben; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHEO+K+Y	3	1	1	cheoky	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	Auszug; Material zugeben; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHEO+LOCAL_CHAR_J+A_ADDR+AM_ADDR	4	1	1	cheojam	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	Auszug; im verbundenen Gang; lokale Arbeitsstelle; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHEO+T+E+Y	4	1	1	cheotey	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	Auszug; Arbeitsgang einstellen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+AIN	2	1	1	chkain	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; Portion	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+AM_ADDR	2	1	1	chekam	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+CH+Y+K+OL+Y	6	1	1	chkchykoly	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand; Material zugeben; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+O+D_ADDR+Y	4	1	1	chekody	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+OR	2	1	1	chkor	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CHK+Y	2	1	1	chky	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Arbeitsgegenstand behandeln; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CPH+AL	2	1	1	cphal	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	umleiten; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CPH+E+DY	3	1	1	cphedy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	umleiten; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CPH+Y	2	1	1	cphy	1	f11r	ONE_OFF_PRODUCTIVE_COMPOSITION	umleiten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+AIIN	2	1	1	cthaiin	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+E+OL	3	1	1	ctheol	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; kurz oder direkt; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+E+Y	3	1	1	qcthey	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+O+OR	3	1	1	cthoor	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+OR	2	1	1	cthor	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CTH+Y+D_ADDR	3	1	1	cthyd	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+AM_ADDR	2	1	1	dam	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+CKH+Y	3	1	1	dackhy	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; durch einen Durchlass führen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+D_ADDR+AIIN	3	1	1	dadaiin	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; bezeichneter Teil; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+IIN	2	1	1	daiiin	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; Arbeitsstufe	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+IIN+DY	3	1	1	daiidy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; Arbeitsstufe; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
DA+R+A_ADDR+AM_ADDR	4	1	1	daram	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	zweite Arbeitsstufe; Zustand kennzeichnen; lokale Arbeitsstelle; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+AIIN+Y	3	1	1	daiiny	1	f55v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Sollmaß; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+AIR+A_ADDR+AM_ADDR	4	1	1	dairam	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Flüssigkeits- oder Stationslauf; lokale Arbeitsstelle; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+AIR+CH+E+Y	5	1	1	dairchey	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Flüssigkeits- oder Stationslauf; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+AR+D_ADDR+AR+DY	5	1	1	dardardy	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Entnahmestelle; bezeichneter Teil; Entnahmestelle; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+AR+O+AM_ADDR	4	1	1	darom	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Entnahmestelle; Arbeitsgang ausführen; Innenstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+CH+LOCAL_CHAR_G	3	1	1	dchg	1	f13r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; bezeichneten Anteil entnehmen; einmal ausführen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+CH+S+E+D_ADDR	5	1	1	dchsed	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; kurz oder direkt; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+CHEO+K+E+D_ADDR+Y	6	1	1	dcheokedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Auszug; Material zugeben; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+E+DY	3	1	1	dedy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+EE+Y	3	1	1	deey	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+EEE+D_ADDR+Y	4	1	1	deeedy	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; vollständig; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+K+AIN	3	1	1	dkain	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Material zugeben; Portion	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+K+Y	3	1	1	dky	1	f11r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Material zugeben; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+O+AIIN	3	1	1	doaiin	1	f13r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+O+DY+D_LABEL	4	1	1	dodyd	1	f55v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsschritt schließen; am Rand abschließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+O+D_ADDR	3	1	1	dod	1	f11r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+O+IIN+R	4	1	1	doiir	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+O+S+AR	4	1	1	dosar	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsvariante auswählen; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+OK+AN	3	1	1	dokan	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgang ansetzen; weiteren Posten zugeben	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+OL+EEE+Y	4	1	1	doleeey	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; im selben Arbeitsgang fortfahren; vollständig; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+OL+SHED	3	1	1	dolshed	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; im selben Arbeitsgang fortfahren; absetzen lassen	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+OR+SH+E+O+Y	6	1	1	dorsheoy	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Ansatz oder Zubereitung; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsgang ausführen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+OR+Y	3	1	1	dory	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Ansatz oder Zubereitung; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+P+Y	3	1	1	dpchy	1	f13r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Material einsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+SH+E+CKH+Y	5	1	1	dsheckhy	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgegenstand halten; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+SH+OL+Y+D_ADDR	5	1	1	dsholyd	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+SH+OR	3	1	1	dshor	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; Arbeitsgegenstand halten; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+Y+K+AIN	4	1	1	dykain	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; dieser Arbeitsgegenstand; Material zugeben; Portion	Einmalig aus den bekannten Kürzeln zusammensetzen.
D_ADDR+Y+P+Y	4	1	1	dypchy	1	f13r	ONE_OFF_PRODUCTIVE_COMPOSITION	bezeichneter Teil; dieser Arbeitsgegenstand; Material einsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
E+CKH+E+AR	4	1	1	eckhear	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	kurz oder direkt; durch einen Durchlass führen; kurz oder direkt; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
E+K+E+Y	4	1	1	qekey	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	kurz oder direkt; Material zugeben; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
E+S	2	1	1	es	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	kurz oder direkt; Arbeitsvariante auswählen	Einmalig aus den bekannten Kürzeln zusammensetzen.
E+S+E+DY	4	1	1	esedy	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	kurz oder direkt; Arbeitsvariante auswählen; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
E+T+Y	3	1	1	etyd	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
EE+AR	2	1	1	cheedar	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	länger oder gehalten; Entnahmestelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
EEE+T+Y	3	1	1	cheeety	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	vollständig; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
HO+AL+Y	3	1	1	chodaly	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	Teil des sichtbaren Gegenstands; Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
HO+CH+OR	3	1	1	chochor	1	f56r	ONE_OFF_PRODUCTIVE_COMPOSITION	Teil des sichtbaren Gegenstands; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
