surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class	event_ids	visible_owner_examples
okeeody	OK+EE+O+D_ADDR+Y	START + LANG + GANG + UNTER + DIES	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; Reihe aufrufen; Unterplatz; dieser Bildplatz	2	f67r2|f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1933|P912-E2017	zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder
okeeol	OK+EE+OL	START + LANG + WEITER	Arbeitsgang ansetzen; länger oder gehalten; im selben Arbeitsgang fortfahren	Bildplatz aktivieren; zweiter Grad; dieselbe Reihe fortführen	2	f70v|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1676|P912-E2321	lokale Becken-, Figuren- und Verbindungsstationen|Fischrad mit Stern tragenden Figuren
okeo	OK+E+O	START + KURZ + GANG	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen	Bildplatz aktivieren; erster Grad; Reihe aufrufen	2	f67r2|f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1814|P912-E2113	zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder
okeodal	OK+E+O+AL	START + KURZ + GANG + ZIEL	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; erster Grad; Reihe aufrufen; Zielplatz	2	f69v|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2102|P912-E2201	drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren
okeody	OK+E+O+D_ADDR+Y	START + KURZ + GANG + UNTER + DIES	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Bildplatz aktivieren; erster Grad; Reihe aufrufen; Unterplatz; dieser Bildplatz	2	f55v|f69v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0238|P912-E2140	abgebildeter Pflanzenartikel f55v|drei getrennte heterogene Himmelsraeder
okodar	OK+O+DA+R	START + GANG + ZWEIT + MARKE	Arbeitsgang ansetzen; Arbeitsgang ausführen; zweite Arbeitsstufe; Zustand kennzeichnen	Bildplatz aktivieren; Reihe aufrufen; zweite Bildstufe; Zustandsmarke	2	f67r2	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E1892|P912-E1897	zwei lokale Himmelsraeder
okshedy	OK+SH+E+DY	START + HALT + KURZ + ENDE	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; Bezug festhalten; erster Grad; Bildeintrag schließen	2	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0584|P912-E0951	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld
olar	OL+AR	WEITER + QUELLE	im selben Arbeitsgang fortfahren; Entnahmestelle	dieselbe Reihe fortführen; Quell- oder Bezugsstelle	2	f67r2|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1925|P912-E2264	zwei lokale Himmelsraeder|Fischrad mit Stern tragenden Figuren
olchy	OL+CH+Y	WEITER + AUSWAHL + DIES	im selben Arbeitsgang fortfahren; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	dieselbe Reihe fortführen; Klasse oder Figur kennzeichnen; dieser Bildplatz	2	f81v|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0962|P912-E1211	gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen
olkain	OL+K+AIN	WEITER + ZUORDNUNG + EINHEIT	im selben Arbeitsgang fortfahren; Material zugeben; Portion	dieselbe Reihe fortführen; Wert zuordnen; Einheit oder Index	2	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0876|P912-E1067	gemeinsames Bad- und Beckenfeld
ols	OL+S	WEITER + WAHL	im selben Arbeitsgang fortfahren; Arbeitsvariante auswählen	dieselbe Reihe fortführen; Bildklasse auswählen	2	f67r2|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1488|P912-E1753	lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder
om	O+AM_ADDR	GANG + INNEN	Arbeitsgang ausführen; Innenstelle	Reihe aufrufen; Innenplatz	2	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2390|P912-E2397	drei Gefaesse mit Wurzel- und Blattreihen
otaldy	OT+AL+DY	NAECHST + ZIEL + ENDE	danach oder nächster Posten; Ziel- oder Anschlussstelle; Arbeitsschritt schließen	nächster Bildplatz; Zielplatz; Bildeintrag schließen	2	f70v|f88r	PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2290|P912-E2415	Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
otchdy	OT+CHD+DY	NAECHST + WECHSEL + ENDE	danach oder nächster Posten; Arbeitsgut umsetzen; Arbeitsschritt schließen	nächster Bildplatz; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	2	f68r1|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1720|P912-E1985	lokale Becken-, Figuren- und Verbindungsstationen|mehrteiliger Sternatlas mit lokalen Zentren
otchol	OT+CH+OL	NAECHST + AUSWAHL + WEITER	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	nächster Bildplatz; Klasse oder Figur kennzeichnen; dieselbe Reihe fortführen	2	f13r|f88r	HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E0192|P912-E2425	grosse abgebildete Pflanze mit Knollenwurzel|drei Gefaesse mit Wurzel- und Blattreihen
otchor	OT+CH+OR	NAECHST + AUSWAHL + EINTRAG	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	nächster Bildplatz; Klasse oder Figur kennzeichnen; Eintragsklasse	2	f13r|f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0185|P912-E0379	grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f56r
otchy	OT+CH+Y	NAECHST + AUSWAHL + DIES	danach oder nächster Posten; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	nächster Bildplatz; Klasse oder Figur kennzeichnen; dieser Bildplatz	2	f56r|f69v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0393|P912-E2133	abgebildeter Pflanzenartikel f56r|drei getrennte heterogene Himmelsraeder
oteeo	OT+EE+O	NAECHST + LANG + GANG	danach oder nächster Posten; länger oder gehalten; Arbeitsgang ausführen	nächster Bildplatz; zweiter Grad; Reihe aufrufen	2	f69v|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2038|P912-E2355	drei getrennte heterogene Himmelsraeder|Fischrad mit Stern tragenden Figuren
oteeody	OT+EE+O+DY	NAECHST + LANG + GANG + ENDE	danach oder nächster Posten; länger oder gehalten; Arbeitsgang ausführen; Arbeitsschritt schließen	nächster Bildplatz; zweiter Grad; Reihe aufrufen; Bildeintrag schließen	2	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2173|P912-E2266	Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren
oteo	OT+E+O	NAECHST + KURZ + GANG	danach oder nächster Posten; kurz oder direkt; Arbeitsgang ausführen	nächster Bildplatz; erster Grad; Reihe aufrufen	2	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2155|P912-E2222	Widderrad mit Stern tragenden Figuren
oteotey	OT+E+O+T+E+Y	NAECHST + KURZ + GANG + EINSTELLUNG + KURZ + DIES	danach oder nächster Posten; kurz oder direkt; Arbeitsgang ausführen; Arbeitsgang einstellen; kurz oder direkt; dieser Arbeitsgegenstand	nächster Bildplatz; erster Grad; Reihe aufrufen; Platz oder Wert einstellen; erster Grad; dieser Bildplatz	2	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2236|P912-E2309	Fischrad mit Stern tragenden Figuren
pchedar	P+CHD+AR	EINSATZ + WECHSEL + QUELLE	Material einsetzen; Arbeitsgut umsetzen; Entnahmestelle	Platz besetzen; zu Gegen- oder Folgeplatz wechseln; Quell- oder Bezugsstelle	2	f75r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0587|P912-E1408	mehrstufige Becken-, Figuren- und Laufseite|lokale Becken-, Figuren- und Verbindungsstationen
polshy	P+OL+SH+Y	EINSATZ + WEITER + HALT + DIES	Material einsetzen; im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; dieser Arbeitsgegenstand	Platz besetzen; dieselbe Reihe fortführen; Bezug festhalten; dieser Bildplatz	2	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0726|P912-E0946	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld
qo	O	GANG	Arbeitsgang ausführen	Reihe aufrufen	2	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0703|P912-E0739	mehrstufige Becken-, Figuren- und Laufseite
qockhol	CARRIER_Q+O+CKH+OL	EINTRITT + GANG + DURCHLASS + WEITER	neuen Kartenblock beginnen; Arbeitsgang ausführen; durch einen Durchlass führen; im selben Arbeitsgang fortfahren	Eintrittsform einer Bildkarte; Reihe aufrufen; Verbindung oder Durchlass; dieselbe Reihe fortführen	2	f83r|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E1508|P912-E2433	lokale Becken-, Figuren- und Verbindungsstationen|drei Gefaesse mit Wurzel- und Blattreihen
qoekol	CARRIER_Q+O+E+K+OL	EINTRITT + GANG + KURZ + ZUORDNUNG + WEITER	neuen Kartenblock beginnen; Arbeitsgang ausführen; kurz oder direkt; Material zugeben; im selben Arbeitsgang fortfahren	Eintrittsform einer Bildkarte; Reihe aufrufen; erster Grad; Wert zuordnen; dieselbe Reihe fortführen	2	f88r	PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E2431|P912-E2432	drei Gefaesse mit Wurzel- und Blattreihen
qokeeedy	OK+EEE+DY	START + VOLL + ENDE	Arbeitsgang ansetzen; vollständig; Arbeitsschritt schließen	Bildplatz aktivieren; dritter oder voller Grad; Bildeintrag schließen	2	f68r1|f82r	BIOLOGICAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1300|P912-E1950	mehrere lokale Bad- und Leitungsstationen|mehrteiliger Sternatlas mit lokalen Zentren
qolchedy	OL+CHD+DY	WEITER + WECHSEL + ENDE	im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; Arbeitsschritt schließen	dieselbe Reihe fortführen; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	2	f81v|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1014|P912-E1122	gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen
qoldy	OL+DY	WEITER + ENDE	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	dieselbe Reihe fortführen; Bildeintrag schließen	2	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0451|P912-E1044	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld
qoly	OL+Y	WEITER + DIES	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	dieselbe Reihe fortführen; dieser Bildplatz	2	f75r|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0666|P912-E1274	mehrstufige Becken-, Figuren- und Laufseite|mehrere lokale Bad- und Leitungsstationen
qotchedy	OT+CHD+DY	NAECHST + WECHSEL + ENDE	danach oder nächster Posten; Arbeitsgut umsetzen; Arbeitsschritt schließen	nächster Bildplatz; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	2	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1544|P912-E1657	lokale Becken-, Figuren- und Verbindungsstationen
qotchol	OT+CH+OL	NAECHST + AUSWAHL + WEITER	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	nächster Bildplatz; Klasse oder Figur kennzeichnen; dieselbe Reihe fortführen	2	f10r|f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0041|P912-E0197	abgebildeter Pflanzenartikel f10r|grosse abgebildete Pflanze mit Knollenwurzel
qoteor	OT+E+OR	NAECHST + KURZ + EINTRAG	danach oder nächster Posten; kurz oder direkt; Ansatz oder Zubereitung	nächster Bildplatz; erster Grad; Eintragsklasse	2	f69v|f82r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1178|P912-E2089	mehrere lokale Bad- und Leitungsstationen|drei getrennte heterogene Himmelsraeder
ral	R+AL	MARKE + ZIEL	Zustand kennzeichnen; Ziel- oder Anschlussstelle	Zustandsmarke; Zielplatz	2	f81v|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E1018|P912-E2376	gemeinsames Bad- und Beckenfeld|drei Gefaesse mit Wurzel- und Blattreihen
rchedy	R+CHD+Y	MARKE + WECHSEL + DIES	Zustand kennzeichnen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Zustandsmarke; zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	2	f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1354|P912-E1448	mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
ror	R+OR	MARKE + EINTRAG	Zustand kennzeichnen; Ansatz oder Zubereitung	Zustandsmarke; Eintragsklasse	2	f68r1|f75r	BIOLOGICAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E0454|P912-E1962	mehrstufige Becken-, Figuren- und Laufseite|mehrteiliger Sternatlas mit lokalen Zentren
rshedy	R+SHED+DY	MARKE + ABSETZEN + ENDE	Zustand kennzeichnen; absetzen lassen; Arbeitsschritt schließen	Zustandsmarke; Absetzklasse; Bildeintrag schließen	2	f75r|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0796|P912-E1336	mehrstufige Becken-, Figuren- und Laufseite|mehrere lokale Bad- und Leitungsstationen
rsheedy	R+SH+EE+D_ADDR+Y	MARKE + HALT + LANG + UNTER + DIES	Zustand kennzeichnen; Arbeitsgegenstand halten; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	Zustandsmarke; Bezug festhalten; zweiter Grad; Unterplatz; dieser Bildplatz	2	f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1370|P912-E1466	mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
ry	R+Y	MARKE + DIES	Zustand kennzeichnen; dieser Arbeitsgegenstand	Zustandsmarke; dieser Bildplatz	2	f75r|f82r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0613|P912-E1322	mehrstufige Becken-, Figuren- und Laufseite|mehrere lokale Bad- und Leitungsstationen
saral	S+AR+AL	WAHL + QUELLE + ZIEL	Arbeitsvariante auswählen; Entnahmestelle; Ziel- oder Anschlussstelle	Bildklasse auswählen; Quell- oder Bezugsstelle; Zielplatz	2	f67r2|f69v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1800|P912-E2128	zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder
schedy	CHD+DY	WECHSEL + ENDE	Arbeitsgut umsetzen; Arbeitsschritt schließen	zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	2	f81v|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0927|P912-E1451	gemeinsames Bad- und Beckenfeld|lokale Becken-, Figuren- und Verbindungsstationen
shal	SH+AL	HALT + ZIEL	Arbeitsgegenstand halten; Ziel- oder Anschlussstelle	Bezug festhalten; Zielplatz	2	f70v|f75r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0591|P912-E2347	mehrstufige Becken-, Figuren- und Laufseite|Fischrad mit Stern tragenden Figuren
shchey	SH+Y	HALT + DIES	Arbeitsgegenstand halten; dieser Arbeitsgegenstand	Bezug festhalten; dieser Bildplatz	2	f70v|f81v	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1088|P912-E2303	gemeinsames Bad- und Beckenfeld|Fischrad mit Stern tragenden Figuren
shckhey	SH+CKH+E+Y	HALT + DURCHLASS + KURZ + DIES	Arbeitsgegenstand halten; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand	Bezug festhalten; Verbindung oder Durchlass; erster Grad; dieser Bildplatz	2	f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1289|P912-E1556	mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
shcthy	SH+CTH+Y	HALT + BEREIT + DIES	Arbeitsgegenstand halten; bis bereit führen; dieser Arbeitsgegenstand	Bezug festhalten; Bereitschaftsklasse; dieser Bildplatz	2	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1534|P912-E1542	lokale Becken-, Figuren- und Verbindungsstationen
shedal	SHED+AL	ABSETZEN + ZIEL	absetzen lassen; Ziel- oder Anschlussstelle	Absetzklasse; Zielplatz	2	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1538|P912-E1722	lokale Becken-, Figuren- und Verbindungsstationen
sheeky	SH+EE+K+Y	HALT + LANG + ZUORDNUNG + DIES	Arbeitsgegenstand halten; länger oder gehalten; Material zugeben; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; Wert zuordnen; dieser Bildplatz	2	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0460|P912-E0985	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld
sheety	SH+EE+T+Y	HALT + LANG + EINSTELLUNG + DIES	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; Platz oder Wert einstellen; dieser Bildplatz	2	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0757|P912-E0773	mehrstufige Becken-, Figuren- und Laufseite
shek	SH+E+K	HALT + KURZ + ZUORDNUNG	Arbeitsgegenstand halten; kurz oder direkt; Material zugeben	Bezug festhalten; erster Grad; Wert zuordnen	2	f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0866|P912-E0886	gemeinsames Bad- und Beckenfeld
sheo	SH+E+O	HALT + KURZ + GANG	Arbeitsgegenstand halten; kurz oder direkt; Arbeitsgang ausführen	Bezug festhalten; erster Grad; Reihe aufrufen	2	f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM	IMAGE_ONLY	P912-E2163|P912-E2205	Widderrad mit Stern tragenden Figuren
sho	SH+O	HALT + GANG	Arbeitsgegenstand halten; Arbeitsgang ausführen	Bezug festhalten; Reihe aufrufen	2	f56r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0377|P912-E0433	abgebildeter Pflanzenartikel f56r
solkeedy	SOLK+EE+D_ADDR+Y	SAMMELN + LANG + UNTER + DIES	auffangen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	Sammelstelle; zweiter Grad; Unterplatz; dieser Bildplatz	2	f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1580|P912-E1589	lokale Becken-, Figuren- und Verbindungsstationen
solkeey	SOLK+EE+Y	SAMMELN + LANG + DIES	auffangen; länger oder gehalten; dieser Arbeitsgegenstand	Sammelstelle; zweiter Grad; dieser Bildplatz	2	f81v|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E1029|P912-E1733	gemeinsames Bad- und Beckenfeld|lokale Becken-, Figuren- und Verbindungsstationen
sshey	S+SH+E+Y	WAHL + HALT + KURZ + DIES	Arbeitsvariante auswählen; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	Bildklasse auswählen; Bezug festhalten; erster Grad; dieser Bildplatz	2	f67r2|f75r	BIOLOGICAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E0643|P912-E1915	mehrstufige Becken-, Figuren- und Laufseite|zwei lokale Himmelsraeder
taiin	T+AIIN	EINSTELLUNG + SOLLWERT	Arbeitsgang einstellen; Sollmaß	Platz oder Wert einstellen; verzeichneter Sollwert	2	f10r|f82r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0051|P912-E1377	abgebildeter Pflanzenartikel f10r|mehrere lokale Bad- und Leitungsstationen
tchy	T+Y	EINSTELLUNG + DIES	Arbeitsgang einstellen; dieser Arbeitsgegenstand	Platz oder Wert einstellen; dieser Bildplatz	2	f10r|f70v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0021|P912-E2234	abgebildeter Pflanzenartikel f10r|Fischrad mit Stern tragenden Figuren
tedy	T+E+DY	EINSTELLUNG + KURZ + ENDE	Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen	Platz oder Wert einstellen; erster Grad; Bildeintrag schließen	2	f75r|f81v	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0526|P912-E1107	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld
teol	E+OL	KURZ + WEITER	kurz oder direkt; im selben Arbeitsgang fortfahren	erster Grad; dieselbe Reihe fortführen	2	f81v|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E1080|P912-E2446	gemeinsames Bad- und Beckenfeld|drei Gefaesse mit Wurzel- und Blattreihen
todaiin	T+O+AIIN	EINSTELLUNG + GANG + SOLLWERT	Arbeitsgang einstellen; Arbeitsgang ausführen; Sollmaß	Platz oder Wert einstellen; Reihe aufrufen; verzeichneter Sollwert	2	f67r2|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1867|P912-E2268	zwei lokale Himmelsraeder|Fischrad mit Stern tragenden Figuren
tol	T+OL	EINSTELLUNG + WEITER	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren	Platz oder Wert einstellen; dieselbe Reihe fortführen	2	f67r2|f83r	BIOLOGICAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1632|P912-E1881	lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder
ydaiin	Y+D_ADDR+AIIN	DIES + UNTER + SOLLWERT	dieser Arbeitsgegenstand; bezeichneter Teil; Sollmaß	dieser Bildplatz; Unterplatz; verzeichneter Sollwert	2	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1905|P912-E1907	zwei lokale Himmelsraeder
ykair	Y+K+AIR	DIES + ZUORDNUNG + LAUFWEG	dieser Arbeitsgegenstand; Material zugeben; Flüssigkeits- oder Stationslauf	dieser Bildplatz; Wert zuordnen; Ringlauf	2	f55v|f70v	HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0269|P912-E2324	abgebildeter Pflanzenartikel f55v|Fischrad mit Stern tragenden Figuren
ykchey	Y+K+CH+E+Y	DIES + ZUORDNUNG + AUSWAHL + KURZ + DIES	dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	dieser Bildplatz; Wert zuordnen; Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz	2	f67r2	ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E1919|P912-E1920	zwei lokale Himmelsraeder
yshedy	Y+SH+E+DY	DIES + HALT + KURZ + ENDE	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	dieser Bildplatz; Bezug festhalten; erster Grad; Bildeintrag schließen	2	f75r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0784|P912-E0810	mehrstufige Becken-, Figuren- und Laufseite
yshey	Y+SH+E+Y	DIES + HALT + KURZ + DIES	dieser Arbeitsgegenstand; Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	dieser Bildplatz; Bezug festhalten; erster Grad; dieser Bildplatz	2	f67r2|f81v	BIOLOGICAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E0954|P912-E1926	gemeinsames Bad- und Beckenfeld|zwei lokale Himmelsraeder
ytaiin	Y+T+AIIN	DIES + EINSTELLUNG + SOLLWERT	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Sollmaß	dieser Bildplatz; Platz oder Wert einstellen; verzeichneter Sollwert	2	f55v|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0310|P912-E1557	abgebildeter Pflanzenartikel f55v|lokale Becken-, Figuren- und Verbindungsstationen
ytchy	Y+T+Y	DIES + EINSTELLUNG + DIES	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	dieser Bildplatz; Platz oder Wert einstellen; dieser Bildplatz	2	f11r|f13r	HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0106|P912-E0184	abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel
yteos	Y+T+E+O+S_ADDR	DIES + EINSTELLUNG + KURZ + GANG + STERNORT	dieser Arbeitsgegenstand; Arbeitsgang einstellen; kurz oder direkt; Arbeitsgang ausführen; bezeichnete s-Stelle	dieser Bildplatz; Platz oder Wert einstellen; erster Grad; Reihe aufrufen; Stern- oder s-Stelle	2	f67r2|f70v	ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E1846|P912-E2246	zwei lokale Himmelsraeder|Fischrad mit Stern tragenden Figuren
