workday_step	day_phase	case_id	task_phase	source_id	acting_person	recording_or_checking_person	visible_owner_or_instrument	spoken_instruction_de	written_surface_sequence	written_group_count	master_check_de	learning_mode
66	MITTAG	C3	OPERATE_OR_APPLY	B3-S011	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: halten + umsetzen -> ansetzen -> umsetzen.	shecthedchy qoky chedy chary	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
67	MITTAG	C3	OPERATE_OR_APPLY	B3-S012	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: absetzen.	sor shedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
68	MITTAG	C3	OPERATE_OR_APPLY	B3-S013	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: ansetzen -> zufuehren -> ansetzen.	qokaiin chkain shcthey qokedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
69	MITTAG	C3	OPERATE_OR_APPLY	B3-S014	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: ansetzen -> halten.	okair sheedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
70	MITTAG	C3	OPERATE_OR_APPLY	B3-S015	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: fuehren + umsetzen.	lchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
71	MITTAG	C3	OPERATE_OR_APPLY	B3-S016	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: fuehren -> ansetzen + umsetzen.	lo qokchedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
72	MITTAG	C3	OPERATE_OR_APPLY	B3-S017	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: ansetzen.	qokeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
73	MITTAG	C3	OPERATE_OR_APPLY	B3-S018	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: absetzen.	shedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
74	MITTAG	C3	OPERATE_OR_APPLY	B3-S019	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: ansetzen + halten.	qokshedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
75	MITTAG	C3	OPERATE_OR_APPLY	B3-S020	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: fuehren + umsetzen.	dal lchedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
76	MITTAG	C3	OPERATE_OR_APPLY	B3-S021	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: ansetzen -> absetzen -> halten -> umsetzen.	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	11	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
77	MITTAG	C3	OPERATE_OR_APPLY	B3-S022	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: umsetzen.	qotchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
78	MITTAG	C3	OPERATE_OR_APPLY	B3-S023	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: fuehren + umsetzen.	lchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
79	MITTAG	C3	OPERATE_OR_APPLY	B3-S024	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: umsetzen.	tchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
80	MITTAG	C3	OPERATE_OR_APPLY	B3-S025	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: ansetzen + umsetzen.	qokchdy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
81	MITTAG	C3	OPERATE_OR_APPLY	B3-S026	P3	P2	unverbundener Zwischenbereich	Arbeite mit dem milden Grundauszug an unverbundener Zwischenbereich: fuehren -> umsetzen -> ansetzen -> abkuehlen -> auffangen.	cheedar chldaiin chedy qokain checthy chealror solkeedy	7	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
82	MITTAG	C3	OPERATE_OR_APPLY	B3-S027	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: nur Objekt, Mass, Ziel oder Zustand setzen.	qoteedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
83	MITTAG	C3	OPERATE_OR_APPLY	B3-S028	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: ansetzen -> ansetzen.	qokeey qokedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
84	MITTAG	C3	OPERATE_OR_APPLY	B3-S029	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: eintragen -> ansetzen.	sol cheeety qokedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
85	MITTAG	C3	OPERATE_OR_APPLY	B3-S030	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: ansetzen -> umsetzen -> umsetzen.	qoky saiin schedair otchedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
86	MITTAG	C3	OPERATE_OR_APPLY	B3-S031	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: ansetzen.	qokeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
87	MITTAG	C3	OPERATE_OR_APPLY	B3-S032	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: umsetzen -> umsetzen.	chedain chedy qotedaiin otaiin otedy	5	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
88	MITTAG	C3	OPERATE_OR_APPLY	B3-S033	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: fuehren.	ldy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
89	MITTAG	C3	OPERATE_OR_APPLY	B3-S034	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B3: eintragen -> absetzen.	soiiin checthy chety otaiin olsaly shedy	6	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
90	NACHMITTAG	C4	PREPARE_PRODUCT	H4-S001	P2	P3	abgebildete breitblättrige rispige Pflanze	Pflanzenstoff nach Mass ansetzen, zwei dosierte Anteile in die Grundmasse geben und den Mischgang schliessen.	qokaiin chaiin ykain ykan ody	5	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
91	NACHMITTAG	C4	PREPARE_PRODUCT	H4-S002	P2	P3	abgebildete breitblättrige rispige Pflanze	Die naechste gemessene Pflanzenmasse umsetzen und im kleinen Vorratstopf verwahren.	daiin chedy talam	3	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
92	NACHMITTAG	C4	PREPARE_PRODUCT	H4-S003	P2	P3	abgebildete breitblättrige rispige Pflanze	Eine Dosis zugeben, den benoetigten Anteil entnehmen, temperieren und den Zubereitungsgang schliessen.	ykaiin cheoar cheeky oldy	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
93	NACHMITTAG	C4	PREPARE_PRODUCT	H4-S004	P2	P3	abgebildete breitblättrige rispige Pflanze	Die gemessene temperierte Ansatzportion an die bezeichnete Stelle legen oder dort eintragen.	aiin okal oltchy or y orain	6	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
94	NACHMITTAG	C4	OPTIONAL_ASTRO_CONDITION	F69_RIGHT_WHEEL_NS	P1	P3	F69_RIGHT_WHEEL_NS	Schlage den bezeichneten Licht-, Gestirn- oder Komplexionszustand nach; nutze das feinere Rad nur für eine engere Wahl.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
95	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S001	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: ansetzen.	qokeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
96	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S002	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: ansetzen -> ansetzen.	qolchey qokeey qokedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
97	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S003	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: umsetzen -> ansetzen -> ansetzen -> absetzen.	chedy otal otchey qokeey qoky tol shedy	7	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
98	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S004	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: ansetzen + befestigen.	qokylddy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
99	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S005	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: umsetzen -> ansetzen.	dain chedy qokeedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
100	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S006	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: halten.	shckhedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
101	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S007	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: halten.	shckhedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
102	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S008	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: waermen -> halten -> ansetzen.	saiin cheeky sheey qokedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
103	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S009	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: absetzen.	shedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
104	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S010	P3	P2	sichtbares Figurenpaar mit gemeinsamem Bogen in B4	Arbeite mit dem temperierte Auflage an sichtbares Figurenpaar mit gemeinsamem Bogen in B4: nur Objekt, Mass, Ziel oder Zustand setzen.	oldy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
105	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S011	P3	P2	linke Hauptstation mit offenem Fransenlauf	Arbeite mit dem konzentrierten Vorrat an linke Hauptstation mit offenem Fransenlauf: waermen -> ansetzen -> ansetzen -> umsetzen -> fuehren + zufuehren.	saiin cheky okeeol okain chdy sol lkedy	7	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
106	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S012	P3	P2	linke Hauptstation mit offenem Fransenlauf	Arbeite mit dem konzentrierten Vorrat an linke Hauptstation mit offenem Fransenlauf: fuehren + umsetzen.	lchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
107	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S013	P3	P2	linke Hauptstation mit offenem Fransenlauf	Arbeite mit dem konzentrierten Vorrat an linke Hauptstation mit offenem Fransenlauf: ansetzen -> absetzen.	qokol shedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
108	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S014	P3	P2	linke Hauptstation mit offenem Fransenlauf	Arbeite mit dem konzentrierten Vorrat an linke Hauptstation mit offenem Fransenlauf: nur Objekt, Mass, Ziel oder Zustand setzen.	or chey qockhey dairydy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
109	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S015	P3	P2	linke Hauptstation mit offenem Fransenlauf	Arbeite mit dem konzentrierten Vorrat an linke Hauptstation mit offenem Fransenlauf: ansetzen -> halten -> zufuehren -> abziehen -> auffangen -> fuehren + umsetzen.	qokain shey kain chckhal solkey lchedy	6	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
110	NACHMITTAG	C4	OPERATE_OR_APPLY	B4-S016	P3	P2	rechte Hauptstation mit S-Lauf und Mehrarmknoten	Arbeite mit dem konzentrierten Vorrat an rechte Hauptstation mit S-Lauf und Mehrarmknoten: zufuehren -> zufuehren -> absetzen.	qolkain dal skar shedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
111	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S001	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Eine erste Pflanzengabe abziehen und zum Gefaess fuehren; eine zweite nach Mass abnehmen und in den Ansatz geben.	chochor cho chodaly daiin sho kchol otchor choky dal	9	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
112	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S002	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Die folgende Pflanzengabe ansetzen, den Auszug durch den Durchlass laufen lassen und mit derselben Charge fortfahren.	schol choy choky cheeckhody	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
113	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S003	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Die Gabe ziehen lassen, dem Ansatz zufuehren und denselben Einsatz zweimal wiederholen.	sh cho kchey qokokchy	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
114	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S004	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Den naechsten Pflanzenteil in den Ansatz geben, ansetzen, wieder abziehen und zum folgenden Gefaess fuehren.	okchy chokcheo kchal	3	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
115	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S005	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Eine weitere Gabe ansetzen, zufuehren und danach die naechste abgeteilte Portion in den Gang ordnen.	sho chokchy kchoar sotodan	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
116	SPAETER_NACHMITTAG	C5	PREPARE_PRODUCT	H5-S006	P2	P3	abgebildete mehrköpfige stachelige Pflanze	Die letzte aktuelle Portion nach Mass zur gemeinsamen Auszugscharge geben.	otchey keol daiin	3	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
117	SPAETER_NACHMITTAG	C5	OPTIONAL_ASTRO_CONDITION	F67_LEFT_WHEEL_NS	P1	P3	F67_LEFT_WHEEL_NS	Wähle eine feinere Stern-/Aspektlage oder einen lokalen Arbeitsslot für Ruhe, Absetzen und Weiterführen der Restcharge.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
118	SPAETER_NACHMITTAG	C5	OPERATE_OR_APPLY	B5-S001	P3	P2	linke Fransenstation im B5-Nachtrag	Arbeite mit dem konzentrierten Vorrat an linke Fransenstation im B5-Nachtrag: umsetzen.	otchdy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
119	SPAETER_NACHMITTAG	C5	OPERATE_OR_APPLY	B5-S002	P3	P2	linke Fransenstation im B5-Nachtrag	Arbeite mit dem konzentrierten Vorrat an linke Fransenstation im B5-Nachtrag: ansetzen + umsetzen.	qokchdy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
120	SPAETER_NACHMITTAG	C5	OPERATE_OR_APPLY	B5-S003	P3	P2	linke Fransenstation im B5-Nachtrag	Arbeite mit dem konzentrierten Vorrat an linke Fransenstation im B5-Nachtrag: absetzen -> fuehren -> umsetzen -> umsetzen.	shedal dal cheol lol chdal aiin sol daiiin chedy	9	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
121	ABENDABSCHLUSS	C6	OPTIONAL_ASTRO_CONDITION	F69_LEFT_WHEEL_NS	P1	P3	F69_LEFT_WHEEL_NS	Markiere im lokalen Achtundzwanziger-Inventar den nächsten Gebrauchsslot und prüfe den Himmels-/Wetterzustand der Folgearbeit.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
122	ABENDABSCHLUSS	C6	OPERATE_OR_APPLY	B6-S001	P3	P2	rechter S-Lauf im B6-Nachtrag	Arbeite mit dem konzentrierten Vorrat an rechter S-Lauf im B6-Nachtrag: auffangen -> zufuehren -> abkuehlen -> fuehren.	solkeey qekey raly ol daiin ol dain chey ldalor	9	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
