rare_no	event_id	page	record	statement_id	surface	card_no	rare_recipe	compact_reading_de	teaching_method	anchor_recipe_or_root	anchor_reading_de	edit_distance	edit_script	teaching_level	new_root_required
R100	E046	f11r	H3	H3-S002	shoyty	PROC033	SH+O+Y+T+Y	HALTEN · GANG · DIES · EINTRAGEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	3	KEEP:SH | ADD:O | ADD:Y | REPLACE:EE>T | KEEP:Y	THREE_CHANGES	NO
R101	E042	f11r	H3	H3-S001	shfydaiin	PROC029	SH+Y+AIIN	HALTEN · DIES · MASS	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	2	KEEP:SH | REPLACE:EE>Y | REPLACE:Y>AIIN	TWO_CHANGES	NO
R102	E178	f82r	B2	B2-S005	solkaiin	PROC105	SOLK+AIIN	AUFFANGEN · MASS	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	2	KEEP:SOLK | DROP:EE | REPLACE:DY>AIIN	TWO_CHANGES	NO
R103	E356	f83r	B4	B4-S015	solkey	PROC164	SOLK+E+Y	AUFFANGEN · KURZ · DIES	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	2	KEEP:SOLK | REPLACE:EE>E | REPLACE:DY>Y	TWO_CHANGES	NO
R104	E373	f83r	B6	B6-S001	solkeey	PROC170	SOLK+EE+Y	AUFFANGEN · LANG · DIES	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	1	KEEP:SOLK | KEEP:EE | REPLACE:DY>Y	ONE_CHANGE	NO
R105	E146	f81v	B1	B1-S014	qolky	PROC087	SOLK+Y	AUFFANGEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	2	KEEP:SOLK | DROP:EE | REPLACE:DY>Y	TWO_CHANGES	NO
R106	E045	f11r	H3	H3-S001	tchody	PROC032	T+CH+O+DY	EINTRAGEN · ABNEHMEN · GANG · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	T+Y	EINTRAGEN · DIES	3	KEEP:T | ADD:CH | ADD:O | REPLACE:Y>DY	THREE_CHANGES	NO
R107	E150	f81v	B1	B1-S015	ytey	PROC090	T+E+Y	EINTRAGEN · KURZ · DIES	RECURRENT_SAME_HEAD_ANCHOR	T+Y	EINTRAGEN · DIES	1	KEEP:T | ADD:E | KEEP:Y	ONE_CHANGE	NO
R108	E039	f11r	H3	H3-S001	tshol	PROC026	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	T+Y	EINTRAGEN · DIES	2	KEEP:T | ADD:SH | REPLACE:Y>OL	TWO_CHANGES	NO
R109	E063	f55v	H4	H4-S002	talam	PROC043	TALAM	VERWAHREN	WHOLE_NOMENCLATOR_ENTRY	TALAM	VERWAHREN	0	KEEP:TALAM	LEARN_WHOLE	NO
R110	E015	f10r	H2	H2-S001	ycheor	PROC015	Y+CH+E+OR	DIES · ABNEHMEN · KURZ · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	Y	DIES	3	KEEP:Y | ADD:CH | ADD:E | ADD:OR	THREE_CHANGES	NO
R111	E064	f55v	H4	H4-S003	ykaiin	PROC044	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	RECURRENT_SAME_HEAD_ANCHOR	Y	DIES	2	KEEP:Y | ADD:K | ADD:AIIN	TWO_CHANGES	NO
R112	E058	f55v	H4	H4-S001	ykain	PROC039	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	RECURRENT_SAME_HEAD_ANCHOR	Y	DIES	2	KEEP:Y | ADD:K | ADD:AIN	TWO_CHANGES	NO
R113	E059	f55v	H4	H4-S001	ykan	PROC040	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	RECURRENT_SAME_HEAD_ANCHOR	Y	DIES	2	KEEP:Y | ADD:K | ADD:AN	TWO_CHANGES	NO
