assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
38	OLD26_GDT407	G407-E1430	G407-S082	f75r	BIOLOGICAL	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
39	OLD26_GDT407	G407-E1447	G407-S085	f75r	BIOLOGICAL	olkar	OL+K+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	K+AR	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F06
40	OLD26_GDT407	G407-E1483	G407-S090	f75r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
41	OLD26_GDT407	G407-E1488	G407-S090	f75r	BIOLOGICAL	qokardy	OK+AR+DY	AR+DY	AR+DY	1	1	AR	AR	AUSGANG	2	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	OK+AR	2	NO	YES	OK	NONE	OK	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · ABSCHLIESSEN	AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	SETZEN · AUSGANG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F10
42	OLD26_GDT407	G407-E1492	G407-S091	f75r	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
43	OLD26_GDT407	G407-E1504	G407-S096	f75r	BIOLOGICAL	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
44	OLD26_GDT407	G407-E1512	G407-S097	f75r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
45	OLD26_GDT407	G407-E1551	G407-S110	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
46	OLD26_GDT407	G407-E1633	G407-S119	f75r	BIOLOGICAL	qolkary	OL+K+AR+Y	OL+AR	OL+AR+Y	1	1	AR	AR	AUSGANG	3	4	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	K+AR+Y	2	NO	NO	K	Y	K	NONE	NONE	Y	BETWEEN_VISIBLE_PAYLOADS	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG · POSTEN	STATEMENT_INTERNAL	NO	FORTSETZEN · GEBEN · AUSGANG · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
47	OLD26_GDT407	G407-E1644	G407-S121	f75r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
48	OLD26_GDT407	G407-E1659	G407-S123	f75r	BIOLOGICAL	okaldy	OK+AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	2	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	OK+AL	2	NO	YES	OK	NONE	OK	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	SETZEN · ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F10
49	OLD26_GDT407	G407-E1661	G407-S124	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
50	OLD26_GDT407	G407-E1669	G407-S126	f75r	BIOLOGICAL	oldair	OL+D_ADDR+AIR	OL+AIR	OL+AIR	1	1	AIR	AIR	BAHN	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	D_ADDR+AIR	2	NO	YES	D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	FORTSETZEN · BAHN	FORTSETZEN · BAHN	STATEMENT_INTERNAL	NO	FORTSETZEN · HIER · LAUF	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
51	OLD26_GDT407	G407-E1675	G407-S128	f75r	BIOLOGICAL	lolchedy	L+OL+CHD+DY	L+OL+DY	L+OL+DY	1	1	L	L	VERBINDUNG	1	4	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · FORTSETZEN · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
52	OLD26_GDT407	G407-E1698	G407-S130	f75r	BIOLOGICAL	kalol	K+AL+OL	AL+OL	AL+OL	1	1	AL	AL	ZIELORT	2	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	K+AL	2	NO	YES	K	NONE	K	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · FORTSETZEN	ZIELORT · FORTSETZEN	STATEMENT_INTERNAL	NO	GEBEN · ZIELORT · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
53	OLD26_GDT407	G407-E1710	G407-S134	f75r	BIOLOGICAL	daldy	AL+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	ZIELORT · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
54	OLD26_GDT407	G407-E1718	G407-S138	f75r	BIOLOGICAL	qotar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
55	OLD26_GDT407	G407-E1720	G407-S139	f75r	BIOLOGICAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
56	OLD26_GDT407	G407-E1729	G407-S142	f75r	BIOLOGICAL	ltedy	L+T+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+T+E	1	YES	NO	NONE	T+E	NONE	T	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · EINSTELLEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
57	OLD26_GDT407	G407-E1737	G407-S144	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
58	OLD26_GDT407	G407-E1754	G407-S149	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
59	OLD26_GDT407	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	AR+AR+DY	AR+AR+DY	1	2	AR+AR	AR	AUSGANG	2	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	D_ADDR+AR+D_ADDR+AR	2	NO	NO	D_ADDR	D_ADDR+AR	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · ABSCHLIESSEN	AUSGANG · AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	HIER · AUSGANG · HIER · AUSGANG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
60	OLD26_GDT407	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	AR+AR+DY	AR+AR+DY	2	2	AR+AR	AR	AUSGANG	4	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	D_ADDR+AR+D_ADDR+AR	4	NO	YES	D_ADDR+AR+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · ABSCHLIESSEN	AUSGANG · AUSGANG · ABSCHLIESSEN	STATEMENT_FINAL	YES	HIER · AUSGANG · HIER · AUSGANG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
61	OLD26_GDT407	G407-E1762	G407-S154	f75r	BIOLOGICAL	lol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INITIAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
62	OLD26_GDT407	G407-E1768	G407-S159	f75r	BIOLOGICAL	ldy	L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	2	START	DY	START>R<DY	RELATION_THEN_CLOSE	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F04
63	OLD26_GDT407	G407-E1800	G407-S179	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
64	OLD26_GDT407	G407-E1808	G407-S184	f75r	BIOLOGICAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
65	OLD26_GDT407	G407-E1818	G407-S186	f75r	BIOLOGICAL	sarol	S+AR+OL	AR+OL	AR+OL	1	1	AR	AR	AUSGANG	2	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	S+AR	2	NO	YES	S	NONE	S	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN	STATEMENT_INITIAL	NO	WÄHLEN · AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
66	OLD26_GDT407	G407-E1846	G407-S194	f76r	BIOLOGICAL	qotddyar	OT+D_ADDR+D_ADDR+Y+AR	OT+AR	OT+Y+AR	1	1	AR	AR	AUSGANG	5	5	OT	END	OT>R<END	NEXT_RELATION_VALUE	D_ADDR+D_ADDR+Y+AR	4	NO	YES	D_ADDR+D_ADDR+Y	NONE	NONE	NONE	Y	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · POSTEN · AUSGANG	STATEMENT_INITIAL	NO	DANACH · HIER · HIER · AKTIVER POSTEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
67	OLD26_GDT407	G407-E1878	G407-S201	f76r	BIOLOGICAL	lkedy	L+K+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+K+E	1	YES	NO	NONE	K+E	NONE	K	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · GEBEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
68	OLD26_GDT407	G407-E1972	G407-S221	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
69	OLD26_GDT407	G407-E1974	G407-S223	f76r	BIOLOGICAL	qolair	OL+D_ADDR+AIR	OL+AIR	OL+AIR	1	1	AIR	AIR	BAHN	3	3	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	D_ADDR+AIR	2	NO	YES	D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SPARSE_PATH_DESCRIPTOR__NO_STATE_SUBSTITUTION	FORTSETZEN · BAHN	FORTSETZEN · BAHN	STATEMENT_INITIAL	NO	FORTSETZEN · HIER · LAUF	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
70	OLD26_GDT407	G407-E2007	G407-S230	f76r	BIOLOGICAL	lshedy	L+SH+E+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	4	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+SH+E	1	YES	NO	NONE	SH+E	NONE	SH	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	SINGLETON_STATEMENT	YES	VERBINDUNG · HALTEN · GRAD I · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F05
71	OLD26_GDT407	G407-E2009	G407-S232	f76r	BIOLOGICAL	otedyl	OT+E+DY+L	OT+DY+L	OT+DY+L	1	1	L	L	VERBINDUNG	4	4	DY	END	DY>R<END	POST_CLOSE_RELATION_TAIL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	ABSCHLIESSEN · VERBINDUNG	DANACH · ABSCHLIESSEN · VERBINDUNG	SINGLETON_STATEMENT	YES	DANACH · GRAD I · SCHLUSS · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
72	OLD26_GDT407	G407-E2013	G407-S234	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
73	OLD26_GDT407	G407-E2021	G407-S235	f76r	BIOLOGICAL	alchdy	AL+CHD+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
74	OLD26_GDT407	G407-E2024	G407-S237	f76r	BIOLOGICAL	lchedy	L+CHD+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	L+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	VERBINDUNG · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
75	OLD26_GDT407	G407-E2029	G407-S239	f76r	BIOLOGICAL	qotaly	OT+AL+Y	OT+AL	OT+AL+Y	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · POSTEN	STATEMENT_INITIAL	NO	DANACH · ZIELORT · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F08
