unit_serial	record_id	page	statement_id	group_count	surface_sequence	atom_sequence	literal_card_reading_de	image_owner	owner_kind	owner_break_inside_statement	selected_concrete_reading_de	short_rival_de
44	B2	f82r	B2-S004	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
45	B2	f82r	B2-S005	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
46	B2	f82r	B2-S006	4	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
47	B2	f82r	B2-S007	1	dshedy	SHED+E+CLOSE	kurz absetzen; Schluss	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
48	B2	f82r	B2-S008	3	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
49	B2	f82r	B2-S009	1	solshedy	OL+SHED+CLOSE	weiter absetzen; Schluss	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
50	B2	f82r	B2-S010	4	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
51	B2	f82r	B2-S011	4	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
52	B2	f82r	B2-S012	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	YES	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
53	B2	f82r	B2-S013	1	lchedy	L+CHD+CLOSE	abführen; Schluss	B2_LOWER_GREEN_MULTI_FIGURE_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
54	B2	f82r	B2-S014	1	lar	L+AR	von dort abfuehren	B2_LOWER_GREEN_MULTI_FIGURE_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
55	B2	f82r	B2-S015	2	tshey qokeedy	CHEEY | OK+EE+CLOSE	Klarlauf zugeben; länger ansetzen; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
56	B2	f82r	B2-S016	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
57	B2	f82r	B2-S017	2	rsheal daldy	SH+E+AL | AL+CLOSE	kurz am Ziel ruhen; Nebenoeffnung; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
58	B2	f82r	B2-S018	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
59	B2	f82r	B2-S019	1	rshedy	WASH+CLOSE	Waschgang abschließen	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
60	B2	f82r	B2-S020	1	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
61	B2	f82r	B2-S021	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
62	B2	f82r	B2-S022	1	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	B2_LOWER_POOL_EDGE_STATIONS	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
63	B3	f83r	B3-S001	1	olkeedy	SOLK+EE+CLOSE	länger sammeln; Schluss	B3_UPPER_MARGIN_OPEN_FAN_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
64	B3	f83r	B3-S002	2	qotal chkeedy	OT+AL | CHK+EE+CLOSE	danach dorthin; länger wärmen; Schluss	B3_UPPER_MARGIN_OPEN_FAN_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
65	B3	f83r	B3-S003	4	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	dieser Posten; Sollmaß; dieser Posten; abführen; Schluss	B3_UPPER_MARGIN_OPEN_FAN_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
66	B3	f83r	B3-S004	3	qokaiin qotal dar	OK+AIIN | OT+AL | AR	auf Sollmaß einstellen; danach dorthin; aus dem Ansatz	B3_UPPER_MARGIN_OPEN_FAN_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Zum unteren Ablauf hin. Daraus, aus demselben Ansatz.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
67	B3	f83r	B3-S005	1	schedy	CHD+CLOSE	Posten überführen; Schluss	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
68	B3	f83r	B3-S006	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Gieße das erwärmte Wasser ein. Den aktiven Posten an der örtlich bezeichneten Station führen. Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
69	B3	f83r	B3-S007	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Rühre, bis alles gleichmäßig vermischt ist. Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
70	B3	f83r	B3-S008	1	lchedy	L+CHD+CLOSE	abführen; Schluss	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
71	B3	f83r	B3-S009	1	qoky	OK+Y	aktuellen Posten ansetzen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: mittlere runde Gefäß-Randstation]] Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
72	B3	f83r	B3-S010	2	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Einlass; kurze Folge; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Fülle danach das Gefäß. Lasse es bis zur Klarheit ziehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
73	B3	f83r	B3-S011	4	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Wende es an der markierten Stelle an. Die Waschflotte am bezeichneten Körper- oder Beckenbereich gebrauchen. Rühre, bis alles gleichmäßig vermischt ist. Und lasse es abkühlen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
74	B3	f83r	B3-S012	2	sor shedy	OR | SHED+E+CLOSE	Ansatz; kurz absetzen lassen; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
75	B3	f83r	B3-S013	4	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Ein abgemessener Anteil. Unter derselben Einstellung. Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
76	B3	f83r	B3-S014	2	okair sheedy	OK+AIR | SHED+EE+CLOSE	Wasser einlassen; länger absetzen; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Öffne danach den oberen Lauf. Wasche einmal und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
77	B3	f83r	B3-S015	1	lchedy	L+CHD+CLOSE	abführen; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
78	B3	f83r	B3-S016	2	lo qokchedy	L | OK+CHD+CLOSE	abfuehren; angesetzten Inhalt überführen; Schluss	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	YES	[[LOKALER BESITZER: untere korbartige Gefäß-Randstation]] Schließe den unteren Ablauf. [[STATIONSWECHSEL: untere korbartige Gefäß-Randstation -> ungelöster Zwischenposten zwischen Randstapel und Hauptpaar; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse es abkühlen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
79	B3	f83r	B3-S017	1	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Wasche oder bade den bezeichneten Körper- oder Beckenbereich und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
80	B3	f83r	B3-S018	1	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
81	B3	f83r	B3-S019	1	qokshedy	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme den Bade- oder Waschzusatz sanft und beende den Arbeitsschritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
82	B3	f83r	B3-S020	2	dal lchedy	AL | L+CHD+CLOSE	dorthin; abführen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
83	B3	f83r	B3-S021	11	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den örtlichen Prüfzustand der Charge feststellen. Den aktiven Posten an der örtlich bezeichneten Station führen. Diese aktive Portion. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Für einen Zeitabschnitt. Warmes Wasser. Diese aktive Portion. Den aktiven Posten an der örtlich bezeichneten Station führen. Den örtlichen Prüfzustand der Charge feststellen. Behalte den Rückstand und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
84	B3	f83r	B3-S022	1	qotchedy	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Mische zu gleichen Teilen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
85	B3	f83r	B3-S023	1	lchedy	L+CHD+CLOSE	abführen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
86	B3	f83r	B3-S024	1	tchedy	CHD+CLOSE	Posten überführen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
87	B3	f83r	B3-S025	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Erwärme es einmal und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
88	B3	f83r	B3-S026	7	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	YES	[[LOKALER BESITZER: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar]] Richte die bezeichnete Beckenstation ein. Nach dem Absetzen. Rühre, bis alles gleichmäßig vermischt ist. Gib einen abgemessenen Anteil in das Gefäß. Den örtlichen Prüfzustand der Charge feststellen. Bis der Strom klar wird. [[STATIONSWECHSEL: ungelöster Zwischenposten zwischen Randstapel und Hauptpaar -> Hauptpaar am sichtbaren ungerichteten Bogen; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
89	B3	f83r	B3-S027	1	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	B3_MAIN_ARCH_LINKED_PAIR	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: Hauptpaar am sichtbaren ungerichteten Bogen]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
