locus	surface	structural_parse	speculative_paraphrase	confidence	main_problem
ten_page.APPRENTICE_GRAMMAR	IMAGE + CARRY_OR_SET + ROW_CELL_CARDS + RELATION_CARRIER + CHECKPOINT + OPTIONAL_COPY	SILENT_PAGE_SUBJECT | REGISTER_TABLE | PORTABLE_COMPILER | SPACE_SENSITIVE_RENDERER	Das Bild bestimmt stillschweigend Gegenstand und Register; eine aktuelle Einstellung übernehmen oder neu setzen, die lizenzierten Zeilen-/Zellkarten und Trägerbezüge eintragen, lokale Schritte mit DY abhaken und identische Karten bei Bedarf wörtlich wiederholen.	VERY_LOW_TRANSLATION_MEDIUM_SYSTEM_COHERENCE	This compact system explains the ten-page recurrences and could be taught to several scribes, but subject, setting, value, relation, carrier, action, register content and every plaintext meaning remain speculative.
f81v.P1_P2	PARAGRAPH_1_AIIN_DAIIN_HEAVY // PARAGRAPH_2_EDY_Q_HEAVY	SETUP_OR_INVENTORY_PHASE // PROCESS_OR_STATE_SEQUENCE_PHASE	Im ersten Absatz Materialien, Mengen, Einstellungen oder den Ausgangszustand des Apparats erfassen; im zweiten Absatz die auszuführenden oder beobachteten Vorgangs- und Zustandskarten der Reihe nach eintragen.	VERY_LOW_CONTENT_HIGH_PARAGRAPH_CONTRAST	The 16-to-2 AIIN-family and 12-to-50 EDY-ending shift is observed across 88 versus 165 groups, but materials, quantities, apparatus, process, temporal order and every external content class remain invented.
f81v.28	otain | olkal / otoin | olkol / tain | olkal	TWO_CARD_TUB_OR_TUBE_LABEL	Das OLKAL-Bad beziehungsweise das Becken oder die Vorrichtung mit der lokalen OTAIN-/OLKAL-Kennung.	LOW_TO_VERY_LOW_CONTENT_HIGH_HUMAN_OBJECT_OWNERSHIP	The public catalogue independently owns this two-word label to the tub/tube and OTAIN recurs in f81v/f82r prose, but exact reading, modifier direction, bath, pool, vessel, contents, treatment, subtype and lexical division remain uncertain.
herbal_four.TWO_PART_ENTRY	f10r/f11r/f55v/f56r: two prose packets around one plant	SILENT_IMAGE_HEADING | HERBAL_MODULE_A | HERBAL_MODULE_B	Die abgebildete Pflanze ist der unausgeschriebene Eintragskopf; darunter beziehungsweise darum folgen zwei technische Module, versuchsweise Identität/Eigenschaften und anschließend Zubereitung/Anwendung/Dosis.	LOW_CONTENT_HIGH_PAGE_ARCHITECTURE	Two prose packets transfer across Currier A/B and hands 1/2, but module order and all content labels remain invented; the closed paragraph-ordinal route prevents treating the gloss as confirmed.
herbal_A.CHOL_CTHY	chol | cthy	HERBAL_A_CARRIER_PLUS_PROCESS_CONSTRUCTION	Die registrierte Trägersubstanz oder das Medium verwenden und die CTHY-Zubereitung ausführen; mutige Arbeitslesung: in Wasser zubereiten oder erhitzen.	VERY_LOW_CONTENT_HIGH_EXACT_FORM	Exact on f10r/f11r/f56r in all readings; carrier, medium, water, prepare and heat remain mutually replaceable guesses and hand/register are confounded.
f68r1.O_OT_STAR_CLASS	O-family versus OT-family labels	LOCAL_UNMARKED_VERSUS_MARKED_OBJECT_RENDERER	Ein gewöhnliches siebenstrahliges Objekt mit O-Karte registrieren; nichtstandardmäßige sechs- oder achtstrahlige Varianten häufiger mit OT-Karte markieren.	VERY_LOW_CONTENT_POSTHOC_VISUAL_LEAD	O is 8/9 seven-ray while OT is 3/9 seven-ray on one folio; the local uncorrected exact tail is about .025, the direct star-label route lacks replication, and T is not assigned any universal meaning.
f69v.OKEOD_REPEAT	okeod at loci f69v.14/f69v.18 and reading-sensitive f69v.27; ordinals 11/15/24	RECURRING_CYCLIC_STATE_OR_VALUE_CARD_ACROSS_SHORT_AND_LONG	An den betreffenden Stellen desselben 28er-Zyklus dieselbe registrierte OKEOD-Karte erneut eintragen; sie gilt sowohl in SHORT- als auch LONG-Geometrie.	VERY_LOW_CONTENT_MEDIUM_SCHEDULE_ARCHITECTURE	The first two loci are SHORT and the third LONG; RF splits the third. This argues against 28 unique names and against OKEOD spelling the visible length class, but state, value, cycle and use remain invented.
bio_three.OL_LABEL_SET	OTAIN OLKAL; OROL DAIN; DAROL; CHTOROL; OLSAIIN; SAROLDAL?; DAROLSY	BIOLOGICAL_CARRIER_MEDIUM_CHANNEL_SLOT	In den Bildbeschriftungen einen Träger, ein Medium, ein Gefäß oder einen Kanal der OL-Klasse registrieren und ihn durch lokale Vor-, AR- und Endzustände genauer bestimmen.	LOW_CONTENT_MEDIUM_CROSS_PAGE_VISUAL_CONCENTRATION	Seven of eight selected tub/tube/flow labels contain OL, but ownership and readings vary, DARARY is the no-OL counterexample, and prior OL transfer tests rejected universal direction or water semantics.
f82r_f83r.DAROL_FLOW	darol / darolsy	D_SELECTED_AR_PATH_WITH_OL_CARRIER_AND_OPTIONAL_SY_STATE	Den ausgewählten oder aktivierten Leitweg durch das OL-Medium führen; bei DAROLSY zusätzlich den lokalen SY-Endzustand festhalten.	LOW_TO_VERY_LOW_CONTENT_HIGH_COMPOSITIONAL_FIT	DAROL and DAROLSY occupy flow/apparatus scenes, but flow, activate, conduit, medium and endpoint remain speculative and direct ownership transfer was previously nonconfirming.
cross_register.AROL_AXIS_CONDUIT	arol / sarol / darol / darolsy / saroldal?	AR_PATH_OR_AXIS + OL_CARRIER_OR_CHANNEL	Eine Achse, einen Stamm, eine Wurzel, einen Leitweg oder Kanal als AR-Relation über einem OL-Träger kodieren; D/S und DAL/SY wählen lokale Varianten.	VERY_LOW_CONTENT_HIGH_ABDUCTIVE_UNIFICATION	This unifies plant-axis and hydraulic contexts better than WATER, but AROL also occurs in pharmaceutical and astronomical contexts; all segmentation and meanings remain provisional.
ten_page.MEDICO_ASTROLOGICAL_MANUAL	four Herbal + three Biological + three circle pages	IMAGE_SUPPLIED_TOPIC | REGISTER_LOCAL_CODEBOOK | SHARED_COMPILER | PARAGRAPH_PROSE_AND_DIAGRAM_CARDS	Ein illustriertes medizinisch-astrologisches Werkstatthandbuch: Pflanzenstoffe und ihre Zubereitung, Bäder/Flüssigkeiten/Apparaturen und Behandlungsvorgänge sowie astronomisch-kalendarische Tabellen für Klassifikation oder Zeitpunkt werden mit demselben kompakten Schreibercompiler notiert.	VERY_LOW_TRANSLATION_HIGH_DOCUMENT_COHERENCE	Historically plausible and explains the ten-page mode differences, but no language, plaintext, lexeme, medical procedure, timing value or direct relation among the sections is established.
f82r.OKAL_LOCAL_KEY	okal label f82r.36; prose f82r.6 and f82r.12	PAGE_LOCAL_REGISTERED_REFERENT_ACROSS_DIAGRAM_AND_TWO_PROSE_BLOCKS	Die OKAL-Karte am unteren Bild registrieren und dieselbe lokale Referenz in zwei verschiedenen Textblöcken der Seite wieder aufnehmen.	LOW_FUNCTION_HIGH_EXACT_REUSE	All three readings preserve exact OKAL at all three loci, but the label lies between a figure and waterfall and therefore does not identify which entity/state/material it denotes.
multi_page.LABEL_PROSE_KEY	OTOR / OKEOD-family / OTAIN-family / OKAL	SPARSE_DIAGRAM_CARD_TO_PROSE_REFERENCE_CHANNEL	Eine neben dem Bild oder im Ring registrierte Karte bei Bedarf in der längeren Anweisung derselben Seite wiederverwenden; Seiten ohne exakte Wiederholung sind zulässig.	LOW_FUNCTION_MEDIUM_CROSS_PAGE_ARCHITECTURE	The bridge occurs on f68r1/f69v/f81v/f82r with reading caveats, but f83r has no exact selected-label reuse and GDT258 rejects a universal label dictionary.
ten_page.PAGE_LEVEL_PARAPHRASE	all ten fixed pages	FOUR_HERBAL_ENTRIES + THREE_BATH_APPARATUS_RECORD_PAGES + THREE_ASTRONOMICAL_LOOKUP_PAGES	Vier Pflanzenartikel mit je zwei Modulen, drei Seiten mit Bad-/Apparaturprosa und lokalen Bildschlüsseln sowie drei astronomisch-kalendarische Nachschlageformen bilden einen einheitlichen praktischen Handbuchausschnitt.	VERY_LOW_TRANSLATION_HIGH_GENRE_COHERENCE	This is the best page-level reading, not recovered plaintext; all links among medicine, bathing, plants and timing remain abductive.
f83r.LOCAL_APPARATUS_MODE	P6+P7: 27 groups, 3 EDY endings, 10 OL-bearing groups	OL_RICH_LOCAL_APPARATUS_SPECIFICATION_VERSUS_EDY_RICH_MAIN_PROSE	Im direkt in die untere Apparatur gesetzten Text überwiegend Träger-, Kanal-, Medium- oder Komponentenbeziehungen notieren; die EDY-reiche ausführliche Vorgangsprosa bleibt in den großen Blöcken.	LOW_CONTENT_HIGH_WITHIN_PAGE_MODE_CONTRAST	The 42.7-to-11.1 percent EDY and 10.8-to-37.0 percent OL reversals are observed, but apparatus, procedure, carrier and semantic ownership are inferred post hoc on one folio.
f83r.52-53	solkeey | qekey | raly | ol // solchkal | cheol | qotar | ol	PARALLEL_SOL_HEAD + VARIABLE_CELLS + FINAL_OL	Zwei parallele lokale Einträge: SOL-Konstruktion für KEEY beziehungsweise CHKAL eröffnen, die jeweiligen Relations-/Zustandskarten ergänzen und beide in der OL-Trägerzelle enden lassen.	VERY_LOW_CONTENT_HIGH_LOCAL_TEMPLATE	Only these two adjacent SOL-initial lines end in exact free OL; operation, component, material, in/with and all individual card values remain invented.
circle_three.SILENT_COORDINATES	7/12 ring membership; 29 star geometry; 28 radial positions plus LONG/SHORT	VISIBLE_GEOMETRY + WRITTEN_RESIDUAL_CARD	Ring, Position und sichtbare Form liefern einen Teil des Datensatzes stillschweigend; die kurze Schriftkarte ergänzt nur die übrige Objekt-, Zustands- oder Wertinformation.	LOW_CONTENT_HIGH_SYSTEM_COHERENCE	This explains why LONG/SHORT lacks a text marker and why labels are incomplete, but no ordinal, number, lunar value or astronomical mapping is decoded.
ten_page.APPRENTICE_CARD_LEXICON	DY S D Q AIIN EDY/EEDY OL AROL SOL OTAIN-OLKAL OKAL CHOL-CTHY OKEOD	SHARED_COMPILER_DECK + REGISTER_LOCAL_LOOKUP_CARDS	Der Lehrling lernt Seitenregister, Absatzkarten, S-Übernahme, D-Auswahl, Q-Verknüpfung, AIIN-Wertkarten, EDY-Zustandskarten, OL-Träger und wenige lokale Konstruktionen statt eines gewöhnlichen Wort-für-Wort-Alphabets.	VERY_LOW_TRANSLATION_MEDIUM_TEACHABILITY	This is the most economical current workshop grammar; every named function beyond supported placement is provisional and no sound/language/plaintext is implied.
f82r.35-38	darol // darary (daryry/jarary)	D_AR_SHARED_OUTFLOW_CLASS + OL_VERSUS_ARY_SUBTYPE	Linker Ausfluss: aktiver Leitweg durch den OL-Kanal; rechter Ausfluss: aktiver Leitweg durch den ARY-Auslass.	LOW_TO_VERY_LOW_CONTENT_HIGH_LOCAL_VISUAL_PAIR	The two same-class waterfall positions share D/variant-AR and differ in their tails, but ownership is proximity-based, the right reading varies and outflow/channel/subtype meanings were inferred from the same picture.
f83r.50-51	sasoldal/saroldal/s roldal // darolsy	S_CARRIED_AR_OL_DAL_STATE // D_ACTIVE_AR_OL_SY_STATE	Links den zugeführten oder rücklaufenden OL-Leitweg zum DAL-Becken führen; rechts den OL-Leitweg im SY-Sprüh- oder Abgabezustand aktivieren.	VERY_LOW_CONTENT_HIGH_LOCAL_SYSTEM_COHERENCE	The D-side is exact and visually flow-like, but the S-side reading and ownership are unstable; inlet/outlet/reservoir/spray are explicit theory-generation glosses.
bio_three.VARIABLE_BATH_RECORD	2 / 3 / 5+2 prose blocks with independent labels	SILENT_BATH_SITE_OR_APPARATUS + OPTIONAL_IDENTITY_SETTING_HYDRAULIC_INDICATION_PROCEDURE_OUTCOME_MODULES	Je Seite einen stillschweigend gezeigten Badeort oder Behandlungskomplex mit einer variablen Auswahl aus Identität, Lage, hydraulischer Beschreibung, Indikation, Durchführung/Vorsicht und Ergebnis dokumentieren; Bildkarten benennen lokale Komponenten.	VERY_LOW_CONTENT_MEDIUM_HISTORICAL_SCHEMA_FIT	De balneis comparators license the variable package, not any paragraph-role mapping; bath/site/treatment and every medical content assignment remain speculative.
herbal_four.ENTRY_INCIPITS	PCHOCTHY / TSHOL / KCHEDCHDY / O|CHAL	PAGE_SPECIFIC_HERBAL_ENTRY_ADDRESS_A	Den ersten Pflanzen-Unterabschnitt mit einer individuellen, aus bekannten Formfamilien kompilierten Adress- oder Klassenkarte eröffnen; das Bild bleibt der eigentliche stille Titel.	VERY_LOW_CONTENT_MEDIUM_DOCUMENT_SLOT	Unique incipits are compatible with names/synonyms but paragraph-start rarity is generic and no plant name or lexical identity is established.
scribe_workflow.FIVE_HANDS	DRAW_FIRST | ABSTRACT_SOURCE | REGISTER_TABLE | STATEFUL_COPY | LOCAL_REFERENCE | SPACE_RENDER | PARAGRAPH_COMMIT	SHARED_WORKSHOP_COMPILER_WITH_HAND_LOCAL_RENDERING	Der Meister legt Bild und Register fest; der Schreiber überführt den Quellinhalt in wenige Karten, trägt Zustand und lokale Referenzen ein, passt JOIN/SPACE an den freien Raum an und schließt erst am Absatzende ab.	SPECULATIVE_BUT_HIGH_SYSTEM_COHERENCE	This is a plausible production model, not evidence for a specific workshop, source language, secrecy motive or historical location.
bio_three.BOLD_PARAPHRASE	f81v setup→process; f82r three modules+DAR pair; f83r five modules+local conduit circuit	PRACTICAL_BATH_OR_APPARATUS_RECORDS_WITH_HYDRAULIC_LEGENDS	Drei unterschiedlich ausführliche Einträge zu Bad, Quelle, Behandlung oder Apparat: Werte und Medium festlegen, Vorgänge dokumentieren und lokale Zu-/Abflüsse beziehungsweise Komponenten mit kurzen Bildkarten kennzeichnen.	VERY_LOW_TRANSLATION_HIGH_INTERNAL_COHERENCE	This is the strongest end-to-end invented reading; bath/source/treatment/apparatus, every paragraph role and every local operation remain unconfirmed.
ten_page.COUNTEREXAMPLE_CORRECTED_LEXICON	OL / AROL / OKAL / OTAIN / SOL / CHOL CTHY	REGISTER_LOCAL_CATEGORIES_AND_CONSTRUCTION_HEADS_NOT_GLOBAL_WORDS	OL und AROL nur als registergebundene Träger-/Leitwegkonstruktionen, OKAL als wiederverwendbare Kategorie, OTAIN als lokaler Apparaturkandidat und SOL als anonymer Konstruktionskopf lesen; keine Form als universelles Wasser-, Bad- oder Tätigkeitswort behandeln.	LOW_CONTENT_HIGH_SELF_CORRECTION	Cross-register occurrences, reading instability, sparse exact forms and failed transfer tests defeat stronger word glosses while preserving the construction-level theory.
ten_page.TECHNICAL_EVENT_GRAMMAR	S carry → D set → AIIN value → OL carrier → Q+EDY linked state → AR transfer → DY checkpoint	ABSTRACT_RECIPE_OR_SPECIFICATION_EVENT_SEQUENCE	Aktuellen Zustand übernehmen, lokalen Wert oder Gegenstand setzen, Träger/Medium angeben, verknüpften bearbeiteten Zustand aufrufen, über eine Relation weiterführen und den lokalen Schritt abhaken.	VERY_LOW_TRANSLATION_MEDIUM_EVENT_COHERENCE	This is an event-level analogy usable for language or notation; none of carry/set/value/carrier/process/transfer is a confirmed word meaning.
astro_three.MULTI_TABLE_SYSTEM	f67r2 12+7+8 // f68r1 28 noncentral+center // f69v ordered 28+alternation	MULTILAYER_SELECTION_WHEEL | SPATIAL_OBJECT_CATALOGUE | ORDERED_STATE_OR_PROGNOSIS_SCHEDULE	Zwölf Sektoren, eine selektive Siebenerlage und einen separaten zentralen Achterring kombinieren; eine räumliche Stern-/Stationskonfiguration bestimmen; anschließend im geordneten 28er-Schema eine registrierte Zustandskarte nachschlagen.	VERY_LOW_CONTENT_HIGH_HISTORICAL_COHERENCE	The human inventory explicitly contains all three f67r2 layers; no layer is identified, and f68/f69 share zero exact label groups, have no fixed common order and do not establish lunar mansions, prognosis or treatment timing.
f69v.PARITY_SCAFFOLD	28 ordered slots with strict LONG/SHORT alternation	VISIBLE_ODD_EVEN_OR_TWO_COLUMN_BIT + WRITTEN_VARIABLE_CARD	Die sichtbare Lang/Kurz-Alternation nur als Kopier- oder Paritätsgerüst verwenden; die wechselnde Schriftkarte trägt den eigentlichen lokalen Wert.	LOW_CONTENT_HIGH_LAYOUT_EXPLANATION	F69LS001 found no textual LONG/SHORT marker, which supports silent geometry but not odd/even, good/bad, lunar day or any binary meaning.
ten_page.SENTENCE_HIERARCHY	PAGE > PARAGRAPH > LINE > FIELD > GROUP > JOIN/SPACE	ILLUSTRATED_ENTRY > RECORD_MODULE > WRITING_PACKET > LOCAL_CLAUSE_CELL > RENDERED_CARD	Eine Aussage über mehrere physische Zeilen und mehrere DY-Felder hinweg lesen; den Absatz als Record oder Diskursmodul und das Bild als stillen Eintragskopf behandeln.	HIGH_ARCHITECTURE_VERY_LOW_LINGUISTIC_SYNTAX	Module spans of 2–18 lines are observed, but sentence count, clause semantics, SVO/POS and punctuation remain unknown; B3 is not a confirmed period.
herbal_A.CHOL_CTHY_QUALITY_REVISION	qotchol/tchol + chol | cthy	MARKED_CLASS_CARD + PAIRED_QUALITY_OR_CONSTITUTION_FORMULA	Für die Pflanze zwei registrierte Eigenschaften oder Konstitutionswerte eintragen, versuchsweise ein Paar wie heiß/kalt und trocken/feucht mit optionalem Gradwert.	VERY_LOW_LEXICAL_CONTENT_MEDIUM_HISTORICAL_FUNCTION	Exact recurrence across three distinct Herbal-A plants and CHOL in circle text favour a quality formula over water preparation, but hand/register are confounded and no actual quality, conjunction or degree is decoded.
herbal_four.MODULE_ORDER_WEAK	first module // second module	INTRINSIC_CLASSIFICATION_DEFAULT // RELATIONAL_OR_PROCEDURAL_DEFAULT	Zuerst vorzugsweise Identität, Klasse und innere Eigenschaften des Pflanzenstoffs; danach vorzugsweise Verwendung, Zubereitung, Menge oder Anwendung dokumentieren.	VERY_LOW_CONTENT_WEAK_DISTRIBUTIONAL_ORDER	AR-family density rises from 6/167 to 16/192 and does not decline on any of four pages, but f55v dominates, OL/AIIN contrasts are small and the prior powered ordinal route failed.
ten_page.WORKSHOP_HANDBOOK_V04	image + paragraph modules + fields + rendered groups	PICTURED_ADDRESS + REGISTER_TABLE + RECORD_MODULES + STATEFUL_RENDERER	Das Bild oder Diagramm liefert den stillen Eintrag; der Schreiber trägt aus einer registerabhängigen Kartentabelle Klasse und Qualität, Werte, Beziehungen, Vorgänge oder Anwendungen ein und schließt lokale Felder beziehungsweise Absatzmodule mit einem gemeinsamen kleinen Compiler.	SPECULATIVE_CONTENT_HIGH_SYSTEM_COHERENCE	Illustrated herbals, bath treatises and medical almanacs make the package historically plausible, but no comparator establishes textual descent, language, cipher, any individual card meaning or a uniquely medical purpose.
ten_page.SHARED_COMPILER_CENSUS	daiin/aiin + s- + dy + dal/dar // sol + ol	PORTABLE_VALUE_CARRY_CHECKPOINT_RELATION_CARDS // BIOLOGICAL_LOCAL_HEADS	Mit wenigen gemeinsamen Karten Werte oder Referenzen setzen, Zustand über Zeilen fortführen, lokale Relationen angeben und Felder abhaken; erst die jeweilige Registertafel liefert Pflanzen-, Apparatur- oder Kreisinhalte.	LOW_FUNCTIONAL_HIGH_DISTRIBUTIONAL_COHERENCE	DAIIN/AIIN occur on eight pages, S and DY on seven with opposite edge profiles, while SOL is confined to two Biological pages and 6/8 line-initial; exact meanings and grammatical categories remain invented.
ten_page.MASTER_LOCAL_FORMULAE	qolchedy | qokain // dy | daiin // chol | cthy // ol | s | aiin	BIOLOGICAL_DY_CLOSED_FIELD_HANDOFF // PORTABLE_D_RENDERED_PAIR // HAND1_HERBAL_FORMULA // HAND2_JOIN_SPACE_FORMULA	Einen formal gesicherten Feldübergang im Biological-Register verwenden; daneben eine registerübergreifende D-gerenderte Kartenfolge und schreiberlokale Herbal- beziehungsweise Hand-2-Formeln einsetzen.	HIGH_FORM_LOW_FUNCTION	Only QOLCHEDY→QOKAIN has an independently represented closure-to-next-field handoff; DY→DAIIN is a D:Y→D:AIIN sequence, while CHOL CTHY and OL S AIIN remain hand/register-confounded and semantically unassigned.
cross_register.CHOL_AXIS	chol / ol // cthy / shecthy / checthy	SAME_EXACT_L_AND_CTHY_CARDS_UNDER_DIFFERENT_RENDERERS	Eine gemeinsame L-Karte und eine gemeinsame CTHY-Karte je nach Register und Position mit oder ohne Wrapper darstellen; erst die lokale Konstruktion verbindet sie.	HIGH_EXACT_FORM_CONTENT_UNASSIGNED	GDT327 collapses covered Herbal CHOL and Bio OL to tuple dcda95c8 and crosses the CTHY card into Bio under sh/che wrappers; the older quality-axis gloss is withdrawn.
hand2.OL_S_AIIN	ol | s | aiin / ol | saiin	HAND2_REGISTER_LOCAL_JOIN_SPACE_CONSTRUCTION	Eine OL-Kontextkarte mit der S-AIIN-Konstruktion verbinden; ob S und AIIN getrennt oder verbunden geschrieben werden, kann zur lokalen Darstellung gehören.	MEDIUM_FORM_CONTENT_UNASSIGNED	f55v.10 preserves OL S AIIN in all readings; f82r.16 has OL S AIIN in ZL/RF but OL SAIIN in IT, supporting construction continuity across a boundary disagreement rather than a word gloss.
ten_page.PARAGRAPH_CLOSURE	8 Herbal and 10 main Biological paragraph endings	LAYOUT_RECORD_END_WITH_OPTIONAL_LOCAL_CLOSER	Den mehrzeiligen Datensatz durch Absatzabstand und Reset beenden; das letzte sichtbare Kärtchen hängt vom lokalen Inhalt ab und ist kein universeller Punkt.	HIGH_LAYOUT_LOW_CONTENT	Herbal endings have 7 types in 8 records and Biological endings 9 types in 10 records; only DAIIN and SHEDY respectively repeat, so no universal surface closer exists.
f67r2.MULTILAYER_WHEEL	12 sector texts + 12 lower labels + 7 selective upper labels + 8 central labels + bottom legend	THREE_LAYER_GEOMETRY_OWNED_LOOKUP	Einen Hauptfall im Zwölferrad bestimmen, eine nur in sieben Sektoren belegte Zusatzlage und den unabhängigen zentralen Achterring konsultieren und anschließend die lokale Regelkarte lesen.	HIGH_INVENTORY_VERY_LOW_FUNCTION	All counts and ownership classes come from the human annotation atlas; zodiac, planet, wind, direction, phase, medicine and every layer value remain unassigned.
f67r2.LAYER_NAMESPACES	upper7=9 groups // lower12=17 groups // central8=10 groups	THREE_DISTINCT_LOCAL_CARD_NAMESPACES	Die drei sichtbaren Ringlagen über getrennte lokale Kartenvorräte adressieren und erst durch eine nicht rekonstruierte Tabellenregel miteinander kombinieren.	MEDIUM_FORM_VERY_LOW_FUNCTION	No exact group bridges upper/lower or upper/central in any reading; ZL OKODAR bridges lower/central only, but IT and RF disagree, so no stable cross-ring key survives.
ten_page.WORKSHOP_V06	picture-address | paragraph-record | opaque cards | licensed compiler | hand/space renderer	HYBRID_SOURCE_ABBREVIATION_TECHNICAL_CODEBOOK_STATEFUL_RENDERER	Das Bild zuerst anlegen, danach pro Absatz einen fachlichen Datensatz aus Registerkarten zusammenstellen, die Karten mit dem gemeinsamen Konstruktionstableau rendern und den Text um die Zeichnung umbrechen.	MEDIUM_ARCHITECTURE_VERY_LOW_CONTENT	This is the best generative working theory, not recovered plaintext; the card table, source language and all exact meanings remain unknown.
ten_page.FIELD_ECOLOGY	Herbal selected lines: mostly long fields // Biological selected lines: 43-50% singleton and 71-75% DY-closed	CONTENT_TEMPLATE_X_CURRIER_HAND_RENDERER	Pflanzen- und Bad-/Apparaturaufzeichnungen mit verschiedenen Inhaltsschemata anlegen, sie aber zusätzlich nach dem langen A- beziehungsweise dicht segmentierten B/Hand-2-Schreibmodus rendern.	MEDIUM_FORM_CONTENT_UNASSIGNED	GDT031-032 already show length-normalized Herbal B segmentation, so Biological field density is not by itself evidence for actions or procedural semantics.
bio.CARD_259B2B3B	dchedy / schedy / tchedy	ONE_OPAQUE_DY_CLOSED_CARD_WITH_THREE_SURFACE_RENDERINGS	Dasselbe registrierte Ein-Feld-Kärtchen je nach lokalem Schreibzustand als DCHEDY, SCHEDY oder TCHEDY ausgeben.	HIGH_INHERITED_FORM_CONTENT_UNASSIGNED	The three fixed-page occurrences are line-initial in hand 2/Currier B and share one frozen GDT327 joint-tuple ID; this illustrates the parser's renderer model but is not new proof of authorial allomorphy.
ten_page.NO_MULTIGROUP_COPY	135 GDT327 fields; 53 singleton and 82 multigroup; zero cross-page exact repeated multigroup fields	REUSABLE_CARDS_WITH_PRODUCTIVE_FIELD_COMPOSITION	Wiederkehrende Einzelkarten und Übergänge zu neuen lokalen Feldern zusammensetzen, statt ganze mehrgliedrige Sätze aus einer festen Phrasenliste zu kopieren.	MEDIUM_FORM_LOW_GENERALITY	The result uses only the selected GDT327-covered lines on seven fixed pages and is capacity-limited; it distinguishes neither ordinary syntax from notation nor establishes meaning.
ten_page.THREE_ADDRESS_MODES	Herbal own-paragraph carry // Biological shared register deck // Astro geometry-owned cells	PAGE_ADDRESSED | REGISTER_ADDRESSED | COORDINATE_ADDRESSED	Bei Pflanzen den gezeichneten Seiteneintrag und seine lokalen Karten weiterführen; bei Bad-/Apparaturseiten ein gemeinsames Verfahrensdeck verwenden; bei Kreisdiagrammen die sichtbare Position als Adresse und Schrift nur als Restwert behandeln.	MEDIUM_ARCHITECTURE_VERY_LOW_CONTENT	Herbal own-first-paragraph reuse exceeds other-page first-paragraph reuse on 4/4 pages, whereas Biological later paragraphs are not own-page enriched; this is a small posthoc pattern and does not identify any card.
ten_page.REGISTER_IDENTITY_ALLOCATION	Herbal TTR .613/cross-page events .421 // Biological .464/.576 // Astro .761/.227	MIXED_PAGE_IDENTITY | SHARED_REGISTER_DECK | LOCAL_COORDINATE_VALUES	Im Herbal-Register seitenlokale Identität mit gemeinsamen Eigenschaftskarten mischen; im Biological-Register viele wiederkehrende Ablauf-/Zustandskarten einsetzen; im Astro-Register überwiegend lokale zellenbezogene Kennungen schreiben.	MEDIUM_DISTRIBUTIONAL_VERY_LOW_SEMANTIC	Exact ZL surface counts on the fixed pages support different identity allocation, but action, quality, identifier, value and every concrete role are working alternatives rather than decoded meanings.
bio.FIELD_GRAMMAR	qokaiin/qokeey/qokal ... ol/daiin/chedy ... qokeedy/qokedy/shedy/lchedy	ENTRY_OR_PARAMETER + ARGUMENT_OR_MODIFIER* + OPTIONAL_CLOSED_STATE	Ein registriertes Eingangs- oder Parameterkärtchen eröffnen, lokale Argument-/Relationskarten anhängen und die Zelle gegebenenfalls mit einer formal geschlossenen Zustandskarte abschließen.	HIGH_FORM_VERY_LOW_SEMANTIC	In the GDT327-covered fixed-page lines the four proposed closers are DY-closed in every observed event while the proposed openers/interiors are not; action, parameter, argument and result are anonymous workshop glosses.
f83r.6	schedy // chedchy | qokal | olchedy // qokaiin | chedy | qokeedy // lchedy // qoky	CLOSED_CELL // ENTRY+ARGUMENT+CLOSED_STATE // ENTRY+INTERIOR+CLOSED_STATE // CLOSED_CELL // OPEN_RESIDUE	Einen abgeschlossenen Zustand notieren; einen QOKAL-Eintrag mit OL-Zustand abschließen; einen neuen AIIN-Eintrag mit CHEDY und QOKEEDY abschließen; einen weiteren geschlossenen Zustand setzen; QOKY als offene Fortsetzung stehen lassen.	HIGH_FORM_VERY_LOW_CONTENT	This is a field-level specification paraphrase, not plaintext; all state, entry and continuation content is unassigned.
f83r.25	qokeedy // qolchey | qokeey | qokedy // chedy | otal	CLOSED_CELL // ENTRY_SEQUENCE+CLOSED_STATE // INTERIOR+OPEN_VALUE	Eine geschlossene Zelle setzen; im nächsten Feld OLCHEY und QOKEEY eintragen und mit QOKEDY schließen; danach CHEDY und OTAL als offene Anschlussangabe schreiben.	HIGH_FORM_VERY_LOW_CONTENT	The formal three-field segmentation is stable in GDT327; no process, quantity, object or sentence meaning is identified.
ten_page.DRAWING_FIRST_REFLOW	drawing geometry -> paragraph module -> physical line packets	SILENT_VISUAL_ADDRESS + SPACE_CONSTRAINED_RENDERER	Einen Absatzrecord in die nach der vorgezeichneten Illustration verfügbare Fläche schreiben und bei Bedarf über mehrere Zeilen oder Blöcke fortsetzen; Zeilenende nicht als Satzende und Nähe nicht automatisch als Besitz lesen.	MEDIUM_PRODUCTION_HIGH_LAYOUT_COHERENCE	The page shapes visibly constrain text flow, but exact drawing-before-text chronology and paragraph source structure are working assumptions; local diagram ownership still requires geometry.
