statement_id	page	record	events	card_sequence	surface_sequence	role_sequence	role_length	working_reading_de
B4-S003	f83r	B4	7	PROC042|PROC131|PROC065|PROC092|PROC008|PROC013|PROC078	chedy otal otchey qokeey qoky tol shedy	CURRENT_ITEM>TARGET>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>CONTINUE>CLOSE_STEP	7	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zum Ziel und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, fortsetzen, absetzen und schliessen.
B4-S004	f83r	B4	1	PROC155	qokylddy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.
B4-S005	f83r	B4	3	PROC156|PROC042|PROC100	dain chedy qokeedy	QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	3	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
B4-S006	f83r	B4	1	PROC099	shckhedy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S007	f83r	B4	1	PROC099	shckhedy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S008	f83r	B4	4	PROC009|PROC046|PROC157|PROC067	saiin cheeky sheey qokedy	QUANTITY_STAGE>CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	4	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Mass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
B4-S009	f83r	B4	1	PROC078	shedy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.
B4-S010	f83r	B4	1	PROC047	oldy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Fortsetzen; den Schritt schliessen.
B4-S011	f83r	B4	7	PROC009|PROC083|PROC158|PROC080|PROC042|PROC013|PROC159	saiin cheky okeeol okain chdy sol lkedy	QUANTITY_STAGE>CURRENT_ITEM>CONTINUE>QUANTITY_STAGE>CURRENT_ITEM>CONTINUE>CLOSE_STEP	7	An der linken offenen Randstation: Nach Mass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, fortsetzen, kurz weiterleiten und zudosieren, dann schliessen.
B4-S012	f83r	B4	1	PROC120	lchedy	CLOSE_STEP	1	An der linken offenen Randstation: Weiterleiten und umsetzen; den Schritt schliessen.
B4-S013	f83r	B4	2	PROC160|PROC078	qokol shedy	CONTINUE>CLOSE_STEP	2	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.
B4-S014	f83r	B4	4	PROC016|PROC019|PROC161|PROC162	or chey qockhey dairydy	PREPARATION>CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	4	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Gang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.
B4-S015	f83r	B4	6	PROC080|PROC031|PROC069|PROC163|PROC164|PROC120	qokain shey kain chckhal solkey lchedy	QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE>TARGET>CURRENT_ITEM>CLOSE_STEP	6	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zudosieren, durch den Durchlass am Ziel abnehmen, kurz auffangen, weiterleiten, umsetzen und schliessen.
B4-S016	f83r	B4	4	PROC070|PROC055|PROC165|PROC078	qolkain dal skar shedy	QUANTITY_STAGE>TARGET>SOURCE>CLOSE_STEP	4	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zudosieren, am Ziel aus der Quelle nachdosieren, absetzen lassen und schliessen.
B5-S001	f83r	B5	1	PROC166	otchdy	CLOSE_STEP	1	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
B5-S002	f83r	B5	1	PROC082	qokchdy	CLOSE_STEP	1	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.
B5-S003	f83r	B5	9	PROC142|PROC055|PROC013|PROC167|PROC168|PROC009|PROC013|PROC169|PROC042	shedal dal cheol lol chdal aiin sol daiiin chedy	TARGET>TARGET>CONTINUE>CONTINUE>TARGET>QUANTITY_STAGE>CONTINUE>QUANTITY_STAGE>CURRENT_ITEM	9	An der linken offenen Nebenstation: Am Ziel absetzen und dort weiterarbeiten; weiterleiten und fortsetzen, am Ziel umsetzen, nach Mass fortsetzen, fuer den zweiten Durchgang bis zur Stufe fuehren und den Posten umsetzen.
B6-S001	f83r	B6	9	PROC170|PROC171|PROC172|PROC013|PROC009|PROC013|PROC156|PROC019|PROC173	solkeey qekey raly ol daiin ol dain chey ldalor	CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>CONTINUE>QUANTITY_STAGE>CONTINUE>QUANTITY_STAGE>CURRENT_ITEM>PREPARATION	9	An der rechten S-Lauf-Nebenstation: Den Posten laenger auffangen, kurz zudosieren, am Ziel kuehlen, nach Mass weiterarbeiten, eine Portion nehmen und den Ansatz zum Ziel weiterleiten.
