body	occurrence_total	concrete_body_role_de	family	confidence	positive_evidence	counterevidence	scope	head_occupancy	opaque_heads	bare_body_occurrences	literal_lexeme_confidence	renderer_license	component_export_credit	export_rule
olkain	3	erhitztes Material: Index II	HEATED_MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+3_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H2	33	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olkedy	3	erhitztes Materialergebnis, Form I	HEATED_MATERIAL_RESULT	HIGH	RESULT_LATTICE+V99_WHOLE+3_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H1|H2	22	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olky	3	erhitztes Material, Grundform	HEATED_MATERIAL	MEDIUM_HIGH	STATE_LATTICE+20_BARE+ONE_HEADED_WHOLE+3_MULTIHEAD	NO_EXACT_BODY_WHOLE	HELD_WHOLES_ONLY	3	H1|H2|H3	20	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olor	3	Zutaten- oder Materialportion	MATERIAL_PART	HIGH	V99_WHOLE+MATERIAL_PART_FAMILY+3_MULTIHEAD	INGREDIENT_VS_GENERIC_PART	HELD_WHOLES_ONLY	2	H1|H2	26	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olshey	3	angefeuchtetes Material, Form I	MOIST_MATERIAL	HIGH	MOIST_MATERIAL_LATTICE+V99_WHOLE+3_MULTIHEAD	SOAKED_VS_MOIST	HELD_WHOLES_ONLY	2	H1|H2	13	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ory	3	Teil-/Portionsträger, Grund-/Schlussform	PART_CLOSE	MEDIUM_HIGH	GDT736_OR_PLUS_Y_FAMILY+ONE_HEADED_WHOLE+3_MULTIHEAD	NO_EXACT_BODY_WHOLE	HELD_WHOLES_ONLY	3	H2|H3|H4	13	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheckhy	3	angefeuchtete Mischung, Grundform	MOIST_MIXTURE	MEDIUM_HIGH	V99_WHOLE+MOIST_MIXTURE_FAMILY+3_MULTIHEAD	PATIENT_OPEN	HELD_WHOLES_ONLY	2	H2|H4	33	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheol	3	Feuchtmaterial, Form I	MOIST_MATERIAL	HIGH	V99_WHOLE+MOIST_MATERIAL_LATTICE+90_BARE+3_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY	3	H2|H3|H4	90	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
tain	3	Kälte-/Abkühlindex II	COLD_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+THREE_HEADED_WHOLES+3_MULTIHEAD	TEMPERATURE_VS_PROCESS+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H3|H4	9	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
alar	2	Rohstoff-/Materialfraktion I	MATERIAL_PART	MEDIUM	AL_PLUS_AR_FAMILY+2_MULTIHEAD+BOS_ITEM_POSITION	NO_EXACT_BODY_WHOLE+LOW_N	HELD_WHOLES_ONLY	2	H1|H2	2	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
alchey	2	trockenes Rohmaterial, Stufe I/Form I	DRY_MATERIAL	HIGH	V99_WHOLE+DRY_MATERIAL_FAMILY+2_MULTIHEAD	RAW_VS_GENERIC_MATERIAL+LOW_N	HELD_WHOLES_ONLY	2	H2|H3	4	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
alol	2	Rohmaterialträger	MATERIAL_CARRIER	HIGH	V99_WHOLE+AL_OL_FAMILY+2_MULTIHEAD	PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY	2	H2|H3	7	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chaiin	2	Trockenindex oder -grad III	DRY_VALUE	HIGH	GDT626_VALUE_LADDER+V99_WHOLE+48_BARE+2_MULTIHEAD	GRADE_VS_CLASS	HELD_WHOLES_ONLY	2	H1|H2	48	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chedair	2	getrocknete Fraktion, Form I/Wert II	DRY_PART_VALUE	MEDIUM	DRY_RESULT_PLUS_AIR_FAMILY+2_BOS_FORMS	NO_EXACT_BODY_WHOLE+LOW_N+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H2	0	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chees	2	getrocknete Mischung, Form II	DRY_MIXTURE	HIGH	V99_WHOLE+DRY_STATE_LATTICE+32_BARE+2_MULTIHEAD	MIXTURE_PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY	2	H2|H3	32	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chos	2	trockene Zubereitung oder Trockenposten	DRY_PREPARATION	MEDIUM_HIGH	V99_WHOLE+DRY_PREP_FAMILY+30_BARE+2_MULTIHEAD	PREP_VS_ITEM+LOW_N	HELD_WHOLES_ONLY	2	H2|H3	30	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
choy	2	trockene Zubereitung, Grund-/Schlussform	DRY_PREP_CLOSE	HIGH	V99_WHOLE+DRY_PREP_FAMILY+14_BARE+2_MULTIHEAD	ACTION_VS_STATE+LOW_N	HELD_WHOLES_ONLY	2	H1|H2	14	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chr	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS+NEIGHBORS_ONLY	NO_EXACT_BODY_ROLE+NO_STABLE_FAMILY+LOW_N	UNKNOWN	2	H3|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
dal	2	abgemessene Materialstufe I	MATERIAL_MEASURE	MEDIUM_HIGH	V99_WHOLE+191_BARE+2_MULTIHEAD	ACTION_VS_VALUE_FIELD+LOW_N	HELD_WHOLES_ONLY	2	H1|H2	191	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
keeal	2	vollständig erhitztes Material, Stufe I	HEATED_MATERIAL	LOW	V99_W0_WHOLE+HEAT_MATERIAL_FAMILY+2_MULTIHEAD	ONE_BARE_OCCURRENCE+PATIENT_OPEN	HELD_WHOLES_ONLY	2	H2|H4	1	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ochey	2	trockene Zubereitung, Form I	DRY_PREPARATION	MEDIUM_HIGH	GDT736_CHEY_PLUS_O_FAMILY+5_BARE+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	5	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
odair	2	Zubereitungsanteil oder -dosis, Stufe II	PREP_PART_VALUE	LOW	GDT736_AIR_VALUE_FAMILY+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+ONE_BARE+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H2	1	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oees	2	Zubereitungsposten, Endform	PREPARATION_ITEM	MEDIUM	V99_WHOLE+9_BARE+2_MULTIHEAD	BATCH_VS_FORM+LOW_N	HELD_WHOLES_ONLY	2	H3|H4	9	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oiir	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS+6_BARE	NO_EXACT_BODY_ROLE+NO_LICENSED_VALUE_LADDER	UNKNOWN	2	H2|H3	6	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oiis	2	UNKNOWN	UNKNOWN	UNKNOWN	TWO_MULTIHEAD_FORMS	NO_BARE_OCCURRENCE+NO_EXACT_BODY_ROLE	UNKNOWN	2	H1|H2	0	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oiry	2	Zubereitungsfraktion II, Grund-/Schlussform	PREP_PART_CLOSE	LOW	ONE_HEADED_WHOLE+OI_OR_Y_FAMILY+2_MULTIHEAD	NO_BARE_OCCURRENCE+OLD_PATIENT_DEPENDENCE	HELD_WHOLES_ONLY	2	H2|H3	0	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okaiin	2	erhitzte Zubereitung: Index III	HEATED_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+200_BARE+2_MULTIHEAD	GRADE_VS_CLASS+LOW_HEADED_N	HELD_WHOLES_ONLY	2	H2|H4	200	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okain	2	erhitzte Zubereitung: Index II	HEATED_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+132_BARE+2_MULTIHEAD	GRADE_VS_CLASS+LOW_HEADED_N	HELD_WHOLES_ONLY	2	H1|H4	132	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okedy	2	erhitztes Zubereitungsergebnis, Form I	HEATED_PREP_RESULT	HIGH	RESULT_LATTICE+V99_WHOLE+87_BARE+2_MULTIHEAD	STATE_VS_PROCESS+LOW_HEADED_N	HELD_WHOLES_ONLY	2	H2|H4	87	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olain	2	Materialträger: Wert II	MATERIAL_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+11_BARE+2_MULTIHEAD	AMOUNT_VS_CLASS+LOW_N	HELD_WHOLES_ONLY	2	H2|H4	11	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olchor	2	Trockenmaterialportion	DRY_MATERIAL_PART	MEDIUM	OL_PLUS_CHOR_FAMILY+2_MULTIHEAD+KNOWN_VALUE_NEIGHBOR	NO_EXACT_BODY_WHOLE+ONE_BARE	HELD_WHOLES_ONLY	2	H1|H4	1	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olchy	2	Trockenmaterial, Grundform	DRY_MATERIAL	HIGH	V99_WHOLE+DRY_MATERIAL_LATTICE+9_BARE+2_MULTIHEAD	OLD_PATIENT_REMOVED+LOW_N	HELD_WHOLES_ONLY	2	H1|H3	9	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oldaiin	2	Materialergebnis: Dosis oder Wert III	MATERIAL_RESULT_VALUE	MEDIUM	D_LADDER+MATERIAL_RESULT_FAMILY+7_BARE+2_MULTIHEAD	NO_EXACT_BODY_WHOLE+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H4	7	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olol	2	Materialgrundlage oder Materialansatz	MATERIAL_CARRIER	MEDIUM	V99_WHOLE+OL_CARRIER_FAMILY+14_BARE+2_MULTIHEAD	OLD_PATIENT_REMOVED+SEMANTICALLY_BROAD	HELD_WHOLES_ONLY	2	H2|H4	14	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oror	2	gekoppelter Teil-/Portionsträger	PART_PAIR	LOW	V99_WHOLE+REPEATED_OR_FAMILY+2_MULTIHEAD	ABSOLUTE_TWO_UNSUPPORTED+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	4	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
osaiin	2	Zubereitungsposten: Wert III	PREP_ITEM_VALUE	LOW	VALUE_LADDER+ONE_HEADED_WHOLE+5_BARE+2_MULTIHEAD	INTERNAL_HEADLIKE_S+OLD_PATIENT_DEPENDENCE	HELD_WHOLES_ONLY	2	H1|H4	5	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
otaiin	2	kalte/abgekühlte Zubereitung: Index III	COLD_PREP_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+138_BARE+2_MULTIHEAD	TEMPERATURE_VS_PROCESS+LOW_HEADED_N	HELD_WHOLES_ONLY	2	H2|H3	138	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
paiin	2	Verweis auf H1-Ordinal-III-Eintrag	NESTED_RECORD_FORM	STRUCTURE_ONLY	BODY_IS_REGISTERED_H1_PLUS_AIIN_FORM+2_MULTIHEAD	DOUBLE_HEADING_SEGMENTATION+NO_NEW_LEXEME	STRUCTURE_ONLY	2	H2|H4	7	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
pchey	2	Verweis auf H1-Trockenform-I-Eintrag	NESTED_RECORD_FORM	STRUCTURE_ONLY	BODY_IS_REGISTERED_H1_PLUS_CHEY_FORM+2_MULTIHEAD	DOUBLE_HEADING_SEGMENTATION+NO_NEW_LEXEME	STRUCTURE_ONLY	2	H3|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shar	2	angefeuchtete Teil-/Fraktionsstufe I	MOIST_PART	HIGH	V99_WHOLE+MOIST_PART_FAMILY+29_BARE+2_MULTIHEAD	MOIST_VS_SOAKED+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	29	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shdaiin	2	angefeuchtetes Ergebnis: Dosis oder Wert III	MOIST_RESULT_VALUE	HIGH	V99_WHOLE+D_LADDER+MOIST_RESULT_FAMILY+2_MULTIHEAD	DIMENSION_OPEN+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	4	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheg	2	opaker feuchtbezogener Eintragsabschluss G	ENTRY_CLOSE	STRUCTURE_ONLY	2_OF_2_CACHE_FORMS_LINE_FINAL+MOIST_FAMILY_PREFIX	NO_PHARMACEUTICAL_IDENTITY+NO_BARE_OCCURRENCE	STRUCTURE_ONLY	2	H3|H4	0	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheo	2	feuchte oder angeweichte Zubereitung	MOIST_PREPARATION	HIGH	V99_WHOLE+MOIST_PREP_FAMILY+37_BARE+2_MULTIHEAD	MOIST_VS_SOAKED+LOW_N	HELD_WHOLES_ONLY	2	H2|H4	37	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheodar	2	angefeuchtete Zubereitungsfraktion I	MOIST_PREP_PART	MEDIUM	MOIST_PLUS_ODAR_FAMILY+2_BOS_FORMS	NO_EXACT_BODY_WHOLE+ONE_BARE+MEASURE_RIVAL	HELD_WHOLES_ONLY	2	H1|H3	1	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shod	2	angefeuchtete, abgemessene Zubereitung	MOIST_DOSED_PREP	MEDIUM	V99_WHOLE+MOIST_MEASURE_FAMILY+10_BARE+2_MULTIHEAD	ACTION_VS_RESULT+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	10	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
