hypothesis_id	status	claim	independent_evidence	predeclared_falsifier	held_data	result
PP001	STOPPED_UNSCORED_COVERAGE_AND_DESIGN_AUDIT	exact complete root-word alternatives may recur inside the same centered three-word construction on independent physical folios beyond both adjacent bigram margins	14 anonymous odd-folio candidates from strict local windows; held-even exact events; manual ZL3b IT2a RF1b transcription alignment; right-context permutation preserving LEFT-CENTER occurrences and CENTER-RIGHT margins	coverage or pairwise-only power failure; T below 3; pairwise-null p above .01; excess below 2; ratio below 2; folio context candidate deletion failure; alternate-reading disagreement; hash control or reconstruction failure	65,536 sealed held-even pairwise-margin permutations under frozen interlinear hash 8052a51fa37ad467e754be39648336ec4014442dab5e223daab2e77efaba4a43	STOPPED BEFORE NULL SCORING: only 269/4797 relevant held occurrences (.056077) move; .70 was a later coverage-code threshold not a preregistered number; independent audit also finds page-vocabulary nonexchangeability cross-reading span uncertainty exposed raw T and underspecified concentration inference; no identities rank or meaning opened
CR001	FINAL_VALIDATED_UNSCORED_PRESCORE_SUPPORT_STOP	root-free internal line-state profiles may carry a shared directed adjacent-minus-skip transformation across physical prose records	258 complete all-reading paragraphs; 90 physical folios; exact 16 IL019 root-free channels; odd/even cross-fit; refitted joint-folio time-reversal null	metadata support failure; channel/nuisance/ZCA/power/control failure; operator nonidentification; minimum effect below .05; shared-sign p above .01; positive-folio subgroup deletion concentration hash or independent-reconstruction failure	one aggregate target only after controls under preregistration SHA256 f55840f29ee91c90ce3b0132b44c830a483a7bd996a249e626e00c7b6f429d43	INDEPENDENTLY RECONSTRUCTED PRESCORE STOP: 181440 channel scalars match exactly and 48 fold diagnostics within 3.33e-16; support 9 folios and opportunity .106481 fail 20/.80, nuisance imbalance .107231 and ordinal correlation .103427 exceed .10; no B_f operator effect or target artifact exists
FXR001	FINAL_VALIDATED_NONCONFIRMATION	literal roots in f69r radial E1 records may be positionally coupled to the source-mapped outer X1 sector register beyond both rings' cyclic organization and label size	Stolfi human transcription fixes both clockwise orders from one decorated wedge and a 22-to-15-sector map; independent medieval sources support a sixteen-direction outer register on wind diagrams; manual ZL3b IT2a RF1b readings	control or 80 percent planted-power failure; exact synchronized product-rotation p above .005; combined excess below .10; any reading excess below .05; fewer than ten positive sectors; any nonpositive sector-deletion effect; nearest-shift root or sector concentration alternate-reading or independent-reconstruction failure	one fixed f69r X1-E1 registration among all 352 source-order-preserving product rotations under interlinear SHA256 8052a51fa37ad467e754be39648336ec4014442dab5e223daab2e77efaba4a43	FINAL VALIDATED NONCONFIRMATION: exact p .286932, excess +.012189 versus +.10, 9/15 positive sectors, every reading below +.05, nearest-shift and root-deletion gates fail; independent numeric parity true; closes only distributed literal-root positional reuse, not semantic correspondence or the 16-direction-register prior
FDC001	FINAL_VALIDATED_NONCONFIRMATION	f69r X1 may contain an unoriented four-base literal-root lattice in which twelve intermediate records compositionally reuse their bounding base roots	new human-source exact-sixteen direction registers plus f69r's independent internal-twelve outer-sixteen wind-direction crosswalk prior; all 48 ZL3b IT2a RF1b sector sets are nonempty	either block tiling or unrestricted max-phase null fails raw .0033; either block effect below .20; reading effect below .10; distribution deletion phase stability control power hash or independent reconstruction failure	one fixed sixteen-sector f69r.X1 ring under two complete 40320 block nulls and 99999 unrestricted synchronous triple permutations; root identities remain sealed through controls	FINAL VALIDATED NONCONFIRMATION: observed .018519 is below even/odd null means .068479/.072064 with effects -.049960/-.053546 and robust p .820833; 14/15 gates fail and independent parity is exact; closes literal four-base root compounding only, not the 12+16 direction prior
SIB001	FINAL_RECOVERED_NONCONFIRMATION_PRODUCTION_ARTIFACT_LOST	visible stars on ZL3b and IT2a consensus-continuation lines may mark a nested formal record boundary below editorial paragraph level	322 human-transcribed visible star starts plus the independently proven correction that archived star-entry units were paragraph-delimited; one previously confirmed root-free D_SELECT_Q opening direction	marker-to-line cyclic-phase p above .05 or internal-star-unit first-minus-last sign-swap p above .05 any reading or page deletion nonpositive input control variance coverage or independent-reconstruction failure	49 markers in 24 nondegenerate consensus blocks and 36 all-reading 3-to-7-line internal-star units under frozen source and interlinear hashes	RECOVERED NONCONFIRMATION: frozen independent scorer gives marker z -.1974 p .575245 and unit z -.4922 p .688385 with every reading effect negative and both sign/deletion gates failing; production completed scores but lost its result to numpy-boolean JSON serialization so no cross-implementation target parity or validated confirmatory status exists
F67R2_4SYS_001	STOPPED_UNSCORED_SOURCE_CAPACITY_VALIDATED	complete f67r2 Q1 literal-root resemblance may be compatible with one of four source-first historical twelve-record system matrices after one exact family-wide correction	four fixed source families selected without new target access; complete human source-view acquisition and target-blind signed-predication protocol; W73 reused read-only	any candidate source eligibility atom evidence nonempty record capacity richness atom-deletion leave-view control hash or independent-validation failure stops all four before target; a later target also requires exact Westfall-Young p at most .04 in every reading with the same unique candidate and orientation plus all robustness vetoes	target remained unopened; nonimporting source-only reconstruction matches all locked houses hashes evidence matrices gates and deletions with zero discrepancies	VALIDATED STOP BEFORE TARGET: houses has 9/12 full and 7/12 leave-one distinct row fingerprints; no Voynich score meaning or translation
F67R2_GA4_001	FINAL_VALIDATED_SOURCE_CAPACITY_STOP	a historical twelve-record source family may be globally recoverable across complete human views even when local sorted row spectra repeat	four inseparable source families; immutable houses package; exact 12! cross-view identity recovery plus all twelve 11! record deletions; retained richness atom and automorphism controls	any source identity is tied or outscored globally any record deletion fails any retained source gate or independent validation fails; houses is tested first and stops all on failure	no Voynich target may be opened until all four source candidates pass under independent validation	INDEPENDENTLY VALIDATED STOP BEFORE TARGET: full houses identity has 90034289 assignments above and 29 equal; every true deletion also fails; 40-check reconstruction has zero discrepancies; no other candidate or Voynich score meaning or translation
F76S001	FINAL_VALIDATED_NONCONFIRMATION	the repeated f76r margin mark s may select a reusable root-free line-entry construction among its three fixed approximately aligned prose lines	nine source-audited mark-line alignments; confirmed line-carrier and role grammar; exact synchronous 84-triplet orbit across ZL3b IT2a RF1b	any support duplicate control hash exact-p rank effect pair channel-deletion alternate-reading or independent-reconstruction gate fails	the fixed positions 1 4 9 among nine f76r aligned lines under interlinear SHA256 8052a51fa37ad467e754be39648336ec4014442dab5e223daab2e77efaba4a43	FINAL VALIDATED NONCONFIRMATION: synchronous tail 41/84 p .488095, minimum effect zero, ranks 18/29/29, every channel deletion nonconfirming, and 27-check reconstruction passes; closes only the fixed root-free repeated-s selector
BERRY001	FINAL_VALIDATED_NONCONFIRMATION	recurrent boundary-aware literal or parsed-root morphology may distinguish explicitly berry-bearing Herbal pages from explicitly no-fruit-or-flower Herbal pages	exact human Gheuens-Rapaport positive and negative phrases; disjoint 8/7 physical-page panel; all section H Currier A hand 1; manual ZL3b IT2a RF1b confirmed prose; token-length and folio-order nuisance controls	controls hash feature inventory exact 6435 orbit familywise p raw sensitivity direction .015 effect four-page support every-page deletion alternate-reading or independent-reconstruction gate fails	one frozen source-exposed 8-of-15 assignment under freeze SHA256 48d02de64f02450a564d9fed9e07659128cf3689beef5a07d6b1ea8f5d640cd8 runner be9ef795246c987f871103ff2839488e27cb0f1da12f5376691db48aa04726cf interlinear 8052a51fa37ad467e754be39648336ec4014442dab5e223daab2e77efaba4a43	FINAL VALIDATED NONCONFIRMATION: zero of 359 features passes; sole near-miss ROOT_PREFIX:oii has adjusted familywise p .080963 and raw p .139239 despite six-page support and every-page deletion stability; independent target reconstruction passes 16 checks; no berry word negation or translation
FLOWER001	FINAL_VALIDATED_NONCONFIRMATION	recurrent boundary-aware literal or parsed-root morphology may distinguish explicitly side-view-flower Herbal pages from explicitly no-fruit-or-flower Herbal pages under a distinct-folio blocked comparison	exact human Gheuens-Rapaport positive and negative phrases; seven frozen triplets over 21 distinct folios; all section H Currier A hand 1; manual ZL3b IT2a RF1b confirmed prose; token-length linear-folio and within-triplet controls	any source census distinct-folio matching binding 430-feature identity exact 2187 orbit familywise p raw sensitivity direction .015 effect four-page support every-block deletion five-of-seven block alternate-reading or independent-reconstruction gate fails	one frozen source-exposed blocked assignment under freeze SHA256 77ba2e3ccd99c0f55befe4fd7d25187bf5c9b6114b339f63b551184702c552b7 runner 6bd5950bb8ab36432a10e29e7f7bc8ab5f0130e1e866cc9092a1f88d42d156c0 interlinear 8052a51fa37ad467e754be39648336ec4014442dab5e223daab2e77efaba4a43	FINAL VALIDATED NONCONFIRMATION: zero of 430 features passes and none reaches adjusted familywise p .20; best diagnostic LIT_INFIX2:oe has adjusted p .473251 and raw p .518976; independent target reconstruction passes 13 checks; no flower fruit negation word or translation
