locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	common_action_reading_de	revised_groups	memorized_whole_names	orientation	cross_instrument_join
131	A3	f69v	f69v.20	A69_LEFT_28_PLACE_WHEEL	1	381	Sternbezug + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	1	0	UNSPECIFIED	NONE
132	A3	f69v	f69v.21	A69_LEFT_28_PLACE_WHEEL	1	382	ansetzen + fortsetzen + von dort	0	0	UNSPECIFIED	NONE
133	A3	f69v	f69v.22	A69_LEFT_28_PLACE_WHEEL	1	383	dies + zufuehren + kurz + Arbeitsgang + Schluss	0	0	UNSPECIFIED	NONE
134	A3	f69v	f69v.23	A69_LEFT_28_PLACE_WHEEL	1	384	von dort + dies + Schluss	0	0	UNSPECIFIED	NONE
135	A3	f69v	f69v.24	A69_LEFT_28_PLACE_WHEEL	1	385	danach + dies	0	0	UNSPECIFIED	NONE
136	A3	f69v	f69v.25	A69_LEFT_28_PLACE_WHEEL	2	386|387	länger ansetzen; dies	0	0	UNSPECIFIED	NONE
137	A3	f69v	f69v.26	A69_LEFT_28_PLACE_WHEEL	2	388|389	kurz ansetzen; Teiladresse	0	0	UNSPECIFIED	NONE
138	A3	f69v	f69v.27	A69_LEFT_28_PLACE_WHEEL	1	390	ansetzen + kurz + Arbeitsgang + Teiladresse	0	0	UNSPECIFIED	NONE
139	A3	f69v	f69v.28	A69_LEFT_28_PLACE_WHEEL	1	391	ansetzen + Arbeitsgang + Teiladresse + dies	0	0	UNSPECIFIED	NONE
140	A3	f69v	f69v.29	A69_LEFT_28_PLACE_WHEEL	1	392	ansetzen + kurz + Arbeitsgang + Schluss	0	0	UNSPECIFIED	NONE
141	A3	f69v	f69v.30	A69_LEFT_28_PLACE_WHEEL	1	393	ansetzen + dies + Sternbezug	0	0	UNSPECIFIED	NONE
142	A3	f69v	f69v.31	A69_LEFT_28_PLACE_WHEEL	2	394|395	Arbeitsgang + von dort; Stelle + dies + Sternbezug	0	0	UNSPECIFIED	NONE
