rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	zl3b_line	v38_translation_de	v39_translation_de	status
39	f66r	f66r.66	shckheody	fertig angesetztes feuchtes Arzneikompositum	fertig angesetztes feuchtes Arzneikompositum	HYBRID_EXACT	SH_MOIST+CKH_COMPOSITE+EO_PREP+DY	feuchter CTH-Ansatz	LOW_EXPLORATORY	shor shckheody dal shedy qokor al shes	Blüten-/Fruchtstand; reproduktiver Teil; [shckheody:?]; abgemessene Rohstoffmenge I; feucht in der Mitte des Grades, abgeschlossen; heiße Drogenportion; Rohstoffklasse I; feuchtes Drogenmaterial, Mittelstufe	Blüten-/Fruchtstand; reproduktiver Teil; fertig angesetztes feuchtes Arzneikompositum; abgemessene Rohstoffmenge I; feucht in der Mitte des Grades, abgeschlossen; heiße Drogenportion; Rohstoffklasse I; feuchtes Drogenmaterial, Mittelstufe	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
40	f6r	f6r.7	qodaiin	Qualitätsgrad III	Qualitätsgrad III	PRODUCTIVE_COMPOUND	QO_FRAME+DAIIN_GRADE_III	Ansatzdosis III	STRONG_PRACTICAL_OR_COMPOSITIONAL	daiin qodaiin cho s chol okaiin s	Grad-/Maßwert III; [qodaiin:?]; Trockenansatz; Samen-/Saatgutposten; trocken; nominal trockenes Gut/Material; heiß, Grad III, im Ansatzrahmen; Samen-/Saatgutposten.	Grad-/Maßwert III; Qualitätsgrad III; Trockenansatz; Samen-/Saatgutposten; trocken; nominal trockenes Gut/Material; heiß, Grad III, im Ansatzrahmen; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
41	f6v	f6v.18	ytchocthol	Eintrag: kalt-trockener Krautansatz	Eintrag: kalt-trockener Krautansatz	PRODUCTIVE_COMPOUND	Y_ENTRY+T_COLD+CHO_DRY+CTHOL_LEAF_HERB	kalt-trockener Blattansatz	LOW_EXPLORATORY	ytchocthol ches or	[ytchocthol:?]; trockenes Drogenmaterial, Mittelstufe; Drogenportion	Eintrag: kalt-trockener Krautansatz; trockenes Drogenmaterial, Mittelstufe; Drogenportion	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
42	f75r	f75r.15	qolkeeoly	erhitzte Drogenbasis; danach abseihen	erhitzte Drogenbasis; danach abseihen	PRODUCTIVE_COMPOUND	QOL_DRUG_BASE+KEEOL_HOT+Y_CLOSE	zusammengeschriebene Materialliste	LOW_EXPLORATORY	sain qokain qolkeeoly saiin chedy sol or shedy okchdy qoky	Saatgut, Typ/Charge II; heiß, Grad II; [qolkeeoly:?]; Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial/Saatgut; Drogenportion; feucht in der Mitte des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; heiß am Anfang des Grades	Saatgut, Typ/Charge II; heiß, Grad II; erhitzte Drogenbasis; danach abseihen; Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; Samenmaterial/Saatgut; Drogenportion; feucht in der Mitte des Grades, abgeschlossen; heiß-trockener Ansatz am Anfang des Grades, abgeschlossen; heiß am Anfang des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
43	f75r	f75r.5	olsheedy	vollständig eingeweichtes Drogenmaterial, fertig	vollständig eingeweichtes Drogenmaterial, fertig	PRODUCTIVE_COMPOUND	OL_MATERIAL+SH_MOIST+EE_END+DY	feuchtes Material am Gradende	MEDIUM_EXACT_WHOLE	shey kar chey ckhey r ain ol olsheedy qokeey qoky	feucht in der Mitte des Grades; heiße Drogenfraktion I; trocken in der Mitte des Grades; Arzneikompositum in der Gradmitte; Wurzel: Menge-/Klassenwert II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [olsheedy:?]; heiß am Ende des Grades; heiß am Anfang des Grades	feucht in der Mitte des Grades; heiße Drogenfraktion I; trocken in der Mitte des Grades; Arzneikompositum in der Gradmitte; Wurzel; Menge-/Klassenwert II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; vollständig eingeweichtes Drogenmaterial, fertig; heiß am Ende des Grades; heiß am Anfang des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
44	f75v	f75v.67	shety	feucht-kalt ansetzen	setze feucht-kalt an	PRODUCTIVE_COMPOUND	SH_MOIST+E+T_COLD+Y	feucht-kalter Zustand	STRONG_PRACTICAL_OR_COMPOSITIONAL	ykeedy qokain otain shety	Eintrag: heiß am Gradende, abgeschlossen; heiß, Grad II; kalt im Zubereitungsrahmen, Grad II; [shety:?]	Eintrag/Bezug: heiß am Gradende, abgeschlossen; heiß, Grad II; kalt im Zubereitungsrahmen, Grad II; setze feucht-kalt an	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
45	f76r	f76r.41	qokchdyl	heiß-trocken aufbereitetes Drogenholz	heiß-trocken aufbereitetes Drogenholz	HYBRID_EXACT	QO_FRAME+KCH_HOT_DRY+DY+L_WOOD	Drogenstoff statt Holz	LOW_EXPLORATORY	sain ar okedy lcheey qokey shckhy otedy qokal shey qoky dain chedy qokchdyl	Saatgut, Typ/Charge II; Drogenfraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form II; heiß in der Mitte des Grades; Arzneikompositum: feucht, Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades; heiß am Anfang des Grades; Grad-/Maßwert II; trocken in der Mitte des Grades, abgeschlossen; [qokchdyl:?]	Saatgut, Typ/Charge II; Drogenfraktion I; heißer Ansatz in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form II; heiß in der Mitte des Grades; Arzneikompositum: feucht, Gradanfang; kalter Ansatz in der Mitte des Grades, abgeschlossen; Rohstoffklasse I, heiß am Gradanfang; feucht in der Mitte des Grades; heiß am Anfang des Grades; Grad-/Maßwert II; trocken in der Mitte des Grades, abgeschlossen; heiß-trocken aufbereitetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
46	f76v	f76v.38	saiiin	Saatgutcharge IV	Saatgutcharge IV	PRODUCTIVE_COMPOUND	S_SEED+A_VALUE+IIIN_IV	Salz oder Samenmenge IV	MEDIUM_EXACT_WHOLE	saiin chedy shedy qokeedy lol saiiin qokain chey r al r aiin dl	Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; Holzstoff; [saiiin:?]; heiß, Grad II; trocken in der Mitte des Grades; Wurzel; Rohstoffklasse I; Wurzel: Menge III; Rohstoffmaß	Samen/Saatgut, Typ/Charge III; trocken in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; heiß am Ende des Grades, abgeschlossen; Holzstoff; Saatgutcharge IV; heiß, Grad II; trocken in der Mitte des Grades; Wurzel; Rohstoffklasse I; Wurzel; Menge III; Rohstoffmaß	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
47	f76v	f76v.41	qol	Drogenstoff zugeben	gib Folgendes hinzu:	PRODUCTIVE_COMPOUND	QO_FRAME+L_MATERIAL_AS_LEARNED_ACTION	Rezeptgrundlage / Trägerdroge	STRONG_PRACTICAL_OR_COMPOSITIONAL	sol shey chedy qokedy chedy qol r aiin shedy	Samenmaterial/Saatgut; feucht in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; [qol:?]; Wurzel: Menge III; feucht in der Mitte des Grades, abgeschlossen	Samenmaterial/Saatgut; feucht in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; trocken in der Mitte des Grades, abgeschlossen; gib Folgendes hinzu: Wurzel; Menge III; feucht in der Mitte des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
48	f77r	f77r.43	chee	vollständig getrocknet	vollständig getrocknetes	PRODUCTIVE_COMPOUND	CH_DRY+EE_END	zweite Bindungsstufe	MEDIUM_EXACT_WHOLE	d chee ol cheedy qotaiin qoteedy qotedy raiin	Dosis; [chee:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trocken am Ende des Grades, abgeschlossen; kalt, Grad III; kalt am Ende des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; Wurzel, Typ/Charge III	Dosis; vollständig getrocknetes Drogenmaterial; trocken am Ende des Grades, abgeschlossen; kalt, Grad III; kalt am Ende des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; Wurzel, Typ/Charge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
49	f78r	f78r.19	chl	trocknen	trockne.	LEARNED_WHOLE	LEARNED_DRY_COMMAND	trockenes Drogenholz/Kurzform	STRONG_PRACTICAL_OR_COMPOSITIONAL	y ches aiin okeedy qokain chl	Eintrag: trockenes Drogenmaterial, Mittelstufe; Menge III; heißer Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II; [chl:?]	Eintrag: trockenes Drogenmaterial, Mittelstufe; Menge III; heißer Ansatz am Ende des Grades, abgeschlossen; heiß, Grad II; trockne.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
50	f78r	f78r.21	lokedy	erhitztes Drogenholz, fertig	erhitztes Drogenholz, fertig	PRODUCTIVE_COMPOUND	L_WOOD+O_PREP+K_HOT+EDY	heißer L-Rahmenansatz	MEDIUM_EXACT_WHOLE	lchedy qokain cheeky lokedy	getrocknetes Drogenholz; heiß, Grad II; trocken am Gradende, dann heiß am Gradanfang; [lokedy:?]	getrocknetes Drogenholz; heiß, Grad II; trocken am Gradende, dann heiß am Gradanfang; erhitztes Drogenholz, fertig	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
51	f78r	f78r.23	olkchdy	heiß-trocken aufbereitetes Drogenmaterial	heiß-trocken aufbereitetes Drogenmaterial	PRODUCTIVE_COMPOUND	OL_MATERIAL+KCH_HOT_DRY+DY	heiß-trockener Qualitätswert	MEDIUM_EXACT_WHOLE	sain sheor olkchdy roiin okeedy	Saatgut, Typ/Charge II; feuchter Drogenteil; [olkchdy:?]; Wurzel/Wurzeldrogezubereitung, Form III; heißer Ansatz am Ende des Grades, abgeschlossen	Saatgut, Typ/Charge II; feuchter Drogenteil; heiß-trocken aufbereitetes Drogenmaterial; Wurzel/Wurzeldrogezubereitung, Form III; heißer Ansatz am Ende des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
52	f78r	f78r.35	tees	kalte Arzneispecies, Endstufe	kalte Arzneispecies, Endstufe	PRODUCTIVE_COMPOUND	T_COLD+EE_END+S_SPECIES	kaltes Drogenmaterial	LOW_EXPLORATORY	y sain checkhy qokain cheeky daiin daiin y tees ol y	Eintrag: Saatgut, Typ/Charge II; trockenes Arzneikompositum am Gradanfang; heiß, Grad II; trocken am Gradende, dann heiß am Gradanfang; Grad-/Maßwert III; Grad-/Maßwert III; [tees:?]; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz.	Eintrag: Saatgut, Typ/Charge II; trockenes Arzneikompositum am Gradanfang; heiß, Grad II; trocken am Gradende, dann heiß am Gradanfang; Grad-/Maßwert III; Grad-/Maßwert III; kalte Arzneispecies, Endstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
53	f78r	f78r.4	olkedy	erhitzte Drogenbasis, fertig	erhitzte Drogenbasis, fertig	PRODUCTIVE_COMPOUND	OL_MATERIAL+K_HOT+EDY	heißes Material in Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	qokeedy qokedy shedy tchedy otar olkedy dam	heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; kalt und trocken in der Mitte des Grades, abgeschlossen; kalte Drogenfraktion I im Ansatz; [olkedy:?]; Dosis I.	heiß am Ende des Grades, abgeschlossen; heiß in der Mitte des Grades, abgeschlossen; feucht in der Mitte des Grades, abgeschlossen; kalt und trocken in der Mitte des Grades, abgeschlossen; kalte Drogenfraktion I im Ansatz; erhitzte Drogenbasis, fertig; Dosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
54	f78r	f78r.40	qol	Drogenstoff zugeben	gib Folgendes hinzu:	PRODUCTIVE_COMPOUND	QO_FRAME+L_MATERIAL_AS_LEARNED_ACTION	Rezeptgrundlage / Trägerdroge	STRONG_PRACTICAL_OR_COMPOSITIONAL	shedy qol shedy qokaiin d ol	feucht in der Mitte des Grades, abgeschlossen; [qol:?]; feucht in der Mitte des Grades, abgeschlossen; heiß, Grad III; Dosis; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	feucht in der Mitte des Grades, abgeschlossen; gib Folgendes hinzu: feucht in der Mitte des Grades, abgeschlossen; heiß, Grad III; Dosis; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
55	f78v	f78v.16	oly	abseihen	seihe Vorstehendes ab.	PRODUCTIVE_COMPOUND	OL_MATERIAL+Y_CLOSE_AS_LEARNED_ACTION	Drogenmaterial in Grundform	STRONG_PRACTICAL_OR_COMPOSITIONAL	lshey r shedy d qokedy okey lchedy qokdy daiin oly	eingeweichtes Drogenholz, Form I; Wurzel; feucht in der Mitte des Grades, abgeschlossen; Dosis; heiß in der Mitte des Grades, abgeschlossen; heißer Ansatz in der Mitte des Grades; getrocknetes Drogenholz; heiß am Anfang des Grades, abgeschlossen; Grad-/Maßwert III; [oly:?]	eingeweichtes Drogenholz, Form I; Wurzel; feucht in der Mitte des Grades, abgeschlossen; Dosis; heiß in der Mitte des Grades, abgeschlossen; heißer Ansatz in der Mitte des Grades; getrocknetes Drogenholz; heiß am Anfang des Grades, abgeschlossen; Grad-/Maßwert III; seihe Vorstehendes ab.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
56	f78v	f78v.28	los	Drogenholzposten	Drogenholzposten	LEARNED_WHOLE	LEARNED_WOOD_BATCH	Holzpräparat einer Drogenart	MEDIUM_EXACT_WHOLE	olkain shey qokey okar ol oteedy chcthy los aiin d	heißes Drogenmaterial, Grad II; feucht in der Mitte des Grades; heiß in der Mitte des Grades; heiße Drogenfraktion I im Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalter Ansatz am Ende des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; [los:?]; Menge III; Dosisvermerk.	heißes Drogenmaterial, Grad II; feucht in der Mitte des Grades; heiß in der Mitte des Grades; heiße Drogenfraktion I im Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; kalter Ansatz am Ende des Grades, abgeschlossen; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Drogenholzposten; Menge III; Dosis	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
57	f79v	f79v.25	olshdy	angefeuchtetes Drogenmaterial, fertig	angefeuchtetes Drogenmaterial, fertig	PRODUCTIVE_COMPOUND	OL_MATERIAL+SH_MOIST+DY	feuchter Materialzustand	MEDIUM_EXACT_WHOLE	qokeey ol olshdy qotain oteedy olkain otshey sain ol	heiß am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [olshdy:?]; kalt im qo-Rahmen, Grad II; kalter Ansatz am Ende des Grades, abgeschlossen; heißes Drogenmaterial, Grad II; kalt-feuchter Ansatz in der Mitte des Grades; Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	heiß am Ende des Grades; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; angefeuchtetes Drogenmaterial, fertig; kalt im qo-Rahmen, Grad II; kalter Ansatz am Ende des Grades, abgeschlossen; heißes Drogenmaterial, Grad II; kalt-feuchter Ansatz in der Mitte des Grades; Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
58	f80v	f80v.2	doly	eine Dosis Abguss	eine Dosis Abguss	PRODUCTIVE_COMPOUND	D_DOSE+OL_DECANT+Y	abgemessener Drogenstoff	MEDIUM_EXACT_WHOLE	tshedy qotedy olkain otal chckhy qoky daiin doly	kalt und feucht in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; heißes Drogenmaterial, Grad II; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Arzneikompositum: trocken, Gradanfang; heiß am Anfang des Grades; Grad-/Maßwert III; [doly:?]	kalt und feucht in der Mitte des Grades, abgeschlossen; kalt in der Mitte des Grades, abgeschlossen; heißes Drogenmaterial, Grad II; Rohstoffklasse I im Ansatz, kalt am Gradanfang; Arzneikompositum: trocken, Gradanfang; heiß am Anfang des Grades; Grad-/Maßwert III; eine Dosis Abguss	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
59	f80v	f80v.29	keeol	stark erhitzter Drogenstoff	stark erhitzter Drogenstoff	PRODUCTIVE_COMPOUND	K_HOT+EE_END+OL_MATERIAL	heißer Stoff am Gradende	STRONG_PRACTICAL_OR_COMPOSITIONAL	qokain olkain olkain ol keeol	heiß, Grad II; heißes Drogenmaterial, Grad II; heißes Drogenmaterial, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; [keeol:?]	heiß, Grad II; heißes Drogenmaterial, Grad II; heißes Drogenmaterial, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; stark erhitzter Drogenstoff	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
60	f80v	f80v.39	aral	Rohdrogenfraktion I	Rohdrogenfraktion I	PRODUCTIVE_COMPOUND	AR_FRACTION_I+AL_RAW_I	Fraktion neben separater Rohstoffklasse	STRONG_PRACTICAL_OR_COMPOSITIONAL	sol aiin chey qokain ches ol chckhy qokeedy tchdy aral	Samenmaterial/Saatgut; Menge III; trocken in der Mitte des Grades; heiß, Grad II; trockenes Drogenmaterial, Mittelstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Arzneikompositum: trocken, Gradanfang; heiß am Ende des Grades, abgeschlossen; kalt und trocken am Anfang des Grades, abgeschlossen; [aral:?]	Samenmaterial/Saatgut; Menge III; trocken in der Mitte des Grades; heiß, Grad II; trockenes Drogenmaterial, Mittelstufe; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Arzneikompositum: trocken, Gradanfang; heiß am Ende des Grades, abgeschlossen; kalt und trocken am Anfang des Grades, abgeschlossen; Rohdrogenfraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
61	f81r	f81r.4	dchedy	abgemessene Trockendroge, fertig	abgemessene Trockendroge, fertig	PRODUCTIVE_COMPOUND	D_MEASURED+CHEDY_DRY_FINISHED	Dosisfeld trocken und geschlossen	STRONG_PRACTICAL_OR_COMPOSITIONAL	dchedy qokain ol ol chcthy ykeedy al	[dchedy:?]; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; hierzu: heiß am Gradende, abgeschlossen; Rohstoffklasse I	abgemessene Trockendroge, fertig; heiß, Grad II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; Eintrag/Bezug: heiß am Gradende, abgeschlossen; Rohstoffklasse I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
62	f81v	f81v.2	kair	heiße Drogenfraktion II	heiße Drogenfraktion II	PRODUCTIVE_COMPOUND	K_HOT+AIR_FRACTION_II	Hitze-/Sortierklasse II	STRONG_PRACTICAL_OR_COMPOSITIONAL	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	heiß in der Mitte des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; [kair:?]; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Samenfraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad II; heißes Drogenmaterial, Grad II; Rohstoffklasse I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzelstoff; Rohstoffmaß	heiß in der Mitte des Grades, abgeschlossen; heiß, Grad III, im Ansatzrahmen; heiße Drogenfraktion II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; Samenfraktion I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; heiß, Grad II; heißes Drogenmaterial, Grad II; Rohstoffklasse I; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Wurzelstoff; Rohstoffmaß	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
63	f82r	f82r.16	ra	Wurzelanteil	Wurzelanteil	PRODUCTIVE_COMPOUND	R_ROOT+A_VALUE_LINK	Wurzelkopf vor offener Mengenstelle	MEDIUM_EXACT_WHOLE	qokeedy lchedy qokeedy cheey r or ol s aiin chey ra dam	heiß am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; heiß am Ende des Grades, abgeschlossen; trocken am Ende des Grades; Wurzel; Drogenportion; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Samen-/Saatgutposten; Menge III; trocken in der Mitte des Grades; [ra:?]; Dosis I.	heiß am Ende des Grades, abgeschlossen; getrocknetes Drogenholz; heiß am Ende des Grades, abgeschlossen; trocken am Ende des Grades; Wurzel; Drogenportion; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Samen-/Saatgutposten; Menge III; trocken in der Mitte des Grades; Wurzelanteil; Dosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
64	f82r	f82r.26	lchedar	getrocknete Holzfraktion I	getrocknete Holzfraktion I	PRODUCTIVE_COMPOUND	L_WOOD+CHED_DRY+AR_FRACTION_I	Holz mit Trockenheitsgrad I	MEDIUM_EXACT_WHOLE	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	kalt und feucht in der Mitte des Grades; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I, trocken in der Gradmitte; [lchedar:?]; trockenes Drogenmaterial, Mittelstufe; Menge III; kalter Ansatz am Ende des Grades; heiß, Grad III; heißer Ansatz in der Mitte des Grades	kalt und feucht in der Mitte des Grades; heiß am Ende des Grades, abgeschlossen; Rohstoffklasse I, trocken in der Gradmitte; getrocknete Holzfraktion I; trockenes Drogenmaterial, Mittelstufe; Menge III; kalter Ansatz am Ende des Grades; heiß, Grad III; heißer Ansatz in der Mitte des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
65	f82r	f82r.33	ey	anschließend	mische Vorstehendes mit Folgendem:	LEARNED_FUNCTION_WORD	LEARNED_SEQUENCE_SIGN	mischen oder Mittelstufe	STRONG_PRACTICAL_OR_COMPOSITIONAL	sain ol cheol ey cheor chey	Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; [ey:?]; trockener Drogenteil; trocken in der Mitte des Grades	Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; trockener Drogenstoff; mische Vorstehendes mit Folgendem: trockener Drogenteil; trocken in der Mitte des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
66	f82v	f82v.11	pcheol	getrockneter Pulverstoff	getrockneter Pulverstoff	PRODUCTIVE_COMPOUND	P_POWDER+CHEOL_DRY_MATERIAL	Pulver aus Trockendroge	STRONG_PRACTICAL_OR_COMPOSITIONAL	pcheol dar qokeey cheeky qokal dal shedy pchdy rol qotedy rol	[pcheol:?]; abgemessene Fraktion I; heiß am Ende des Grades; trocken am Gradende, dann heiß am Gradanfang; Rohstoffklasse I, heiß am Gradanfang; abgemessene Rohstoffmenge I; feucht in der Mitte des Grades, abgeschlossen; Pulver, getrocknete Kurz-/Kompaktform; Wurzelstoff; kalt in der Mitte des Grades, abgeschlossen; Wurzelstoff	getrockneter Pulverstoff; abgemessene Fraktion I; heiß am Ende des Grades; trocken am Gradende, dann heiß am Gradanfang; Rohstoffklasse I, heiß am Gradanfang; abgemessene Rohstoffmenge I; feucht in der Mitte des Grades, abgeschlossen; Pulver, getrocknete Kurz-/Kompaktform; Wurzelstoff; kalt in der Mitte des Grades, abgeschlossen; Wurzelstoff	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
67	f82v	f82v.16	lchedam	ein Maß getrocknetes Drogenholz	ein Maß getrocknetes Drogenholz	PRODUCTIVE_COMPOUND	L_WOOD+CHED_DRY+DAM_DOSE_I	Holz mit Trockenheitsmaß I	MEDIUM_EXACT_WHOLE	qokedy lchey cheey raiin shes qokchey qokain okal dy lchedam	heiß in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form I; trocken am Ende des Grades; Wurzel, Typ/Charge III; feuchtes Drogenmaterial, Mittelstufe; heiß und trocken in der Mitte des Grades; heiß, Grad II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; [lchedam:?]	heiß in der Mitte des Grades, abgeschlossen; Drogenholz, trocken gebunden, Form I; trocken am Ende des Grades; Wurzel, Typ/Charge III; feuchtes Drogenmaterial, Mittelstufe; heiß und trocken in der Mitte des Grades; heiß, Grad II; Rohstoffklasse I im Ansatz, heiß am Gradanfang; ein Maß getrocknetes Drogenholz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
68	f82v	f82v.21	qokeeey	stark erhitzt, Endstufe III	erhitze bis Endstufe III	PRODUCTIVE_COMPOUND	QO_FRAME+K_HOT+EEE_END_III+Y	Bindungsstufe III	MEDIUM_EXACT_WHOLE	dain chey qokeeey qoky okaiin okain olkain otain okar aly	Grad-/Maßwert II; trocken in der Mitte des Grades; [qokeeey:?]; heiß am Anfang des Grades; heiß, Grad III, im Ansatzrahmen; heiß im Zubereitungsrahmen, Grad II; heißes Drogenmaterial, Grad II; kalt im Zubereitungsrahmen, Grad II; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I, Grundform	Grad-/Maßwert II; trocken in der Mitte des Grades; erhitze bis Endstufe III; heiß am Anfang des Grades; heiß, Grad III, im Ansatzrahmen; heiß im Zubereitungsrahmen, Grad II; heißes Drogenmaterial, Grad II; kalt im Zubereitungsrahmen, Grad II; heiße Drogenfraktion I im Ansatz; Rohstoffklasse I, Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
