template_replay_ordinal	event_id	statement_id	physical_page	register	surface	recipe	state_marker_sequence	state_frame_role	sentence_prefix_de	sentence_suffix_de	base_mode	effective_action_roots	action_topology	generated_action_chain_de	effective_argument_roots	argument_topology	generated_argument_phrase_de	modifier_atoms	modifier_type_sequence	generated_modifier_phrase_de	outer_template_signature	structural_template_signature	generated_microphrase_de	source_microphrase_de	exact_replay	replay_status	written_atom_alignment	guard	outer_template_id	structural_template_id
285	G407-E1280	G407-S069	f72r	CELESTIAL	qoteeody	OT+EE+O+DY	OT+DY	ADVANCE_THEN_CLOSE	Danach	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	EE+O	GRADE+FORMAL_CONTROL	auf Grad II; zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+DY || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	Danach: halte den Posten; auf Grad II; zur Ausführung; abschließen.	Danach: halte den Posten; auf Grad II; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:O=zur Ausführung | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T158
286	G407-E1282	G407-S070	f72r	CELESTIAL	chotal	OT+AL	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	AL	RELATION	zum Zielort	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || RELATION	Danach: stelle den Posten ein; zum Zielort.	Danach: stelle den Posten ein; zum Zielort.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:AL=zum Zielort	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T140
287	G407-E1284	G407-S070	f72r	CELESTIAL	otoees	OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle den Posten; auf Grad II.	Danach: wähle den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
288	G407-E1286	G407-S071	f72r	CELESTIAL	otoar	OT+O+AR	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	EMPTY_BASE	NONE	NO_ACTION	NONE	NONE	NONE	NONE	O+AR	FORMAL_CONTROL+RELATION	zur Ausführung; vom Ausgang	PREFIX__EMPTY_BASE__MODIFIER__NO_SUFFIX	OT || EMPTY_BASE || NO_ACTION || NONE || FORMAL_CONTROL+RELATION	Danach: zur Ausführung; vom Ausgang.	Danach: zur Ausführung; vom Ausgang.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:O=zur Ausführung | 3:AR=vom Ausgang	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O09	GDT565-T149
289	G407-E1290	G407-S071	f72r	CELESTIAL	otees	OT+EE+S	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Wert	AIIN	SINGLE	den Wert	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle den Wert; auf Grad II.	Danach: wähle den Wert; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:S=wählen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
290	G407-E1297	G407-S071	f72r	CELESTIAL	otchey	OT+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || NONE	Danach: stelle den Posten ein.	Danach: stelle den Posten ein.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T139
291	G407-E1299	G407-S071	f72r	CELESTIAL	olaiin	OL+AIIN	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:AIIN=den Wert	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
292	G407-E1303	G407-S072	f72r	CELESTIAL	oteo	OT+E+O	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	E+O	GRADE+FORMAL_CONTROL	auf Grad I; zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	Danach: gib den Posten; auf Grad I; zur Ausführung.	Danach: gib den Posten; auf Grad I; zur Ausführung.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T128
293	G407-E1306	G407-S072	f72r	CELESTIAL	okeeol	OK+EE+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: setze den Wert; auf Grad II.	Weiter: setze den Wert; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:EE=auf Grad II | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
294	G407-E1310	G407-S072	f72r	CELESTIAL	oteody	OT+E+O+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	E+O	GRADE+FORMAL_CONTROL	auf Grad I; zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	Danach: stelle den Posten ein; auf Grad I; zur Ausführung.	Danach: stelle den Posten ein; auf Grad I; zur Ausführung.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T128
295	G407-E1311	G407-S072	f72r	CELESTIAL	oteedy	OT+EE+DY	OT+DY	ADVANCE_THEN_CLOSE	Danach	abschließen	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+DY || ACTION_CHAIN || A || SINGLE || GRADE	Danach: stelle den Posten ein; auf Grad II; abschließen.	Danach: stelle den Posten ein; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T157
296	G407-E1312	G407-S073	f72r	CELESTIAL	okeolaiin	OK+E+OL+AIIN	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: setze den Wert; auf Grad I.	Weiter: setze den Wert; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:E=auf Grad I | 3:OL=weiter | 4:AIIN=den Wert	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
297	G407-E1313	G407-S073	f72r	CELESTIAL	oteey	OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: setze den Posten; auf Grad II.	Danach: setze den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
298	G407-E1316	G407-S073	f72r	CELESTIAL	sheol	SH+E+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
299	G407-E1330	G407-S073	f72r	CELESTIAL	oteedy	OT+EE+DY	OT+DY	ADVANCE_THEN_CLOSE	Danach	abschließen	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+DY || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle den Posten; auf Grad II; abschließen.	Danach: wähle den Posten; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T157
300	G407-E1333	G407-S074	f72r	CELESTIAL	choly	OL+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze den Posten.	Weiter: setze den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
301	G407-E1343	G407-S074	f72r	CELESTIAL	choteey	CH+OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	CH	A	nimm den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: nimm den Posten; auf Grad II.	Danach: nimm den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:OT=danach | 3:EE=auf Grad II | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
302	G407-E1344	G407-S074	f72r	CELESTIAL	sheoly	SH+E+OL+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:E=auf Grad I | 3:OL=weiter | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
303	G407-E1345	G407-S074	f72r	CELESTIAL	eol	E+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: halte den Posten; auf Grad I.	Weiter: halte den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:E=auf Grad I | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
304	G407-E1348	G407-S075	f72r	CELESTIAL	otochedy	OT+O+CHD+DY	OT+DY	ADVANCE_THEN_CLOSE	Danach	abschließen	ACTION_CHAIN	CHD	A	bearbeite	NONE	NONE	NONE	O	FORMAL_CONTROL	zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+DY || ACTION_CHAIN || A || NONE || FORMAL_CONTROL	Danach: bearbeite; zur Ausführung; abschließen.	Danach: bearbeite; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:O=zur Ausführung | 3:CHD=bearbeiten | 4:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T153
305	G407-E1349	G407-S076	f72r	CELESTIAL	otey	OT+E+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	CHD	A	bearbeite den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: bearbeite den Posten; auf Grad I.	Danach: bearbeite den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
306	G407-E1352	G407-S076	f72r	CELESTIAL	sheedy	SH+EE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Halte den Posten; auf Grad II; abschließen.	Halte den Posten; auf Grad II; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:EE=auf Grad II | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
307	G407-E1353	G407-S077	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E+O+D_ADDR+AR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	auf Grad I; zur Ausführung; hier; vom Ausgang	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN+RELATION	Danach: halte den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	Danach: halte den Posten; auf Grad I; zur Ausführung; hier; vom Ausgang.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:AR=vom Ausgang	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T131
308	G407-E1354	G407-S077	f72r	CELESTIAL	ykeolol	Y+K+E+OL+OL	OL+OL	DOUBLE_CONTINUATION_BRIDGE	Weiter	nochmals weiterführen	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OL+OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: gib den Posten; auf Grad I; nochmals weiterführen.	Weiter: gib den Posten; auf Grad I; nochmals weiterführen.	YES	EXACT_SOURCE_REPLAY	1:Y=den Posten | 2:K=geben | 3:E=auf Grad I | 4:OL=weiter | 5:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T117
309	G407-E1357	G407-S077	f72r	CELESTIAL	oteos	OT+E+O+S_ADDR	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	E+O+S_ADDR	GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	auf Grad I; zur Ausführung; hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	Danach: gib den Posten; auf Grad I; zur Ausführung; hier.	Danach: gib den Posten; auf Grad I; zur Ausführung; hier.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:S_ADDR=hier	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T130
310	G407-E1361	G407-S077	f72r	CELESTIAL	ykeeoly	Y+K+OL+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib die beiden Posten	Y|Y	DOUBLE_Y	die beiden Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || DOUBLE_Y || NONE	Weiter: gib die beiden Posten.	Weiter: gib die beiden Posten.	YES	EXACT_SOURCE_REPLAY	1:Y=den Posten | 2:K=geben | 3:OL=weiter | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T050
311	G407-E1362	G407-S077	f72r	CELESTIAL	otaiin	OT+AIIN	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	K	A	gib den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || NONE	Danach: gib den Wert.	Danach: gib den Wert.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:AIIN=den Wert	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T139
312	G407-E1369	G407-S077	f72r	CELESTIAL	oteody	OT+E+O+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	E+O	GRADE+FORMAL_CONTROL	auf Grad I; zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE+FORMAL_CONTROL	Danach: setze den Posten; auf Grad I; zur Ausführung.	Danach: setze den Posten; auf Grad I; zur Ausführung.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:O=zur Ausführung | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T128
313	G407-E1371	G407-S077	f72r	CELESTIAL	otees	OT+EE+S	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle den Posten; auf Grad II.	Danach: wähle den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:S=wählen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
314	G407-E1373	G407-S077	f72r	CELESTIAL	doteey	D_ADDR+OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	S	A	wähle den Posten	Y	SINGLE	den Posten	D_ADDR+EE	LOCAL_OR_CLASS_SIGN+GRADE	hier; auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN+GRADE	Danach: wähle den Posten; hier; auf Grad II.	Danach: wähle den Posten; hier; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:D_ADDR=hier | 2:OT=danach | 3:EE=auf Grad II | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T137
315	G407-E1375	G407-S077	f72r	CELESTIAL	oteol	OT+E+OL	OT+OL	ADVANCE_THEN_CONTINUE	Danach	weiterführen	ACTION_CHAIN	S	A	wähle die Einheit	OR	SINGLE	die Einheit	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+OL || ACTION_CHAIN || A || SINGLE || GRADE	Danach: wähle die Einheit; auf Grad I; weiterführen.	Danach: wähle die Einheit; auf Grad I; weiterführen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T164
316	G407-E1376	G407-S077	f72r	CELESTIAL	shol	SH+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte die Einheit	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte die Einheit.	Weiter: halte die Einheit.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
317	G407-E1379	G407-S077	f72r	CELESTIAL	eol	E+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: setze den Posten; auf Grad I.	Weiter: setze den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:E=auf Grad I | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
318	G407-E1382	G407-S077	f72r	CELESTIAL	shoteey	SH+OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: halte den Posten; auf Grad II.	Danach: halte den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OT=danach | 3:EE=auf Grad II | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
319	G407-E1385	G407-S077	f72r	CELESTIAL	okeeol	OK+EE+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Posten	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || GRADE	Weiter: setze den Posten; auf Grad II.	Weiter: setze den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:EE=auf Grad II | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T064
320	G407-E1388	G407-S077	f72r	CELESTIAL	ykoly	Y+K+OL+Y	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib die beiden Posten	Y|Y	DOUBLE_Y	die beiden Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || DOUBLE_Y || NONE	Weiter: gib die beiden Posten.	Weiter: gib die beiden Posten.	YES	EXACT_SOURCE_REPLAY	1:Y=den Posten | 2:K=geben | 3:OL=weiter | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T050
321	G407-E1389	G407-S078	f72r	CELESTIAL	oteey	OT+EE+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ARGUMENT_REFERENCE	NONE	NO_ACTION	NONE	Y	SINGLE	den Posten	EE	GRADE	auf Grad II	PREFIX__ARGUMENT_REFERENCE__MODIFIER__NO_SUFFIX	OT || ARGUMENT_REFERENCE || NO_ACTION || SINGLE || GRADE	Danach: Bezug auf den Posten; auf Grad II.	Danach: Bezug auf den Posten; auf Grad II.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:EE=auf Grad II | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O07	GDT565-T148
322	G407-E1391	G407-S078	f72r	CELESTIAL	eeer	EEE+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	P	A	setze den Posten ein	Y	SINGLE	den Posten	EEE	GRADE	auf Grad III	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || GRADE	Setze den Posten ein; auf Grad III; abschließen.	Setze den Posten ein; auf Grad III; abschließen.	YES	EXACT_SOURCE_REPLAY	1:EEE=auf Grad III | 2:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T012
