recipe_context_cell_ordinal	recipe_context_cell_id	gdt564_source_cell_id	recipe	portable_route	event_count	effective_action_signatures	effective_argument_signatures	state_marker_sequence	base_mode	action_topology	argument_topology	modifier_atoms	modifier_type_sequence	outer_template_id	structural_template_id	generated_owner_free_microphrase_de	source_microphrases_de	event_ids	physical_page_count	physical_pages	register_count	registers	exact_replay_event_count	normalized_event_count	all_events_accounted	guard
194	GDT565-C0194	FIXED_RECIPE	O+P+CH+OL+AL+AIIN	FIXED_RECIPE	1	P|CH	AIIN	OL	ACTION_CHAIN	A+A	SINGLE	O+AL	FORMAL_CONTROL+RELATION	GDT565-O03	GDT565-T084	Weiter: setze den Wert ein und nimm den Wert; zur Ausführung; zum Zielort.	Weiter: setze den Wert ein und nimm den Wert; zur Ausführung; zum Zielort.	G407-E1394	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
195	GDT565-C0195	FIXED_RECIPE	O+P+CH+OR+DY	FIXED_RECIPE	1	P|CH	OR	DY	ACTION_CHAIN	A+A	SINGLE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T032	Setze die Einheit ein und nimm die Einheit; zur Ausführung; abschließen.	Setze die Einheit ein und nimm die Einheit; zur Ausführung; abschließen.	G407-E0497	1	f17r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
196	GDT565-C0196	GDT564-C0095	O+P+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	P|CHD	Y	DY	ACTION_CHAIN	A+A	SINGLE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T032	Setze den Posten ein und bearbeite den Posten; zur Ausführung; abschließen.	Setze den Posten ein und bearbeite den Posten; zur Ausführung; abschließen.	G407-E2717	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
197	GDT565-C0197	GDT564-C0094	O+P+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	2	P|CHD	NONE	DY	ACTION_CHAIN	A+A	NONE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T029	Setze ein und bearbeite; zur Ausführung; abschließen.	Setze ein und bearbeite; zur Ausführung; abschließen.	G407-E2203 || G515-E0302	2	f66r || f76r	2	BIOLOGICAL || SOURCE_SECTION_T	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
198	GDT565-C0198	FIXED_RECIPE	O+P+E+DY	FIXED_RECIPE	1	P	Y	DY	ACTION_CHAIN	A	SINGLE	O+E	FORMAL_CONTROL+GRADE	GDT565-O01	GDT565-T009	Setze den Posten ein; zur Ausführung; auf Grad I; abschließen.	Setze den Posten ein; zur Ausführung; auf Grad I; abschließen.	G407-E3457	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
199	GDT565-C0199	FIXED_RECIPE	O+P+O+D_ADDR+OL	FIXED_RECIPE	1	P	NONE	OL	ACTION_CHAIN	A	NONE	O+O+D_ADDR	FORMAL_CONTROL+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	GDT565-O03	GDT565-T051	Weiter: setze ein; zur Ausführung; zur Ausführung; hier.	Weiter: setze ein; zur Ausführung; zur Ausführung; hier.	G407-E0902	1	f67r2	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
200	GDT565-C0200	FIXED_RECIPE	O+P+OL	FIXED_RECIPE	1	P	OR	OL	ACTION_CHAIN	A	SINGLE	O	FORMAL_CONTROL	GDT565-O03	GDT565-T058	Weiter: setze die Einheit ein; zur Ausführung.	Weiter: setze die Einheit ein; zur Ausführung.	G407-E2812	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
201	GDT565-C0201	FIXED_RECIPE	O+P+SH+O+DY	FIXED_RECIPE	1	P|SH	Y	DY	ACTION_CHAIN	A+A	SINGLE	O+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O01	GDT565-T033	Setze den Posten ein und halte den Posten; zur Ausführung; zur Ausführung; abschließen.	Setze den Posten ein und halte den Posten; zur Ausführung; zur Ausführung; abschließen.	G407-E0610	1	f24v	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
202	GDT565-C0202	FIXED_RECIPE	O+P+Y+DY	FIXED_RECIPE	2	P	Y	DY	ACTION_CHAIN	A	SINGLE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T006	Setze den Posten ein; zur Ausführung; abschließen.	Setze den Posten ein; zur Ausführung; abschließen.	G407-E0447 || G515-E0073	2	f17r || f20v	1	HERBAL	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
203	GDT565-C0203	FIXED_RECIPE	O+SH+EE+DY	FIXED_RECIPE	1	SH	Y	DY	ACTION_CHAIN	A	SINGLE	O+EE	FORMAL_CONTROL+GRADE	GDT565-O01	GDT565-T009	Halte den Posten; zur Ausführung; auf Grad II; abschließen.	Halte den Posten; zur Ausführung; auf Grad II; abschließen.	G407-E2821	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
204	GDT565-C0204	FIXED_RECIPE	OK+AL+DY	FIXED_RECIPE	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	AL	RELATION	GDT565-O01	GDT565-T024	Setze den Posten; zum Zielort; abschließen.	Setze den Posten; zum Zielort; abschließen.	G407-E1659	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
205	GDT565-C0205	FIXED_RECIPE	OK+AL+O+DY	FIXED_RECIPE	1	OK	AIN	DY	ACTION_CHAIN	A	SINGLE	AL+O	RELATION+FORMAL_CONTROL	GDT565-O01	GDT565-T025	Setze den Anteil; zum Zielort; zur Ausführung; abschließen.	Setze den Anteil; zum Zielort; zur Ausführung; abschließen.	G407-E4427	1	f95v	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
206	GDT565-C0206	FIXED_RECIPE	OK+AR+DY	FIXED_RECIPE	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O01	GDT565-T024	Setze den Posten; vom Ausgang; abschließen.	Setze den Posten; vom Ausgang; abschließen.	G407-E1488	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
207	GDT565-C0207	GDT564-C0098	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	7	OK|CHD	Y	DY	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O02	GDT565-T037	Setze den Posten und bearbeite den Posten; abschließen.	Setze den Posten und bearbeite den Posten; abschließen.	G407-E1494 || G407-E1880 || G407-E3085 || G407-E3140 || G407-E3531 || G407-E3598 || G407-E3770	4	f75r || f76r || f81v || f83r	1	BIOLOGICAL	7	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
208	GDT565-C0208	GDT564-C0096	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK|CHD	AIIN	DY	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O02	GDT565-T037	Setze den Wert und bearbeite den Wert; abschließen.	Setze den Wert und bearbeite den Wert; abschließen.	G407-E4532	1	f95v	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
209	GDT565-C0209	GDT564-C0097	OK+CHD+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK|CHD	OR	DY	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O02	GDT565-T037	Setze die Einheit und bearbeite die Einheit; abschließen.	Setze die Einheit und bearbeite die Einheit; abschließen.	G407-E1561	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
210	GDT565-C0210	FIXED_RECIPE	OK+CHD+DY+L	FIXED_RECIPE	1	OK|CHD	Y	DY	ACTION_CHAIN	A+A	SINGLE	L	RELATION	GDT565-O01	GDT565-T038	Setze den Posten und bearbeite den Posten; über die Verbindung; abschließen.	Setze den Posten und bearbeite den Posten; über die Verbindung; abschließen.	G407-E2236	1	f76r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
211	GDT565-C0211	FIXED_RECIPE	OK+CHD+S+DY	FIXED_RECIPE	1	OK|CHD|S	Y	DY	ACTION_CHAIN	A+A+A	SINGLE	NONE	NONE	GDT565-O02	GDT565-T044	Setze den Posten und bearbeite den Posten und wähle den Posten; abschließen.	Setze den Posten und bearbeite den Posten und wähle den Posten; abschließen.	G407-E2022	1	f76r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
212	GDT565-C0212	FIXED_RECIPE	OK+E+CHD+DY	FIXED_RECIPE	2	OK|CHD	Y	DY	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T034	Setze den Posten und bearbeite den Posten; auf Grad I; abschließen.	Setze den Posten und bearbeite den Posten; auf Grad I; abschließen.	G407-E1761 || G407-E2797	2	f75r || f81r	1	BIOLOGICAL	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
213	GDT565-C0213	GDT564-C0100	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	5	OK	AIN	DY	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O01	GDT565-T012	Setze den Anteil; auf Grad I; abschließen.	Setze den Anteil; auf Grad I; abschließen.	G407-E1804 || G407-E1805 || G407-E2226 || G407-E2286 || G407-E2288	2	f75r || f76r	1	BIOLOGICAL	5	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
214	GDT565-C0214	GDT564-C0103	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	56	OK	Y	DY	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O01	GDT565-T012	Setze den Posten; auf Grad I; abschließen.	Setze den Posten; auf Grad I; abschließen.	G407-E1497 || G407-E1536 || G407-E1537 || G407-E1538 || G407-E1539 || G407-E1709 || G407-E1756 || G407-E1759 || G407-E1765 || G407-E1766 || G407-E1790 || G407-E1817 || G407-E1825 || G407-E1827 || G407-E1861 || G407-E1877 || G407-E1889 || G407-E2140 || G407-E2347 || G407-E2349 || G407-E2436 || G407-E2518 || G407-E2715 || G407-E2818 || G407-E2885 || G407-E2935 || G407-E3035 || G407-E3091 || G407-E3092 || G407-E3108 || G407-E3164 || G407-E3235 || G407-E3250 || G407-E3308 || G407-E3330 || G407-E3485 || G407-E3518 || G407-E3554 || G407-E3565 || G407-E3566 || G407-E3574 || G407-E3634 || G407-E3637 || G407-E3641 || G407-E3647 || G407-E3663 || G407-E3677 || G407-E3694 || G407-E4474 || G515-E0189 || G515-E0200 || G515-E0234 || G515-E0313 || G515-E0345 || G515-E0405 || G515-E0546	10	f31r || f66r || f75r || f76r || f77r || f81r || f81v || f82r || f83r || f95v	3	BIOLOGICAL || HERBAL || SOURCE_SECTION_T	56	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
215	GDT565-C0215	GDT564-C0099	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	8	OK	AIIN	DY	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O01	GDT565-T012	Setze den Wert; auf Grad I; abschließen.	Setze den Wert; auf Grad I; abschließen.	G407-E2467 || G407-E2505 || G407-E2907 || G407-E2950 || G407-E3053 || G407-E3055 || G407-E3284 || G407-E4531	5	f77r || f81r || f81v || f82r || f95v	2	BIOLOGICAL || HERBAL	8	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
216	GDT565-C0216	GDT564-C0102	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	2	OK	OR	DY	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O01	GDT565-T012	Setze die Einheit; auf Grad I; abschließen.	Setze die Einheit; auf Grad I; abschließen.	G407-E2827 || G407-E3529	2	f81r || f83r	1	BIOLOGICAL	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
217	GDT565-C0217	GDT564-C0101	OK+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	8	OK	NONE	DY	ACTION_CHAIN	A	NONE	E	GRADE	GDT565-O01	GDT565-T002	Setze; auf Grad I; abschließen.	Setze; auf Grad I; abschließen.	G407-E1870 || G407-E2035 || G407-E4191 || G515-E0205 || G515-E0217 || G515-E0218 || G515-E0219 || G515-E0316	4	f31r || f66r || f76r || f89r	4	BIOLOGICAL || HERBAL || PHARMA || SOURCE_SECTION_T	8	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
218	GDT565-C0218	FIXED_RECIPE	OK+E+D_ADDR+OL	FIXED_RECIPE	1	OK	Y	OL	ACTION_CHAIN	A	SINGLE	E+D_ADDR	GRADE+LOCAL_OR_CLASS_SIGN	GDT565-O03	GDT565-T065	Weiter: setze den Posten; auf Grad I; hier.	Weiter: setze den Posten; auf Grad I; hier.	G407-E3617	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
219	GDT565-C0219	GDT564-C0105	OK+E+OL	WRITTEN_ACTION__SELECT_ARGUMENT	14	OK	Y	OL	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O03	GDT565-T064	Weiter: setze den Posten; auf Grad I.	Weiter: setze den Posten; auf Grad I.	G407-E1148 || G407-E1227 || G407-E2173 || G407-E3169 || G407-E3178 || G407-E3827 || G407-E3871 || G407-E4249 || G407-E4272 || G407-E4314 || G407-E4320 || G407-E4326 || G407-E4376 || G515-E0214	7	f31r || f72r || f76r || f81v || f82r || f88r || f89r	4	BIOLOGICAL || CELESTIAL || HERBAL || PHARMA	14	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
220	GDT565-C0220	GDT564-C0104	OK+E+OL	WRITTEN_ACTION__SELECT_ARGUMENT	2	OK	AIIN	OL	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O03	GDT565-T064	Weiter: setze den Wert; auf Grad I.	Weiter: setze den Wert; auf Grad I.	G407-E4080 || G407-E4332	1	f89r	1	PHARMA	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
221	GDT565-C0221	FIXED_RECIPE	OK+E+OL+AIIN	FIXED_RECIPE	1	OK	AIIN	OL	ACTION_CHAIN	A	SINGLE	E	GRADE	GDT565-O03	GDT565-T064	Weiter: setze den Wert; auf Grad I.	Weiter: setze den Wert; auf Grad I.	G407-E1312	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
222	GDT565-C0222	FIXED_RECIPE	OK+E+S+DY	FIXED_RECIPE	1	OK|S	Y	DY	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T034	Setze den Posten und wähle den Posten; auf Grad I; abschließen.	Setze den Posten und wähle den Posten; auf Grad I; abschließen.	G407-E2889	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
223	GDT565-C0223	GDT564-C0107	OK+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	8	OK	AIN	DY	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T012	Setze den Anteil; auf Grad II; abschließen.	Setze den Anteil; auf Grad II; abschließen.	G407-E1751 || G407-E1783 || G407-E1994 || G407-E2496 || G407-E2661 || G407-E2663 || G407-E2664 || G407-E3327	4	f75r || f76r || f77r || f82r	1	BIOLOGICAL	8	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
224	GDT565-C0224	GDT564-C0110	OK+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	56	OK	Y	DY	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T012	Setze den Posten; auf Grad II; abschließen.	Setze den Posten; auf Grad II; abschließen.	G407-E0698 || G407-E1151 || G407-E1458 || G407-E1475 || G407-E1493 || G407-E1513 || G407-E1516 || G407-E1640 || G407-E1643 || G407-E1674 || G407-E1685 || G407-E1760 || G407-E1763 || G407-E1764 || G407-E1767 || G407-E1770 || G407-E1771 || G407-E1791 || G407-E1884 || G407-E1956 || G407-E1983 || G407-E2348 || G407-E2383 || G407-E2418 || G407-E2472 || G407-E2488 || G407-E2489 || G407-E2525 || G407-E2617 || G407-E2773 || G407-E2806 || G407-E2816 || G407-E2825 || G407-E2970 || G407-E3015 || G407-E3189 || G407-E3209 || G407-E3267 || G407-E3292 || G407-E3294 || G407-E3310 || G407-E3366 || G407-E3387 || G407-E3398 || G407-E3401 || G407-E3405 || G407-E3415 || G407-E3429 || G407-E3508 || G407-E3579 || G407-E3652 || G407-E3674 || G407-E3688 || G407-E3703 || G407-E3704 || G407-E3709	9	f55v || f72r || f75r || f76r || f77r || f81r || f81v || f82r || f83r	3	BIOLOGICAL || CELESTIAL || HERBAL	56	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
225	GDT565-C0225	GDT564-C0106	OK+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	13	OK	AIIN	DY	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T012	Setze den Wert; auf Grad II; abschließen.	Setze den Wert; auf Grad II; abschließen.	G407-E2278 || G407-E2429 || G407-E2445 || G407-E2447 || G407-E2463 || G407-E2485 || G407-E2504 || G407-E2553 || G407-E2563 || G407-E2564 || G407-E3285 || G515-E0160 || G515-E0247	4	f31r || f76r || f77r || f82r	2	BIOLOGICAL || HERBAL	13	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
226	GDT565-C0226	GDT564-C0109	OK+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	3	OK	OR	DY	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T012	Setze die Einheit; auf Grad II; abschließen.	Setze die Einheit; auf Grad II; abschließen.	G407-E1949 || G407-E1950 || G407-E2544	2	f76r || f77r	1	BIOLOGICAL	3	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
227	GDT565-C0227	GDT564-C0108	OK+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	3	OK	NONE	DY	ACTION_CHAIN	A	NONE	EE	GRADE	GDT565-O01	GDT565-T002	Setze; auf Grad II; abschließen.	Setze; auf Grad II; abschließen.	G407-E2206 || G515-E0220 || G515-E0314	3	f31r || f66r || f76r	3	BIOLOGICAL || HERBAL || SOURCE_SECTION_T	3	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
228	GDT565-C0228	FIXED_RECIPE	OK+EE+DY+OL	FIXED_RECIPE	1	OK	AIIN	DY+OL	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T048	Setze den Wert; auf Grad II; abschließen; danach weiterführen.	Setze den Wert; auf Grad II; abschließen; danach weiterführen.	G407-E1682	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
229	GDT565-C0229	GDT564-C0112	OK+EE+OL	WRITTEN_ACTION__SELECT_ARGUMENT	4	OK	Y	OL	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O03	GDT565-T064	Weiter: setze den Posten; auf Grad II.	Weiter: setze den Posten; auf Grad II.	G407-E1385 || G407-E3727 || G407-E4131 || G407-E4251	3	f72r || f83r || f89r	3	BIOLOGICAL || CELESTIAL || PHARMA	4	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
230	GDT565-C0230	GDT564-C0111	OK+EE+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK	AIIN	OL	ACTION_CHAIN	A	SINGLE	EE	GRADE	GDT565-O03	GDT565-T064	Weiter: setze den Wert; auf Grad II.	Weiter: setze den Wert; auf Grad II.	G407-E1306	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
231	GDT565-C0231	FIXED_RECIPE	OK+EE+OL+S	FIXED_RECIPE	1	OK|S	NONE	OL	ACTION_CHAIN	A+A	NONE	EE	GRADE	GDT565-O03	GDT565-T076	Weiter: setze und wähle; auf Grad II.	Weiter: setze und wähle; auf Grad II.	G407-E1206	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
232	GDT565-C0232	FIXED_RECIPE	OK+EEE+DY	FIXED_RECIPE	2	OK	Y	DY	ACTION_CHAIN	A	SINGLE	EEE	GRADE	GDT565-O01	GDT565-T012	Setze den Posten; auf Grad III; abschließen.	Setze den Posten; auf Grad III; abschließen.	G407-E1039 || G407-E3363	2	f68r1 || f82r	2	BIOLOGICAL || CELESTIAL	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
233	GDT565-C0233	FIXED_RECIPE	OK+O+DY	FIXED_RECIPE	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T006	Setze den Posten; zur Ausführung; abschließen.	Setze den Posten; zur Ausführung; abschließen.	G407-E3992	1	f88v	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
234	GDT565-C0234	GDT564-C0116	OK+OL	WRITTEN_ACTION__SELECT_ARGUMENT	19	OK	Y	OL	ACTION_CHAIN	A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T072	Weiter: setze den Posten.	Weiter: setze den Posten.	G407-E0268 || G407-E0363 || G407-E0543 || G407-E0633 || G407-E0815 || G407-E1124 || G407-E2618 || G407-E2724 || G407-E3739 || G407-E3851 || G407-E3889 || G407-E3891 || G407-E3892 || G407-E3910 || G407-E3913 || G407-E3990 || G407-E4277 || G407-E4369 || G515-E0586	13	f10r || f11r || f18r || f24v || f56r || f66r || f71v || f77r || f81r || f83r || f88r || f88v || f89r	5	BIOLOGICAL || CELESTIAL || HERBAL || PHARMA || SOURCE_SECTION_T	19	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
235	GDT565-C0235	GDT564-C0113	OK+OL	WRITTEN_ACTION__SELECT_ARGUMENT	5	OK	AIIN	OL	ACTION_CHAIN	A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T072	Weiter: setze den Wert.	Weiter: setze den Wert.	G407-E0184 || G407-E0954 || G407-E1012 || G407-E2407 || G407-E3856	4	f1r || f67r2 || f77r || f88r	4	BIOLOGICAL || CELESTIAL || PHARMA || SOURCE_SECTION_T	5	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
236	GDT565-C0236	GDT564-C0115	OK+OL	WRITTEN_ACTION__SELECT_ARGUMENT	3	OK	OR	OL	ACTION_CHAIN	A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T072	Weiter: setze die Einheit.	Weiter: setze die Einheit.	G407-E0471 || G407-E0531 || G407-E0583	2	f17r || f18r	1	HERBAL	3	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
237	GDT565-C0237	GDT564-C0114	OK+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK	NONE	OL	ACTION_CHAIN	A	NONE	NONE	NONE	GDT565-O05	GDT565-T054	Weiter: setze.	Weiter: setze.	G407-E2395	1	f77r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
238	GDT565-C0238	GDT564-C0117	OK+OL+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK	AIN	OL+DY	ACTION_CHAIN	A	SINGLE	NONE	NONE	GDT565-O06	GDT565-T110	Weiter: setze den Anteil; abschließen.	Weiter: setze den Anteil; abschließen.	G407-E1807	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
239	GDT565-C0239	GDT564-C0118	OK+OL+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK	Y	OL+DY	ACTION_CHAIN	A	SINGLE	NONE	NONE	GDT565-O06	GDT565-T110	Weiter: setze den Posten; abschließen.	Weiter: setze den Posten; abschließen.	G407-E3888	1	f88r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
240	GDT565-C0240	FIXED_RECIPE	OK+SH+DY	FIXED_RECIPE	1	OK|SH	Y	DY	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O02	GDT565-T037	Setze den Posten und halte den Posten; abschließen.	Setze den Posten und halte den Posten; abschließen.	G407-E1478	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
241	GDT565-C0241	GDT564-C0120	OK+SH+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	4	OK|SH	Y	DY	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T034	Setze den Posten und halte den Posten; auf Grad I; abschließen.	Setze den Posten und halte den Posten; auf Grad I; abschließen.	G407-E1569 || G407-E1590 || G407-E3017 || G407-E3581	3	f75r || f81v || f83r	1	BIOLOGICAL	4	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
242	GDT565-C0242	GDT564-C0119	OK+SH+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	OK|SH	AIIN	DY	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T034	Setze den Wert und halte den Wert; auf Grad I; abschließen.	Setze den Wert und halte den Wert; auf Grad I; abschließen.	G407-E3483	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
243	GDT565-C0243	FIXED_RECIPE	OK+Y+L+D_ADDR+DY	FIXED_RECIPE	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	L+D_ADDR	RELATION+LOCAL_OR_CLASS_SIGN	GDT565-O01	GDT565-T027	Setze den Posten; über die Verbindung; hier; abschließen.	Setze den Posten; über die Verbindung; hier; abschließen.	G407-E3685	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
244	GDT565-C0244	GDT564-C0132	OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	NONE	NONE	OL	EMPTY_BASE	NO_ACTION	NONE	NONE	NONE	GDT565-O11	GDT565-T104	Weiter.	Weiter.	G515-E0406	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
