unit_serial	register	page	unit_id	visible_owner	group_count	template_id	source_slot_order	latin_like_workshop_formula	german_source_order	compressed_surface_sequence	recovered_atom_sequence	recovered_literal_de	fluent_owner_reading_de
54	PROSE	f82r	B2-S014	B2	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lar	L+AR	von dort abfuehren	Führe von dort ab.
55	PROSE	f82r	B2-S015	B2	2	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B2; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	tshey qokeedy	CHEEY | OK+EE+CLOSE	Klarlauf zugeben; länger ansetzen; Schluss	Nimm den Klarauszug, bearbeite länger und schließe.
56	PROSE	f82r	B2-S016	B2	8	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	Führe zum Ziel und vom Ausgang ab, trenne, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz, führe ein und schließe.
57	PROSE	f82r	B2-S017	B2	2	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B2; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	rsheal daldy	SH+E+AL | AL+CLOSE	kurz am Ziel ruhen; Nebenoeffnung; Schluss	Halte den Posten kurz am Ziel, schließe das Ziel und beende den Schritt.
58	PROSE	f82r	B2-S018	B2	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B2; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.
59	PROSE	f82r	B2-S019	B2	1	P_WASH	OWNER > WATER/LIQUID > WASH > OUTLET > CLOSE	Recipe liquorem de B2; lava, per conductum duc, effunde et claude.	Arbeitsflüssigkeit des Besitzers nehmen; waschen; durch den Lauf führen; abführen und schließen.	rshedy	WASH+CLOSE	Waschgang abschließen	Führe den Waschgang aus und schließe.
60	PROSE	f82r	B2-S020	B2	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B2; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	Führe den längeren Folgegang aus und schließe.
61	PROSE	f82r	B2-S021	B2	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B2; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.
62	PROSE	f82r	B2-S022	B2	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B2; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lochedy	L+CHD+CLOSE	Rest abfuehren; Schluss	Führe den Rest ab und schließe.
63	PROSE	f83r	B3-S001	B3	1	P_COLLECT	OWNER > FLOW/OUTPUT > RECEIVER > MEASURE > CLOSE	Recipe fluxum de B3; collige in vase, mensura et serva.	Ausgabe oder Lauf des Besitzers auffangen; im Empfänger sammeln; bemessen und verwahren.	olkeedy	SOLK+EE+CLOSE	länger sammeln; Schluss	Sammle länger und schließe.
64	PROSE	f83r	B3-S002	B3	2	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de B3; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	qotal chkeedy	OT+AL | CHK+EE+CLOSE	danach dorthin; länger wärmen; Schluss	Führe danach dorthin, wärme länger und schließe.
65	PROSE	f83r	B3-S003	B3	4	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	dieser Posten; Sollmaß; dieser Posten; abführen; Schluss	Nimm den aktuellen Posten, arbeite nach Sollmaß, nimm ihn wieder auf, führe ab und schließe.
66	PROSE	f83r	B3-S004	B3	3	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de B3 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	qokaiin qotal dar	OK+AIIN | OT+AL | AR	auf Sollmaß einstellen; danach dorthin; aus dem Ansatz	Arbeite nach Sollmaß, führe danach dorthin und nimm daraus.
67	PROSE	f83r	B3-S005	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	schedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.
68	PROSE	f83r	B3-S006	B3	3	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	diesen Posten überführen; dort ansetzen; weiterüberführen; Schluss	Übertrage den aktuellen Posten, setze ihn am Ziel an, führe weiter und schließe.
69	PROSE	f83r	B3-S007	B3	3	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	auf Sollmaß einstellen; laufenden Posten umsetzen; länger ansetzen; Schluss	Arbeite nach Sollmaß, übertrage, bearbeite länger und schließe.
70	PROSE	f83r	B3-S008	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.
71	PROSE	f83r	B3-S009	B3	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qoky	OK+Y	aktuellen Posten ansetzen	Nimm den Posten in Arbeit.
72	PROSE	f83r	B3-S010	B3	2	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Einlass; kurze Folge; Schluss	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.
73	PROSE	f83r	B3-S011	B3	4	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	bereiten Posten umsetzen; aktuellen Posten ansetzen; laufenden Posten umsetzen; aus diesem Posten	Übertrage den bereiten Posten, setze ihn an, übertrage den aktuellen Posten und nimm ihn vom Ausgang.
74	PROSE	f83r	B3-S012	B3	2	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	sor shedy	OR | SHED+E+CLOSE	Ansatz; kurz absetzen lassen; Schluss	Bereite den Ansatz, lass ihn absetzen und schließe.
75	PROSE	f83r	B3-S013	B3	4	P_MEASURE	OWNER > PORTION/MEASURE/STAGE > SET > CURRENT	Recipe de B3 portionem ad mensuram; pone in gradu suo.	Vom Besitzer eine Portion nehmen; auf Sollmaß oder Arbeitsstufe stellen.	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	auf Sollmaß einstellen; eine Portion; kurz bereithalten; kurz ansetzen; Schluss	Arbeite nach Sollmaß, nimm einen Anteil, halte kurz bereit, bearbeite kurz und schließe.
76	PROSE	f83r	B3-S014	B3	2	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	okair sheedy	OK+AIR | SHED+EE+CLOSE	Wasser einlassen; länger absetzen; Schluss	Lass Wasser ein, lass länger absetzen und schließe.
77	PROSE	f83r	B3-S015	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.
78	PROSE	f83r	B3-S016	B3	2	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lo qokchedy	L | OK+CHD+CLOSE	abfuehren; angesetzten Inhalt überführen; Schluss	Führe ab, setze den Posten um und schließe.
79	PROSE	f83r	B3-S017	B3	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.
80	PROSE	f83r	B3-S018	B3	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.
81	PROSE	f83r	B3-S019	B3	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	qokshedy	OK+SHED+CLOSE	Absetzgang ansetzen; Schluss	Lass absetzen und schließe.
82	PROSE	f83r	B3-S020	B3	2	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	dal lchedy	AL | L+CHD+CLOSE	dorthin; abführen; Schluss	Führe dorthin, führe ab und schließe.
83	PROSE	f83r	B3-S021	B3	11	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	auf Sollmaß einstellen; bereit; dorthin; dieser Posten; Sollmaß; dort absetzen; kurz bereit halten; dieser Posten; dorthin; bereit; dorthin umsetzen; Schluss	Arbeite nach Sollmaß, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, übertrage und schließe.
84	PROSE	f83r	B3-S022	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qotchedy	OT+CHD+CLOSE	nächsten Posten überführen; Schluss	Übertrage den Folgeposten und schließe.
85	PROSE	f83r	B3-S023	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.
86	PROSE	f83r	B3-S024	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	tchedy	CHD+CLOSE	Posten überführen; Schluss	Übertrage und schließe.
87	PROSE	f83r	B3-S025	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Übertrage und schließe.
88	PROSE	f83r	B3-S026	B3	7	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	von dort umsetzen; Absetzmaß; laufenden Posten umsetzen; eine Portion zugeben; bereit; Ansatz von dort zur Zielstelle; länger sammeln; Schluss	Übertrage vom Ausgang, stelle den Absetzwert ein, übertrage den aktuellen Posten, gib einen Anteil zu, halte den Posten bereit, führe den Ansatz zum Ziel, sammle länger und schließe.
89	PROSE	f83r	B3-S027	B3	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qoteedy	OT+EE+CLOSE	lange Folge; Schluss	Führe den längeren Folgegang aus und schließe.
90	PROSE	f83r	B3-S028	B3	2	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	länger ansetzen; kurz ansetzen; Schluss	Setze länger, dann kurz an und schließe.
91	PROSE	f83r	B3-S029	B3	3	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	fortsetzen; ganzen Teilposten; kurz ansetzen; Schluss	Führe weiter, nimm den ganzen Teilposten, bearbeite kurz und schließe.
92	PROSE	f83r	B3-S030	B3	4	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B3 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	aktuellen Posten ansetzen; Sollmaß; Wasser weiterleiten; nächsten Posten überführen; Schluss	Nimm den Posten in Arbeit, arbeite nach Sollmaß, nutze den Wasserlauf, übertrage den Folgeposten und schließe.
93	PROSE	f83r	B3-S031	B3	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B3; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.
94	PROSE	f83r	B3-S032	B3	5	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Portion umsetzen; laufenden Posten umsetzen; kurzes Folgemass; Folgemaß; kurze Folge; Schluss	Übertrage einen Anteil und den aktuellen Posten, setze den kurzen Folgewert und den Folgewert, führe die kurze Folge aus und schließe.
95	PROSE	f83r	B3-S033	B3	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B3; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	ldy	L+CLOSE	abziehen; Ende	Ziehe ab und schließe.
96	PROSE	f83r	B3-S034	B3	6	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B3; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Sollstufe; bereit; Teil abtrennen; Folgemaß; untere Zielstelle; kurz absetzen lassen; Schluss	Setze die Stufe, halte bereit, trenne einen Teil, setze den Folgewert, führe zur unteren Zielstelle, setze kurz ab und schließe.
97	PROSE	f83r	B4-S001	B4	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B4; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qokeedy	OK+EE+CLOSE	länger ansetzen; Schluss	Bearbeite länger und schließe.
98	PROSE	f83r	B4-S002	B4	3	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B4; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+CLOSE	diesen Posten weiterfuehren; länger ansetzen; kurz ansetzen; Schluss	Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
99	PROSE	f83r	B4-S003	B4	7	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B4; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	chedy otal otchey qokeey qoky tol shedy	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; danach dorthin; nächster Teilposten; länger ansetzen; aktuellen Posten ansetzen; fortsetzen; kurz absetzen lassen; Schluss	Übertrage, führe danach dorthin, wähle den Folgeposten, bearbeite länger, führe weiter, lass absetzen und schließe.
100	PROSE	f83r	B4-S004	B4	1	P_APPLICATION	OWNER > PREPARATION > TARGET > CONTACT GRADE > FASTEN/CLOSE	Recipe praeparatum de B4; pone ad locum, tene et liga.	Bereitung des Besitzers nehmen; an die Stelle bringen; anlegen oder halten; befestigen und schließen.	qokylddy	OK+Y+LDDY	aktuellen Posten befestigen; Schluss	Befestige den aktuellen Posten und schließe.
101	PROSE	f83r	B4-S005	B4	3	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B4; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	dain chedy qokeedy	DAIN | CHD+Y | OK+EE+CLOSE	Tuch; laufenden Posten umsetzen; länger ansetzen; Schluss	Lege das Tuch ein, übertrage, bearbeite länger und schließe.
102	PROSE	f83r	B4-S006	B4	1	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B4; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	shckhedy	CKHE+CLOSE	seihen; Schluss	Seih und schließe.
103	PROSE	f83r	B4-S007	B4	1	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B4; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	shckhedy	CKHE+CLOSE	seihen; Schluss	Seih und schließe.
104	PROSE	f83r	B4-S008	B4	4	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de B4; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	saiin cheeky sheey qokedy	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+CLOSE	Sollmaß; länger erwärmen und offen halten; laenger ruhen; kurz ansetzen; Schluss	Arbeite nach Sollmaß, wärme länger, lass länger ruhen, bearbeite kurz und schließe.
105	PROSE	f83r	B4-S009	B4	1	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B4; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	shedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	Lass absetzen und schließe.
106	PROSE	f83r	B4-S010	B4	1	P_PREPARE	OWNER > INPUT/BATCH > PROCESS > CURRENT/CLOSE	Recipe de B4; para, operare et serva quod fit.	Vom sichtbaren Besitzer nehmen; Ansatz bereiten; bearbeiten; Ergebnis weitergeben oder verwahren.	oldy	OL+CLOSE	Fortsetzung abschließen	Führe weiter und schließe.
107	PROSE	f83r	B4-S011	B4	7	P_WARM	OWNER > CURRENT ITEM > WARM/HOLD GRADE > READY/CLOSE	Recipe de B4; calefac leniter, tene ad gradum et comple.	Aktuellen Posten des Besitzers nehmen; gelinde wärmen; bis zur Stufe halten; bereitstellen oder schließen.	saiin cheky okeeol okain chdy sol lkedy	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+E+CLOSE	Sollmaß; kurz wärmen; länger fortführen; eine Portion zugeben; laufenden Posten umsetzen; fortsetzen; kurz abführen; Schluss	Arbeite nach Sollmaß, wärme kurz, führe länger fort, gib einen Anteil zu, übertrage, führe weiter, führe kurz ab und schließe.
108	PROSE	f83r	B4-S012	B4	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B4; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	lchedy	L+CHD+CLOSE	abführen; Schluss	Führe ab und schließe.
109	PROSE	f83r	B4-S013	B4	2	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B4; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	qokol shedy	OK+OL | SHED+E+CLOSE	Fortsetzung ansetzen; kurz absetzen lassen; Schluss	Setze die Fortsetzung ein, lass absetzen und schließe.
110	PROSE	f83r	B4-S014	B4	4	P_FLOW	OWNER > SOURCE > COURSE/PASSAGE > TARGET > CURRENT/CLOSE	Ab B4 per cursum ad locum duc; ibi tene vel claude.	Von der sichtbaren Quelle durch den Lauf zum Ziel führen; dort halten oder schließen.	or chey qockhey dairydy	OR | Y | OK+CKH+E+Y | AIR+Y+CLOSE	Ansatz; dieser Posten; kurzen Durchlauf ansetzen; Wasserlauf schliessen; Schluss	Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
111	PROSE	f83r	B4-S015	B4	6	P_FILTER	OWNER > MATERIAL > PRESS/STRAIN > STAND > CLEAR RESULT > STORE	Recipe de B4; exprime, cola, dimitte stare, clarum recipe et serva.	Vom sichtbaren Besitzer nehmen; auswringen oder seihen; stehen lassen; sichtbaren Auszug nehmen; verwahren.	qokain shey kain chckhal solkey lchedy	OK+AIN | CHEEY | AIN | CKH+AL | SOLK+E+Y | L+CHD+CLOSE	eine Portion zugeben; klarer Auszug; eine Portion; zur Zielstelle durchleiten; kurz sammeln; abführen; Schluss	Gib einen Anteil zu, nimm den Klarauszug, leite den Anteil zur Zielstelle, sammle kurz, führe ab und schließe.
112	PROSE	f83r	B4-S016	B4	4	P_SETTLE	OWNER > BATCH > STAND/SETTLE > GRADE > RESULT	Recipe praeparatum de B4; dimitte stare ad gradum et recipe superius.	Ansatz des Besitzers stehen oder absetzen lassen; Stufe abwarten; gewonnenen Anteil nehmen.	qolkain dal skar shedy	OL+AIN | AL | SK+AR | SHED+E+CLOSE	weitere Portion; dorthin; vom Ausgang ausgießen; kurz absetzen lassen; Schluss	Gib einen weiteren Anteil zum Ziel, gieße ihn vom Ausgang aus, lass absetzen und schließe.
113	PROSE	f83r	B5-S001	B5	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B5; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	otchdy	OT+CHD+CLOSE	Folgegang vollziehen; Schluss	Führe die Folgeumsetzung aus und schließe.
114	PROSE	f83r	B5-S002	B5	1	P_TRANSFER	OWNER > SOURCE > TRANSFER > TARGET > CURRENT/CLOSE	Recipe de B5; transfer ab fonte ad locum et comple.	Vom Besitzer oder Ausgang nehmen; zum Ziel umsetzen; den Posten weiterführen oder schließen.	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	Übertrage und schließe.
