group_serial	diagram_id	page	locus	opaque_local_id	visible_owner	visible_surface	namespace_id	local_content_class	detected_literal_atoms	detected_cues	covered_characters	residual_pattern	transfer_class	exact_prose_master_card_id	exact_prose_short_default_de	forward_prediction	forward_predicted_reading_de	existing_astro_component_parse	existing_astro_reading_de	cross_register_reading_de	orientation_rule	crosspage_rule
96	A1	f67r2	f67r2.39	A1:G096	A1_LEFT_LOCAL_FIELD_39	chedaiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	CHD+AIIN	CHD=ched@0-4|AIIN=aiin@4-8	8/8	········	FORWARD_PREDICTED_EXACT	NONE	NONE	CHD+AIIN	nach Sollmaß umsetzen	Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	A1_LEFT_LOCAL_FIELD_39: nach Sollmaß umsetzen als Himmels-/Kalenderwert	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
97	A1	f67r2	f67r2.39	A1:G097	A1_LEFT_LOCAL_FIELD_39	dy	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	dy	EXACT_PROSE_SURFACE	MC123	dieser Posten	NONE	NONE	dieser lokale Diagrammposten	Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten.	Sternplatz A1_LEFT_LOCAL_FIELD_39: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
98	A1	f67r2	f67r2.40	A1:G098	A1_LEFT_LOCAL_FIELD_40	yteos	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/5	yteos	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_40: sekundärer Phasenplatz.	A1_LEFT_LOCAL_FIELD_40: sekundärer Phasenplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
99	A1	f67r2	f67r2.40	A1:G099	A1_LEFT_LOCAL_FIELD_40	oiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/4	oiin	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Grad- oder Bedingungsstufe	Sternplatz A1_LEFT_LOCAL_FIELD_40: Grad- oder Bedingungsstufe; lokaler Namensrest o.	Sternplatz A1_LEFT_LOCAL_FIELD_40: Grad- oder Bedingungsstufe; lokaler Namensrest o.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
100	A1	f67r2	f67r2.40	A1:G100	A1_LEFT_LOCAL_FIELD_40	og	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	og	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_40: Grundgrad.	A1_LEFT_LOCAL_FIELD_40: Grundgrad.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
101	A1	f67r2	f67r2.41	A1:G101	A1_LEFT_LOCAL_FIELD_41	ytoeopchey	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/10	ytoeopchey	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_41: Vergleichswert dieses Platzes.	A1_LEFT_LOCAL_FIELD_41: Vergleichswert dieses Platzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
102	A1	f67r2	f67r2.41	A1:G102	A1_LEFT_LOCAL_FIELD_41	chekody	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	CHK	CHK=chek@0-4	4/7	····ody	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
103	A1	f67r2	f67r2.42	A1:G103	A1_LEFT_LOCAL_FIELD_42	sosho	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	HO	HO=sho@2-5	3/5	so···	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Himmelsobjekt oder Eingangsbedingung	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest sos.	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest sos.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
104	A1	f67r2	f67r2.42	A1:G104	A1_LEFT_LOCAL_FIELD_42	chos	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	HO	HO=cho@0-3	3/4	···s	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Himmelsobjekt oder Eingangsbedingung	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/s.	Sternplatz A1_LEFT_LOCAL_FIELD_42: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
105	A1	f67r2	f67r2.42	A1:G105	A1_LEFT_LOCAL_FIELD_42	ockhy	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	CKH	CKH=ckh@1-4	3/5	o···y	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	durch Sektor, Ring oder Pruefweg fuehren	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
106	A1	f67r2	f67r2.43	A1:G106	A1_LEFT_LOCAL_FIELD_43	daiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@1-5	4/5	d····	EXACT_PROSE_SURFACE	MC039	Sollmaß	NONE	NONE	Sollwert oder Grad des bezeichneten Himmelsplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
107	A1	f67r2	f67r2.43	A1:G107	A1_LEFT_LOCAL_FIELD_43	aiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@0-4	4/4	····	EXACT_PROSE_SURFACE	MC039	Sollmaß	NONE	NONE	Sollwert oder Grad des bezeichneten Himmelsplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sternplatz A1_LEFT_LOCAL_FIELD_43: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
108	A1	f67r2	f67r2.43	A1:G108	A1_LEFT_LOCAL_FIELD_43	os	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	os	EXACT_PROSE_SURFACE	MC159	Mischgefäß	NONE	NONE	umschliessendes Diagrammfeld	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.	Sternplatz A1_LEFT_LOCAL_FIELD_43: umschliessendes Diagrammfeld.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
109	A1	f67r2	f67r2.43	A1:G109	A1_LEFT_LOCAL_FIELD_43	qsg	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/3	qsg	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_43: neuer Nebengrad.	A1_LEFT_LOCAL_FIELD_43: neuer Nebengrad.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
110	A1	f67r2	f67r2.44	A1:G110	A1_LEFT_LOCAL_FIELD_44	ofydy	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/5	ofydy	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
111	A1	f67r2	f67r2.44	A1:G111	A1_LEFT_LOCAL_FIELD_44	sheody	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/6	sheody	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Position oder Bedingung halten	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
112	A1	f67r2	f67r2.44	A1:G112	A1_LEFT_LOCAL_FIELD_44	aiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@0-4	4/4	····	EXACT_PROSE_SURFACE	MC039	Sollmaß	NONE	NONE	Sollwert oder Grad des bezeichneten Himmelsplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sternplatz A1_LEFT_LOCAL_FIELD_44: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
113	A1	f67r2	f67r2.45	A1:G113	A1_LEFT_LOCAL_FIELD_45	ycheody	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	CHEO	CHEO=cheo@1-5	4/7	y····dy	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
114	A1	f67r2	f67r2.45	A1:G114	A1_LEFT_LOCAL_FIELD_45	es	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	es	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_LEFT_LOCAL_FIELD_45: ausgewählter Nebenwert.	A1_LEFT_LOCAL_FIELD_45: ausgewählter Nebenwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
115	A1	f67r2	f67r2.45	A1:G115	A1_LEFT_LOCAL_FIELD_45	odaiiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	IIN	IIN=iiin@3-7	4/7	oda····	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Grad- oder Bedingungsstufe	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
116	A1	f67r2	f67r2.46	A1:G116	A1_LEFT_LOCAL_FIELD_46	yekees	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/6	yekees	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	lange oder volle Diagrammstufe	Sternplatz A1_LEFT_LOCAL_FIELD_46: lange oder volle Diagrammstufe; lokaler Namensrest yek/s.	Sternplatz A1_LEFT_LOCAL_FIELD_46: lange oder volle Diagrammstufe; lokaler Namensrest yek/s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
117	A1	f67r2	f67r2.46	A1:G117	A1_LEFT_LOCAL_FIELD_46	oraly	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	OR+AL	OR=or@0-2|AL=al@2-4	4/5	····y	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	Sternplatz A1_LEFT_LOCAL_FIELD_46: Bedingungs-, Tabellen- oder Wahlansatz + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
118	A1	f67r2	f67r2.47	A1:G118	A1_LEFT_LOCAL_FIELD_47	yfain	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIN	AIN=ain@2-5	3/5	yf···	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	gezaehlter Teil oder Unterabschnitt	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.	Sternplatz A1_LEFT_LOCAL_FIELD_47: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest yf.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
119	A1	f67r2	f67r2.48	A1:G119	A1_LEFT_LOCAL_FIELD_48	todaiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@3-7	4/7	tod····	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Sollwert oder Grad eines Diagrammplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.	Sternplatz A1_LEFT_LOCAL_FIELD_48: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest tod.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
120	A1	f67r2	f67r2.48	A1:G120	A1_LEFT_LOCAL_FIELD_48	dain	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIN	AIN=ain@1-4	3/4	d···	EXACT_PROSE_SURFACE	MC059	Tuch	NONE	NONE	Band-, Schleier- oder Abdecktraeger	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	Sternplatz A1_LEFT_LOCAL_FIELD_48: Band-, Schleier- oder Abdecktraeger.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
121	A1	f67r2	f67r2.48	A1:G121	A1_LEFT_LOCAL_FIELD_48	dy	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	dy	EXACT_PROSE_SURFACE	MC123	dieser Posten	NONE	NONE	dieser lokale Diagrammposten	Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten.	Sternplatz A1_LEFT_LOCAL_FIELD_48: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
122	A1	f67r2	f67r2.49	A1:G122	A1_LEFT_LOCAL_FIELD_49	os	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	NONE	NONE	0/2	os	EXACT_PROSE_SURFACE	MC159	Mischgefäß	NONE	NONE	umschliessendes Diagrammfeld	Sternplatz A1_LEFT_LOCAL_FIELD_49: umschliessendes Diagrammfeld.	Sternplatz A1_LEFT_LOCAL_FIELD_49: umschliessendes Diagrammfeld.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
123	A1	f67r2	f67r2.49	A1:G123	A1_LEFT_LOCAL_FIELD_49	choer	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	HO	HO=cho@0-3	3/5	···er	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Himmelsobjekt oder Eingangsbedingung	Sternplatz A1_LEFT_LOCAL_FIELD_49: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/er.	Sternplatz A1_LEFT_LOCAL_FIELD_49: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/er.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
124	A1	f67r2	f67r2.49	A1:G124	A1_LEFT_LOCAL_FIELD_49	aiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@0-4	4/4	····	EXACT_PROSE_SURFACE	MC039	Sollmaß	NONE	NONE	Sollwert oder Grad des bezeichneten Himmelsplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sternplatz A1_LEFT_LOCAL_FIELD_49: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
125	A1	f67r2	f67r2.50	A1:G125	A1_LEFT_LOCAL_FIELD_50	choeea	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	HO	HO=cho@0-3	3/6	···eea	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe	Sternplatz A1_LEFT_LOCAL_FIELD_50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/a.	Sternplatz A1_LEFT_LOCAL_FIELD_50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/a.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
126	A1	f67r2	f67r2.50	A1:G126	A1_LEFT_LOCAL_FIELD_50	sal	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AL	AL=al@1-3	2/3	s··	EXACT_PROSE_SURFACE	MC154	dorthin	NONE	NONE	zum bezeichneten Zielplatz	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	Sternplatz A1_LEFT_LOCAL_FIELD_50: zum bezeichneten Zielplatz.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
127	A1	f67r2	f67r2.51	A1:G127	A1_LEFT_LOCAL_FIELD_51	dadaiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_STAR_RAY_OR_ASPECT_FIELD	AIIN	AIIN=aiin@3-7	4/7	dad····	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Sollwert oder Grad eines Diagrammplatzes	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.	Sternplatz A1_LEFT_LOCAL_FIELD_51: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest dad.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
128	A1	f67r2	f67r2.52	A1:G128	A1_LEFT_OUTER_STAR_STATION_01	qotoear	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	OT+AR	OT=ot@1-3|AR=ar@5-7	4/7	q··oe··	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	Sternplatz A1_LEFT_OUTER_STAR_STATION_01: naechster Platz oder folgende Bedingung + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest q/oe.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
129	A1	f67r2	f67r2.53	A1:G129	A1_LEFT_OUTER_STAR_STATION_02	dchdar	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	CHD+AR	CHD=chd@1-4|AR=ar@4-6	5/6	d·····	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	Sternplatz A1_LEFT_OUTER_STAR_STATION_02: Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest d.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
130	A1	f67r2	f67r2.54	A1:G130	A1_LEFT_OUTER_STAR_STATION_03	y	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	NONE	NONE	0/1	y	EXACT_PROSE_SURFACE	MC123	dieser Posten	NONE	NONE	dieser lokale Diagrammposten	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten.	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: dieser lokale Diagrammposten.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
131	A1	f67r2	f67r2.54	A1:G131	A1_LEFT_OUTER_STAR_STATION_03	saldal	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	AL+AL	AL=al@1-3|AL=al@4-6	4/6	s··d··	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s/d.	Sternplatz A1_LEFT_OUTER_STAR_STATION_03: Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s/d.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
132	A1	f67r2	f67r2.55	A1:G132	A1_LEFT_OUTER_STAR_STATION_04	ytodal	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	AL	AL=al@4-6	2/6	ytod··	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Zielsektor, Zielstern oder Zielfeld	Sternplatz A1_LEFT_OUTER_STAR_STATION_04: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ytod.	Sternplatz A1_LEFT_OUTER_STAR_STATION_04: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ytod.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
133	A1	f67r2	f67r2.56	A1:G133	A1_LEFT_OUTER_STAR_STATION_05	tol	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	OL	OL=ol@1-3	2/3	t··	EXACT_PROSE_SURFACE	MC153	fortsetzen	NONE	NONE	im selben Ring oder Band fortsetzen	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: im selben Ring oder Band fortsetzen.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
134	A1	f67r2	f67r2.56	A1:G134	A1_LEFT_OUTER_STAR_STATION_05	daiin	F67_LEFT_WHEEL_NS	LEFT_WHEEL_OUTER_STAR_POSITION	AIIN	AIIN=aiin@1-5	4/5	d····	EXACT_PROSE_SURFACE	MC039	Sollmaß	NONE	NONE	Sollwert oder Grad des bezeichneten Himmelsplatzes	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	Sternplatz A1_LEFT_OUTER_STAR_STATION_05: Sollwert oder Grad des bezeichneten Himmelsplatzes.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
