visible_surface	occurrences	pages	owners	namespaces	detected_literal_atoms	detected_cues	covered_characters	transfer_class	exact_prose_master_card_id	forward_prediction	representative_astro_reading_de
dosar	1	f67r2	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	AR	AR=ar@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dos.
dy	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_17|A1_LEFT_LOCAL_FIELD_39|A1_LEFT_LOCAL_FIELD_48|A1_LEFT_OUTER_STAR_STATION_06|A3_LEFT_RADIAL_SLOT_02|A3_LEFT_RADIAL_SLOT_22|A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS	NONE	NONE	0/2	EXACT_PROSE_SURFACE	MC123	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_17: dieser lokale Diagrammposten.
eckhear	1	f68r1	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	CKHE+AR	CKHE=ckhe@1-5|AR=ar@5-7	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: durch Sektor, Ring oder Pruefweg fuehren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.
eesydy	1	f67r2	A1_RIGHT_SECTOR_SLOT_02	F67_RIGHT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.
es	1	f67r2	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_45: ausgewählter Nebenwert.
ey	1	f67r2	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.
eykeody	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: ausgewählter Klassenplatz.
g	1	f67r2	A1_LEFT_OUTER_STAR_STATION_07	F67_LEFT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_OUTER_STAR_STATION_07: Gradwert.
giin	1	f67r2	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_35: Grad- oder Bedingungsstufe; lokaler Namensrest g.
iokeeor	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	OK+OR	OK=ok@1-3|OR=or@5-7	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.
kchey	1	f67r2	A1_RIGHT_SECTOR_SLOT_07	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@0-3	3/5	EXACT_PROSE_SURFACE	MC122	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_07: diesen Diagrammplatz kurz bearbeiten.
kchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@0-3	3/4	EXACT_PROSE_SURFACE	MC117	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: diesen Diagrammplatz bearbeiten.
lkshy	1	f67r2	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Position oder Bedingung halten; lokaler Namensrest lk/y.
o	2	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: Grundwert.
oaiin	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	AIIN	AIIN=aiin@1-5	4/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest o.
oar	1	f69v	A3_LEFT_RADIAL_SLOT_28	F69_LEFT_WHEEL_NS	AR	AR=ar@1-3	2/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_28: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.
oaram	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AR	AR=ar@1-3	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o/am.
ochol	1	f67r2	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	HO	HO=cho@1-4	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest och.
ochoyk	1	f69v	A3_LEFT_RADIAL_SLOT_03	F69_LEFT_WHEEL_NS	HO	HO=cho@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_03: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest oc/yk.
ockhy	3	f67r2|f68r1|f69v	A1_LEFT_LOCAL_FIELD_42|A2_STAR_STATION_13|A3_MIDDLE_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F68_LOCAL_STAR_SLOT_NS|F69_MIDDLE_WHEEL_NS	CKH	CKH=ckh@1-4	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_42: durch Sektor, Ring oder Pruefweg fuehren; lokaler Namensrest o/y.
ocphy	1	f68r1	A2_STAR_STATION_23	F68_LOCAL_STAR_SLOT_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A2_STAR_STATION_23: Grundauswahl.
octhey	1	f68r1	A2_STAR_STATION_05	F68_LOCAL_STAR_SLOT_NS	CTH	CTH=cth@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A2_STAR_STATION_05: ausgewählte Grundbedingung.
octhole	1	f67r2	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	CTH+OL	CTH=cth@1-4|OL=ol@4-6	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_38: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest octh/e.
octhys	1	f67r2	A1_LEFT_OUTER_STAR_STATION_09	F67_LEFT_WHEEL_NS	CTH	CTH=cth@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A1_LEFT_OUTER_STAR_STATION_09: sekundäre Grundbedingung.
odaeiin	1	f67r2	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_16: Grad- oder Bedingungsstufe; lokaler Namensrest odae.
odaiiin	1	f67r2	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	IIN	IIN=iiin@3-7	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_45: Grad- oder Bedingungsstufe; lokaler Namensrest odai.
odain	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	AIN	AIN=ain@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest od.
odair	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	AIR	AIR=air@2-5	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest od.
odal	1	f67r2	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	AL	AL=al@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_33: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.
odas	1	f67r2	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_32: fester Nebenwert.
odchecthy	1	f68r1	A2_STAR_STATION_01	F68_LOCAL_STAR_SLOT_NS	CTH	CTH=cth@5-8	3/9	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A2_STAR_STATION_01: feste abgeleitete Bedingung.
ody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/3	EXACT_PROSE_SURFACE	MC100	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: diesen Diagrammposten zuruecknehmen.
oear	1	f67r2	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	AR	AR=ar@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_33: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest oe.
oeeody	1	f68r1	A2_STAR_STATION_22	F68_LOCAL_STAR_SLOT_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A2_STAR_STATION_22: lange oder volle Diagrammstufe; lokaler Namensrest o/ody.
oeeos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: lange oder volle Diagrammstufe; lokaler Namensrest o/os.
oeesy	1	f69v	A3_LEFT_RADIAL_SLOT_06	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_06: lange oder volle Diagrammstufe; lokaler Namensrest o/sy.
oekain	1	f67r2	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	AIN	AIN=ain@3-6	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_16: gezaehlter Teil oder Unterabschnitt; lokaler Namensrest oek.
oeoldan	1	f67r2	A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	OL	OL=ol@2-4	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_34: im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden; lokaler Namensrest oe.
oepchod	1	f67r2	A1_RIGHT_PHASE_STATION_05	F67_RIGHT_WHEEL_NS	HO	HO=cho@3-6	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A1_RIGHT_PHASE_STATION_05: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest oepc/d.
ofar	2	f67r2	A1_LEFT_LOCAL_FIELD_24|A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	AR	AR=ar@2-4	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest of.
ofcheor	1	f68r1	A2_STAR_STATION_14	F68_LOCAL_STAR_SLOT_NS	CHEO	CHEO=cheo@2-6	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_14: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest ofche.
ofydy	1	f67r2	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_44: fester Grundlichtwert.
og	1	f67r2	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_40: Grundgrad.
oiin	1	f67r2	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_40: Grad- oder Bedingungsstufe; lokaler Namensrest o.
oiinar	1	f68r1	A2_STAR_STATION_19	F68_LOCAL_STAR_SLOT_NS	AR	AR=ar@4-6	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_STAR_STATION_19: Grad- oder Bedingungsstufe + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest o.
okaiiin	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_04	F68_MULTIPANEL_HEADER_QUARANTINE_NS	OK+IIN	OK=ok@0-2|IIN=iiin@3-7	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Diagrammposten setzen oder aktivieren + Grad- oder Bedingungsstufe; lokaler Namensrest ai.
okain	1	f67r2	A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	OK+AIN	OK=ok@0-2|AIN=ain@2-5	5/5	EXACT_PROSE_SURFACE	MC017	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_28: einen gezaehlten Teilwert zugeben.
okal	1	f67r2	A1_LEFT_LOCAL_FIELD_22	F67_LEFT_WHEEL_NS	OK+AL	OK=ok@0-2|AL=al@2-4	4/4	EXACT_PROSE_SURFACE	MC040	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_22: am Zielplatz setzen.
okar	4	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_03|A1_RIGHT_SECTOR_SLOT_10|A3_LEFT_WHEEL_RING_TEXT	F67_RIGHT_WHEEL_NS|F69_LEFT_WHEEL_NS	OK+AR	OK=ok@0-2|AR=ar@2-4	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
okardy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	OK+AR	OK=ok@0-2|AR=ar@2-4	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dy.
okchdy	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	KCH	KCH=kch@1-4	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + Wert oder Platzbezug uebertragen; lokaler Namensrest y.
okcheys	1	f69v	A3_LEFT_RADIAL_SLOT_27	F69_LEFT_WHEEL_NS	KCH	KCH=kch@1-4	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_27: Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest o/eys.
okchoal	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	KCH+AL	KCH=kch@1-4|AL=al@5-7	5/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Himmelsobjekt oder Eingangsbedingung + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest c.
okchy	1	f67r2	A1_RIGHT_SECTOR_SLOT_05	F67_RIGHT_WHEEL_NS	KCH	KCH=kch@1-4	3/5	EXACT_PROSE_SURFACE	MC103	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_05: diesen Diagrammposten setzen.
okeal	1	f69v	A3_LEFT_RADIAL_SLOT_10	F69_LEFT_WHEEL_NS	OK+AL	OK=ok@0-2|AL=al@3-5	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_10: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest e.
okear	1	f68r1	A2_STAR_STATION_08	F68_LOCAL_STAR_SLOT_NS	OK+AR	OK=ok@0-2|AR=ar@3-5	4/5	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_08: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest e.
okedy	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest edy.
okeeodal	1	f68r1	A2_STAR_STATION_24	F68_LOCAL_STAR_SLOT_NS	OK+AL	OK=ok@0-2|AL=al@6-8	4/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_24: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od.
okeeody	2	f67r2|f69v	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_LEFT_WHEEL_RING_TEXT	F67_PAIRED_LEGEND_QUARANTINE_NS|F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest ody.
okeeos	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest os.
okeey	4	f68r1|f69v	A2_RIGHT_PANEL_HEADER|A3_LEFT_RADIAL_SLOT_01|A3_LEFT_RADIAL_SLOT_22|A3_LEFT_WHEEL_RING_TEXT	F68_RIGHT_PANEL_HEADER_NS|F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/5	EXACT_PROSE_SURFACE	MC002	NONE	Sektorplatz A2_RIGHT_PANEL_HEADER: in langer Stufe setzen.
okeo	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_27|A3_LEFT_RADIAL_SLOT_02	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_27: Diagrammposten setzen oder aktivieren; lokaler Namensrest eo.
okeod	4	f69v	A3_LEFT_RADIAL_SLOT_11|A3_LEFT_RADIAL_SLOT_15|A3_LEFT_RADIAL_SLOT_24|A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest eod.
okeodal	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	OK+AL	OK=ok@0-2|AL=al@5-7	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest eod.
okeody	1	f69v	A3_LEFT_RADIAL_SLOT_26	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_26: Diagrammposten setzen oder aktivieren; lokaler Namensrest eody.
okey	2	f67r2|f69v	A1_LEFT_OUTER_RING_TEXT|A3_LEFT_RADIAL_SLOT_23	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/4	EXACT_PROSE_SURFACE	MC007	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: in kurzer Stufe setzen.
okoaly	1	f68r1	A2_STAR_STATION_03	F68_LOCAL_STAR_SLOT_NS	OK+AL	OK=ok@0-2|AL=al@3-5	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_03: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest o/y.
okodaly	1	f68r1	A2_CENTRE_KEY_UNRESOLVED	F68_CENTRE_KEY_QUARANTINE_NS	OK+AL	OK=ok@0-2|AL=al@4-6	4/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Zentrumsmarke A2_CENTRE_KEY_UNRESOLVED: Diagrammposten setzen oder aktivieren + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest od/y.
okodar	2	f67r2	A1_LEFT_OUTER_STAR_STATION_12|A1_RIGHT_PHASE_STATION_04	F67_LEFT_WHEEL_NS|F67_RIGHT_WHEEL_NS	OK+AR	OK=ok@0-2|AR=ar@4-6	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_12: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest od.
okodchy	1	f69v	A3_LEFT_RADIAL_SLOT_25	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_25: Diagrammposten setzen oder aktivieren; lokaler Namensrest odchy.
okody	2	f69v	A3_LEFT_RADIAL_SLOT_08|A3_RIGHT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	OK	OK=ok@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren; lokaler Namensrest ody.
okoes	1	f67r2	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_16: Diagrammposten setzen oder aktivieren; lokaler Namensrest oes.
okoirsh	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	OK	OK=ok@0-2	2/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten; lokaler Namensrest oir.
okol	2	f67r2	A1_LEFT_LOCAL_FIELD_35|A1_RIGHT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS|F67_RIGHT_WHEEL_NS	OK+OL	OK=ok@0-2|OL=ol@2-4	4/4	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_35: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen.
okolar	1	f69v	A3_LEFT_RADIAL_SLOT_18	F69_LEFT_WHEEL_NS	OK+OL+AR	OK=ok@0-2|OL=ol@2-4|AR=ar@4-6	6/6	FORWARD_PREDICTED_EMBEDDED	NONE	OL+AR	Radstelle A3_LEFT_RADIAL_SLOT_18: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.
okoldy	1	f68r1	A2_STAR_STATION_20	F68_LOCAL_STAR_SLOT_NS	OK+OL	OK=ok@0-2|OL=ol@2-4	4/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_20: Diagrammposten setzen oder aktivieren + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest dy.
okshor	1	f68r1	A2_STAR_STATION_25	F68_LOCAL_STAR_SLOT_NS	OK+HO	OK=ok@0-2|HO=sho@2-5	5/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.
oky	1	f68r1	A2_CENTRAL_LEGEND_UNRESOLVED	F68_CENTRAL_LEGEND_QUARANTINE_NS	OK	OK=ok@0-2	2/3	EXACT_PROSE_SURFACE	MC026	NONE	Legendenstelle A2_CENTRAL_LEGEND_UNRESOLVED: diesen Diagrammposten setzen.
ol	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	OL	OL=ol@0-2	2/2	EXACT_PROSE_SURFACE	MC153	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: im selben Ring oder Band fortsetzen.
olar	1	f67r2	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	OL+AR	OL=ol@0-2|AR=ar@2-4	4/4	FORWARD_PREDICTED_EXACT	NONE	OL+AR	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.
oldy	1	f67r2	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	OL	OL=ol@0-2	2/4	EXACT_PROSE_SURFACE	MC019	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_02: fortsetzen und den Eintrag schliessen.
olol	1	f67r2	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	OL+OL	OL=ol@0-2|OL=ol@2-4	4/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_30: im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen.
