card_no	surfaces	component_parse	role_signature	clause_type	portable_component_reading_de	portable_role_reading_de	observed_action_senses_de	observed_action_frame_codes	context_sense_count	context_sensitive	composition_status	occurrences	sections	records	complete_default_available
PROC102	lched	L+CHD	ACTION+ACTION	ACTION_CLAUSE	führen · umsetzen	den laufenden Posten führen und umsetzen	führen + umsetzen	CHD:TRANSFER|L:GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC103	lcheckhedy	L+CKH+E+DY	ACTION+PATH_MEDIUM+GRADE+CLOSE	ACTION_CLAUSE	führen · Durchlass · kurz · Schluss	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	durchleiten	L:PATH_GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC104	qokaly	OK+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	ansetzen · Zielstelle · dies	diesen Posten an bezeichnete Stelle ansetzen	anlegen	OK:TARGET_APPLY	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC105	solkaiin	SOLK+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	auffangen · Maß	den laufenden Posten nach vorgeschriebenes Maß auffangen	bis zum Maß auffangen	SOLK:MEASURED_COLLECT	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC106	octheol	O+CTH+E+OL	PROCESS+STATE+GRADE+SEQUENCE	STATE_OR_GRADE_PHRASE	Arbeitsgang · bereit · kurz · fortsetzen	Arbeitsgang · bereit · kurz · fortsetzen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC107	chkeey	CHK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	wärmen · länger · dies	diesen Posten länger wärmen	warm halten	CHK:HOLD_WARM	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC108	ldy	L+DY	ACTION+CLOSE	ACTION_CLAUSE	führen · Schluss	den laufenden Posten führen; Schritt schließen	abführen	L:CLOSED_DRAIN	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	YES
PROC109	oteey	OT+EE+Y	SEQUENCE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	danach · länger · dies	danach · länger · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B2	YES
PROC110	sheckhy	SH+E+CKH+Y	ACTION+GRADE+PATH_MEDIUM+ITEM	ACTION_CLAUSE	halten · kurz · Durchlass · dies	diesen Posten durch Durchlass kurz halten	zurückhalten	SH:PATH_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC111	dshedy	SH+E+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	halten · kurz · Schluss	den laufenden Posten kurz halten; Schritt schließen	ruhen lassen	SH:TIMED_REST	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC112	otaiin|sotaiin	OT+AIIN	SEQUENCE+QUANTITY	SEQUENCE_OR_CONTINUATION	danach · Maß	danach · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B2|B3	YES
PROC113	qokar	OK+AR	ACTION+SOURCE	ACTION_CLAUSE	ansetzen · von dort	den laufenden Posten von dort ansetzen	einsetzen	OK:MEASURED_CHARGE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC114	solshedy	OL+SH+E+DY	SEQUENCE+ACTION+GRADE+CLOSE	ACTION_CLAUSE	fortsetzen · halten · kurz · Schluss	fortsetzen den laufenden Posten kurz halten; Schritt schließen	ruhen lassen	SH:TIMED_REST	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC115	ls	LS	SEQUENCE	SEQUENCE_OR_CONTINUATION	fortsetzen	weiter	NOT_AN_ACTION_CARD	NONE	1	NO	LEARNED_WHOLE_CARD	1	BIOLOGICAL	B2	YES
PROC116	lchy	L+CH+Y	ACTION+ACTION+ITEM	ACTION_CLAUSE	führen · abziehen · dies	diesen Posten führen und abziehen	führen + abnehmen	CH:TAKE_OFF|L:GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC117	qcthey|shcthey	CTH+E+Y	STATE+GRADE+ITEM	STATE_OR_GRADE_PHRASE	bereit · kurz · dies	bereit · kurz · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	YES
PROC118	lcheey	L+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	führen · länger · dies	diesen Posten länger führen	führen	L:GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC119	qokeeedy	OK+EEE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	ansetzen · vollständig · Schluss	den laufenden Posten vollständig ansetzen; Schritt schließen	einsetzen	OK:MEASURED_CHARGE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC120	lchedy	L+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	führen · umsetzen · Schluss	den laufenden Posten führen und umsetzen; Schritt schließen	abführen + abmessen und umsetzen|abführen + überführen|hinleiten + umfüllen	CHD:COMMIT_TRANSFER|CHD:MEASURED_TRANSFER|CHD:TARGET_TRANSFER|L:CLOSED_DRAIN|L:TARGET_GUIDE	3	YES	COMPOSITIONAL	8	BIOLOGICAL	B2|B3|B4	YES
PROC121	lar	L+AR	ACTION+SOURCE	ACTION_CLAUSE	führen · von dort	den laufenden Posten von dort führen	ableiten	L:SOURCE_DRAIN	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC122	tshey	SH+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	halten · kurz · dies	diesen Posten kurz halten	halten	SH:TIMED_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC123	lchedar	L+CHD+AR	ACTION+ACTION+SOURCE	ACTION_CLAUSE	führen · umsetzen · von dort	den laufenden Posten von dort führen und umsetzen	ableiten + umfüllen	CHD:TARGET_TRANSFER|L:SOURCE_DRAIN	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC124	ches	CH+E+S	ACTION+GRADE+ACTION	ACTION_CLAUSE	abziehen · kurz · teilen	den laufenden Posten kurz abziehen und teilen	abnehmen + abteilen	CH:TAKE_OFF|S:DIVIDE	1	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B2	YES
PROC125	pchedy	P+CHD+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	hinein · umsetzen · Schluss	den laufenden Posten hineingeben und umsetzen; Schritt schließen	einfüllen + überführen	CHD:COMMIT_TRANSFER|P:COMMIT_FILL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC126	rsheal	R+SH+E+AL	ACTION+ACTION+GRADE+TARGET	ACTION_CLAUSE	abkühlen · halten · kurz · Zielstelle	den laufenden Posten an bezeichnete Stelle kurz abkühlen und halten	abkühlen lassen + ruhen lassen	R:TARGET_COOL|SH:TIMED_REST	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC127	daldy	AL+DY	TARGET+CLOSE	CLOSE_WITHOUT_ACTION	Zielstelle · Schluss	bezeichnete Stelle; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC128	rshedy	R+SHED+DY	ACTION+ACTION+CLOSE	ACTION_CLAUSE	abkühlen · absetzen · Schluss	den laufenden Posten abkühlen und absetzen; Schritt schließen	auskühlen lassen + absetzen lassen	R:COMMIT_COOL|SHED:COMMIT_SETTLE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC129	qoteedy	OT+EE+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	danach · länger · Schluss	danach · länger; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B2|B3	YES
PROC130	lochedy	L+O+CHD+DY	ACTION+PROCESS+ACTION+CLOSE	ACTION_CLAUSE	führen · Arbeitsgang · umsetzen · Schluss	den Arbeitsgang führen und umsetzen; Schritt schließen	abführen + überführen	CHD:COMMIT_TRANSFER|L:CLOSED_DRAIN	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B2	YES
PROC131	otal|qotal	OT+AL	SEQUENCE+TARGET	SEQUENCE_OR_CONTINUATION	danach · Zielstelle	danach · bezeichnete Stelle	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	3	BIOLOGICAL	B3|B4	YES
PROC132	chkeedy	CHK+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	wärmen · länger · Schluss	den laufenden Posten länger wärmen; Schritt schließen	anwärmen	CHK:TARGET_WARM	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC133	chedchy	CHD+Y	ACTION+ITEM	ACTION_CLAUSE	umsetzen · dies	diesen Posten umsetzen	umsetzen	CHD:TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC134	pchedal	P+CHD+AL	ACTION+ACTION+TARGET	ACTION_CLAUSE	hinein · umsetzen · Zielstelle	den laufenden Posten an bezeichnete Stelle hineingeben und umsetzen	einfüllen + umfüllen	CHD:TARGET_TRANSFER|P:TARGET_FILL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC135	otedy	OT+E+DY	SEQUENCE+GRADE+CLOSE	CLOSE_WITHOUT_ACTION	danach · kurz · Schluss	danach · kurz; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B3	YES
PROC136	shecthedchy	SH+E+CTH+CHD+Y	ACTION+GRADE+STATE+ACTION+ITEM	ACTION_CLAUSE	halten · kurz · bereit · umsetzen · dies	diesen Posten kurz halten und umsetzen bis bereit	halten + umsetzen	CHD:TRANSFER|SH:TIMED_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC137	chary	AR+Y	SOURCE+ITEM	ARGUMENT_OR_ADDRESS	von dort · dies	von dort · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC138	okair	OK+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	ansetzen · Lauf	den laufenden Posten durch laufender Bestand ansetzen	einleiten	OK:FLOW_START	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC139	sheedy	SH+EE+DY	ACTION+GRADE+CLOSE	ACTION_CLAUSE	halten · länger · Schluss	den laufenden Posten länger halten; Schritt schließen	ruhen lassen	SH:TIMED_REST	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC140	lo	L+O	ACTION+PROCESS	ACTION_CLAUSE	führen · Arbeitsgang	den Arbeitsgang führen	führen	L:GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC141	qokshedy	OK+SH+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	ansetzen · halten · kurz · Schluss	den laufenden Posten kurz ansetzen und halten; Schritt schließen	einwirken lassen + ruhen lassen	OK:TIMED_APPLICATION|SH:TIMED_REST	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC142	shedal	SHED+AL	ACTION+TARGET	ACTION_CLAUSE	absetzen · Zielstelle	den laufenden Posten an bezeichnete Stelle absetzen	ablagern	SHED:TARGET_DEPOSIT	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B3|B5	YES
PROC143	shecthy	SH+E+CTH+Y	ACTION+GRADE+STATE+ITEM	ACTION_CLAUSE	halten · kurz · bereit · dies	diesen Posten kurz halten bis bereit	halten	SH:TIMED_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC144	dalchdy	AL+CHD+DY	TARGET+ACTION+CLOSE	ACTION_CLAUSE	Zielstelle · umsetzen · Schluss	den laufenden Posten an bezeichnete Stelle umsetzen; Schritt schließen	umfüllen	CHD:TARGET_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC145	otchedy|qotchedy	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	danach · umsetzen · Schluss	danach den laufenden Posten umsetzen; Schritt schließen	überführen	CHD:COMMIT_TRANSFER	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B3	YES
PROC146	cheedar	EE+AR	GRADE+SOURCE	STATE_OR_GRADE_PHRASE	länger · von dort	länger · von dort	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC147	chldaiin	L+AIIN	ACTION+QUANTITY	ACTION_CLAUSE	führen · Maß	den laufenden Posten nach vorgeschriebenes Maß führen	ableiten	L:SOURCE_DRAIN	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC148	chealror	AL+R+OR	TARGET+ACTION+PREPARATION	ACTION_CLAUSE	Zielstelle · abkühlen · Ansatz	den Ansatz an bezeichnete Stelle abkühlen	abkühlen lassen	R:TARGET_COOL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC149	cheeety	EEE+T+Y	GRADE+ACTION+ITEM	ACTION_CLAUSE	vollständig · eintragen · dies	diesen Posten vollständig eintragen	eintragen	T:CONTINUE_ENTRY	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC150	schedair	CHD+AIR	ACTION+PATH_MEDIUM	ACTION_CLAUSE	umsetzen · Lauf	den laufenden Posten durch laufender Bestand umsetzen	durchleiten	CHD:PATH_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC151	chedain	CHD+AIN	ACTION+QUANTITY	ACTION_CLAUSE	umsetzen · Portion	den laufenden Posten nach Portion umsetzen	abmessen und umsetzen	CHD:MEASURED_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC152	qotedaiin	OT+E+AIIN	SEQUENCE+GRADE+QUANTITY	STATE_OR_GRADE_PHRASE	danach · kurz · Maß	danach · kurz · vorgeschriebenes Maß	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC153	olsaly	OL+AL+Y	SEQUENCE+TARGET+ITEM	SEQUENCE_OR_CONTINUATION	fortsetzen · Zielstelle · dies	fortsetzen · bezeichnete Stelle · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B3	YES
PROC154	qolchey	OL+Y	SEQUENCE+ITEM	SEQUENCE_OR_CONTINUATION	fortsetzen · dies	fortsetzen · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC155	qokylddy	OK+Y+LD+DY	ACTION+ITEM+ACTION+CLOSE	ACTION_CLAUSE	ansetzen · dies · befestigen · Schluss	diesen Posten ansetzen und befestigen; Schritt schließen	einsetzen + festbinden	LD:FASTEN|OK:ACTIVATE	1	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B4	YES
PROC156	dain	AIN	QUANTITY	ARGUMENT_OR_ADDRESS	Portion	Portion	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	2	BIOLOGICAL	B4|B6	YES
PROC157	sheey	SH+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	halten · länger · dies	diesen Posten länger halten	halten	SH:TIMED_HOLD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC158	okeeol	OK+EE+OL	ACTION+GRADE+SEQUENCE	ACTION_CLAUSE	ansetzen · länger · fortsetzen	fortsetzen den laufenden Posten länger ansetzen	wirken lassen	OK:HOLD_ACTIVE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC159	lkedy	L+K+E+DY	ACTION+ACTION+GRADE+CLOSE	ACTION_CLAUSE	führen · zuführen · kurz · Schluss	den laufenden Posten kurz führen und zuführen; Schritt schließen	abführen + zugeben	K:COMMIT_ADD|L:CLOSED_DRAIN	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC160	qokol	OK+OL	ACTION+SEQUENCE	ACTION_CLAUSE	ansetzen · fortsetzen	fortsetzen den laufenden Posten ansetzen	einsetzen	OK:ACTIVATE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC161	qockhey	O+CKH+E+Y	PROCESS+PATH_MEDIUM+GRADE+ITEM	STATE_OR_GRADE_PHRASE	Arbeitsgang · Durchlass · kurz · dies	Arbeitsgang · Durchlass · kurz · dieser Posten	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC162	dairydy	AIR+Y+DY	PATH_MEDIUM+ITEM+CLOSE	CLOSE_WITHOUT_ACTION	Lauf · dies · Schluss	laufender Bestand · dieser Posten; Schritt schließen	NOT_AN_ACTION_CARD	NONE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC163	chckhal	CH+CKH+AL	ACTION+PATH_MEDIUM+TARGET	ACTION_CLAUSE	abziehen · Durchlass · Zielstelle	den laufenden Posten an bezeichnete Stelle durch Durchlass abziehen	ablaufen lassen	CH:PATH_DRAW	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC164	solkey	SOLK+E+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	auffangen · kurz · dies	diesen Posten kurz auffangen	auffangen	SOLK:COLLECT	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC165	skar	K+AR	ACTION+SOURCE	ACTION_CLAUSE	zuführen · von dort	den laufenden Posten von dort zuführen	zuführen	K:TARGET_FEED	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B4	YES
PROC166	otchdy	OT+CHD+DY	SEQUENCE+ACTION+CLOSE	ACTION_CLAUSE	danach · umsetzen · Schluss	danach den laufenden Posten umsetzen; Schritt schließen	überführen	CHD:COMMIT_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B5	YES
PROC167	lol	L+OL	ACTION+SEQUENCE	ACTION_CLAUSE	führen · fortsetzen	fortsetzen den laufenden Posten führen	hinleiten	L:TARGET_GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B5	YES
PROC168	chdal	CHD+AL	ACTION+TARGET	ACTION_CLAUSE	umsetzen · Zielstelle	den laufenden Posten an bezeichnete Stelle umsetzen	umfüllen	CHD:TARGET_TRANSFER	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B5	YES
PROC169	daiiin	DA+IIN	MODIFIER+STATE	STATE_OR_GRADE_PHRASE	zweite · Sollstufe	zweite · Sollstufe	NOT_AN_ACTION_CARD	NONE	1	NO	PARTIAL_WITH_LEARNED_ATOM	1	BIOLOGICAL	B5	YES
PROC170	solkeey	SOLK+EE+Y	ACTION+GRADE+ITEM	ACTION_CLAUSE	auffangen · länger · dies	diesen Posten länger auffangen	auffangen	SOLK:COLLECT	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B6	YES
PROC171	qekey	E+K+E+Y	GRADE+ACTION+GRADE+ITEM	ACTION_CLAUSE	kurz · zuführen · kurz · dies	diesen Posten kurz kurz zuführen	zugeben	K:ADD	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B6	YES
PROC172	raly	R+AL+Y	ACTION+TARGET+ITEM	ACTION_CLAUSE	abkühlen · Zielstelle · dies	diesen Posten an bezeichnete Stelle abkühlen	abkühlen lassen	R:TARGET_COOL	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B6	YES
PROC173	ldalor	L+AL+OR	ACTION+TARGET+PREPARATION	ACTION_CLAUSE	führen · Zielstelle · Ansatz	den Ansatz an bezeichnete Stelle führen	hinleiten	L:TARGET_GUIDE	1	NO	COMPOSITIONAL	1	BIOLOGICAL	B6	YES
