surface	card_no	component_parse	invariant_spoken_value_de	events	pages	records	statement_positions	writing_instruction_de	meaning_change
qoteedy	PROC129	OT+EE+DY	danach · länger · Schluss	2	f82r|f83r	B2|B3	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
lochedy	PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	1	f82r	B2	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
otal	PROC131	OT+AL	danach · bezeichnete Stelle	1	f83r	B4	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qotal	PROC131	OT+AL	danach · bezeichnete Stelle	2	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
chkeedy	PROC132	CHK+EE+DY	wärmen · länger · Schluss	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chedchy	PROC133	CHD+Y	umsetzen · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
pchedal	PROC134	P+CHD+AL	hineingeben · umsetzen · bezeichnete Stelle	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otedy	PROC135	OT+E+DY	danach · kurz · Schluss	2	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
shecthedchy	PROC136	SH+E+CTH+CHD+Y	halten · kurz · bereit · umsetzen · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chary	PROC137	AR+Y	von dort · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okair	PROC138	OK+AIR	ansetzen · laufender Bestand	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sheedy	PROC139	SH+EE+DY	halten · länger · Schluss	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lo	PROC140	L+O	führen · Arbeitsgang	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokshedy	PROC141	OK+SH+E+DY	ansetzen · halten · kurz · Schluss	1	f83r	B3	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
shedal	PROC142	SHED+AL	absetzen · bezeichnete Stelle	2	f83r	B3|B5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
shecthy	PROC143	SH+E+CTH+Y	halten · kurz · bereit · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dalchdy	PROC144	AL+CHD+DY	bezeichnete Stelle · umsetzen · Schluss	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otchedy	PROC145	OT+CHD+DY	danach · umsetzen · Schluss	1	f83r	B3	MIDDLE	diese Form als zugelassene Variante derselben Karte kopieren	NONE
qotchedy	PROC145	OT+CHD+DY	danach · umsetzen · Schluss	1	f83r	B3	ONLY	diese Form als zugelassene Variante derselben Karte kopieren	NONE
cheedar	PROC146	EE+AR	länger · von dort	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chldaiin	PROC147	L+AIIN	führen · vorgeschriebenes Maß	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chealror	PROC148	AL+R+OR	bezeichnete Stelle · abkühlen · Ansatz	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
cheeety	PROC149	EEE+T+Y	vollständig · eintragen · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
schedair	PROC150	CHD+AIR	umsetzen · laufender Bestand	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chedain	PROC151	CHD+AIN	umsetzen · Portion	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qotedaiin	PROC152	OT+E+AIIN	danach · kurz · vorgeschriebenes Maß	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
olsaly	PROC153	OL+AL+Y	fortsetzen · bezeichnete Stelle · dieser Posten	1	f83r	B3	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qolchey	PROC154	OL+Y	fortsetzen · dieser Posten	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokylddy	PROC155	OK+Y+LD+DY	ansetzen · dieser Posten · befestigen · Schluss	1	f83r	B4	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
dain	PROC156	AIN	Portion	2	f83r	B4|B6	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
sheey	PROC157	SH+EE+Y	halten · länger · dieser Posten	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
okeeol	PROC158	OK+EE+OL	ansetzen · länger · fortsetzen	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
lkedy	PROC159	L+K+E+DY	führen · zuführen · kurz · Schluss	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qokol	PROC160	OK+OL	ansetzen · fortsetzen	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qockhey	PROC161	O+CKH+E+Y	Arbeitsgang · Durchlass · kurz · dieser Posten	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
dairydy	PROC162	AIR+Y+DY	laufender Bestand · dieser Posten · Schluss	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chckhal	PROC163	CH+CKH+AL	abziehen · Durchlass · bezeichnete Stelle	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
solkey	PROC164	SOLK+E+Y	auffangen · kurz · dieser Posten	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
skar	PROC165	K+AR	zuführen · von dort	1	f83r	B4	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
otchdy	PROC166	OT+CHD+DY	danach · umsetzen · Schluss	1	f83r	B5	ONLY	diese feste Kartenform aus dem Exemplar kopieren	NONE
lol	PROC167	L+OL	führen · fortsetzen	1	f83r	B5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
chdal	PROC168	CHD+AL	umsetzen · bezeichnete Stelle	1	f83r	B5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
daiiin	PROC169	DA+IIN	zweite · Sollstufe	1	f83r	B5	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
solkeey	PROC170	SOLK+EE+Y	auffangen · länger · dieser Posten	1	f83r	B6	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
qekey	PROC171	E+K+E+Y	kurz · zuführen · kurz · dieser Posten	1	f83r	B6	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
raly	PROC172	R+AL+Y	abkühlen · bezeichnete Stelle · dieser Posten	1	f83r	B6	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
ldalor	PROC173	L+AL+OR	führen · bezeichnete Stelle · Ansatz	1	f83r	B6	MIDDLE	diese feste Kartenform aus dem Exemplar kopieren	NONE
