group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision	ambiguity_resolution_rule	label_frame_resolution_rule	address_core_resolution_rule	nomenclator_resolution	previous_atomic_value_de	common_action_revision	celestial_context_reading_de	quantity_root	quantity_kind	pass480_celestial_reading_de	pass480_quantity_revision
45	A1	f67r2	f67r2.18	2	A1:G045	daiin	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Mass	NO	Wert	AIIN	SOLLMASS	Sollwert	YES
46	A1	f67r2	f67r2.18	3	A1:G046	dal	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	dd0ecaf5e27d81befffc	AL	Stelle	NONE	YES	NONE	Stelle	Stelle	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Stelle	NO	Position	NONE	NONE	Position	NO
47	A1	f67r2	f67r2.19	1	A1:G047	ydchos	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	Y+D_ADDR+HO+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + Teiladresse + Gabe + Sternbezug	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	dies + Teiladresse + Gabe + Sternbezug	NO	dieser Eintrag; Teiladresse; Eintrag; Sternbezug	NONE	NONE	dieser Eintrag; Teiladresse; Eintrag; Sternbezug	NO
48	A1	f67r2	f67r2.19	2	A1:G048	ain	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Portion	NO	Teilwert	AIN	PORTION	Teilwert	NO
49	A1	f67r2	f67r2.19	3	A1:G049	ar	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort	NO	von dieser Position	NONE	NONE	von dieser Position	NO
50	A1	f67r2	f67r2.19	4	A1:G050	amy	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld + dies	NO	Gegenfeld; dieser Eintrag	NONE	NONE	Gegenfeld; dieser Eintrag	NO
51	A1	f67r2	f67r2.20	1	A1:G051	chocfhy	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	HO+CFH_CLASS+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gabe + Sternhaufen + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gabe + Sternhaufen + dies	NO	Eintrag; Sternhaufen; dieser Eintrag	NONE	NONE	Eintrag; Sternhaufen; dieser Eintrag	NO
52	A1	f67r2	f67r2.20	2	A1:G052	saral	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR+AL	von dort + Stelle	NONE	YES	NONE	von dort + Stelle	von dort + Stelle	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort + Stelle	NO	von dieser Position; Position	NONE	NONE	von dieser Position; Position	NO
53	A1	f67r2	f67r2.21	1	A1:G053	sain	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	S_ADDR+AIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug + Portion	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Sternbezug + Portion	NO	Sternbezug; Teilwert	AIN	PORTION	Sternbezug; Teilwert	NO
54	A1	f67r2	f67r2.21	2	A1:G054	am	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld	NO	Gegenfeld	NONE	NONE	Gegenfeld	NO
55	A1	f67r2	f67r2.21	3	A1:G055	ar	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort	NO	von dieser Position	NONE	NONE	von dieser Position	NO
56	A1	f67r2	f67r2.22	1	A1:G056	okal	A1_LEFT_LOCAL_FIELD_22	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	308e8ea2d5d190c498e8	OK+AL	an die Stelle setzen	NONE	YES	NONE	an die Stelle setzen	an die Stelle setzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	an die Stelle setzen	NO	markieren; Position	NONE	NONE	markieren; Position	NO
57	A1	f67r2	f67r2.23	1	A1:G057	oparchy	A1_LEFT_LOCAL_FIELD_23	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+AR+Y	Arbeitsgang + hinein + von dort + dies	NONE	YES	NONE	Arbeitsgang + hinein + von dort + dies	Arbeitsgang + hinein + von dort + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + von dort + dies	NO	Lesegang; hinein; von dieser Position; dieser Eintrag	NONE	NONE	Lesegang; hinein; von dieser Position; dieser Eintrag	NO
58	A1	f67r2	f67r2.23	2	A1:G058	salsain	A1_LEFT_LOCAL_FIELD_23	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AL+S_ADDR+AIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Stelle + Sternbezug + Portion	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Stelle + Sternbezug + Portion	NO	Position; Sternbezug; Teilwert	AIN	PORTION	Position; Sternbezug; Teilwert	NO
59	A1	f67r2	f67r2.24	1	A1:G059	sodar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	S_ADDR+O+AR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug + Arbeitsgang + von dort	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Sternbezug + Arbeitsgang + von dort	NO	Sternbezug; Lesegang; von dieser Position	NONE	NONE	Sternbezug; Lesegang; von dieser Position	NO
60	A1	f67r2	f67r2.24	2	A1:G060	ofar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	O+F_ADDR+AR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + Aussenbezug + von dort	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Arbeitsgang + Aussenbezug + von dort	NO	Lesegang; Aussenbezug; von dieser Position	NONE	NONE	Lesegang; Aussenbezug; von dieser Position	NO
61	A1	f67r2	f67r2.24	3	A1:G061	ar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort	NO	von dieser Position	NONE	NONE	von dieser Position	NO
62	A1	f67r2	f67r2.25	1	A1:G062	ydam	A1_LEFT_LOCAL_FIELD_25	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	Y+D_ADDR+AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + Teiladresse + Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	dies + Teiladresse + Gegenfeld	NO	dieser Eintrag; Teiladresse; Gegenfeld	NONE	NONE	dieser Eintrag; Teiladresse; Gegenfeld	NO
63	A1	f67r2	f67r2.26	1	A1:G063	yteoor	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+E+O+OR	dies + fuellen + kurz + Arbeitsgang + Ansatz	NONE	YES	NONE	dies + fuellen + kurz + Arbeitsgang + Ansatz	dies + eintragen + kurz + Arbeitsgang + Ansatz	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + eintragen + kurz + Arbeitsgang + Ansatz	NO	dieser Eintrag; eintragen; kurze Stufe; Lesegang; Einstellung	NONE	NONE	dieser Eintrag; eintragen; kurze Stufe; Lesegang; Einstellung	NO
64	A1	f67r2	f67r2.26	2	A1:G064	yto	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+O	dies + fuellen + Arbeitsgang	NONE	YES	NONE	dies + fuellen + Arbeitsgang	dies + eintragen + Arbeitsgang	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + eintragen + Arbeitsgang	NO	dieser Eintrag; eintragen; Lesegang	NONE	NONE	dieser Eintrag; eintragen; Lesegang	NO
65	A1	f67r2	f67r2.26	3	A1:G065	ykor	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+OR	dies + zufuehren + Ansatz	NONE	YES	NONE	dies + zufuehren + Ansatz	dies + zufuehren + Ansatz	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Ansatz	NO	dieser Eintrag; zuordnen; Einstellung	NONE	NONE	dieser Eintrag; zuordnen; Einstellung	NO
66	A1	f67r2	f67r2.27	1	A1:G066	okeo	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+E+O	ansetzen + kurz + Arbeitsgang	NONE	YES	NONE	ansetzen + kurz + Arbeitsgang	ansetzen + kurz + Arbeitsgang	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + kurz + Arbeitsgang	NO	markieren; kurze Stufe; Lesegang	NONE	NONE	markieren; kurze Stufe; Lesegang	NO
67	A1	f67r2	f67r2.27	2	A1:G067	r	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	R	abkuehlen	NONE	YES	NONE	abkuehlen	senken	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	abkuehlen	YES	senken	NONE	NONE	senken	NO
68	A1	f67r2	f67r2.27	3	A1:G068	aiin	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Mass	NO	Wert	AIIN	SOLLMASS	Sollwert	YES
69	A1	f67r2	f67r2.27	4	A1:G069	am	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld	NO	Gegenfeld	NONE	NONE	Gegenfeld	NO
70	A1	f67r2	f67r2.28	1	A1:G070	okain	A1_LEFT_LOCAL_FIELD_28	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	1645e612504fcef59ced	OK+AIN	eine Portion zugeben	NONE	YES	NONE	eine Portion zugeben	eine Portion zugeben	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	eine Portion zugeben	NO	markieren; Teilwert	AIN	PORTION	markieren; Teilwert	NO
71	A1	f67r2	f67r2.28	2	A1:G071	am	A1_LEFT_LOCAL_FIELD_28	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld	NO	Gegenfeld	NONE	NONE	Gegenfeld	NO
72	A1	f67r2	f67r2.29	1	A1:G072	ytody	A1_LEFT_LOCAL_FIELD_29	A67_LEFT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+T+O+Y	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Y+T+O+DY || Y+T+O+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	dies + eintragen + Arbeitsgang + dies	NO	LOCUS_INTERNAL_GROUP_KEEPS_CURRENT_ITEM	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + eintragen + Arbeitsgang + dies	NO	dieser Eintrag; eintragen; Lesegang; dieser Eintrag	NONE	NONE	dieser Eintrag; eintragen; Lesegang; dieser Eintrag	NO
73	A1	f67r2	f67r2.29	2	A1:G073	saiin	A1_LEFT_LOCAL_FIELD_29	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Mass	NO	Wert	AIIN	SOLLMASS	Sollwert	YES
74	A1	f67r2	f67r2.30	1	A1:G074	ochol	A1_LEFT_LOCAL_FIELD_30	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+OL	Arbeitsgang + fortsetzen	NONE	YES	NONE	Arbeitsgang + fortsetzen	Arbeitsgang + fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + fortsetzen	NO	Lesegang; weiterzaehlen	NONE	NONE	Lesegang; weiterzaehlen	NO
75	A1	f67r2	f67r2.30	2	A1:G075	olol	A1_LEFT_LOCAL_FIELD_30	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OL+OL	fortsetzen + fortsetzen	NONE	YES	NONE	fortsetzen + fortsetzen	fortsetzen + fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fortsetzen + fortsetzen	NO	weiterzaehlen; weiterzaehlen	NONE	NONE	weiterzaehlen; weiterzaehlen	NO
76	A1	f67r2	f67r2.31	1	A1:G076	opcholdy	A1_LEFT_LOCAL_FIELD_31	A67_LEFT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	O+P+OL+DY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	O+P+OL+DY || O+P+OL+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Arbeitsgang + hinein + fortsetzen + Schluss	NO	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + fortsetzen + Schluss	NO	Lesegang; hinein; weiterzaehlen; Eintrag schliessen	NONE	NONE	Lesegang; hinein; weiterzaehlen; Eintrag schliessen	NO
77	A1	f67r2	f67r2.32	1	A1:G077	dosar	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+O+AR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + Arbeitsgang + von dort	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Teiladresse + Arbeitsgang + von dort	NO	Teiladresse; Lesegang; von dieser Position	NONE	NONE	Teiladresse; Lesegang; von dieser Position	NO
78	A1	f67r2	f67r2.32	2	A1:G078	odas	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	O+D_ADDR+A_ADDR+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug	NO	Lesegang; Teiladresse; Nebenadresse; Sternbezug	NONE	NONE	Lesegang; Teiladresse; Nebenadresse; Sternbezug	NO
79	A1	f67r2	f67r2.32	3	A1:G079	air	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIR	Wasser	NONE	YES	NONE	Wasser	Lauf	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Lauf	NO	Bahn	NONE	NONE	Bahn	NO
80	A1	f67r2	f67r2.32	4	A1:G080	alaiin	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AL+AIIN	Stelle + Mass	NONE	YES	NONE	Stelle + Mass	Stelle + Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Stelle + Mass	NO	Position; Wert	AIIN	SOLLMASS	Position; Sollwert	YES
81	A1	f67r2	f67r2.33	1	A1:G081	dokan	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	ASTRO_COUNT_SECTION_RESOLVED_SEQUENCE	NONE	D_ADDR+OK+AN_SECTION	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + ansetzen + Abschnitt	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NEW_RECURRENT_CORE	Teiladresse + ansetzen + Abschnitt	NO	Teiladresse; markieren; Abschnitt	NONE	NONE	Teiladresse; markieren; Abschnitt	NO
82	A1	f67r2	f67r2.33	2	A1:G082	oear	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+E+AR	Arbeitsgang + kurz + von dort	NONE	YES	NONE	Arbeitsgang + kurz + von dort	Arbeitsgang + kurz + von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + kurz + von dort	NO	Lesegang; kurze Stufe; von dieser Position	NONE	NONE	Lesegang; kurze Stufe; von dieser Position	NO
83	A1	f67r2	f67r2.33	3	A1:G083	odal	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+AL	Arbeitsgang + Stelle	NONE	YES	NONE	Arbeitsgang + Stelle	Arbeitsgang + Stelle	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + Stelle	NO	Lesegang; Position	NONE	NONE	Lesegang; Position	NO
84	A1	f67r2	f67r2.34	1	A1:G084	ofar	A1_LEFT_LOCAL_FIELD_34	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	O+F_ADDR+AR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + Aussenbezug + von dort	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Arbeitsgang + Aussenbezug + von dort	NO	Lesegang; Aussenbezug; von dieser Position	NONE	NONE	Lesegang; Aussenbezug; von dieser Position	NO
85	A1	f67r2	f67r2.34	2	A1:G085	oeoldan	A1_LEFT_LOCAL_FIELD_34	A67_LEFT_CELESTIAL_WHEEL	ASTRO_COUNT_SECTION_RESOLVED_SEQUENCE	NONE	O+E+OL+D_ADDR+AN_SECTION	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + kurz + fortsetzen + Teiladresse + Abschnitt	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NEW_RECURRENT_CORE	Arbeitsgang + kurz + fortsetzen + Teiladresse + Abschnitt	NO	Lesegang; kurze Stufe; weiterzaehlen; Teiladresse; Abschnitt	NONE	NONE	Lesegang; kurze Stufe; weiterzaehlen; Teiladresse; Abschnitt	NO
86	A1	f67r2	f67r2.35	1	A1:G086	chol	A1_LEFT_LOCAL_FIELD_35	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	dcda95c81a5460feb191	OL	fortsetzen	NONE	YES	NONE	fortsetzen	fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fortsetzen	NO	weiterzaehlen	NONE	NONE	weiterzaehlen	NO
87	A1	f67r2	f67r2.35	2	A1:G087	giin	A1_LEFT_LOCAL_FIELD_35	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	G_ADDR+IIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Strahlmarke + Sollstufe	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Strahlmarke + Sollstufe	NO	Strahlmarke; Sollstufe	IIN	SOLLSTUFE	Strahlmarke; Sollstufe	NO
88	A1	f67r2	f67r2.35	3	A1:G088	okol	A1_LEFT_LOCAL_FIELD_35	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+OL	ansetzen + fortsetzen	NONE	YES	NONE	ansetzen + fortsetzen	ansetzen + fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	ansetzen + fortsetzen	NO	markieren; weiterzaehlen	NONE	NONE	markieren; weiterzaehlen	NO
89	A1	f67r2	f67r2.36	1	A1:G089	ytor	A1_LEFT_LOCAL_FIELD_36	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+OR	dies + fuellen + Ansatz	NONE	YES	NONE	dies + fuellen + Ansatz	dies + eintragen + Ansatz	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + eintragen + Ansatz	NO	dieser Eintrag; eintragen; Einstellung	NONE	NONE	dieser Eintrag; eintragen; Einstellung	NO
90	A1	f67r2	f67r2.36	2	A1:G090	daiin	A1_LEFT_LOCAL_FIELD_36	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Mass	NO	Wert	AIIN	SOLLMASS	Sollwert	YES
91	A1	f67r2	f67r2.36	3	A1:G091	or	A1_LEFT_LOCAL_FIELD_36	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	7a4bb8136330ee4e6e56	OR	Ansatz	NONE	YES	NONE	Ansatz	Ansatz	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Ansatz	NO	Einstellung	NONE	NONE	Einstellung	NO
92	A1	f67r2	f67r2.37	1	A1:G092	ytoaiin	A1_LEFT_LOCAL_FIELD_37	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+O+AIIN	dies + fuellen + Arbeitsgang + Mass	NONE	YES	NONE	dies + fuellen + Arbeitsgang + Mass	dies + eintragen + Arbeitsgang + Mass	YES	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies + eintragen + Arbeitsgang + Mass	NO	dieser Eintrag; eintragen; Lesegang; Wert	AIIN	SOLLMASS	dieser Eintrag; eintragen; Lesegang; Sollwert	YES
93	A1	f67r2	f67r2.38	1	A1:G093	otoldos	A1_LEFT_LOCAL_FIELD_38	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	OT+OL+D_ADDR+O+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug	NO	NOT_REQUIRED	NOT_APPLIED	KNOWN_OT_SEQUENCE_PRIORITY	NOT_REQUIRED	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug	NO	naechster Eintrag; weiterzaehlen; Teiladresse; Lesegang; Sternbezug	NONE	NONE	naechster Eintrag; weiterzaehlen; Teiladresse; Lesegang; Sternbezug	NO
