card_no	joint_tuple_id	surfaces	events	event_ids	registers	records	component_parse	small_value_de	lexicon_class	rule_source	pass458_note	exact_selection_layer	exact_selection_rule	wet_context_value_de	common_root_revision	previous_atomic_value_de	common_action_revision	template_slot_value_de	pass478_decision	pass478_reason	pass479_previous_value_de	pass479_value_de	pass479_revision	quantity_root	quantity_kind	pass480_value_de	pass480_revision
PROC058	ad3581d3144f69a5912d	sh	1	E087	HERBAL	H5	SH	halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	halten	NO	halten	NO	halten	UNCHANGED_COMPOSITION	already built from productive components	halten	halten	NO	NONE	NONE	halten	NO
PROC059	b74e9e65637b7c8538dd	kchey	1	E089	HERBAL	H5	K+E+Y	dies kurz zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	RECORD_RENDERER	KCHEY in H5; QEKY in B6	dies kurz zuführen	NO	dies kurz zuführen	NO	dies kurz zuführen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz zuführen	dies kurz zuführen	NO	NONE	NONE	dies kurz zuführen	NO
PROC060	1322bc176443fc2a8a86	qokokchy	1	E090	HERBAL	H5	OK+OK+Y	dies erneut ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	dies erneut ansetzen	NO	dies erneut ansetzen	NO	dies erneut ansetzen	UNCHANGED_COMPOSITION	already built from productive components	dies erneut ansetzen	dies erneut ansetzen	NO	NONE	NONE	dies erneut ansetzen	NO
PROC061	087a47b5423438cd6b6a	chokcheo	1	E092	HERBAL	H5	OK+CHEO	Entnahme ansetzen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	Auszug ansetzen	NO	Auszug ansetzen	YES	Auszug ansetzen	UNCHANGED_COMPOSITION	already built from productive components	Auszug ansetzen	Auszug ansetzen	NO	NONE	NONE	Auszug ansetzen	NO
PROC062	75a523fcf039b006f97b	kchal	1	E093	HERBAL	H5	K+AL	an die Stelle zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	an die Stelle zuführen	NO	an die Stelle zuführen	NO	an die Stelle zuführen	UNCHANGED_COMPOSITION	already built from productive components	an die Stelle zuführen	an die Stelle zuführen	NO	NONE	NONE	an die Stelle zuführen	NO
PROC063	c71c72da4e09e0833392	kchoar	1	E096	HERBAL	H5	K+HO+AR	Gabe aus dem Vorrat zuführen	PRODUCTIVE_COMPOSITION	HERBAL_COMPONENT_EXTENSION	unchanged	UNIQUE_VALUE	write only card with this value	Zutat aus dem Vorrat zuführen	YES	Gabe aus dem Vorrat zuführen	NO	Zutat aus dem Vorrat zuführen	UNCHANGED_COMPOSITION	already built from productive components	Zutat aus dem Vorrat zuführen	Zutat aus dem Vorrat zuführen	NO	NONE	NONE	Zutat aus dem Vorrat zuführen	NO
PROC064	61a075bc54793c1c781f	sotodan	1	E097	HERBAL	H5	OT+O+AIN	danach eine Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	danach eine Portion	NO	danach eine Portion	NO	danach eine Portion	UNCHANGED_COMPOSITION	already built from productive components	danach eine Portion	danach eine Portion	NO	AIN	PORTION	danach eine Stoffportion	YES
PROC065	faf321940aed922846a9	otchey	2	E098|E321	BIOLOGICAL|HERBAL	B4|H5	OT+Y	nächster Posten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	QOTCHY in H3; OTCHEY in H5 and B4	nächster Posten	NO	nächster Posten	NO	nächster Posten	UNCHANGED_COMPOSITION	already built from productive components	nächster Posten	nächster Posten	NO	NONE	NONE	nächster Posten	NO
PROC066	9bb7122b386ebbc6138f	keol	1	E099	HERBAL	H5	K+E+OL	kurz weiter zuführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_COMPONENTS	unchanged	UNIQUE_VALUE	write only card with this value	kurz weiter zuführen	NO	kurz weiter zuführen	NO	kurz weiter zuführen	UNCHANGED_COMPOSITION	already built from productive components	kurz weiter zuführen	kurz weiter zuführen	NO	NONE	NONE	kurz weiter zuführen	NO
PROC067	7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	BIOLOGICAL	B1|B3|B4	OK+E+DY	kurz ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz ansetzen; Schluss	NO	kurz ansetzen; Schluss	NO	kurz ansetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	kurz ansetzen; Schluss	kurz ansetzen; Schluss	NO	NONE	NONE	kurz ansetzen; Schluss	NO
PROC068	22fb87a5a83e5c3fb510	kair	1	E103	BIOLOGICAL	B1	K+AIR	Lauf zufuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Wasser zufuehren	YES	Lauf zufuehren	NO	Wasser zufuehren	UNCHANGED_COMPOSITION	already built from productive components	Wasser zufuehren	Wasser zufuehren	NO	NONE	NONE	Wasser zufuehren	NO
PROC069	9da1b6ac2c929daea697	chkain|kain	3	E107|E257|E354	BIOLOGICAL	B1|B3|B4	K+AIN	eine Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	eine Portion	NO	eine Portion	NO	eine Portion	UNCHANGED_COMPOSITION	already built from productive components	eine Portion	eine Portion	NO	AIN	PORTION	eine Stoffportion	YES
PROC070	94df4847b7b16c98394a	olkain|qolkain	2	E108|E358	BIOLOGICAL	B1|B4	OL+K+AIN	weitere Portion	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	weitere Portion	NO	weitere Portion	NO	weitere Portion	UNCHANGED_COMPOSITION	already built from productive components	weitere Portion	weitere Portion	NO	AIN	PORTION	weitere Stoffportion	YES
PROC071	1496a731803a9f48d2e1	rol	1	E111	BIOLOGICAL	B1	R+OL	weiter senken	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	weiter abkuehlen	NO	weiter abkuehlen	YES	weiter abkuehlen	UNCHANGED_COMPOSITION	already built from productive components	weiter abkuehlen	weiter abkuehlen	NO	NONE	NONE	weiter abkuehlen	NO
PROC072	0f18de177ed7c878bf95	dl	2	E112|E129	BIOLOGICAL	B1	L	weiterfuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	DL in B1; LOL in B5	weiterfuehren	NO	weiterfuehren	NO	weiterfuehren	UNCHANGED_COMPOSITION	already built from productive components	weiterfuehren	weiterfuehren	NO	NONE	NONE	weiterfuehren	NO
PROC073	4eab1841ed655c20a348	sheckhal	1	E115	BIOLOGICAL	B1	SH+E+CKH+AL	kurz an der Durchgangstelle	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz an der Durchlassstelle	NO	kurz an der Durchlassstelle	YES	kurz an der Durchlassstelle	UNCHANGED_COMPOSITION	already built from productive components	kurz an der Durchlassstelle	kurz an der Durchlassstelle	NO	NONE	NONE	kurz an der Durchlassstelle	NO
PROC074	93f69c38fdedee1598e9	qokeedal	1	E117	BIOLOGICAL	B1	OK+EE+AL	länger an der Stelle halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger an der Stelle halten	NO	länger an der Stelle halten	NO	länger an der Stelle halten	UNCHANGED_COMPOSITION	already built from productive components	länger an der Stelle halten	länger an der Stelle halten	NO	NONE	NONE	länger an der Stelle halten	NO
PROC075	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	BIOLOGICAL	B1|B2	CKH+Y	durchführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	durchführen	NO	durchführen	NO	durchführen	UNCHANGED_COMPOSITION	already built from productive components	durchführen	durchführen	NO	NONE	NONE	durchführen	NO
PROC076	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	E120|E167|E239|E283	BIOLOGICAL	B1|B2|B3	CHD+DY	umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	short DCHDY after KURZ FORTSETZEN; otherwise expanded DCHEDY	umsetzen; Schluss	NO	umsetzen; Schluss	NO	umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	umsetzen; Schluss	umsetzen; Schluss	NO	NONE	NONE	umsetzen; Schluss	NO
PROC077	54e32e9c1414b20640e9	sshkchdy	1	E122	BIOLOGICAL	B1	SH+K+CHD+DY	gebuendelt umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	gebuendelt umsetzen; Schluss	NO	gebuendelt umsetzen; Schluss	NO	gebuendelt umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	gebuendelt umsetzen; Schluss	gebuendelt umsetzen; Schluss	NO	NONE	NONE	gebuendelt umsetzen; Schluss	NO
PROC078	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	BIOLOGICAL	B1|B2|B3|B4	SHED+DY	absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	absetzen; Schluss	NO	absetzen; Schluss	NO	absetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	absetzen; Schluss	absetzen; Schluss	NO	NONE	NONE	absetzen; Schluss	NO
PROC079	28ffbc88b97772a75f1e	olchedy|qolchedy	3	E126|E168|E242	BIOLOGICAL	B1|B2|B3	OL+CHD+DY	weiterführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	weiterführen; Schluss	NO	weiterführen; Schluss	NO	weiterführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	weiterführen; Schluss	weiterführen; Schluss	NO	NONE	NONE	weiterführen; Schluss	NO
PROC080	1645e612504fcef59ced	okain|qokain	7	E127|E169|E198|E200|E288|E341|E352	BIOLOGICAL	B1|B2|B3|B4	OK+AIN	eine Portion zugeben	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	eine Portion zugeben	NO	eine Portion zugeben	NO	eine Portion zugeben	UNCHANGED_COMPOSITION	already built from productive components	eine Portion zugeben	eine Portion zugeben	NO	AIN	PORTION	eine Stoffportion zugeben	YES
PROC081	4da0f0f7b5fc7ac20067	ral	1	E130	BIOLOGICAL	B1	R+AL	an der Stelle senken	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	an der Stelle abkuehlen	NO	an der Stelle abkuehlen	YES	an der Stelle abkuehlen	UNCHANGED_COMPOSITION	already built from productive components	an der Stelle abkuehlen	an der Stelle abkuehlen	NO	NONE	NONE	an der Stelle abkuehlen	NO
PROC082	87411f84689b4f93a303	qokchdy	3	E131|E284|E363	BIOLOGICAL	B1|B3|B5	OK+CHD+DY	Ansatz umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	short QOKCHDY at statement entry; expanded OKCHEDY after prior action	Ansatz umsetzen; Schluss	NO	Ansatz umsetzen; Schluss	NO	Ansatz umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	Ansatz umsetzen; Schluss	Ansatz umsetzen; Schluss	NO	NONE	NONE	Ansatz umsetzen; Schluss	NO
PROC083	d904bf7b044dd3922781	cheky	3	E134|E164|E339	BIOLOGICAL	B1|B4	CHK+E+Y	kurz wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz wärmen	NO	kurz wärmen	NO	kurz wärmen	UNCHANGED_COMPOSITION	already built from productive components	kurz wärmen	kurz wärmen	NO	NONE	NONE	kurz wärmen	NO
PROC084	be0974b366c981dc1eef	lsho	1	E141	BIOLOGICAL	B1	LSH+O	Waschgang	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Waschgang	NO	Waschgang	NO	Waschgang	UNCHANGED_COMPOSITION	already built from productive components	Waschgang	Waschgang	NO	NONE	NONE	Waschgang	NO
PROC085	08bd5ca0c2ad137a056d	okey|qokey	2	E142|E220	BIOLOGICAL	B1|B2	OK+E+Y	kurz ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz ansetzen	NO	kurz ansetzen	NO	kurz ansetzen	UNCHANGED_COMPOSITION	already built from productive components	kurz ansetzen	kurz ansetzen	NO	NONE	NONE	kurz ansetzen	NO
PROC086	2e7e89e0bd12b999c280	lshedy	2	E143|E144	BIOLOGICAL	B1	LSH+E+DY	Waschgang; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Waschgang; Schluss	NO	Waschgang; Schluss	NO	Waschgang; Schluss	UNCHANGED_COMPOSITION	already built from productive components	Waschgang; Schluss	Waschgang; Schluss	NO	NONE	NONE	Waschgang; Schluss	NO
PROC087	c205570c49d4d93c23d3	qolky	1	E146	BIOLOGICAL	B1	SOLK+Y	dies auffangen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies auffangen	NO	dies auffangen	NO	dies auffangen	UNCHANGED_COMPOSITION	already built from productive components	dies auffangen	dies auffangen	NO	NONE	NONE	dies auffangen	NO
PROC088	433713294b25b0a12f66	lchedal	1	E147	BIOLOGICAL	B1	L+CHD+AL	zum Auslass führen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	zum Auslass führen	NO	zum Auslass führen	NO	zum Auslass führen	UNCHANGED_COMPOSITION	already built from productive components	zum Auslass führen	zum Auslass führen	NO	NONE	NONE	zum Auslass führen	NO
PROC089	b6b654722e55729cc947	otar	1	E149	BIOLOGICAL	B1	OT+AR	danach von dort	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	danach von dort	NO	danach von dort	NO	danach von dort	UNCHANGED_COMPOSITION	already built from productive components	danach von dort	danach von dort	NO	NONE	NONE	danach von dort	NO
PROC090	a7af89ab31ce5e247395	ytey	1	E150	BIOLOGICAL	B1	T+E+Y	dies kurz eintragen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	ETYD in H1; YTEY in B1	dies kurz fuellen	YES	dies kurz eintragen	NO	dies kurz fuellen	UNCHANGED_COMPOSITION	already built from productive components	dies kurz fuellen	dies kurz fuellen	NO	NONE	NONE	dies kurz fuellen	NO
PROC091	07913ef9b1fb773cd325	okchedy|qokchedy	2	E151|E264	BIOLOGICAL	B1|B3	OK+CHD+DY	Ansatz umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	short QOKCHDY at statement entry; expanded OKCHEDY after prior action	Ansatz umsetzen; Schluss	NO	Ansatz umsetzen; Schluss	NO	Ansatz umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	Ansatz umsetzen; Schluss	Ansatz umsetzen; Schluss	NO	NONE	NONE	Ansatz umsetzen; Schluss	NO
PROC092	0275fbf14e07935b0a45	okeey|qokeey	7	E153|E175|E194|E205|E293|E317|E322	BIOLOGICAL	B1|B2|B3|B4	OK+EE+Y	länger ansetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger ansetzen	NO	länger ansetzen	NO	länger ansetzen	UNCHANGED_COMPOSITION	already built from productive components	länger ansetzen	länger ansetzen	NO	NONE	NONE	länger ansetzen	NO
PROC093	a06244ef1f2b37ca44c1	teol	1	E157	BIOLOGICAL	B1	E+OL	kurz fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz fortsetzen	NO	kurz fortsetzen	NO	kurz fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	kurz fortsetzen	kurz fortsetzen	NO	NONE	NONE	kurz fortsetzen	NO
PROC094	d225b7a7b95da7aee437	dchdy	1	E158	BIOLOGICAL	B1	CHD+DY	umsetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	LOCAL_CONTEXT	short DCHDY after KURZ FORTSETZEN; otherwise expanded DCHEDY	umsetzen; Schluss	NO	umsetzen; Schluss	NO	umsetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	umsetzen; Schluss	umsetzen; Schluss	NO	NONE	NONE	umsetzen; Schluss	NO
PROC095	b38d70daefd663d74625	ly	1	E159	BIOLOGICAL	B1	L+Y	dies fuehren	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies fuehren	NO	dies fuehren	NO	dies fuehren	UNCHANGED_COMPOSITION	already built from productive components	dies fuehren	dies fuehren	NO	NONE	NONE	dies fuehren	NO
PROC096	74c76d589d44120f647b	dsheol	1	E160	BIOLOGICAL	B1	SH+E+OL	kurz halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz halten	NO	kurz halten	NO	kurz halten	UNCHANGED_COMPOSITION	already built from productive components	kurz halten	kurz halten	NO	NONE	NONE	kurz halten	NO
PROC097	2c82523794dcb7d2b343	oiiin|soiiin	2	E161|E309	BIOLOGICAL	B1|B3	O+IIN	Sollstand	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Sollstand	NO	Sollstand	NO	Sollstand	UNCHANGED_COMPOSITION	already built from productive components	Sollstand	Sollstand	NO	IIN	SOLLSTUFE	Sollstufe	YES
PROC098	3b70942557b3a40e8030	olkeedy|solkeedy	3	E162|E229|E291	BIOLOGICAL	B1|B3	SOLK+EE+DY	länger auffangen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger auffangen; Schluss	NO	länger auffangen; Schluss	NO	länger auffangen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	länger auffangen; Schluss	länger auffangen; Schluss	NO	NONE	NONE	länger auffangen; Schluss	NO
PROC099	d68bc8de3bcee09db23c	shckhedy	3	E165|E330|E331	BIOLOGICAL	B1|B4	SH+CKHE+DY	trennen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	seihen; Schluss	NO	seihen; Schluss	YES	seihen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	seihen; Schluss	seihen; Schluss	NO	NONE	NONE	seihen; Schluss	NO
PROC100	7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	BIOLOGICAL	B2|B3|B4	OK+EE+DY	länger ansetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	länger ansetzen; Schluss	NO	länger ansetzen; Schluss	NO	länger ansetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	länger ansetzen; Schluss	länger ansetzen; Schluss	NO	NONE	NONE	länger ansetzen; Schluss	NO
PROC101	f329f2051370174e9a38	lcheckhy	1	E173	BIOLOGICAL	B2	L+CKH+Y	dies zum Durchgang führen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies zum Durchlass führen	NO	dies zum Durchlass führen	YES	dies zum Durchlass führen	UNCHANGED_COMPOSITION	already built from productive components	dies zum Durchlass führen	dies zum Durchlass führen	NO	NONE	NONE	dies zum Durchlass führen	NO
PROC102	ba8142680851f24c9ff2	lched	1	E174	BIOLOGICAL	B2	L+CHD	hinausführen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	hinausführen	NO	hinausführen	NO	hinausführen	UNCHANGED_COMPOSITION	already built from productive components	hinausführen	hinausführen	NO	NONE	NONE	hinausführen	NO
PROC103	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	E176	BIOLOGICAL	B2	L+CKHE+DY	hinaus trennen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	hinaus seihen; Schluss	NO	hinaus seihen; Schluss	YES	hinaus seihen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	hinaus seihen; Schluss	hinaus seihen; Schluss	NO	NONE	NONE	hinaus seihen; Schluss	NO
PROC104	4a7a6326ac95a8809302	qokaly	1	E177	BIOLOGICAL	B2	OK+AL+Y	dies an die Stelle setzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies an die Stelle setzen	NO	dies an die Stelle setzen	NO	dies an die Stelle setzen	UNCHANGED_COMPOSITION	already built from productive components	dies an die Stelle setzen	dies an die Stelle setzen	NO	NONE	NONE	dies an die Stelle setzen	NO
PROC105	2d2e37ccb2dacc53ee5a	solkaiin	1	E178	BIOLOGICAL	B2	SOLK+AIIN	Auffangmass	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	Auffangmass	NO	Auffangmass	NO	Auffangmass	UNCHANGED_COMPOSITION	already built from productive components	Auffangmass	Auffangmass	NO	AIIN	SOLLMASS	Auffang-Sollmaß	YES
PROC106	a8f891de626fc00028e9	octheol	1	E182	BIOLOGICAL	B2	O+CTH+E+OL	kurz bereit fortsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz bereit fortsetzen	NO	kurz bereit fortsetzen	NO	kurz bereit fortsetzen	UNCHANGED_COMPOSITION	already built from productive components	kurz bereit fortsetzen	kurz bereit fortsetzen	NO	NONE	NONE	kurz bereit fortsetzen	NO
PROC107	f0db6d30cd34f4cb2a4d	chkeey	1	E183	BIOLOGICAL	B2	CHK+EE+Y	dies länger wärmen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	RECORD_RENDERER	CHKEEY in B2; CHEEKY in H4 and B4	dies länger wärmen	NO	dies länger wärmen	NO	dies länger wärmen	UNCHANGED_COMPOSITION	already built from productive components	dies länger wärmen	dies länger wärmen	NO	NONE	NONE	dies länger wärmen	NO
PROC108	04a3877f0fc81b7597c9	ldy	2	E184|E308	BIOLOGICAL	B2|B3	L+DY	abführen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	abführen; Schluss	NO	abführen; Schluss	NO	abführen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	abführen; Schluss	abführen; Schluss	NO	NONE	NONE	abführen; Schluss	NO
PROC109	5d5e0b288cf36864ed9d	oteey	2	E185|E218	BIOLOGICAL	B2	OT+EE+Y	nächsten Posten länger halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	nächsten Posten länger halten	NO	nächsten Posten länger halten	NO	nächsten Posten länger halten	UNCHANGED_COMPOSITION	already built from productive components	nächsten Posten länger halten	nächsten Posten länger halten	NO	NONE	NONE	nächsten Posten länger halten	NO
PROC110	c1913ec4ff84148da6d3	sheckhy	1	E187	BIOLOGICAL	B2	SH+E+CKH+Y	dies kurz im Durchgang halten	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	dies kurz im Durchlass halten	NO	dies kurz im Durchlass halten	YES	dies kurz im Durchlass halten	UNCHANGED_COMPOSITION	already built from productive components	dies kurz im Durchlass halten	dies kurz im Durchlass halten	NO	NONE	NONE	dies kurz im Durchlass halten	NO
PROC111	cbb42a4fe68068325d6b	dshedy	1	E189	BIOLOGICAL	B2	SH+E+DY	kurz halten; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	kurz halten; Schluss	NO	kurz halten; Schluss	NO	kurz halten; Schluss	UNCHANGED_COMPOSITION	already built from productive components	kurz halten; Schluss	kurz halten; Schluss	NO	NONE	NONE	kurz halten; Schluss	NO
PROC112	54d0e228ca346110af05	otaiin|sotaiin	3	E190|E306|E312	BIOLOGICAL	B2|B3	OT+AIIN	nächstes Maß	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	nächstes Maß	NO	nächstes Maß	NO	nächstes Maß	UNCHANGED_COMPOSITION	already built from productive components	nächstes Maß	nächstes Maß	NO	AIIN	SOLLMASS	nächstes Sollmaß	YES
PROC113	3ae9a121ba0045b913e8	qokar	1	E191	BIOLOGICAL	B2	OK+AR	von dort einsetzen	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	von dort einsetzen	NO	von dort einsetzen	NO	von dort einsetzen	UNCHANGED_COMPOSITION	already built from productive components	von dort einsetzen	von dort einsetzen	NO	NONE	NONE	von dort einsetzen	NO
PROC114	daa1347f456415fe8737	solshedy	1	E193	BIOLOGICAL	B2	OL+SH+E+DY	mit dem Vorigen kurz absetzen; Schluss	PRODUCTIVE_COMPOSITION	BIOLOGICAL_33_COMPONENT_MANUAL	unchanged	UNIQUE_VALUE	write only card with this value	mit dem Vorigen kurz absetzen; Schluss	NO	mit dem Vorigen kurz absetzen; Schluss	NO	mit dem Vorigen kurz absetzen; Schluss	UNCHANGED_COMPOSITION	already built from productive components	mit dem Vorigen kurz absetzen; Schluss	mit dem Vorigen kurz absetzen; Schluss	NO	NONE	NONE	mit dem Vorigen kurz absetzen; Schluss	NO
