family_atlas_ordinal	template_id	template_period	physical_folio	source_selector	array_id	locus	slot_index	slot_count	kluge_a_member	complete_label_surface	label_token_count	zl_boundary_family	it_boundary_family	rf_boundary_family	zl_member_sequence	it_member_sequence	rf_member_sequence	member_sequence_max_support	member_sequence_agreement	canonical_boundary_family	canonical_compact_family	boundary_reader_support	compact_reader_support	boundary_supporting_editions	compact_supporting_editions	agreement_class	zl_group_count	it_group_count	rf_group_count	transferred_prefix	strict_residual	zl_alternative_sites	it_alternative_sites	rf_alternative_sites	zl_nearest_eva	it_nearest_eva	rf_nearest_eva	source_family_semantics	component_export_credit
43	T30	30	f70	f70v2	SCARR018|f70v2|S2	f70v2.9	5	19	18	otody	1	AQABA	AQABA	AQABA	A1.Q2.A1.B1.A2	A1.Q2.A1.B1.A2	A1.Q2.A1.Ba.Ab	2	MEMBER_SEQUENCE_2OF3	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	otody	otody	otody	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
44	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.10	9	10	14	opalar am dan	3	APABAC|AB|BAE	APABAC|AB|BAE	APABAC|AB|BAE	A1.P1.A3.B2.A3.C1|A3.B3|B1.A3.E2	A1.P1.A3.B2.A3.C1|A3.B3|B1.A3.E2	A1.P1.A3.B2.A3.C1|A3.B3|Ba.A3.E2	2	MEMBER_SEQUENCE_2OF3	APABAC|AB|BAE	APABACABBAE	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	3	3	3	APAB	AC|AB|BAE	0	0	0	opalar am dan	opalar am dan	opalar am dan	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
45	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.11	10	10	15	opalor ar	2	APABAC|AC	APABAC|AC	APABAC|AC	A1.P1.A3.B2.A1.C1|A3.C1	A1.P1.A3.B2.A1.C1|A3.C1	A1.P1.A3.B2.A1.C1|A3.C1	3	ALL3_MEMBER_SEQUENCE	APABAC|AC	APABACAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	APAB	AC|AC	0	0	0	opalor ar	opalor ar	opalor ar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
46	T15	15	f71	f71v	SCARR025|f71v|S2	f71v.13	1	5	1	ofaom	1	APARAB	APAJPAB	APARAB	A1.P2.A3.Re.A1.B3	A1.P2.A3.Ja.P2.A1.B3	A1.P2.A3.Re.A1.B3	2	MEMBER_SEQUENCE_2OF3	APARAB	APARAB	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	1	1	1	APA	RAB	0	0	0	ofacfom	ofacfom	ofacfom	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
47	T15	15	f71	f71v	SCARR025|f71v|S2	f71v.14	2	5	2	otalody	1	AQABABA	AQABABA	AQABABA	A1.Q2.A3.B2.A1.B1.A2	A1.Q2.A3.B2.A1.B1.A2	A1.Q2.A3.B2.A1.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQABABA	AQABABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	ABA	0	0	0	otalody	otalody	otalody	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
48	T15	15	f71	f71v	SCARR025|f71v|S2	f71v.15	3	5	3	otalaiin	1	AQABAG	AQABAG	AQABAG	A1.Q2.A3.B2.A3.G1	A1.Q2.A3.B2.A3.G1	A1.Q2.A3.B2.A3.G1	3	ALL3_MEMBER_SEQUENCE	AQABAG	AQABAG	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AG	0	0	0	otalaiin	otalaiin	otalaiin	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
49	T15	15	f71	f71v	SCARR025|f71v|S2	f71v.16	4	5	4	otar shar	2	AQAC|LAC	AQAC|LAC	AQAC|LAC	A1.Q2.A3.C1|L1.A3.C1	A1.Q2.A3.C1|L1.A1.C1	A1.Q2.A3.C1|L1.Aa.C1	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQAC|LAC	AQACLAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	AQAC	|LAC	1	0	0	otar shar	otar shor	otar shar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
50	T15	15	f71	f71v	SCARR025|f71v|S2	f71v.17	5	5	5	sholshdy	1	LABLBA	LABLBA	LABLBA	L1.A1.B2.L1.B1.A2	L1.A1.B2.L1.B1.A2	L1.A1.B2.L1.Ba.A2	2	MEMBER_SEQUENCE_2OF3	LABLBA	LABLBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	LABLBA	0	0	0	sholshdy	sholshdy	sholshdy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
51	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.2	1	10	6	char arom	2	KAC|ACAB	KAC|ACAB	KAC|ACAB	K1.A3.C1|A3.C1.A1.B3	K1.A3.C1|A1.C1.A1.B3	K1.A3.C1|A1.C1.A1.B3	2	MEMBER_SEQUENCE_2OF3	KAC|ACAB	KACACAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	NONE	KAC|ACAB	0	0	0	char arom	char orom	char orom	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
52	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.3	2	10	7	chfaly	1	KPABA	KPABA	KPABA	K1.P2.A3.B2.A2	K1.P2.A3.B2.A2	K1.P2.A3.B2.A2	3	ALL3_MEMBER_SEQUENCE	KPABA	KPABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	KPABA	0	0	0	chfaly	chfaly	chfaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
53	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.4	3	10	8	okolar	1	AQABAC	AQABAC	AQABAC	A1.Q1.A1.B2.A3.C1	A1.Q1.A1.B2.A3.C1	A1.Q1.A1.B2.A3.C1	3	ALL3_MEMBER_SEQUENCE	AQABAC	AQABAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AC	0	0	0	okolar	okolar	okolar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
54	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.5	4	10	9	otchody	1	AQKABA	AQKABA	AQKABA	A1.Q2.K1.A1.B1.A2	A1.Q2.K1.A1.B1.A2	A1.Q2.K1.A1.Ba.A2	2	MEMBER_SEQUENCE_2OF3	AQKABA	AQKABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKABA	0	0	0	otchody	otchody	otchody	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
55	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.6	5	10	10	alcphy	1	ABTA	ABTA	ABTA	A3.B2.T1.A2	A1.B2.T1.A2	A3.B2.T1.A2	2	MEMBER_SEQUENCE_2OF3	ABTA	ABTA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	ABTA	0	0	0	alcphy	olcphy	alcphy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
56	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.7	6	10	11	otaiin	1	AQAG	AQAG	AQAG	A1.Q2.A3.G1	A1.Q2.A3.G1	A1.Q2.A3.G1	3	ALL3_MEMBER_SEQUENCE	AQAG	AQAG	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	G	0	0	0	otaiin	otaiin	otaiin	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
57	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.8	7	10	12	okaraiin	1	AQACAG	AQACAG	AQACAG	A1.Q1.A3.C1.A3.G1	A1.Q1.A3.C1.A3.G1	A1.Q1.A3.C1.A3.G1	3	ALL3_MEMBER_SEQUENCE	AQACAG	AQACAG	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAC	AG	0	0	0	okaraiin	okaraiin	okaraiin	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
58	T15	15	f71	f71v	SCARR024|f71v|S1	f71v.9	8	10	13	otar ar aly	3	AQAC|AC|ABA	AQAC|AC|ABA	AQAC|ACABA	A1.Q2.A3.C1|A3.C1|A3.B2.A2	A1.Q1.A3.C1|A3.C1|A3.B2.A2	A1.Q2.A3.C1|A3.C1.A3.B2.A2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQAC|AC|ABA	AQACACABA	2	3	IT2a|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	3	3	2	AQAC	|AC|ABA	0	0	0	otar ar aly	okar ar aly	otar araly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
59	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.11	10	10	15	ochol sharam	2	AKAB|LACAB	AKAB|KACAB	AKAB|LACAB	A1.K1.A1.B2|L1.A3.C1.A3.B3	A1.K1.A1.B2|K1.A3.C1.A3.B3	A1.K1.A1.B2|L1.A3.C1.A3.B3	2	MEMBER_SEQUENCE_2OF3	AKAB|LACAB	AKABLACAB	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	2	2	2	NONE	AKAB|LACAB	0	0	0	ochol sharam	ochol charam	ochol sharam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
60	T15	15	f72	f72r1	SCARR027|f72r1|S2	f72r1.13	1	5	1	ofaralar	1	APACABAC	APACABAC	APACABAC	A1.P2.A3.C1.A3.B2.A3.C1	A1.P2.A3.C1.A3.B2.A3.C1	A1.P2.A3.C1.A3.B2.A3.C1	3	ALL3_MEMBER_SEQUENCE	APACABAC	APACABAC	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	APAC	ABAC	0	0	0	ofaralar	ofaralar	ofaralar	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
61	T15	15	f72	f72r1	SCARR027|f72r1|S2	f72r1.14	2	5	2	otchoshy	1	AQKALA	AQKALA	AQKALA	A1.Q2.K1.A1.L1.A2	A1.Q2.K1.A1.L1.A2	A1.Q2.K1.A1.L1.A2	3	ALL3_MEMBER_SEQUENCE	AQKALA	AQKALA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKALA	0	0	0	otchoshy	otchoshy	otchoshy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
62	T15	15	f72	f72r1	SCARR027|f72r1|S2	f72r1.15	3	5	3	otchdal	1	AQKBAB	AQKBAB	AQKBAB	A1.Q2.K1.B1.A3.B2	A1.Q2.K1.B1.A3.B2	A1.Q2.K1.B1.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQKBAB	AQKBAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKBAB	0	0	0	otchdal	otchdal	otchdal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
63	T15	15	f72	f72r1	SCARR027|f72r1|S2	f72r1.16	4	5	4	okeey ary	2	AQKA|ACA	AQKA|ACA	AQKA|ACA	A1.Q1.K2.A2|A3.C1.A2	A1.Q1.K2.A2|A3.C1.A2	A1.Q1.K2.A2|A3.C1.A2	3	ALL3_MEMBER_SEQUENCE	AQKA|ACA	AQKAACA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	NONE	AQKA|ACA	0	0	0	okeey ary	okeey ary	okeey ary	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
64	T15	15	f72	f72r1	SCARR027|f72r1|S2	f72r1.17	5	5	5	otainy	1	AQAFA	AQAFA	AQAFA	A1.Q2.A3.F1.A2	A1.Q2.A3.F1.A2	A1.Q2.A3.F1.A2	3	ALL3_MEMBER_SEQUENCE	AQAFA	AQAFA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	FA	0	0	0	otainy	otainy	otainy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
65	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.2	1	10	6	oshodady	1	ALABABA	ALABABA	ALABABA	A1.L1.A1.B1.A3.B1.A2	A1.L1.A1.B1.A1.B1.A2	A1.L1.A1.B1.A3.B1.A2	2	MEMBER_SEQUENCE_2OF3	ALABABA	ALABABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	ALABABA	1	0	0	oshodady	oshodody	oshodady	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
66	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.3	2	10	7	chdaiirdainy	1	KBAGBAFA	KBAGCAFA	KBAGBAFA	K1.B1.A3.G3.B1.A3.F1.A2	K1.B1.A3.G3.C2.A3.F1.A2	K1.B1.A3.G3.B1.A3.F1.A2	2	MEMBER_SEQUENCE_2OF3	KBAGBAFA	KBAGBAFA	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	1	1	1	NONE	KBAGBAFA	0	0	0	chdaiirdainy	chdaiirsainy	chdaiirdainy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
67	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.4	3	10	8	oaiin ar ary	3	AAG|AC|ACA	AAG|AC|ACA	AAGACACA	A1.A3.G1|A3.C1|A3.C1.A2	A1.A3.G1|A3.C1|A3.C1.A2	A1.Aa.G1.A3.C1.A3.C1.A2	2	MEMBER_SEQUENCE_2OF3	AAG|AC|ACA	AAGACACA	2	3	IT2a|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	3	3	1	NONE	AAG|AC|ACA	0	0	0	oaiin ar ary	oaiin ar ary	oaiinarary	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
68	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.5	4	10	9	okalam	1	AQABAB	AQABAB	AQABAB	A1.Q1.A3.B2.A3.B3	A1.Q1.A3.B2.A3.B3	A1.Qa.A3.B2.A3.B3	2	MEMBER_SEQUENCE_2OF3	AQABAB	AQABAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AB	0	0	0	okalam	okalam	okalam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
69	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.6	5	10	10	ytalshdy	1	AQABLBA	AQAB|LBA	AQABLBA	A2.Q2.A3.B2.L1.B1.A2	A2.Q2.A3.B2|L1.B1.A3	A2.Q2.A3.B2.L1.Ba.A2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	AQABLBA	AQABLBA	2	3	RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	1	2	1	AQAB	LBA	0	0	0	ytalshdy	ytal shda	ytalshdy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
70	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.7	6	10	11	char alif	2	KAC|ABEP	KAC|ABP	KAC|ABEP	K1.A3.C1|A3.B2.E1.P2	K1.A3.C1|A3.B2.P2	K1.Aa.C1|A3.B2.E1.P2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	KAC|ABEP	KACABEP	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	2	2	2	NONE	KAC|ABEP	0	0	0	char alif	char alf	char alif	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
71	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.8	7	10	12	otaraldy	1	AQACABBA	AQACABBA	AQACABBA	A1.Q2.A3.C1.A3.B2.B1.A2	A1.Q2.A3.C1.A3.B2.B1.A2	A1.Q2.A3.C1.A3.B2.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQACABBA	AQACABBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAC	ABBA	0	0	0	otaraldy	otaraldy	otaraldy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
72	T15	15	f72	f72r1	SCARR026|f72r1|S1	f72r1.9	8	10	13	otaiin otain	2	AQAG|AQAF	AQAG|AQAF	AQAG|AQAF	A1.Q2.A3.G1|A1.Q2.A3.F1	A1.Q2.A3.G1|A1.Q2.A3.F1	A1.Q2.A3.G1|A1.Q2.A3.F1	3	ALL3_MEMBER_SEQUENCE	AQAG|AQAF	AQAGAQAF	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	AQA	G|AQAF	0	0	0	otaiin otain	otaiin otain	otaiin otain	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
73	T30	30	f72	f72r2	SCARR028|f72r2|S0	f72r2.1	1	5	26	ofchdamy	1	APKBABA	APKBABA	APKBABA	A1.P2.K1.B1.A3.B3.A2	A1.P2.K1.B1.A3.B1.A2	A1.P1.K1.B1.A3.B3.A2	1	MEMBER_SEQUENCE_ALL_DIFFERENT	APKBABA	APKBABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	APK	BABA	0	0	0	ofchdamy	ofchdady	opchdamy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
74	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.10	4	16	13	okaly	1	AQABA	AQABA	AQABA	A1.Q1.A3.B2.A2	A1.Q1.A3.B2.A2	A1.Q1.A3.B2.A2	3	ALL3_MEMBER_SEQUENCE	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okaly	okaly	okaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
75	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.11	5	16	14	okal	1	AQAB	AQAB	AQAB	A1.Q1.A3.B2	A1.Q1.A3.B2	A1.Q1.A3.B2	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	okal	okal	okal	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
76	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.12	6	16	15	okeey ary	2	AQKA|ACA	AQKA|ACA	AQKA|ACA	A1.Q1.K2.A2|A3.C1.A2	A1.Q1.K2.A2|A3.C1.A2	A1.Q1.K2.A2|A3.C1.A2	3	ALL3_MEMBER_SEQUENCE	AQKA|ACA	AQKAACA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	2	2	2	NONE	AQKA|ACA	0	0	0	okeey ary	okeey ary	okeey ary	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
77	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.13	7	16	16	oteeary	1	AQKACA	AQKACA	AQKACA	A1.Q2.K2.A3.C1.A2	A1.Q2.K2.A3.C1.A2	A1.Q2.K2.A3.C1.A2	3	ALL3_MEMBER_SEQUENCE	AQKACA	AQKACA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQKACA	0	0	0	oteeary	oteeary	oteeary	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
78	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.14	8	16	17	otair dy	2	AQAF|BA	AQAF|BA	AQAFBA	A1.Q2.A3.F3|B1.A2	A1.Q2.A3.F3|B1.A2	A1.Q2.A3.F3.B1.A2	2	MEMBER_SEQUENCE_2OF3	AQAF|BA	AQAFBA	2	3	IT2a|ZL3b	IT2a|RF1b|ZL3b	ALL3_FAMILY__BOUNDARY_2OF3	2	2	1	AQA	F|BA	0	0	0	otair dy	otair dy	otairdy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
79	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.15	9	16	18	okaircham	1	AQAFKAB	AQAFKAB	AQAFKAB	A1.Q1.A3.F3.K1.A3.B3	A1.Q1.A3.F3.K1.A3.B3	A1.Q1.A3.F3.K1.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQAFKAB	AQAFKAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQA	FKAB	0	0	0	okaircham	okaircham	okaircham	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
80	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.16	10	16	19	okeal	1	AQJAB	AQJAB	AQJABA	A1.Q1.J1.A3.B2	A1.Q1.J1.A3.B2	A1.Q1.J1.A3.B2.A2	2	MEMBER_SEQUENCE_2OF3	AQJAB	AQJAB	2	2	IT2a|ZL3b	IT2a|ZL3b	FAMILY_2OF3	1	1	1	NONE	AQJAB	0	0	0	okeal	okeal	okealy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
81	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.17	11	16	20	otar	1	AQACL	AQACAC	AQACL	A1.Q2.A3.C1.Lh	A1.Q2.A3.C1.A3.C1	A1.Q2.A3.C1.Lh	2	MEMBER_SEQUENCE_2OF3	AQACL	AQACL	2	2	RF1b|ZL3b	RF1b|ZL3b	FAMILY_2OF3	1	1	1	AQAC	L	0	0	0	otarcr	otarar	otarcr	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
82	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.18	12	16	21	okaly	1	AQABA	AQABA	AQABA	A1.Q1.A3.B2.A2	A1.Q1.A3.B2.A2	A1.Q1.A3.B2.A2	3	ALL3_MEMBER_SEQUENCE	AQABA	AQABA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	A	0	0	0	okaly	okaly	okaly	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
83	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.19	13	16	22	orary	1	ACACA	ACACA	ACACA	A1.C1.A3.C1.A2	A1.C1.A3.C1.A2	A1.C1.A3.C1.A2	3	ALL3_MEMBER_SEQUENCE	ACACA	ACACA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	ACAC	A	0	0	0	orary	orary	orary	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
84	T30	30	f72	f72r2	SCARR028|f72r2|S0	f72r2.2	2	5	27	oklairdy	1	AQBAFBA	AQBAFBA	AQBAFBA	A1.Q1.B2.A3.F3.B1.A2	A1.Q1.B2.A3.F3.B1.A2	A1.Q1.B2.A3.F3.B1.A2	3	ALL3_MEMBER_SEQUENCE	AQBAFBA	AQBAFBA	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	NONE	AQBAFBA	0	0	0	oklairdy	oklairdy	oklairdy	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
85	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.20	15	16	24	okyd	1	AQAB	AQAB	AQAB	A1.Q1.A2.B1	A1.Q1.A2.B1	A1.Q1.A2.B1	3	ALL3_MEMBER_SEQUENCE	AQAB	AQAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	EMPTY	0	0	0	okyd	okyd	okyd	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
86	T30	30	f72	f72r2	SCARR029|f72r2|S1	f72r2.21	16	16	25	otolam	1	AQABAB	AQABAB	AQABAB	A1.Q2.A1.B2.A3.B3	A1.Q2.A1.B2.A3.B3	A1.Q2.A1.B2.A3.B3	3	ALL3_MEMBER_SEQUENCE	AQABAB	AQABAB	3	3	IT2a|RF1b|ZL3b	IT2a|RF1b|ZL3b	ALL3_BOUNDARY_AND_FAMILY	1	1	1	AQAB	AB	0	0	0	otolam	otolam	otolam	FORMAL_TRANSCRIPTION_FAMILY__NOT_AUTHORIAL_WORD_OR_SOUND	ZERO
