page	record_ordinal	field_serial_in_record	locus	visible_field	event_count	technical_primary_function	technical_secondary_functions	technical_card_expansion_German	complete_field_expansion_German	closure	coverage_status
f82r	1	3	f82r.2	qokain dy qokeedy	3	AKTIVER ARBEITSPOSTEN	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gib eine gemessene Portion in das Gefäß | dieser aktive Arbeitsposten | bade oder tauche im temperierten warmen Wasser; beende die Zelle	AKTIVER ARBEITSPOSTEN: gib eine gemessene Portion in das Gefäß; dieser aktive Arbeitsposten; bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	4	f82r.2	qokal lcheckhy lched	3	EINSATZ AM BECKEN ODER AN DER STATION		mische beide Portionen zusammen | die zweite Öffnung | und gehe zum nächsten Becken weiter	EINSATZ AM BECKEN ODER AN DER STATION: mische beide Portionen zusammen; die zweite Öffnung; und gehe zum nächsten Becken weiter. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	5	f82r.3	qokeey lcheckhedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	tempere die Arbeitsflüssigkeit und halte sie lauwarm | seihe es klar; schließe die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: tempere die Arbeitsflüssigkeit und halte sie lauwarm; seihe es klar; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	6	f82r.3	qokaly solkaiin chckhy qokaiin	4	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	setze am zweiten Wasserlauf fort | durch ein Tuch | durch die verbundenen Wasserläufe | beginne den nächsten abgemessenen Arbeitsposten	WASSERWEG, SPÜLUNG ODER ABLASS: setze am zweiten Wasserlauf fort; durch ein Tuch; durch die verbundenen Wasserläufe; beginne den nächsten abgemessenen Arbeitsposten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	7	f82r.4	qokaiin octheol chkeey ldy	4	ANLAGEN- ODER DURCHLAUFDETAIL		beginne den nächsten abgemessenen Arbeitsposten | bei derselben Anlageneinstellung | das breite Gefäß | ziehe die Flüssigkeit ab; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: beginne den nächsten abgemessenen Arbeitsposten; bei derselben Anlageneinstellung; das breite Gefäß; ziehe die Flüssigkeit ab; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	8	f82r.4	oteey qokal sheckhy qoky	4	AUSZUFÜHRENDER ARBEITSGANG	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	das bereitete Öl | mische beide Portionen zusammen | über der bezeichneten Badestelle | verwende die aktive Portion im laufenden Arbeitsgang	AUSZUFÜHRENDER ARBEITSGANG: das bereitete Öl; mische beide Portionen zusammen; über der bezeichneten Badestelle; verwende die aktive Portion im laufenden Arbeitsgang. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	9	f82r.7	dshedy	1	ARBEITSFLÜSSIGKEIT ODER ZUSATZ		gib klares Wasser zu; schließe diesen Arbeitsgang	ARBEITSFLÜSSIGKEIT ODER ZUSATZ: gib klares Wasser zu; schließe diesen Arbeitsgang. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	10	f82r.7	sotaiin qokar shedy	3	WÄRME, KÜHLUNG ODER RUHE	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	für denselben Zeitraum wie zuvor | über der bezeichneten Badestelle | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: für denselben Zeitraum wie zuvor; über der bezeichneten Badestelle; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	11	f82r.7	solshedy	1	WÄRME, KÜHLUNG ODER RUHE		halte es warm; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: halte es warm; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	12	f82r.7	qokeey qoky ls cheey	4	AUSZUFÜHRENDER ARBEITSGANG	REIFE- ODER ENDZUSTAND; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	tempere die Arbeitsflüssigkeit und halte sie lauwarm | verwende die aktive Portion im laufenden Arbeitsgang | die erste Öffnung | bearbeite weiter, bis die Flüssigkeit klar abläuft	AUSZUFÜHRENDER ARBEITSGANG: tempere die Arbeitsflüssigkeit und halte sie lauwarm; verwende die aktive Portion im laufenden Arbeitsgang; die erste Öffnung; bearbeite weiter, bis die Flüssigkeit klar abläuft. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	13	f82r.19	okain char okain qokeedy	4	HERKUNFT DES ANSATZES	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gib eine gemessene Portion in das Gefäß | daraus, aus demselben Ansatz | gib eine gemessene Portion in das Gefäß | bade oder tauche im temperierten warmen Wasser; beende die Zelle	HERKUNFT DES ANSATZES: gib eine gemessene Portion in das Gefäß; daraus, aus demselben Ansatz; gib eine gemessene Portion in das Gefäß; bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	14	f82r.19	lchy	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	ziehe die klare Flüssigkeit ab	WASSERWEG, SPÜLUNG ODER ABLASS: ziehe die klare Flüssigkeit ab. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	15	f82r.23	cheey qcthey qokeey lcheey daiin chey qokeeedy	7	REIFE- ODER ENDZUSTAND	MENGE ODER MASS; AKTIVER ARBEITSPOSTEN; WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bearbeite weiter, bis die Flüssigkeit klar abläuft | bei derselben Anlageneinstellung | tempere die Arbeitsflüssigkeit und halte sie lauwarm | der eingetauchte Teil | ein vorgeschriebenes Maß | dieser aktive Arbeitsposten | tauche vollständig ein; schließe die Zelle	REIFE- ODER ENDZUSTAND: bearbeite weiter, bis die Flüssigkeit klar abläuft; bei derselben Anlageneinstellung; tempere die Arbeitsflüssigkeit und halte sie lauwarm; der eingetauchte Teil; ein vorgeschriebenes Maß; dieser aktive Arbeitsposten; tauche vollständig ein; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	16	f82r.23	lchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	17	f82r.23	lar	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	schließe den unteren Auslass	WASSERWEG, SPÜLUNG ODER ABLASS: schließe den unteren Auslass. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	18	f82r.26	tshey qokeedy	2	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	beginne die Spülung | bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: beginne die Spülung; bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	19	f82r.26	cheal lchedar ches aiin oteey qokaiin okey	7	ZIELBECKEN ODER ARBEITSSTATION	MENGE ODER MASS; WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	führe den Arbeitsstrom zur bezeichneten Station | kaltes Wasser | zu gleichen Teilen | ein vorgeschriebenes Maß | das bereitete Öl | beginne den nächsten abgemessenen Arbeitsposten | warmes Wasser	ZIELBECKEN ODER ARBEITSSTATION: führe den Arbeitsstrom zur bezeichneten Station; kaltes Wasser; zu gleichen Teilen; ein vorgeschriebenes Maß; das bereitete Öl; beginne den nächsten abgemessenen Arbeitsposten; warmes Wasser. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	20	f82r.27	pchedy	1	ANLAGEN- ODER DURCHLAUFDETAIL		ziehe die Flüssigkeit ab; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: ziehe die Flüssigkeit ab; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	21	f82r.27	rsheal daldy	2	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gieße erwärmtes Wasser ein | wiederhole es an der zweiten Öffnung; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: gieße erwärmtes Wasser ein; wiederhole es an der zweiten Öffnung; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	22	f82r.27	qokeedy	1	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	23	f82r.27	rshedy	1	ANLAGEN- ODER DURCHLAUFDETAIL		schöpfe die vorgeschriebene Prüfportion ab; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: schöpfe die vorgeschriebene Prüfportion ab; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	24	f82r.27	qoteedy	1	EINSATZ AM BECKEN ODER AN DER STATION	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle	EINSATZ AM BECKEN ODER AN DER STATION: binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	25	f82r.27	qokeedy	1	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f82r	1	26	f82r.27	lochedy	1	ANLAGEN- ODER DURCHLAUFDETAIL		mische zu gleichen Teilen; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: mische zu gleichen Teilen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	1	f83r.3	olkeedy	1	WÄRME, KÜHLUNG ODER RUHE	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die Flüssigkeit absetzen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse die Flüssigkeit absetzen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	2	f83r.3	qotal chkeedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	zum unteren Auslass | tauche vollständig ein; schließe die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: zum unteren Auslass; tauche vollständig ein; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	3	f83r.3	chey daiin chey lchedy	4	AKTIVER ARBEITSPOSTEN	MENGE ODER MASS; WASSERWEG, SPÜLUNG ODER ABLASS; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	dieser aktive Arbeitsposten | ein vorgeschriebenes Maß | dieser aktive Arbeitsposten | lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	AKTIVER ARBEITSPOSTEN: dieser aktive Arbeitsposten; ein vorgeschriebenes Maß; dieser aktive Arbeitsposten; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	4	f83r.3	qokaiin qotal dar	3	HERKUNFT DES ANSATZES	WASSERWEG, SPÜLUNG ODER ABLASS	beginne den nächsten abgemessenen Arbeitsposten | zum unteren Auslass | daraus, aus demselben Ansatz	HERKUNFT DES ANSATZES: beginne den nächsten abgemessenen Arbeitsposten; zum unteren Auslass; daraus, aus demselben Ansatz. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	5	f83r.6	schedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	6	f83r.6	chedchy qokal olchedy	3	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	gieße erwärmtes Wasser ein | mische beide Portionen zusammen | stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: gieße erwärmtes Wasser ein; mische beide Portionen zusammen; stelle die gemischte Flüssigkeit im bedeckten Auffanggefäß zurück; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	7	f83r.6	qokaiin chedy qokeedy	3	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	beginne den nächsten abgemessenen Arbeitsposten | rühre bis zur gleichmäßigen Mischung | bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: beginne den nächsten abgemessenen Arbeitsposten; rühre bis zur gleichmäßigen Mischung; bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	8	f83r.6	lchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	9	f83r.6	qoky	1	AUSZUFÜHRENDER ARBEITSGANG	EINSATZ AM BECKEN ODER AN DER STATION	verwende die aktive Portion im laufenden Arbeitsgang	AUSZUFÜHRENDER ARBEITSGANG: verwende die aktive Portion im laufenden Arbeitsgang. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	10	f83r.8	pchedal otedy	2	EINSATZ AM BECKEN ODER AN DER STATION		fülle dann das Gefäß | lasse es bis zur Klärung ausziehen; schließe die Zelle	EINSATZ AM BECKEN ODER AN DER STATION: fülle dann das Gefäß; lasse es bis zur Klärung ausziehen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	11	f83r.8	shecthedchy qoky chedy chary	4	AUSZUFÜHRENDER ARBEITSGANG	WÄRME, KÜHLUNG ODER RUHE; EINSATZ AM BECKEN ODER AN DER STATION; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	bringe den Zusatz an der bezeichneten Badestelle ein | verwende die aktive Portion im laufenden Arbeitsgang | rühre bis zur gleichmäßigen Mischung | und lasse ihn abkühlen	AUSZUFÜHRENDER ARBEITSGANG: bringe den Zusatz an der bezeichneten Badestelle ein; verwende die aktive Portion im laufenden Arbeitsgang; rühre bis zur gleichmäßigen Mischung; und lasse ihn abkühlen. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	12	f83r.11	sor shedy	2	AKTUELLE ARBEITSFLÜSSIGKEIT	WÄRME, KÜHLUNG ODER RUHE	die bereitete Arbeitsflüssigkeit | lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	AKTUELLE ARBEITSFLÜSSIGKEIT: die bereitete Arbeitsflüssigkeit; lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	13	f83r.11	qokaiin chkain shcthey qokedy	4	WASSERWEG, SPÜLUNG ODER ABLASS	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	beginne den nächsten abgemessenen Arbeitsposten | eine gemessene Portion | bei derselben Anlageneinstellung | spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: beginne den nächsten abgemessenen Arbeitsposten; eine gemessene Portion; bei derselben Anlageneinstellung; spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	14	f83r.11	okair sheedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	öffne als Nächstes den oberen Wasserlauf | spüle einmal; schließe die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: öffne als Nächstes den oberen Wasserlauf; spüle einmal; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	15	f83r.11	lchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	16	f83r.11	lo	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	schließe den unteren Auslass	WASSERWEG, SPÜLUNG ODER ABLASS: schließe den unteren Auslass. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	17	f83r.14	qokchedy	1	WÄRME, KÜHLUNG ODER RUHE		lasse es abkühlen; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse es abkühlen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	18	f83r.14	qokeedy	1	WÄRME, KÜHLUNG ODER RUHE	EINSATZ AM BECKEN ODER AN DER STATION; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	bade oder tauche im temperierten warmen Wasser; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: bade oder tauche im temperierten warmen Wasser; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	19	f83r.14	shedy	1	WÄRME, KÜHLUNG ODER RUHE		lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse es bis zur Arbeitsbereitschaft stehen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	20	f83r.14	qokshedy	1	WÄRME, KÜHLUNG ODER RUHE	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	siede sanft; schließe die Zelle	WÄRME, KÜHLUNG ODER RUHE: siede sanft; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	21	f83r.14	dal lchedy	2	ZIELBECKEN ODER ARBEITSSTATION	WASSERWEG, SPÜLUNG ODER ABLASS; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	führe den Arbeitsstrom zur bezeichneten Station | lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	ZIELBECKEN ODER ARBEITSSTATION: führe den Arbeitsstrom zur bezeichneten Station; lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	22	f83r.14	qokaiin shcthy dal sy	4	REIFE- ODER ENDZUSTAND	ZIELBECKEN ODER ARBEITSSTATION; AKTIVER ARBEITSPOSTEN; ANLAGEN- ODER DURCHLAUFDETAIL	beginne den nächsten abgemessenen Arbeitsposten | sobald der Ansatz arbeitsbereit ist | führe den Arbeitsstrom zur bezeichneten Station | dieser aktive Arbeitsposten	REIFE- ODER ENDZUSTAND: beginne den nächsten abgemessenen Arbeitsposten; sobald der Ansatz arbeitsbereit ist; führe den Arbeitsstrom zur bezeichneten Station; dieser aktive Arbeitsposten. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	23	f83r.15	saiin shedal shecthy chey tal shcthy dalchdy	7	MENGE ODER MASS	AKTIVER ARBEITSPOSTEN; ZIELBECKEN ODER ARBEITSSTATION; REIFE- ODER ENDZUSTAND; WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ	ein vorgeschriebenes Maß | für einen Arbeitszeitraum | warmes Wasser | dieser aktive Arbeitsposten | führe den Arbeitsstrom zur bezeichneten Station | sobald der Ansatz arbeitsbereit ist | behalte den Rückstand; schließe die Zelle	MENGE ODER MASS: ein vorgeschriebenes Maß; für einen Arbeitszeitraum; warmes Wasser; dieser aktive Arbeitsposten; führe den Arbeitsstrom zur bezeichneten Station; sobald der Ansatz arbeitsbereit ist; behalte den Rückstand; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	24	f83r.15	qotchedy	1	ANLAGEN- ODER DURCHLAUFDETAIL		mische zu gleichen Teilen; schließe die Zelle	ANLAGEN- ODER DURCHLAUFDETAIL: mische zu gleichen Teilen; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	25	f83r.15	lchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: lasse die verbrauchte Flüssigkeit in das untere Auffanggefäß ab; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	26	f83r.16	tchedy	1	WASSERWEG, SPÜLUNG ODER ABLASS	EINSATZ AM BECKEN ODER AN DER STATION	spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: spüle das gebrauchte Gefäß oder den Wasserlauf einmal durch; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	27	f83r.16	qokchdy	1	WÄRME, KÜHLUNG ODER RUHE		erhitze einmal; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: erhitze einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	28	f83r.16	cheedar chldaiin chedy qokain checthy chealror	6	REIFE- ODER ENDZUSTAND	EINSATZ AM BECKEN ODER AN DER STATION; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	setze den Badenden an das Becken | nach dem Absetzen | rühre bis zur gleichmäßigen Mischung | gib eine gemessene Portion in das Gefäß | sobald der Ansatz arbeitsbereit ist | bis der Wasserlauf klar wird	REIFE- ODER ENDZUSTAND: setze den Badenden an das Becken; nach dem Absetzen; rühre bis zur gleichmäßigen Mischung; gib eine gemessene Portion in das Gefäß; sobald der Ansatz arbeitsbereit ist; bis der Wasserlauf klar wird. (offene Fortsetzung)	OPEN_FIELD_END	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	29	f83r.20	solkeedy	1	WÄRME, KÜHLUNG ODER RUHE	ARBEITSFLÜSSIGKEIT ODER ZUSATZ	lasse die Flüssigkeit absetzen; beende die Zelle	WÄRME, KÜHLUNG ODER RUHE: lasse die Flüssigkeit absetzen; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	30	f83r.20	qoteedy	1	EINSATZ AM BECKEN ODER AN DER STATION	VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle	EINSATZ AM BECKEN ODER AN DER STATION: binde den Kräuterbeutel an der bezeichneten Station fest; schließe die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
f83r	1	31	f83r.20	qokeey qokedy	2	WASSERWEG, SPÜLUNG ODER ABLASS	WÄRME, KÜHLUNG ODER RUHE; ARBEITSFLÜSSIGKEIT ODER ZUSATZ; VERWENDUNGSZWECK ODER QUALITÄTSPRÜFUNG	tempere die Arbeitsflüssigkeit und halte sie lauwarm | spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle	WASSERWEG, SPÜLUNG ODER ABLASS: tempere die Arbeitsflüssigkeit und halte sie lauwarm; spüle die bezeichnete Arbeitsstelle einmal; beende die Zelle. (abgeschlossene Arbeitszelle)	DY	COMPLETE_NONMEDICAL_DEFAULT
